n,mae,rmse,bias,r2,scale_days,horizon_windows,horizon_days,split,model
1301,0.00025090739180795324,0.000308106716175741,-1.3600445391978043e-19,0.8496958707172388,7,1,7,development,clock_only
1301,0.0002489736624978029,0.00030601658185532867,-1.3067094592292629e-19,0.8517282200141801,7,1,7,development,clock_raw_pole
1301,0.0002505198588709434,0.00030746716446535975,-3.1201021781596685e-19,0.8503192099043536,7,1,7,development,clock_pole_diara
1301,0.0002487958695677494,0.00030551855345060616,-3.253439878081022e-19,0.8522104387818543,7,1,7,development,full_child
418,0.0003109231373889269,0.0003769327178648631,-7.132946001367085e-07,0.44271246843351675,7,1,7,validation,persistence
418,0.00025872469915951603,0.00031033827070676984,1.9080301867057728e-05,0.622234470991265,7,1,7,validation,clock_only
418,0.0002549484830747892,0.0003064382103826972,-8.898934600487013e-06,0.631669663898013,7,1,7,validation,clock_raw_pole
418,0.00025827700460399303,0.0003105854203622498,1.0750962085758087e-05,0.6216325355782544,7,1,7,validation,clock_pole_diara
418,0.00025511237861997814,0.00030770690459987,-1.4437086276606974e-05,0.6286134790613351,7,1,7,validation,full_child
499,0.00036109977097051245,0.0004336884442912803,1.8675923275121664e-06,0.519050432324454,7,1,7,holdout,persistence
499,0.00025505877743089745,0.00031341020096039256,6.944818853991688e-05,0.7488286536210824,7,1,7,holdout,clock_only
499,0.00024955268479580925,0.0003051059446390415,3.0222672243232193e-05,0.7619626116581307,7,1,7,holdout,clock_raw_pole
499,0.00025397753450718977,0.0003120026388456078,6.259242688111317e-05,0.7510796676413904,7,1,7,holdout,clock_pole_diara
499,0.0002490265640151907,0.00030492492317886374,2.286822523176168e-05,0.7622449863126487,7,1,7,holdout,full_child
1300,0.0002800007252747253,0.0003430136448553991,1.221516483516483e-06,0.813792431020278,7,2,14,development,persistence
1300,0.0002407394911984693,0.00030354072453184347,-6.672013369141566e-20,0.8541828954142042,7,2,14,development,clock_only
1300,0.0002353992461183995,0.00029656573374295717,-8.807057647266867e-20,0.8608072943177145,7,2,14,development,clock_raw_pole
1300,0.00024026437536345445,0.0003029990767672763,-2.1617323316018673e-19,0.8547028325020052,7,2,14,development,clock_pole_diara
1300,0.00023522008235978464,0.000296137745255517,-2.508677026797229e-19,0.8612087560007885,7,2,14,development,full_child
418,0.0002873022214627478,0.00035147820437693704,-7.14456596035547e-07,0.5154390048015108,7,2,14,validation,persistence
418,0.0002309436213370822,0.00029931269198208154,1.736754549434782e-05,0.6485998678627909,7,2,14,validation,clock_only
418,0.00022685768396271571,0.00028889984262010717,-3.714344551070318e-05,0.6726244318850099,7,2,14,validation,clock_raw_pole
418,0.00023083437643799316,0.00029911715433926424,1.0913947727368014e-05,0.6490588494628865,7,2,14,validation,clock_pole_diara
418,0.00022761883042316127,0.0002896260761132939,-4.011528963363902e-05,0.6709764563900305,7,2,14,validation,full_child
499,0.0002746162610936158,0.00033935418646031826,4.020841683366722e-06,0.7055237592600596,7,2,14,holdout,persistence
499,0.00023219707774395706,0.00029997931422781637,7.064021727961188e-05,0.7698947890856395,7,2,14,holdout,clock_only
499,0.00022224309979448946,0.00028177500881905714,-1.1932110112645913e-05,0.7969753446625621,7,2,14,holdout,clock_raw_pole
499,0.00023150308860881325,0.00029863374889559167,6.561729158217306e-05,0.7719544456812618,7,2,14,holdout,clock_pole_diara
499,0.0002232766427259673,0.00028259428863787163,-1.5958987976113835e-05,0.7957930125799783,7,2,14,holdout,full_child
1298,0.00028683756328417345,0.0003602243948132406,1.500275148580232e-06,0.7948970373359151,7,4,28,development,persistence
1298,0.0002779123880446454,0.0003488683776393589,-9.087919596796832e-20,0.8076248798297563,7,4,28,development,clock_only
1298,0.0002673818036397646,0.0003370310041210089,-1.470104640658311e-19,0.8204582717051964,7,4,28,development,clock_raw_pole
1298,0.0002769889793643823,0.0003481923039619305,-8.018752585408969e-20,0.8083697666785536,7,4,28,development,clock_pole_diara
1298,0.00026765591055846896,0.0003368737200824595,-1.2028128878113453e-19,0.8206258079765558,7,4,28,development,full_child
418,0.00027898079289131924,0.00034866843246454855,-2.059808612440193e-06,0.5231553514282564,7,4,28,validation,persistence
418,0.0002595370304155549,0.0003309484522740661,3.744169153089196e-05,0.5703919967179281,7,4,28,validation,clock_only
418,0.00026850667073558524,0.00033466172388180426,-0.00011211226961212633,0.5606974317698324,7,4,28,validation,clock_raw_pole
418,0.0002592050959929135,0.0003306331612071165,2.5217599674701083e-05,0.5712101727399783,7,4,28,validation,clock_pole_diara
418,0.000271292667023201,0.00033760275640746005,-0.00011718735386149889,0.5529422559621454,7,4,28,validation,full_child
499,0.00026699888348124824,0.000342319833358962,9.628084740910391e-06,0.7003543606569872,7,4,28,holdout,persistence
499,0.00026891388682167834,0.0003541340085203277,0.00013968221363541304,0.6793146587775736,7,4,28,holdout,clock_only
