origin,target,origin_year,horizon,split,truth,current,climatology,persistence,base_levels,base_raw_movement,base_diara,base_radius,base_turn,base_quadrant,base_broken_diara
200905,200908,2009.3333333333333,3,evaluation,0.62,0.17,0.0005089820359281489,0.17,0.686884690917429,0.7221026055970653,0.48523996988885104,0.5579778344569807,0.649531933679709,0.570007597240105,0.7812917909674061
200906,200909,2009.4166666666667,3,evaluation,0.68,0.49,0.001970149253731354,0.49,0.8558283827408038,0.8768415640224778,0.8011951275868581,0.8174371007352331,0.8708006623522563,0.9202162952983903,0.9231172890779936
200907,200910,2009.5,3,evaluation,0.96,0.69,0.004017857142857158,0.69,0.8402801468474441,0.8444022673289074,0.8545051974328675,0.8589100945630226,0.861305531960202,0.9013754113765503,0.8396976235053066
200908,200911,2009.5833333333333,3,evaluation,1.49,0.62,0.0058456973293768725,0.62,0.4797323476288346,0.48179217700203725,0.6093839817009927,0.6056049092462914,0.5056379887142098,0.5587876759611315,0.43881542294296016
200909,200912,2009.6666666666667,3,evaluation,1.81,0.68,0.007840236686390549,0.68,0.3865689252309105,0.3889727789333515,0.42112440517606886,0.42361127219584793,0.3969703581496503,0.3895086721628749,0.37489232685967805
200910,201001,2009.75,3,evaluation,1.43,0.96,0.010648967551622437,0.96,0.6983991251904429,0.7188223229035913,0.679058514164374,0.6727284612143005,0.7080377630998355,0.6339566007443739,0.7872370619504089
200911,201002,2009.8333333333333,3,evaluation,1.18,1.49,0.015000000000000015,1.49,1.2866959534009668,1.298151272235083,1.2808313045440902,1.2674272361255268,1.296004430270591,1.2170101107426055,1.3739257455606717
200912,201003,2009.9166666666667,3,evaluation,1.07,1.81,0.020263929618768346,1.81,1.4730721003502414,1.4850884992448814,1.5467622135432268,1.5348682850029363,1.4842950196615228,1.4079038002590136,1.5281644862905996
201001,201004,2010.0,3,evaluation,0.56,1.43,0.024385964912280716,1.43,1.0442364868763387,1.0334800180851857,1.0926525666848537,1.0999506999332305,1.0450003184206738,1.0713270325263469,1.0255083704469132
201002,201005,2010.0833333333333,3,evaluation,-0.15,1.18,0.02775510204081634,1.18,0.814822395044668,0.8232440252493428,0.7989460911136195,0.7980196092465971,0.8216285475641479,0.8544962395245387,0.771884279970473
201003,201006,2010.1666666666667,3,evaluation,-0.62,1.07,0.03078488372093026,1.07,0.6501901819893078,0.6414815757076396,0.5364636355431758,0.54095546846866,0.6426375043728167,0.5192396664856898,0.5963204535519824
201004,201007,2010.25,3,evaluation,-0.89,0.56,0.03231884057971017,0.56,-0.09281121027070698,-0.1120938455644462,-0.3073752035515476,-0.2366413625983394,-0.14499106634009384,-0.19973566602443277,-0.1653549972043437
201005,201008,2010.3333333333333,3,evaluation,-1.33,-0.15,0.03179190751445089,-0.15,-0.6302340201790964,-0.6572892199234448,-0.8338553999422504,-0.7522252204197424,-0.6874559083912578,-0.6944270578127734,-0.6603339045892027
201006,201009,2010.4166666666667,3,evaluation,-1.56,-0.62,0.029913544668587925,-0.62,-0.9649038306714544,-0.9832073783860865,-0.9704662677268475,-1.0264669852931227,-0.9101325840327803,-1.0828513748589936,-1.1020699662747837
201007,201010,2010.5,3,evaluation,-1.65,-0.89,0.02727011494252876,-0.89,-0.9462626045807384,-0.9444148500048442,-0.8207474631208335,-0.9212666148190836,-0.8596915515458319,-0.8384373199341673,-1.0916755964221554
201008,201011,2010.5833333333333,3,evaluation,-1.57,-1.33,0.023381088825214925,-1.33,-1.243619268814131,-1.2509607940083731,-1.0311831159077405,-1.107636811944291,-1.1694278514670453,-1.170110613786006,-1.3572746477325133
201009,201012,2010.6666666666667,3,evaluation,-1.63,-1.56,0.01885714285714288,-1.56,-1.4039503365590305,-1.4155309260297724,-1.2222262373716188,-1.2668502203766165,-1.3654813060306632,-1.3389957715633083,-1.4386530545143033
201010,201101,2010.75,3,evaluation,-1.7,-1.65,0.01410256410256413,-1.65,-1.3235866723348557,-1.3249266549542547,-1.2213182978599855,-1.2387766619403893,-1.3110127880751774,-1.27589925849005,-1.3188063930218263
201011,201102,2010.8333333333333,3,evaluation,-1.26,-1.57,0.00960227272727273,-1.57,-1.0799761437907243,-1.08319030082648,-0.9878643916944524,-0.9884657997135193,-1.0802738054052496,-1.0026560634621946,-1.0442178113667884
201012,201103,2010.9166666666667,3,evaluation,-0.98,-1.63,0.004957507082152974,-1.63,-1.0159459831812168,-1.0178069830780114,-1.0047826898734884,-0.9979824949708095,-1.0257044513197249,-0.9323730214696487,-0.955200742840968
201101,201104,2011.0,3,evaluation,-0.74,-1.7,0.00014124293785310936,-1.7,-0.9257754575283578,-0.9081956743067117,-0.9551763502660157,-0.9450952505353181,-0.9330845119881019,-0.8673092612192512,-0.8905096338268821
201102,201105,2011.0833333333333,3,evaluation,-0.53,-1.26,-0.0034084507042253446,-1.26,-0.2177655145412105,-0.21029074238403966,-0.28562252525644183,-0.2562468238822448,-0.23371318816548375,-0.3118750420104333,-0.2558947318347637
201103,201106,2011.1666666666667,3,evaluation,-0.25,-0.98,-0.006151685393258431,-0.98,-0.004352995744814063,-0.02452803206471281,-0.00819199629833035,-0.004150837050806407,0.011123114303968836,-0.08507589089405941,-0.07878004467163675
201104,201107,2011.25,3,evaluation,-0.23,-0.74,-0.008207282913165265,-0.74,0.024342005488024034,0.013600010624636224,0.033650943170103614,0.02269802337532101,0.049306889354520364,-0.04696231397187868,-0.07789327723105136
201105,201108,2011.3333333333333,3,evaluation,-0.66,-0.53,-0.009664804469273735,-0.53,-0.01252943500105157,-0.02496204731221835,0.010139277409138949,0.0011300195618911563,0.0058636882546108,-0.04894676816114516,-0.15641520820932708
201106,201109,2011.4166666666667,3,evaluation,-0.76,-0.25,-0.010334261838440105,-0.25,-0.0794858027373191,-0.09261816486009009,-0.04929917378943465,-0.03892678198783463,-0.08436835711420754,-0.10956642090420529,-0.24998245575496736
201107,201110,2011.5,3,evaluation,-0.93,-0.23,-0.010944444444444439,-0.23,-0.1459355537364581,-0.15322705033128645,-0.15404015015761785,-0.15215210865742282,-0.14342336564485594,-0.19182581310210495,-0.3473810055709904
201108,201111,2011.5833333333333,3,evaluation,-1.09,-0.66,-0.012742382271468138,-0.66,-0.6713769708988411,-0.6949866323649524,-0.6997464685324027,-0.7549938532946514,-0.6368648997382307,-0.6420956585550996,-0.7233047787519624
201109,201112,2011.6666666666667,3,evaluation,-1.05,-0.76,-0.014806629834254133,-0.76,-1.022486613368464,-1.0485964956252287,-1.1057684743337304,-1.125243943045871,-1.038242448957159,-1.0050336689613257,-0.9869568010855128
201110,201201,2011.75,3,evaluation,-0.93,-0.93,-0.01732782369146005,-0.93,-1.1521119764529528,-1.145088314451748,-1.1483765210532875,-1.1483674844044585,-1.1841182242660844,-0.9795160008660428,-1.0378552511547148
201111,201202,2011.8333333333333,3,evaluation,-0.61,-1.09,-0.02027472527472527,-1.09,-1.0400477794542866,-1.0396519778505775,-0.9344946154179263,-0.9418514602501452,-1.0434074444246815,-0.9591189419332363,-0.9088056465185431
201112,201203,2011.9166666666667,3,evaluation,-0.48,-1.05,-0.023095890410958903,-1.05,-0.9247608674103421,-0.9366892440499953,-0.8039118327245496,-0.8285119351073877,-0.9029290327813422,-0.8248594334723748,-0.8465241193814035
201201,201204,2012.0,3,evaluation,-0.29,-0.93,-0.025573770491803278,-0.93,-0.6521520193477655,-0.625830451382314,-0.599434529523594,-0.6073428750320362,-0.6535011719542789,-0.5891169176105429,-0.5886268511671857
201202,201205,2012.0833333333333,3,evaluation,-0.18,-0.61,-0.02716621253405994,-0.61,-0.05372781025433629,-0.0330679389789843,-0.13036376360380567,-0.10225971816533024,-0.0759222624194811,-0.22547222033220676,0.045226286748256045
201203,201206,2012.1666666666667,3,evaluation,0.14,-0.48,-0.028396739130434785,-0.48,0.1424368120013358,0.13455834729710353,0.06084685212049253,0.06802775412633039,0.15110511142440552,-0.009953016277307221,0.31353100593835953
201204,201207,2012.25,3,evaluation,0.44,-0.29,-0.02910569105691057,-0.29,0.2824816879490155,0.28322225090257885,0.17364190475876037,0.1983233479540521,0.27110538187098876,0.13389899896210897,0.4361117649708918
201205,201208,2012.3333333333333,3,evaluation,0.66,-0.18,-0.029513513513513515,-0.18,0.20526806625944571,0.18991344731824822,0.1560108652942448,0.16222512475620826,0.2083201055893803,0.08955871729722245,0.293803057207028
201206,201209,2012.4166666666667,3,evaluation,0.44,0.14,-0.029056603773584905,0.14,0.2770688230987429,0.285379519968359,0.29763002329952004,0.3205997304587833,0.2606426381809722,0.39582165942773995,0.2661717863358386
201207,201210,2012.5,3,evaluation,0.23,0.44,-0.027795698924731178,0.44,0.4438685500790301,0.44349392143791205,0.49376240503213925,0.5190689937774946,0.43415817436790793,0.5574825793551099,0.4396371901897867
201208,201211,2012.5833333333333,3,evaluation,0.33,0.66,-0.02595174262734584,0.66,0.5963695842802167,0.6064944028004366,0.6416491562630947,0.6617871988013063,0.5941335295278245,0.6635899279132046,0.6324776566220278
201209,201212,2012.6666666666667,3,evaluation,-0.13,0.44,-0.024705882352941168,0.44,0.22269130916397573,0.20825659428628873,0.2025927563230027,0.2301784260968087,0.2194915364296889,0.0037267113602944754,0.29923109038120055
201210,201301,2012.75,3,evaluation,-0.42,0.23,-0.024026666666666658,0.23,-0.04748038637190016,-0.04091115773503595,-0.14390507447020165,-0.15271550451145055,-0.028280412171637303,-0.2882383689254505,0.07659005511676187
201211,201302,2012.8333333333333,3,evaluation,-0.4,0.33,-0.023085106382978726,0.33,0.028171274308649956,0.023958774316158164,-0.20303196016519454,-0.17615385101217684,0.003424767180633354,-0.23339389568190594,0.15796731808227935
201212,201303,2012.9166666666667,3,evaluation,-0.14,-0.13,-0.02336870026525199,-0.13,-0.5374907126525961,-0.5388949676886543,-0.5463800491795726,-0.7866839728571943,-0.3362852537425052,-0.5943225476718671,-0.6216289871208529
201301,201304,2013.0,3,evaluation,-0.08,-0.42,-0.024417989417989425,-0.42,-0.5875924042377679,-0.5777378895355533,-0.8866240071228589,-0.8827468938035269,-0.6890074658271431,-0.7046574301387448,-0.27637374718080804
201302,201305,2013.0833333333333,3,evaluation,-0.28,-0.4,-0.0254089709762533,-0.4,-0.33660417761494293,-0.34747945793824403,-0.4517525098730379,-0.4990601082484713,-0.29536841875124437,-0.2254879968319203,-0.6777559588821678
201303,201306,2013.1666666666667,3,evaluation,-0.33,-0.14,-0.02571052631578948,-0.14,-0.09654346859000193,-0.10299433629836063,-0.14478705114531176,-0.1618571527264545,-0.07113734485564359,-0.1171971133106391,-0.32799737709470683
201304,201307,2013.25,3,evaluation,-0.28,-0.08,-0.02585301837270341,-0.08,0.0055869082979780015,0.014678740799683027,0.1671681365078699,0.14932751393690497,0.02027126436826399,-0.12173871619505709,0.2650000228218119
201305,201308,2013.3333333333333,3,evaluation,-0.29,-0.28,-0.026518324607329846,-0.28,-0.09159941763504813,-0.08332372037819107,-0.13520207922036054,-0.20790956946450628,-0.051909559414241184,-0.1418123797507574,0.04695209563686063
201306,201309,2013.4166666666667,3,evaluation,-0.09,-0.33,-0.027310704960835507,-0.33,-0.009273389730473622,-0.010442368655884781,-0.07147349956663074,-0.07176641628650296,-0.02608426092492253,0.13017838155340775,0.02873080573687302
201307,201310,2013.5,3,evaluation,-0.24,-0.28,-0.027968749999999987,-0.28,-0.08096221815051352,-0.08945693411811446,0.11226760835204133,0.08276094967875891,-0.06487510338773878,-0.006975560977072637,-0.09706963995869328
201308,201311,2013.5833333333333,3,evaluation,-0.02,-0.29,-0.028649350649350633,-0.29,-0.16707145525222644,-0.16967613130791043,0.13172592083148327,0.09502813201148576,-0.15612139892855115,-0.11709324897311212,-0.2142132690545102
201309,201312,2013.6666666666667,3,evaluation,-0.09,-0.09,-0.028808290155440397,-0.09,0.07161587355591513,0.08837500995101308,0.12302603960565497,0.16896498484066572,0.03946680769744153,0.07501500932217342,0.005304849280950458
201310,201401,2013.75,3,evaluation,-0.42,-0.24,-0.029354005167958636,-0.24,-0.03134310180847957,-0.029051799511477773,-0.03589138282679133,-0.033617897725574164,-0.01761971902533877,0.022914830038763503,-0.07313869882519396
201311,201402,2013.8333333333333,3,evaluation,-0.45,-0.02,-0.029329896907216473,-0.02,0.23311365279596277,0.23006448872339982,0.20028427909056362,0.23455093032784965,0.20417628503738486,0.22758922814150992,0.14251674645354376
201312,201403,2013.9166666666667,3,evaluation,-0.07,-0.09,-0.02948586118251926,-0.09,0.17892905162004727,0.17977485511816238,0.16364674879769195,0.16430460610025266,0.1884080256971421,0.17485273659461473,0.05652114529543461
201401,201404,2014.0,3,evaluation,0.28,-0.42,-0.03048717948717947,-0.42,-0.40348261713335676,-0.4128872036325756,-0.3726920618673874,-0.46022311869356136,-0.3469716199958029,-0.3978444444939756,-0.6417141984694383
201402,201405,2014.0833333333333,3,evaluation,0.45,-0.45,-0.031560102301790266,-0.45,-0.18458336794702876,-0.18950820870146423,-0.15259168360498504,-0.2029225127698569,-0.17586862666354436,0.0365617537685787,-0.20906398752109825
201403,201406,2014.1666666666667,3,evaluation,0.48,-0.07,-0.03165816326530611,-0.07,0.5055414748725449,0.5126860633578023,0.5143915257206585,0.5130187604731092,0.4996400102268932,0.6895508417576892,0.3727432806549845
201404,201407,2014.25,3,evaluation,0.13,0.28,-0.030865139949109402,0.28,0.5851641691382355,0.5646273120498014,0.6512985478632163,0.6500530667436341,0.5860360886805295,0.6739721551963274,0.33572595369998953
201405,201408,2014.3333333333333,3,evaluation,0.14,0.45,-0.02964467005076141,0.45,0.4836999282596197,0.48641085502426884,0.6224825104718379,0.6184676526793891,0.47888412053909446,0.6119464354578685,0.7640759730847966
201406,201409,2014.4166666666667,3,evaluation,0.37,0.48,-0.028354430379746824,0.48,0.34091260115246075,0.34856179994813874,0.3699670105638646,0.40907096850399693,0.3137887859843834,0.2516125817606829,0.5155590260634513
201407,201410,2014.5,3,evaluation,0.48,0.13,-0.027954545454545447,0.13,0.21011692895090536,0.23169616219495115,0.18693887744089988,0.16049203893380493,0.24626383388043654,0.17396853106651472,0.2843591060086662
201408,201411,2014.5833333333333,3,evaluation,0.89,0.14,-0.02753148614609571,0.14,0.5956530803285979,0.61808812709249,0.5338056325164875,0.4967793352157128,0.6144011175842045,0.6259002934665993,0.5226784946036347
201409,201412,2014.6666666666667,3,evaluation,0.77,0.37,-0.026532663316582904,0.37,0.5426749747665537,0.5252770695880755,0.40682583332627975,0.4459097884390766,0.5098004947639783,0.6624695662569778,0.5256137131606543
201410,201501,2014.75,3,evaluation,0.59,0.48,-0.025263157894736828,0.48,0.39746241444326835,0.39626443527922606,0.3682182363414295,0.39947172584549173,0.3846494172968216,0.46652616570277283,0.3830114568881796
201411,201502,2014.8333333333333,3,evaluation,0.57,0.89,-0.022974999999999978,0.89,0.9765643037959495,0.9856022726905982,1.1137073631136964,1.115411880032317,0.9743623155018741,0.9537337205545076,1.029728295076994
201412,201503,2014.9166666666667,3,evaluation,0.48,0.77,-0.020997506234413935,0.77,0.8191260784193027,0.8098526221770906,0.8028455736212973,0.8243558047660188,0.8052700710947545,0.8061583947121628,0.8647764872743534
201501,201504,2015.0,3,evaluation,0.9,0.59,-0.019477611940298487,0.59,0.45413588211064687,0.4448913822529372,0.3928575450851458,0.41743930367043897,0.44057559667027846,0.2886579172772322,0.4242448500383028
201502,201505,2015.0833333333333,3,evaluation,1.04,0.57,-0.01801488833746896,0.57,0.5932955677986652,0.5980116270800918,0.602954737427315,0.5418369603812547,0.646761289722426,0.4793990468554709,0.5523160261343555
201503,201506,2015.1666666666667,3,evaluation,1.28,0.48,-0.01678217821782175,0.48,0.5147265424038253,0.5054638124840375,0.4516690771468744,0.3903538426576492,0.5526364162044072,0.6297825473726393,0.5238849052816296
201504,201507,2015.25,3,evaluation,1.56,0.9,-0.014518518518518507,0.9,0.8180174413679667,0.8226591732577796,0.8138174282382102,0.7910415215632297,0.8199775526447565,1.0719642456663994,0.8381794350551308
201505,201508,2015.3333333333333,3,evaluation,1.87,1.04,-0.011921182266009826,1.04,0.9661913404620049,0.9821023903984487,1.0875206242362025,1.041318470291631,0.9918799934179933,1.1297365641086161,0.9423014852581327
201506,201509,2015.4166666666667,3,evaluation,2.01,1.28,-0.008746928746928718,1.28,1.0451184943501368,1.0538275859578865,1.184294920186627,1.1559843617078704,1.052903426696833,1.0875688286350518,1.0412013314489492
201507,201510,2015.5,3,evaluation,2.21,1.56,-0.004901960784313708,1.56,1.395167144761276,1.4256983771540528,1.5382825356383418,1.5255564236645986,1.3937553007195083,1.406017401976014,1.4143477014115515
201508,201511,2015.5833333333333,3,evaluation,2.57,1.87,-0.00031784841075793507,1.87,1.7188793719462798,1.7441264711047368,1.7863454903929852,1.7787251742829078,1.7206885061718828,1.7016694884638979,1.7113368026358318
201509,201512,2015.6666666666667,3,evaluation,2.56,2.01,0.00458536585365856,2.01,1.790291330361346,1.8147307424475487,1.8119570024089755,1.8337429822072244,1.772442250285905,1.7287809814803698,1.7804535755014894
201510,201601,2015.75,3,evaluation,2.56,2.21,0.0099513381995134,2.21,1.8741504234505264,1.886942384926863,1.8697254451870355,1.878402447468562,1.8703582798211285,1.813083150974636,1.8317586521926117
201511,201602,2015.8333333333333,3,evaluation,2.11,2.57,0.016165048543689338,2.57,1.8904889911590403,1.876429512102772,1.8726567700933792,1.87134770873243,1.8920669932765786,1.853004195869898,1.8651297971537881
201512,201603,2015.9166666666667,3,evaluation,1.6,2.56,0.022324455205811153,2.56,1.5952697228821062,1.59680404485007,1.5685286355333323,1.5791106657691794,1.5869108032176236,1.5837504609241215,1.5750714524021208
201601,201604,2016.0,3,evaluation,1.05,2.56,0.028454106280193257,2.56,1.350452689721938,1.3424439174690481,1.3757579088116438,1.355133349567814,1.3647854085142326,1.3938468817780676,1.3289987371743996
201602,201605,2016.0833333333333,3,evaluation,0.45,2.11,0.03346987951807231,2.11,0.8517555322586424,0.8354728018144872,0.8840129737907381,0.8765497723277671,0.8529934653912642,0.8877471871357363,0.8447924584190568
201603,201606,2016.1666666666667,3,evaluation,0.06,1.6,0.03723557692307692,1.6,0.2286904564497059,0.21938838223972817,0.2430276033564107,0.26168046280252893,0.21098920127402343,0.09434342238270513,0.22991179623629207
201604,201607,2016.25,3,evaluation,-0.25,1.05,0.03966426858513189,1.05,-0.28725853328792933,-0.29406978263964806,-0.25028311400219105,-0.24599969815998968,-0.2951684308684812,-0.3393725909567003,-0.3175727794947719
201605,201608,2016.3333333333333,3,evaluation,-0.48,0.45,0.04064593301435406,0.45,-0.5868019086157445,-0.5844471310721365,-0.5798574445141601,-0.5743231197888482,-0.587385676224021,-0.7112355286182271,-0.6322610581524193
201606,201609,2016.4166666666667,3,evaluation,-0.46,0.06,0.040692124105011926,0.06,-0.5359911969097944,-0.5232420229390223,-0.5619009723956073,-0.5431615261870882,-0.5393844643978245,-0.6909191329338134,-0.5859620291324471
201607,201610,2016.5,3,evaluation,-0.75,-0.25,0.039999999999999994,-0.25,-0.5815669307392274,-0.5785753284902213,-0.6776733772801417,-0.6605920814112629,-0.5802049931237541,-0.7355287782227591,-0.6480319268509437
201608,201611,2016.5833333333333,3,evaluation,-0.63,-0.48,0.038764845605700704,-0.48,-0.6712838321503544,-0.6722594066907916,-0.8485147029879191,-0.8206205131592904,-0.6744823738862129,-0.8443647414283433,-0.749129240187386
201609,201612,2016.6666666666667,3,evaluation,-0.51,-0.46,0.037582938388625586,-0.46,-0.4756763240983739,-0.463126494755128,-0.655272121849361,-0.6433313237485957,-0.4660723627745561,-0.6476190190946874,-0.5672287336715066
201610,201701,2016.75,3,evaluation,-0.34,-0.75,0.035721040189125294,-0.75,-0.7563154639816607,-0.7684159048395803,-0.9041794398404039,-0.8925144068911125,-0.7599130495748376,-0.8692591663267826,-0.795602021054937
201611,201702,2016.8333333333333,3,evaluation,-0.01,-0.63,0.03415094339622641,-0.63,-0.4541236807892131,-0.43330646968938474,-0.5886221476637189,-0.5671470146279439,-0.45632740792982096,-0.594966963714345,-0.5111690292193343
201612,201703,2016.9166666666667,3,evaluation,-0.09,-0.51,0.03287058823529412,-0.51,-0.2835306083374052,-0.2798795787775106,-0.412012042581413,-0.38570573929390023,-0.28811335420760603,-0.4111177096843284,-0.3598548288623353
201701,201704,2017.0,3,holdout,0.22,-0.34,0.03199530516431925,-0.34,-0.28998071927505126,-0.2871037466156482,-0.40195838715109306,-0.4033381658275075,-0.27239972564407194,-0.4004372592092389,-0.3753452567811636
201702,201705,2017.0833333333333,3,holdout,0.3,-0.01,0.031896955503512875,-0.01,-0.11748144178748571,-0.12158968140194654,-0.1159700472397227,-0.24740935255699661,-0.00020519490191774764,-0.01156036256343114,-0.21244252236587777
201703,201706,2017.1666666666667,3,holdout,0.22,-0.09,0.03161214953271028,-0.09,-0.19943807127993185,-0.1877523023271719,-0.31247203443638494,-0.30413204578093556,-0.20966283763132573,-0.10396534458913362,-0.275015206557434
201704,201707,2017.25,3,holdout,0.22,0.22,0.03205128205128205,0.22,-0.005008366989377316,0.004653461070130593,0.09208020607396186,-0.07340202395972203,0.1341039291404906,0.07149914480327996,-0.014203955835876705
201705,201708,2017.3333333333333,3,holdout,-0.18,0.3,0.03267441860465116,0.3,0.22206548819954902,0.23669532202604243,0.4097636641121367,0.21041202317663538,0.3554308850884711,0.38862498885249663,0.2309905379343734
201706,201709,2017.4166666666667,3,holdout,-0.56,0.22,0.03310904872389791,0.22,-0.2091595411302234,-0.23833918701896073,-0.2907405706486364,-0.19700923099313739,-0.3047993822630153,-0.13141205858691024,-0.2081532118482668
201707,201710,2017.5,3,holdout,-0.52,0.22,0.033541666666666664,0.22,-0.10625195233661186,-0.09691731791853356,-0.15586759030349892,-0.04241990531101529,-0.1905814975887932,0.04335449905238322,-0.14749039062658312
201708,201711,2017.5833333333333,3,holdout,-0.84,-0.18,0.03304849884526559,-0.18,-0.6981528765155137,-0.7235258604845487,-0.8115124326713775,-0.6440422976927678,-0.8501353471888212,-0.6643663500235879,-0.7266664246052148
201709,201712,2017.6666666666667,3,holdout,-0.85,-0.56,0.03168202764976959,-0.56,-1.248651473355521,-1.2772382003834188,-1.1649549956155327,-1.1600118564786461,-1.2594644432511746,-1.221994968491626,-1.2324534501386755
201710,201801,2017.75,3,holdout,-0.86,-0.52,0.030413793103448276,-0.52,-0.8250266180616208,-0.8022968897026744,-0.6271248621952594,-0.6808925257059917,-0.7920981072647042,-0.859527503044717,-0.7734742412170632
201711,201802,2017.8333333333333,3,holdout,-0.73,-0.84,0.02841743119266055,-0.84,-1.0448712829737303,-1.0556053842079802,-0.8279854318102623,-0.877925529375758,-1.0178549641063432,-1.027837847565954,-0.9719307203655778
201712,201803,2017.9166666666667,3,holdout,-0.73,-0.85,0.026407322654462245,-0.85,-0.8659694392041232,-0.8605464464750807,-0.7648395641495923,-0.773625397177435,-0.8624116955809614,-0.886084776574796,-0.8096567185467864
201801,201804,2018.0,3,holdout,-0.36,-0.86,0.024383561643835615,-0.86,-0.5061835513861538,-0.4903617004616062,-0.566246774370232,-0.533176716779045,-0.5240224251364888,-0.6406107398587014,-0.4685167323454475
201802,201805,2018.0833333333333,3,holdout,-0.12,-0.73,0.022665148063781324,-0.73,-0.14731708274044963,-0.11773877812309537,-0.2197136154962397,-0.15444899948273189,-0.18975078447652272,-0.13455401340980344,-0.10405921618549176
201803,201806,2018.1666666666667,3,holdout,0.12,-0.73,0.02095454545454545,-0.73,-0.18578039322204493,-0.20646726342880123,-0.21500382158665937,-0.229023136558408,-0.1630631519098517,-0.23956950095618562,-0.19874059568798239
201804,201807,2018.25,3,holdout,0.27,-0.36,0.020090702947845804,-0.36,0.05673353345513075,0.06438978867261987,0.023372934629944435,0.014971299582754224,0.0694569511557096,-0.02425371081384639,-0.04497982259258111
201805,201808,2018.3333333333333,3,holdout,0.05,-0.12,0.019773755656108595,-0.12,0.4889297394416376,0.5062112848207326,0.48070923585883635,0.4887114168150994,0.48510382710405164,0.5789116091831248,0.311506428269268
201806,201809,2018.4166666666667,3,holdout,0.3,0.12,0.02,0.12,0.6048020611673761,0.6145150040252557,0.6231354323963629,0.6355287532827879,0.5920374971846759,0.6789072006440728,0.5914098213774348
