draw,scenario,known_directness_D,known_turn_consistency_G,known_historical_circularity_C,known_signed_net_turn_deg,known_absolute_turn_deg,known_path_length_arcsec2,known_endpoint_displacement_arcsec2,outcome_directness_D,outcome_turn_consistency_G,outcome_historical_circularity_C,outcome_signed_net_turn_deg,outcome_absolute_turn_deg,outcome_path_length_arcsec2,outcome_endpoint_displacement_arcsec2
1219,selected_AC_-5.3d,0.45441501246210114,0.03382416005509242,0.018453953942137495,-11.418311395644556,337.5785644653566,2.0763515021182055,0.9435252937107468,0.661832238819443,0.06515374918582525,0.022032897494690066,-18.30547736390058,280.9581580898968,1.8873808163864454,1.2491294712139092
1219,alternate_AC_+7.9d,0.45441501246210114,0.03382416005509242,0.018453953942137495,-11.418311395644556,337.5785644653566,2.0763515021182055,0.9435252937107468,0.7454142738879259,0.23268499193423936,0.05923827762696043,-47.55130806015756,204.35915382800601,1.6757520146464455,1.2491294712139092
1220,selected_AC_-5.3d,0.44858006752673285,0.035488864241965214,0.019569267123857405,-11.952224527589683,336.78802584660633,2.0933953699168195,0.9390554363974368,0.6347973365013687,0.060551070292550885,0.022113412148532432,-17.229108694206648,284.5384666359268,1.8209586240090576,1.155939684400147
1220,alternate_AC_+7.9d,0.44858006752673285,0.035488864241965214,0.019569267123857405,-11.952224527589683,336.78802584660633,2.0933953699168195,0.9390554363974368,0.7231946409703007,0.22048075882223409,0.06103025560492904,-46.198407602621515,209.5348721104034,1.5983797706924903,1.155939684400147
1221,selected_AC_-5.3d,0.4495056482888753,0.033179780109113065,0.018265281541083866,-11.202899706174131,337.64237343746515,2.057474412348874,0.9248463695606535,0.6031289110765888,0.06017934150723837,0.023883440794671525,-17.920831507642642,297.790422075109,1.8233284800457628,1.0997021207049327
1221,alternate_AC_+7.9d,0.4495056482888753,0.033179780109113065,0.018265281541083866,-11.202899706174131,337.64237343746515,2.057474412348874,0.9248463695606535,0.698851948311321,0.21954226042894373,0.06611472399150496,-49.411988979944,225.06823462326747,1.5735838232435504,1.0997021207049327
1222,selected_AC_-5.3d,0.4454452101666755,0.033798631486120195,0.01874319298043937,-11.402878806022335,337.3769381965971,2.0776507034507894,0.925479554251578,0.6833946960700207,0.08033641025522001,0.02543493358549744,-22.175146822484912,276.02859963541925,1.9950336397950355,1.3633954079171953
1222,alternate_AC_+7.9d,0.4454452101666755,0.033798631486120195,0.01874319298043937,-11.402878806022335,337.3769381965971,2.0776507034507894,0.925479554251578,0.7562317061558111,0.26174075982946426,0.06380409845311011,-53.11189686184699,202.91794406210082,1.8028805150842042,1.3633954079171953
1223,selected_AC_-5.3d,0.4493225865822477,0.03424212512871957,0.018856364895810312,-11.554158491858631,337.42527510852193,2.0801165402719484,0.9346433442675081,0.49589373473775533,0.06792285456844296,0.034240336542448374,-21.757666565108057,320.3290954620258,1.654732167411769,0.8205713144885227
1223,alternate_AC_+7.9d,0.4493225865822477,0.03424212512871957,0.018856364895810312,-11.554158491858631,337.42527510852193,2.0801165402719484,0.9346433442675081,0.5817898061365272,0.236733553144647,0.09900438515461156,-61.93741524961957,261.63344581650864,1.410425734231516,0.8205713144885227
1224,selected_AC_-5.3d,0.44701740612108715,0.034098032767204245,0.018855618605776767,-11.496013428205973,337.1459434827844,2.0756646926718036,0.9278582468952732,0.5433794401052457,0.06634334724065769,0.030293736362321213,-20.04370584671642,302.1208106068077,1.567121527459344,0.8515416181677358
1224,alternate_AC_+7.9d,0.44701740612108715,0.034098032767204245,0.018855618605776767,-11.496013428205973,337.1459434827844,2.0756646926718036,0.9278582468952732,0.613312762906666,0.25061678239193647,0.09691031115235922,-59.51495399573431,237.47393701136747,1.3884296392790434,0.8515416181677358
1225,selected_AC_-5.3d,0.453463085115503,0.03490382084476806,0.019076226562180734,-11.762450940159344,336.99608396662063,2.080604390271809,0.9434772857175147,0.6577302224963425,0.08077055186650643,0.027645318816196786,-21.81051865028947,270.0305760735276,1.6975776439293213,1.1165481214464494
1225,alternate_AC_+7.9d,0.453463085115503,0.03490382084476806,0.019076226562180734,-11.762450940159344,336.99608396662063,2.080604390271809,0.9434772857175147,0.7077818498993494,0.28411980285581523,0.08302496319748785,-58.059583944442856,204.3489519592088,1.577531440803729,1.1165481214464494
1226,selected_AC_-5.3d,0.4398845090858754,0.0330622989377542,0.018518705800269732,-11.160595973625043,337.5626115605844,2.0849876183712412,0.917153754957362,0.567154639169839,0.05588996461104078,0.024191711898850877,-16.799732063963635,300.5858418569285,1.709939011840174,0.969799843262645
1226,alternate_AC_+7.9d,0.4398845090858754,0.0330622989377542,0.018518705800269732,-11.160595973625043,337.5626115605844,2.0849876183712412,0.917153754957362,0.6609625213926013,0.21481756887403422,0.07283120691162379,-49.67621626856666,231.24838684724176,1.4672539090708887,0.969799843262645
1227,selected_AC_-5.3d,0.4372545066785608,0.03334215349822162,0.018763146618755878,-11.248941704871855,337.3789789994171,2.0900393310613476,0.9138791166420188,0.6638122319430696,0.06599214893947042,0.022185753261241087,-18.33554127357529,277.844282512956,1.9294745722507456,1.2808088222831668
1227,alternate_AC_+7.9d,0.4372545066785608,0.03334215349822162,0.018763146618755878,-11.248941704871855,337.3789789994171,2.0900393310613476,0.9138791166420188,0.747345680715068,0.23013361499180748,0.05814425184033574,-46.94051289383699,203.97069283210982,1.7138104298103065,1.2808088222831668
1228,selected_AC_-5.3d,0.44731095331310966,0.034119990383449095,0.018857744957994346,-11.500791595726614,337.06901632965906,2.0948813030002666,0.9370633527228586,0.6235852463246766,0.04340638081761211,0.016338802143398747,-12.74191420494798,293.54933456645057,1.9415772889157787,1.2107389519669436
1228,alternate_AC_+7.9d,0.44731095331310966,0.034119990383449095,0.018857744957994346,-11.500791595726614,337.06901632965906,2.0948813030002666,0.9370633527228586,0.7375056976525397,0.1645533903085133,0.04319432738794253,-35.17699028181775,213.77250396279342,1.6416672519557372,1.2107389519669436
1229,selected_AC_-5.3d,0.45374212341854386,0.03523022019889165,0.019244785277343676,-11.870183516541353,336.93185706840376,2.0769739347476395,0.9424105634373621,0.6902662659165978,0.08045415697396782,0.024919366462079248,-20.602502504791648,256.07753880831666,1.7155634326792102,1.184195564618539
1229,alternate_AC_+7.9d,0.45374212341854386,0.03523022019889165,0.019244785277343676,-11.870183516541353,336.93185706840376,2.0769739347476395,0.9424105634373621,0.732425488609672,0.2863723448919818,0.07662594026017451,-55.3008394826669,193.10817007670937,1.6168137005532675,1.184195564618539
1230,selected_AC_-5.3d,0.438596871375705,0.03277526205343178,0.018400134658277736,-11.075749550861138,337.93016003365364,2.1017327748179753,0.9218134195029432,0.6109300862899016,0.052163454957371284,0.02029523091908505,-15.120645062128581,289.8704672550042,1.7805581685127785,1.087796555533701
1230,alternate_AC_+7.9d,0.438596871375705,0.03277526205343178,0.018400134658277736,-11.075749550861138,337.93016003365364,2.1017327748179753,0.9218134195029432,0.705850443787526,0.2049069435634245,0.06027328651403577,-44.26414323501877,216.0207090362351,1.541114785869778,1.087796555533701
1231,selected_AC_-5.3d,0.45254439437294086,0.03382916730591748,0.018519967275320164,-11.407204176397801,337.2002648851019,2.0827042026894196,0.942516112064062,0.720758881410898,0.044851347819527466,0.012524340535353734,-11.343222012717307,252.90704882181205,1.8870711719266822,1.3601233070206278
1231,alternate_AC_+7.9d,0.45254439437294086,0.03382916730591748,0.018519967275320164,-11.407204176397801,337.2002648851019,2.0827042026894196,0.942516112064062,0.7967042603985508,0.18763891510880515,0.03814619202505808,-32.72079002118204,174.38168410965508,1.707187189309402,1.3601233070206278
