event,time_s,c1,c2,z_native,agreement
GW170608,-0.940673828125,1.3472176028818836,0.2776136515391328,1.246215637319611,0.5983954059454657
GW170608,-0.936767578125,1.312909137287353,0.3093798915265368,1.368462748117403,0.6274316330788539
GW170608,-0.932861328125,0.36237912568804415,0.41866367702563606,1.436745614472815,0.8505172792483969
GW170608,-0.928955078125,0.42372325068120353,0.5027952348321281,1.4103744355246373,0.7402926100703904
GW170608,-0.925048828125,0.38972869952681044,0.4949857729112468,1.272694277416044,0.731143108923347
GW170608,-0.921142578125,1.0158328158491905,0.42412370511954134,1.0329466929500635,0.4603825324582226
GW170608,-0.917236328125,0.9486026256773988,0.3270160669283868,0.7054978660719418,0.4551318785942694
GW170608,-0.913330078125,0.4149502405232042,0.23270946056609174,0.3037554263372556,0.9228161183173197
GW170608,-0.909423828125,0.24366350789722352,0.1547396158552569,-0.1561599129984831,0.93827020178851
GW170608,-0.905517578125,0.16482324333796247,0.10982663669644405,-0.6391707085876569,0.9871222068855812
GW170608,-0.901611328125,0.6608246485474057,0.0986732635156282,-1.062334513252015,0.6633488537073866
GW170608,-0.897705078125,0.17119641872299862,0.1199450398828848,-1.283165047295975,0.9821310067612994
GW170608,-0.893798828125,0.19437387160802433,0.19385556234544002,-1.17648188036554,0.9399358863127679
GW170608,-0.889892578125,0.7719096667060857,0.263733399397483,-0.7795657905574384,0.5617623623843522
GW170608,-0.885986328125,0.8411932625904689,0.2740025037112798,-0.2664582002857957,0.5205210464712341
GW170608,-0.882080078125,0.5319093767452155,0.29203713587424995,0.2071219068235861,0.9325861681829707
GW170608,-0.878173828125,0.216585100774988,0.36198456446064853,0.5567904856399788,0.899906730202766
GW170608,-0.874267578125,0.5046563574372381,0.40806334112175074,0.7495572212461565,0.7568541547864539
GW170608,-0.870361328125,0.2157238545177083,0.3877445408052729,0.7851934688075768,0.9442169582408488
GW170608,-0.866455078125,0.5537766073111088,0.38986427476262375,0.6920817403943482,0.7744565558878376
GW170608,-0.862548828125,0.22588767432939758,0.4376865892858604,0.5294864606268002,0.8149120272755652
GW170608,-0.858642578125,0.22337810790022428,0.38292189796050435,0.3776758184524477,0.8255878269356988
GW170608,-0.854736328125,1.6310421968090583,0.2552926901960946,0.30294472847899806,0.8796685101401716
GW170608,-0.850830078125,0.4043933685783617,0.22773330909778672,0.3218953870444686,0.863759190354346
GW170608,-0.846923828125,1.0268179610955623,0.2883517700877789,0.41058886170762665,0.4525723011081776
GW170608,-0.843017578125,0.24976764932045387,0.2818749757039551,0.5243880859169119,0.8739979886229157
GW170608,-0.839111328125,0.7222921131142516,0.2630125526462409,0.6219356509344329,0.7189392625661948
GW170608,-0.835205078125,0.9425018939688729,0.24448329346051476,0.6743490328836277,0.44791994670232904
GW170608,-0.831298828125,0.2434246220306626,0.20805755881683036,0.6746928478377259,0.9467781226456993
GW170608,-0.827392578125,0.28372036972721615,0.2044939786862509,0.6383408161074049,0.9449150316969445
GW170608,-0.823486328125,0.38856925295383865,0.26766141448543834,0.5904265576380316,0.865520384893658
GW170608,-0.819580078125,0.24819493475890303,0.40083701941736544,0.5416158611137658,0.8320176181866618
GW170608,-0.815673828125,0.3053248582849575,0.5460914955711228,0.4744962999212262,0.7113119441121256
GW170608,-0.811767578125,1.0531660739134727,0.6090800669073461,0.35296178475609413,0.2933254997095306
GW170608,-0.807861328125,0.1712785491606865,0.6355854022501097,0.15113310804893237,0.6478658043826784
GW170608,-0.803955078125,0.15604168055983025,0.6044469133767276,-0.0968717112286469,0.7049837552135293
GW170608,-0.800048828125,0.22047762474280785,0.564924836952047,-0.2860631542911124,0.8048500280362612
GW170608,-0.796142578125,0.17585792105475145,0.5851326050746405,-0.30797629366989376,0.8512592630046563
GW170608,-0.792236328125,0.210750311382199,0.5785713391722294,-0.13539825362601557,0.8094693830636287
GW170608,-0.788330078125,0.5462736854832746,0.5786400931191286,0.17027293822722406,0.6409625870904418
GW170608,-0.784423828125,1.046636834752237,0.579759574916769,0.5093923160219671,0.3262638509301986
GW170608,-0.780517578125,1.0151031234899102,0.5277536377385313,0.7867141896202967,0.80239539219105
GW170608,-0.776611328125,0.2346170646304693,0.42545820298499215,0.9412014991434454,0.9289385689431023
GW170608,-0.772705078125,0.2333837304713814,0.34174260277163376,0.9581264186312894,0.9719818106403423
GW170608,-0.768798828125,0.2219612248420199,0.2846761429284197,0.8627053777521523,0.9488561961472592
GW170608,-0.764892578125,0.5949875617440217,0.24401381422389606,0.7081332211528171,0.7645519642477325
GW170608,-0.760986328125,0.9401986028644509,0.23099104449992558,0.5525696910211567,0.5509224702652098
GW170608,-0.757080078125,0.2524702351734851,0.23526403071044868,0.4331216988289742,0.9044755824331214
GW170608,-0.753173828125,0.26377075000447425,0.20207257923772456,0.3547511733358825,0.9255696686489591
GW170608,-0.749267578125,0.7119810559738089,0.1517568107701312,0.30815421664185116,0.7373557040421705
GW170608,-0.745361328125,0.20706823844991318,0.1149868380063144,0.29906447751978893,0.9510533266336566
GW170608,-0.741455078125,1.5876405133393234,0.1051234015073372,0.3327167569635636,0.8222909921959003
GW170608,-0.737548828125,0.9127329456161938,0.1278643273738601,0.3902131790049979,0.4922940260663775
GW170608,-0.733642578125,0.2116763384082421,0.1771701967222241,0.44052214982720195,0.9540844960612159
GW170608,-0.729736328125,0.45257213579158817,0.220585648729509,0.4580587159632359,0.7665284108494939
GW170608,-0.725830078125,0.28846152973741424,0.21002228369712106,0.4324537975346101,0.9414892419593327
GW170608,-0.721923828125,0.2260456988971311,0.1693085717834337,0.3689325408392664,0.9509215563240198
GW170608,-0.718017578125,0.5686685486083897,0.147249395627726,0.2848466490439654,0.8545254674621524
GW170608,-0.714111328125,0.2377034341405156,0.15947146373279775,0.20986906993941934,0.9655694368460195
GW170608,-0.710205078125,1.5850337554016432,0.1907478513298154,0.1684874229649853,0.8800301945514029
GW170608,-0.706298828125,0.1948628504860154,0.20854891566148434,0.1503782260657241,0.9442685965406364
GW170608,-0.702392578125,0.19075223359441393,0.23830340778592402,0.10329696091219419,0.9407873878835498
GW170608,-0.698486328125,0.3915681851486027,0.308904986423974,-0.030336771227447212,0.7849754619261752
GW170608,-0.694580078125,0.20698131723184632,0.32135996583939147,-0.26416380800552924,0.8415995967177292
GW170608,-0.690673828125,0.9678796008892863,0.26403928161698287,-0.5420417941524249,0.5358179833795277
GW170608,-0.686767578125,0.18518944450381247,0.23054116833395796,-0.7291546880138808,0.9412137048428225
GW170608,-0.682861328125,1.0039263339292843,0.2014870986935402,-0.6745427282295305,0.39253546183779253
GW170608,-0.678955078125,0.48367598674290563,0.21786511940801223,-0.36204035058039613,0.8830099743153453
GW170608,-0.675048828125,0.4200638201847473,0.32561160955465507,0.07638901800338885,0.8302431735593173
GW170608,-0.671142578125,0.19182223314597624,0.5150709445014959,0.49403179620771764,0.8757689330255573
GW170608,-0.667236328125,1.0138127718354024,0.6225892050032157,0.8005517610900919,0.38166825892491163
GW170608,-0.663330078125,1.0232987880772406,0.5939331416608709,0.9573666787380161,0.3646783536847932
GW170608,-0.659423828125,0.37622943584138835,0.4695412809439879,0.9732541875477846,0.7844687724671998
GW170608,-0.655517578125,0.25568317037797295,0.32890116773657174,0.9095075024799174,0.9089972243998643
GW170608,-0.651611328125,0.3012391665325538,0.2845544524635637,0.8507737162013932,0.9616595864658973
GW170608,-0.647705078125,0.6835830878882736,0.361262947954192,0.8608170103354205,0.7703456710025657
GW170608,-0.643798828125,0.8720811726402715,0.4899794946423698,0.9644267511400335,0.580305015531285
GW170608,-0.639892578125,0.44913104329136544,0.5733118276371416,1.141463780703924,0.8626548345474555
GW170608,-0.635986328125,0.26513227736955663,0.5743870840270234,1.3239893700363217,0.9208560551652898
GW170608,-0.632080078125,0.7648042731609821,0.5061026555029864,1.42381356086814,0.8741693518995997
GW170608,-0.628173828125,0.276321000496748,0.40787252932447016,1.3811174096622758,0.9813738924340254
GW170608,-0.624267578125,0.29251499921879076,0.3515024192565649,1.205201745346144,0.9977126132463467
GW170608,-0.620361328125,1.0184442603976256,0.36052325771800664,0.9816590817850552,0.48505968044788383
GW170608,-0.616455078125,1.066113182675062,0.4634657993890958,0.8414806711196599,0.4922915946969372
GW170608,-0.612548828125,0.32955865501331005,0.6606960323667002,0.8722766975619043,0.9587233675616634
GW170608,-0.608642578125,0.36166298276270403,0.7909032033837822,1.0326543572205447,0.9321309895908583
GW170608,-0.604736328125,0.27546207483351964,0.7895004330954883,1.2053635549312267,0.9186825988606351
GW170608,-0.600830078125,0.396510124732888,0.7206169129729165,1.3005068020985178,0.905610687313616
GW170608,-0.596923828125,0.24865345881654954,0.6021986295056585,1.2816425921247072,0.9636034145482598
GW170608,-0.593017578125,0.21178126835725772,0.46404830722494406,1.1461072858267458,0.9896537613217968
GW170608,-0.589111328125,0.2125812928386514,0.33130179478519073,0.9154237616577084,0.9859110679655843
GW170608,-0.585205078125,0.322238283920482,0.23824879751314607,0.6286295353966955,0.9605095986039093
GW170608,-0.581298828125,0.2410588438321093,0.1761856667461263,0.35323814930870145,0.9391392306467511
GW170608,-0.577392578125,1.1778334084544544,0.14660114669623478,0.16794707625093958,0.6387158959847526
GW170608,-0.573486328125,0.49457047502834744,0.1428484262695905,0.13402592495508203,0.8701054903316497
GW170608,-0.569580078125,0.2406881640286572,0.1586486397404145,0.25155645366989365,0.9753302798818207
GW170608,-0.565673828125,0.3264964086066102,0.21200728281992248,0.4505855668848156,0.8895758753883304
GW170608,-0.561767578125,0.5218340178535059,0.358623497292391,0.6318066273331404,0.7621015800069588
GW170608,-0.557861328125,1.4193555030726106,0.4987242892448775,0.7239179364201724,0.547568766408886
GW170608,-0.553955078125,0.24481177288065453,0.5239183578250936,0.7077841893970132,0.7076501779451769
GW170608,-0.550048828125,0.8203051199801584,0.45897769086063583,0.6189603133979763,0.5313184289277664
GW170608,-0.546142578125,0.41257018322621875,0.35894066546832176,0.5158722143115244,0.8345125647553596
GW170608,-0.542236328125,0.24802767036987428,0.2596303312655057,0.45467444211809166,0.9938395366350943
GW170608,-0.538330078125,1.0175321958228405,0.2132000986834247,0.46063506928355313,0.6246058275556744
GW170608,-0.534423828125,0.29443655115410605,0.21269629791322947,0.504682637329195,0.933137116586054
