salt,valid,fit_success,n_calibration_C,n_holdout_C,n_calibration_AC,n_holdout_AC,n_prompt,n_delayed,left_time_us,mode_time_us,right_time_us,population_local_mode,population_local_mean,population_local_median,population_skewness,holdout_C_events_in_window,holdout_AC_events_in_window,effective_delayed_holdout,holdout_weighted_mode,holdout_weighted_mean,holdout_weighted_median,mean_delayed_weight_C,mean_delayed_weight_AC,median_delayed_weight_C,median_delayed_weight_AC,C_median_weight_greater_than_AC,prompt_participation,delayed_participation,child_displacement_from_0p5,window_width_us,crest_fraction_linear_time
410,True,True,6242,2674,5943,2589,38.58023707027554,208.6159564253796,0.6053254043696414,0.7855,1.18570128743246,0.8030057444782822,1.104447736781365,1.1366570229193378,-0.2129079181974144,59,43,6.567835251710374,0.875,1.01516105926319,0.9357017251895552,0.1113192415544131,0.1113658265820775,0.1110869915614196,0.1110869915614196,False,0.15607132344840757,0.8439286765515924,0.3030057444782822,0.5803758830628185,0.31044466334390547
411,True,True,6285,2631,5987,2545,34.351098445829386,138.20222544670577,0.6444426499281383,0.7855,1.0326973644971804,0.9130974398023652,1.1119902224023124,1.1522886286213303,-0.2469230965962734,55,25,4.163332877156556,0.875,1.0395937206512238,0.962951198414813,0.0756969614028464,0.0756983879442077,0.0756939045285006,0.0756939045285006,False,0.19907526363979505,0.800924736360205,0.41309743980236524,0.38825471456904215,0.36331136436664674
412,True,True,6257,2659,5954,2578,64.8459213507797,168.26223938160632,0.693794311918129,0.7855,0.9082559607710162,1.0251212055268428,1.1059970528216136,1.1377170316835177,-0.2363669263118631,36,16,3.1734653767682603,0.875,0.9905772449234276,0.9342979902682572,0.0881518160213405,0.0881518160213405,0.0881518160213405,0.0881518160213405,False,0.27817954183605115,0.7218204581639489,0.5251212055268428,0.2144616488528872,0.4276087989269246
413,True,True,6233,2683,5961,2571,59.38637871606221,181.22863784163317,0.6764769511487297,0.7855,0.9446711206516908,0.993161011016894,1.116834551443748,1.153089820936124,-0.2444263441859105,29,17,2.768625398646289,1.625,0.980411528428697,0.7923942905377063,0.0954698413326306,0.0954698413326306,0.0954698413326306,0.0954698413326306,False,0.24681077501171822,0.7531892249882818,0.493161011016894,0.26819416950296104,0.4065079007993369
414,True,True,6303,2613,5907,2625,60.60887966956156,169.35468735756336,0.686007507620121,0.7855,0.923779998589242,1.01205700179418,1.120086430645436,1.1531446203348448,-0.2379903750011741,28,17,2.499753017344673,0.625,1.0788731084132868,1.1808415780675643,0.0892768934765954,0.0892768934765954,0.0892768934765954,0.0892768934765954,False,0.26355861692827437,0.7364413830717256,0.5120570017941799,0.237772490969121,0.41843567342195137
415,True,True,6215,2701,5939,2593,52.42940694791101,115.38281890412787,0.7104240370220538,0.7855,0.8785824416395236,1.0471034571206437,1.082898261399762,1.1053090629815483,-0.217754354478217,26,8,1.6348618343099235,0.625,0.8724575783043216,0.7271580077828272,0.0628793013196124,0.0628793013196124,0.0628793013196124,0.0628793013196124,False,0.31242900618062447,0.6875709938193755,0.5471034571206437,0.16815840461746978,0.4464597719556779
416,True,True,6298,2618,5977,2555,37.51650064738808,240.33591190406548,0.5801072944946838,0.7855,1.3159514551244218,0.7348073513482943,1.096452987079119,1.12134999914396,-0.1833862240398852,71,58,8.848210984222339,1.625,0.977651662859371,0.8853859621854158,0.1246226899186245,0.1247360098552173,0.1244089482496041,0.1250412673537896,False,0.13502312361761717,0.8649768763823829,0.23480735134829434,0.735844160629738,0.27912527746301663
417,True,True,6246,2670,5966,2566,22.323729428384983,181.06882359291245,0.5402656604166466,0.7855,1.578480452008322,0.6403803483478678,1.0822064145787027,1.0984080395731133,-0.1409913153072754,116,82,11.235414609529627,0.625,1.0227768560311066,0.9760813601523805,0.0968570224959451,0.096531506251123,0.099076291131693,0.0977141757270276,True,0.10975686718504116,0.8902431328149588,0.14038034834786783,1.0382147915916753,0.2362077111301674
418,True,True,6267,2649,6070,2462,43.30658929937798,135.89299934924003,0.6734007152311886,0.7855,0.9519110723577158,0.986408728701878,1.1182615636988538,1.1569747181461034,-0.2494903433288543,30,15,2.197076905163489,0.875,1.0103270190015086,0.9160996600879692,0.0732358968387829,0.0732358968387829,0.0732358968387829,0.0732358968387829,False,0.24166678967268915,0.7583332103273108,0.486408728701878,0.27851035712652716,0.4024959284292781
419,True,True,6271,2645,6007,2525,26.363390958497327,159.6214899567606,0.5887556184427352,0.7855,1.2683842857888907,0.7575309752079844,1.0983350018956493,1.125323868702708,-0.1923063266394619,82,51,7.153141933530217,0.625,0.9483579696457884,0.8435701856652938,0.087233438213783,0.0870253999184437,0.0874645461022689,0.0866031439724578,True,0.14175018328779926,0.8582498167122008,0.2575309752079844,0.6796286673461556,0.28948805577245745
