run,field_g,turn_fraction,raw_pattern_correlation,full_inversion_error
EMU00066584,20.0,0.38,-0.6657890352010533,0.8083617845327675
EMU00066584,20.0,0.39,-0.7035874747029249,0.7618231546203812
EMU00066584,20.0,0.4,-0.737883498116063,0.7165394632913267
EMU00066584,20.0,0.41,-0.7702866881833379,0.6716874157860965
EMU00066584,20.0,0.42,-0.798382237570313,0.6292802473763481
EMU00066584,20.0,0.43,-0.82549491115155,0.5865116266496804
EMU00066584,20.0,0.44,-0.8469638888845713,0.549143241013663
EMU00066584,20.0,0.45,-0.8680820499023205,0.5112525229571365
EMU00066584,20.0,0.46,-0.8823795364934683,0.48261722782328825
EMU00066584,20.0,0.47,-0.8972032500649726,0.45261284354803066
EMU00066584,20.0,0.48,-0.9038709199727281,0.43734812226936787
EMU00066584,20.0,0.49,-0.9118299236137666,0.42046613239587877
EMU00066584,20.0,0.5,-0.9105534612972694,0.422957536172913
EMU00066584,20.0,0.51,-0.9118758075095854,0.42173196887813036
EMU00066584,20.0,0.52,-0.9038878560780012,0.44002581404008007
EMU00066584,20.0,0.53,-0.8973390931959802,0.45669360799806463
EMU00066584,20.0,0.54,-0.8824335416645103,0.48841715219985815
EMU00066584,20.0,0.55,-0.8683437599800433,0.5187925053929111
EMU00066584,20.0,0.56,-0.8470925616875069,0.5590313036292857
EMU00066584,20.0,0.57,-0.8258558161473438,0.5981804032854956
EMU00066584,20.0,0.58,-0.7985904216439786,0.6431150113652975
EMU00066584,20.0,0.59,-0.7707372627739866,0.6873898400633065
EMU00066584,20.0,0.6,-0.7381934360657069,0.7346020408331162
EMU00066584,20.0,0.61,-0.7040781263856659,0.7818150783407559
EMU00066584,20.0,0.62,-0.6661810197069529,0.8305728156910035
EMU00066584,20.0,0.63,-0.6264277287321267,0.8787412925999037
EMU00066584,20.0,0.64,-0.5843599000115511,0.9271476546175461
EMU00066584,20.0,0.65,-0.5399133531868701,0.974703428448735
EMU00066584,20.0,0.66,-0.49401650811444153,1.0224083688714882
EMU00066584,20.0,0.67,-0.4452248144905455,1.0690138901829225
EMU00066584,20.0,0.68,-0.39528088948647605,1.1168054188239314
EMU00066584,20.0,0.69,-0.3428060229904177,1.1618403507561992
EMU00066584,20.0,0.7,-0.29075279337963195,1.2075960188178696
EMU00066578,63.0,0.3,-0.2572364185829543,1.2602977285683319
EMU00066578,63.0,0.31,-0.294794655362887,1.2042995911655061
EMU00066578,63.0,0.32,-0.3473953990944157,1.1795188301358284
EMU00066578,63.0,0.33,-0.3787828638878524,1.1347805140039744
EMU00066578,63.0,0.34,-0.4322799523299153,1.098152469141736
EMU00066578,63.0,0.35,-0.47187880317022357,1.05017762736205
EMU00066578,63.0,0.36,-0.5138915207754046,1.01384021086408
EMU00066578,63.0,0.37,-0.5407217321765634,0.9826709925981344
EMU00066578,63.0,0.38,-0.574266840373004,0.9460678216133933
EMU00066578,63.0,0.39,-0.6152973665603615,0.9020820876323927
EMU00066578,63.0,0.4,-0.6410345558622634,0.865966624876782
EMU00066578,63.0,0.41,-0.6771249052810293,0.8290199258723789
EMU00066578,63.0,0.42,-0.6874947028908271,0.8052142785136308
EMU00066578,63.0,0.43,-0.7309632932473966,0.758795770498547
EMU00066578,63.0,0.44,-0.7278260629582063,0.7484087076853361
EMU00066578,63.0,0.45,-0.7640450195944991,0.7121356965308517
EMU00066578,63.0,0.46,-0.7411772909294593,0.7263744786237228
EMU00066578,63.0,0.47,-0.7926424598385652,0.6685662182699779
EMU00066578,63.0,0.48,-0.764104516429222,0.6902120558403744
EMU00066578,63.0,0.49,-0.8051303295137792,0.6488420412714198
EMU00066578,63.0,0.5,-0.7510564816546782,0.7056111086786004
EMU00066578,63.0,0.51,-0.804870796642509,0.6492340333806991
EMU00066578,63.0,0.52,-0.764084534786256,0.6902994835626564
EMU00066578,63.0,0.53,-0.792410839421417,0.6691277539471193
EMU00066578,63.0,0.54,-0.7411367118436767,0.726544391146288
EMU00066578,63.0,0.55,-0.7641429562539456,0.711763007254218
EMU00066578,63.0,0.56,-0.7279140693268624,0.7479908949368336
EMU00066578,63.0,0.57,-0.7311138783286093,0.7582359436895392
EMU00066578,63.0,0.58,-0.6876290738900781,0.8047290783829523
EMU00066578,63.0,0.59,-0.6774205302220879,0.8283183177043975
EMU00066578,63.0,0.6,-0.6413228246183841,0.8656165551166298
EMU00066578,63.0,0.61,-0.615600508050172,0.9017836344564297
EMU00066578,63.0,0.62,-0.5745997177464978,0.945722433906103
EMU00066578,63.0,0.63,-0.5410573777580844,0.9821023024738643
EMU00066578,63.0,0.64,-0.5143263089650376,1.0131342681754565
EMU00066578,63.0,0.65,-0.4722185536963197,1.049469432155535
EMU00066578,63.0,0.66,-0.4328112161261978,1.0972308722090656
EMU00066578,63.0,0.67,-0.3792597896351644,1.133901153633462
EMU00066578,63.0,0.68,-0.3482725400641018,1.1782009680681296
EMU00066578,63.0,0.69,-0.2951362010785461,1.2033659636174296
EMU00066578,63.0,0.7,-0.25806899904934744,1.2584839909949885
EMU00066579,160.0,0.3,-0.23378670278874192,1.2943669328023795
EMU00066579,160.0,0.31,-0.2655665202724784,1.2342566767773728
EMU00066579,160.0,0.32,-0.31897980990098906,1.218741431563917
EMU00066579,160.0,0.33,-0.3492433447205104,1.1689180975635
EMU00066579,160.0,0.34,-0.40074616957957176,1.1406028229864984
EMU00066579,160.0,0.35,-0.4341055218148621,1.0952411169711618
EMU00066579,160.0,0.36,-0.47754249939944454,1.0612154631800605
EMU00066579,160.0,0.37,-0.5073770926488277,1.0264340017919766
EMU00066579,160.0,0.38,-0.5387734768262038,0.9936119576000448
EMU00066579,160.0,0.39,-0.5726155753543719,0.9610063923923481
EMU00066579,160.0,0.4,-0.5925502103554386,0.9298599965932743
EMU00066579,160.0,0.41,-0.6312043918544133,0.8953358812810033
EMU00066579,160.0,0.42,-0.6367541861475956,0.8728876197968796
EMU00066579,160.0,0.43,-0.6798139322442004,0.8379739720247791
EMU00066579,160.0,0.44,-0.6683793405514925,0.8303774988881362
EMU00066579,160.0,0.45,-0.7178978436270159,0.7887465046616949
EMU00066579,160.0,0.46,-0.6914432225247794,0.7954289747465016
EMU00066579,160.0,0.47,-0.7490577431046377,0.7454889786815356
EMU00066579,160.0,0.48,-0.7074765422251399,0.7700438683827849
EMU00066579,160.0,0.49,-0.7634544943928228,0.724928107439455
EMU00066579,160.0,0.5,-0.6999355004684163,0.7746799333035339
EMU00066579,160.0,0.51,-0.7636428037185244,0.7243459115791272
EMU00066579,160.0,0.52,-0.7075272828170921,0.7695409362759285
EMU00066579,160.0,0.53,-0.7502997223315125,0.7436164070735891
EMU00066579,160.0,0.54,-0.6918669411090853,0.7952374011946567
EMU00066579,160.0,0.55,-0.7196351368660974,0.7858012841522498
EMU00066579,160.0,0.56,-0.6691430000447528,0.8280921979375562
EMU00066579,160.0,0.57,-0.6820058720031489,0.8343117337513976
EMU00066579,160.0,0.58,-0.6381887023614776,0.8719228747458436
EMU00066579,160.0,0.59,-0.6341056190887358,0.8922861580068209
EMU00066579,160.0,0.6,-0.5946704348008884,0.9267481883799423
EMU00066579,160.0,0.61,-0.5758739617085037,0.956060498257987
EMU00066579,160.0,0.62,-0.541872364259097,0.9895436160975176
EMU00066579,160.0,0.63,-0.5108530674183003,1.0224973260226664
EMU00066579,160.0,0.64,-0.4814981280834302,1.0571699326379844
EMU00066579,160.0,0.65,-0.43720267292122483,1.0915455478624732
EMU00066579,160.0,0.66,-0.4051588011488446,1.1349605517641137
EMU00066579,160.0,0.67,-0.3519543396849708,1.1648855393603834
EMU00066579,160.0,0.68,-0.3238534412642541,1.213556462499708
EMU00066579,160.0,0.69,-0.2676087973089297,1.232314542484335
EMU00066579,160.0,0.7,-0.23869898311891502,1.2902591248384854
EMU00066580,400.0,0.3,-0.10218324991191954,1.5308048756836075
EMU00066580,400.0,0.31,-0.11918758269855464,1.3923067050876115
EMU00066580,400.0,0.32,-0.15437355271297218,1.4756326358285696
EMU00066580,400.0,0.33,-0.15365543155280156,1.3851342613286073
EMU00066580,400.0,0.34,-0.17591406571287033,1.4413990087483486
EMU00066580,400.0,0.35,-0.1695744442440857,1.3934314031891888
EMU00066580,400.0,0.36,-0.1914992548546008,1.4126293403981542
EMU00066580,400.0,0.37,-0.2101962234641044,1.380041778949849
EMU00066580,400.0,0.38,-0.22867111222077127,1.3648197814372744
EMU00066580,400.0,0.39,-0.24658438224956786,1.3654424245693748
EMU00066580,400.0,0.4,-0.24539652290232764,1.3285283371030427
EMU00066580,400.0,0.41,-0.26658424247447843,1.36295844905023
EMU00066580,400.0,0.42,-0.24952649629289356,1.303992749022612
EMU00066580,400.0,0.43,-0.287785020149847,1.3587244364931133
EMU00066580,400.0,0.44,-0.25697497120103324,1.28056363071003
EMU00066580,400.0,0.45,-0.2836826339815136,1.3729973886362519
EMU00066580,400.0,0.46,-0.23384497002535362,1.2780706832695294
EMU00066580,400.0,0.47,-0.2995064967423191,1.3642190583214782
EMU00066580,400.0,0.48,-0.2569415521821378,1.2369789418019486
EMU00066580,400.0,0.49,-0.3207463771169391,1.3476791255372103
EMU00066580,400.0,0.5,-0.25329144929956976,1.2220544592614784
EMU00066580,400.0,0.51,-0.3209578814442897,1.3482561614319837
EMU00066580,400.0,0.52,-0.25705245383973674,1.2397924637975994
EMU00066580,400.0,0.53,-0.30066368876523997,1.3646981227332735
EMU00066580,400.0,0.54,-0.23418756892794285,1.2774713042897794
EMU00066580,400.0,0.55,-0.28628000075204013,1.3685094116534715
EMU00066580,400.0,0.56,-0.258009682878097,1.276075259946836
EMU00066580,400.0,0.57,-0.28930402246003695,1.3545735079182664
EMU00066580,400.0,0.58,-0.2506879453050986,1.3054850367157722
EMU00066580,400.0,0.59,-0.26904922063090153,1.3628120462370086
EMU00066580,400.0,0.6,-0.24725092428879397,1.3283533957612566
EMU00066580,400.0,0.61,-0.24941670625909593,1.3622853798113082
EMU00066580,400.0,0.62,-0.23126539527647041,1.35969921317053
EMU00066580,400.0,0.63,-0.2131687123790901,1.3741935504192424
EMU00066580,400.0,0.64,-0.195204848809534,1.4102206778526936
EMU00066580,400.0,0.65,-0.1714094380571941,1.3925329453560105
EMU00066580,400.0,0.66,-0.1788252282667564,1.4408775620036085
EMU00066580,400.0,0.67,-0.1560262197372538,1.3846455627950467
EMU00066580,400.0,0.68,-0.1589634587816176,1.4714531264658455
EMU00066580,400.0,0.69,-0.12177128870846227,1.388583525451832
EMU00066580,400.0,0.7,-0.10908193482345505,1.524822766540582
