run,split,field_g,phase_turns,detector,share_residual,phase_bin_weight
EMU00066571,validation,25.0,0.03125,73,-0.0004021487481466304,481133.0
EMU00066571,validation,25.0,0.03125,74,-0.0003566532023830572,481133.0
EMU00066571,validation,25.0,0.03125,75,-0.0002112423374179155,481133.0
EMU00066571,validation,25.0,0.03125,76,-0.00038061755128688705,481133.0
EMU00066571,validation,25.0,0.03125,77,-0.00037069786428717624,481133.0
EMU00066571,validation,25.0,0.03125,78,-0.00029485431113874855,481133.0
EMU00066571,validation,25.0,0.03125,79,-0.0003523372299588913,481133.0
EMU00066571,validation,25.0,0.03125,80,-0.00019751345811010372,481133.0
EMU00066571,validation,25.0,0.03125,81,-0.0003172142122151352,481133.0
EMU00066571,validation,25.0,0.03125,82,-0.00014942138219472818,481133.0
EMU00066571,validation,25.0,0.03125,83,-0.00019637893881570116,481133.0
EMU00066571,validation,25.0,0.03125,84,0.00011081434565847369,481133.0
EMU00066571,validation,25.0,0.03125,85,-0.00014735202568129044,481133.0
EMU00066571,validation,25.0,0.03125,86,-0.0001984573661944092,481133.0
EMU00066571,validation,25.0,0.03125,87,-6.482203067848548e-05,481133.0
EMU00066571,validation,25.0,0.03125,88,-0.00019769458079342686,481133.0
EMU00066571,validation,25.0,0.03125,89,-0.0004980797662751409,481133.0
EMU00066571,validation,25.0,0.03125,90,0.00016792068762506632,481133.0
EMU00066571,validation,25.0,0.03125,91,4.897190049825828e-05,481133.0
EMU00066571,validation,25.0,0.03125,92,-9.62345898918222e-05,481133.0
EMU00066571,validation,25.0,0.03125,93,3.438114212860249e-05,481133.0
EMU00066571,validation,25.0,0.03125,94,-1.8148914754891812e-05,481133.0
EMU00066571,validation,25.0,0.03125,95,0.00022877201928974422,481133.0
EMU00066571,validation,25.0,0.03125,96,0.00016432106544200678,481133.0
EMU00066571,validation,25.0,0.052083333333333336,1,1.0595023425436791e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,2,0.0005034072290064301,466725.0
EMU00066571,validation,25.0,0.052083333333333336,3,0.00019895780242191856,466725.0
EMU00066571,validation,25.0,0.052083333333333336,4,0.00011787385189940038,466725.0
EMU00066571,validation,25.0,0.052083333333333336,5,0.0005780386830546116,466725.0
EMU00066571,validation,25.0,0.052083333333333336,6,0.00018374890648260487,466725.0
EMU00066571,validation,25.0,0.052083333333333336,7,0.0003383421194008633,466725.0
EMU00066571,validation,25.0,0.052083333333333336,8,0.00038777228061349163,466725.0
EMU00066571,validation,25.0,0.052083333333333336,9,0.00042000963315747274,466725.0
EMU00066571,validation,25.0,0.052083333333333336,10,-0.0002798125865265832,466725.0
EMU00066571,validation,25.0,0.052083333333333336,11,0.00033958562339728003,466725.0
EMU00066571,validation,25.0,0.052083333333333336,12,0.0005222322949520251,466725.0
EMU00066571,validation,25.0,0.052083333333333336,13,0.00013131875804730308,466725.0
EMU00066571,validation,25.0,0.052083333333333336,14,0.0002464580975298856,466725.0
EMU00066571,validation,25.0,0.052083333333333336,15,0.00015184875267686197,466725.0
EMU00066571,validation,25.0,0.052083333333333336,16,-8.309623696087054e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,17,-0.00012732058908732153,466725.0
EMU00066571,validation,25.0,0.052083333333333336,18,-9.79891623391955e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,19,-0.00023342424158646362,466725.0
EMU00066571,validation,25.0,0.052083333333333336,20,-0.0003973685421583173,466725.0
EMU00066571,validation,25.0,0.052083333333333336,21,-8.460578916910815e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,22,-0.00041427374738412084,466725.0
EMU00066571,validation,25.0,0.052083333333333336,23,-0.00012884503300733874,466725.0
EMU00066571,validation,25.0,0.052083333333333336,24,-0.00011994997109091382,466725.0
EMU00066571,validation,25.0,0.052083333333333336,25,-0.0002945392612300615,466725.0
EMU00066571,validation,25.0,0.052083333333333336,26,-0.00010577548779753308,466725.0
EMU00066571,validation,25.0,0.052083333333333336,27,-0.00020963319568716846,466725.0
EMU00066571,validation,25.0,0.052083333333333336,28,-0.00046104044901496076,466725.0
EMU00066571,validation,25.0,0.052083333333333336,29,8.314597417973265e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,30,-0.00030334899579833517,466725.0
EMU00066571,validation,25.0,0.052083333333333336,31,-0.0002135638221111739,466725.0
EMU00066571,validation,25.0,0.052083333333333336,32,-6.192319646681733e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,33,-0.00028633347839588497,466725.0
EMU00066571,validation,25.0,0.052083333333333336,34,-0.0006451566613444657,466725.0
EMU00066571,validation,25.0,0.052083333333333336,35,-0.0003642718493072988,466725.0
EMU00066571,validation,25.0,0.052083333333333336,36,9.571753177875216e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,37,-0.0002733041380793711,466725.0
EMU00066571,validation,25.0,0.052083333333333336,38,-0.00025560737425797003,466725.0
EMU00066571,validation,25.0,0.052083333333333336,39,-7.990518632987639e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,40,-0.0003178678977653568,466725.0
EMU00066571,validation,25.0,0.052083333333333336,41,0.0003841163420107933,466725.0
EMU00066571,validation,25.0,0.052083333333333336,42,0.0002796732936947318,466725.0
EMU00066571,validation,25.0,0.052083333333333336,43,4.9826033368507326e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,44,0.00027206286004052133,466725.0
EMU00066571,validation,25.0,0.052083333333333336,45,0.0001575273778228539,466725.0
EMU00066571,validation,25.0,0.052083333333333336,46,0.00026699602361622294,466725.0
EMU00066571,validation,25.0,0.052083333333333336,47,1.2671486806993917e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,48,0.00037287531195416947,466725.0
EMU00066571,validation,25.0,0.052083333333333336,49,-1.5514082074222304e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,50,0.0001864440817855024,466725.0
EMU00066571,validation,25.0,0.052083333333333336,51,7.339789816927112e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,52,0.00029408736328352886,466725.0
EMU00066571,validation,25.0,0.052083333333333336,53,0.0003689505632708611,466725.0
EMU00066571,validation,25.0,0.052083333333333336,54,0.00021011972003086795,466725.0
EMU00066571,validation,25.0,0.052083333333333336,55,0.0003134889175270206,466725.0
EMU00066571,validation,25.0,0.052083333333333336,56,0.0003501003304422084,466725.0
EMU00066571,validation,25.0,0.052083333333333336,57,-4.820214576817275e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,58,0.00029874311215506504,466725.0
EMU00066571,validation,25.0,0.052083333333333336,59,0.0001840074986592996,466725.0
EMU00066571,validation,25.0,0.052083333333333336,60,0.00020180680167445223,466725.0
EMU00066571,validation,25.0,0.052083333333333336,61,0.0001720031354946818,466725.0
EMU00066571,validation,25.0,0.052083333333333336,62,0.0002426759028424758,466725.0
EMU00066571,validation,25.0,0.052083333333333336,63,9.18843760205631e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,64,0.00020646793939035988,466725.0
EMU00066571,validation,25.0,0.052083333333333336,65,-8.394093849919471e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,66,4.9136667286730774e-06,466725.0
EMU00066571,validation,25.0,0.052083333333333336,67,2.702856247909862e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,68,0.00012872129624728215,466725.0
EMU00066571,validation,25.0,0.052083333333333336,69,-1.0600894282332965e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,70,-0.00019869012187050762,466725.0
EMU00066571,validation,25.0,0.052083333333333336,71,4.857794651827611e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,72,-0.00022543295915915343,466725.0
EMU00066571,validation,25.0,0.052083333333333336,73,-0.0004409069065381196,466725.0
EMU00066571,validation,25.0,0.052083333333333336,74,-0.00037311143481896406,466725.0
EMU00066571,validation,25.0,0.052083333333333336,75,-8.332346756604125e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,76,-0.0004949522588786518,466725.0
EMU00066571,validation,25.0,0.052083333333333336,77,-0.0003942465344389622,466725.0
EMU00066571,validation,25.0,0.052083333333333336,78,-0.00022280891753932928,466725.0
EMU00066571,validation,25.0,0.052083333333333336,79,-0.0006483565674726573,466725.0
EMU00066571,validation,25.0,0.052083333333333336,80,-0.0002674754456349892,466725.0
EMU00066571,validation,25.0,0.052083333333333336,81,-0.0004282692061581225,466725.0
EMU00066571,validation,25.0,0.052083333333333336,82,-0.00042528649141708235,466725.0
EMU00066571,validation,25.0,0.052083333333333336,83,-0.00016390157443094665,466725.0
EMU00066571,validation,25.0,0.052083333333333336,84,-0.00014193560956591165,466725.0
EMU00066571,validation,25.0,0.052083333333333336,85,-0.00020551023791730806,466725.0
EMU00066571,validation,25.0,0.052083333333333336,86,3.107405361554783e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,87,4.346957777989846e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,88,0.00013673120008826913,466725.0
