event,role,time_s,M_rem,C_acc,TE_ARA_sum,TE_ARA_residual,C_amount,C_density,local_period_ARA,frequency_hz
GW151012,untouched_confirmation,-0.07895517349243164,0.19751589534695363,0.5202587258969977,0.7177746212439513,1.2822253787560487,0.24774225042714182,0.7927752013668538,0.8730778618501343,243.48688395959198
GW151012,untouched_confirmation,-0.07504892349243164,0.18054775888116406,0.4552111300951916,0.6357588889763557,1.3642411110236443,0.25482060043934585,0.6556016597510373,0.7432267512814255,243.48688395959198
GW151012,untouched_confirmation,-0.07114267349243164,0.16357962241537452,0.39809616792775204,0.5616757903431265,1.4383242096568734,0.3656333902855748,0.43055894556992924,0.6995362460336833,243.48688395959198
GW151012,untouched_confirmation,-0.06723642349243164,0.14661148594958495,0.4768123016841591,0.6234237876337441,1.376576212366256,0.601903832072248,0.35172077129607027,0.729802294361728,243.48688395959198
GW151012,untouched_confirmation,-0.06333017349243164,0.1296433494837954,0.6243592872833781,0.7540026367671735,1.2459973632328265,0.8723456187454235,0.3763729558213327,0.8032706858677081,243.48688395959198
GW151012,untouched_confirmation,-0.05942392349243164,0.11267521301800586,0.7205272150353917,0.8332024280533976,1.1667975719466024,1.142787405418599,0.2982670246521845,0.9150597998535515,241.20048743555057
GW151012,untouched_confirmation,-0.05551767349243164,0.09586641116443008,0.7708079082255309,0.866674319389961,1.1333256806100391,1.3483036368074202,0.19331217964364167,0.9978032706858677,237.3022148728383
GW151012,untouched_confirmation,-0.05161142349243164,0.07932927248937657,0.8107151574322675,0.8900444299216441,1.1099555700783559,1.4779106663412254,0.14351964852330973,1.0524774225042715,233.79655922128362
GW151012,untouched_confirmation,-0.04770517349243164,0.06303643626926564,0.8978520868928483,0.960888523162114,1.039111476837886,1.5191603612399316,0.2765438125457652,1.0939711984378815,230.8660162952708
GW151012,untouched_confirmation,-0.04379892349243164,0.04694782399534348,1.0407615328288993,1.0877093568242429,0.9122906431757571,1.4842567732487186,0.5972662924090798,1.1310715157432267,228.32624084215269
GW151012,untouched_confirmation,-0.03989267349243164,0.031036203827854967,1.1026360751769588,1.1336722790048137,0.8663277209951863,1.3807664144495972,0.8245057359043202,1.209665608982182,225.23312655296922
GW151012,untouched_confirmation,-0.03598642349243164,0.015340136894732294,1.1408347571393702,1.1561748940341026,0.8438251059658974,1.2450573590432024,1.036612155235538,1.3483036368074202,220.1256537241161
GW151012,untouched_confirmation,-0.03208017349243164,0.0,1.2383451305833537,1.2383451305833537,0.7616548694166463,1.1227727605565048,1.3539175006102027,1.5411276543812544,212.4146535794549
GW151226,untouched_confirmation,-0.49770498275756836,2.0,0.9926775689528924,2.9926775689528924,0.9926775689528924,0.9914571637783745,0.9938979741274103,1.1088601415670003,227.49135398726315
GW151226,untouched_confirmation,-0.49379873275756836,1.984512660142536,1.077007566512082,3.061520226654618,1.061520226654618,1.0956797656822064,1.0583353673419575,1.1335123260922626,227.49135398726315
GW151226,untouched_confirmation,-0.48989248275756836,1.9690253202850723,1.2008786917256529,3.169904012010725,1.1699040120107251,1.2472540883573346,1.154503295093971,1.1703685623627045,227.49135398726315
GW151226,untouched_confirmation,-0.48598623275756836,1.9535379804276083,1.3541615816451062,3.3076995620727145,1.3076995620727145,1.4337319990236759,1.2745911642665364,1.1896509641200879,227.49135398726315
GW151226,untouched_confirmation,-0.48207998275756836,1.9380506405701445,1.4319013912618987,3.3699520318320433,1.3699520318320433,1.5731022699536246,1.2907005125701732,1.177202831340005,227.49135398726315
GW151226,untouched_confirmation,-0.47817373275756836,1.9225633007126803,1.3984622894801073,3.3210255901927876,1.3210255901927876,1.635587014888943,1.1613375640712715,1.1225286795216012,228.59185903034802
GW151226,untouched_confirmation,-0.47426748275756836,1.9070010397853894,1.3116914815718819,3.218692521357271,1.218692521357271,1.6333902855748108,0.9899926775689529,1.0275811569441053,236.49729590281862
GW151226,untouched_confirmation,-0.47036123275756836,1.8909005861513437,1.2601903832072248,3.1510909693585685,1.1510909693585685,1.5777398096167927,0.9426409567976568,0.8945569929216499,246.94677852426054
GW151226,untouched_confirmation,-0.46645498275756836,1.874088744212396,1.2230900659018795,3.0971788101142756,1.0971788101142756,1.4901147180864047,0.9560654137173542,0.703197461557237,258.8585557092978
GW151226,untouched_confirmation,-0.46254873275756836,1.8564659626999755,1.1761044666829386,3.032570429382914,1.0325704293829139,1.411032462777642,0.9411764705882353,0.4766902611667073,270.309966996846
GW151226,untouched_confirmation,-0.45864248275756836,1.8380635827749152,1.1523065657798388,2.990370148554754,0.9903701485547538,1.3727117402977789,0.931901391261899,0.2892360263607518,279.5323416801923
GW151226,untouched_confirmation,-0.45473623275756836,1.8190333545887651,1.1147180864046864,2.9337514409934515,0.9337514409934515,1.3771051989260434,0.8523309738833292,0.1652428606297291,286.0930518800508
GW151226,untouched_confirmation,-0.45082998275756836,1.7995564810827351,1.0208689284842567,2.820425409566992,0.8204254095669921,1.3795460092750793,0.6621918476934342,0.09421527947278496,291.0053190178887
GW151226,untouched_confirmation,-0.44692373275756836,1.7797451862929907,0.9764461801318038,2.756191366424795,0.7561913664247948,1.3380522333414695,0.6148401269221382,0.05955577251647547,291.0053190178887
GW151226,untouched_confirmation,-0.44301748275756836,1.7599338915032463,1.005369782767879,2.7653036742711254,0.7653036742711254,1.2572614107883817,0.7534781547473761,0.05296558457407859,291.0053190178887
GW151226,untouched_confirmation,-0.43911123275756836,1.740122596713502,1.0684647302904564,2.8085873270039583,0.8085873270039583,1.177690993409812,0.9592384671711007,0.06394923114474005,291.0053190178887
GW151226,untouched_confirmation,-0.43520498275756836,1.7203113019237575,1.1144740053697828,2.83478530729354,0.8347853072935401,1.1881864779106663,1.0407615328288993,0.11227727605565048,291.0053190178887
GW151226,untouched_confirmation,-0.43129873275756836,1.7005000071340133,1.1537710519892603,2.8542710591232736,0.8542710591232736,1.276543812545765,1.0309982914327556,0.21039785208689285,288.5439709932457
GW151226,untouched_confirmation,-0.42739248275756836,1.680856277980048,1.283134000488162,2.96399027846821,0.9639902784682102,1.437149133512326,1.129118867463998,0.2970466194776666,280.60349375352604
GW151226,untouched_confirmation,-0.42348623275756836,1.6617531270392174,1.387478642909446,3.0492317699486633,1.0492317699486633,1.5772516475469858,1.1977056382719062,0.3473273126678057,274.1906770402287
GW151226,untouched_confirmation,-0.41957998275756836,1.6430865530062195,1.3734439834024896,3.016530536408709,1.016530536408709,1.6619477666585305,1.0849402001464488,0.3600195264827923,270.15098922074907
GW151226,untouched_confirmation,-0.41567373275756836,1.624694996098408,1.2587258969978032,2.8834208930962113,0.8834208930962113,1.6956309494752257,0.8218208445203808,0.35294117647058826,268.4075006943365
GW151226,untouched_confirmation,-0.41176748275756836,1.6064221338085365,1.157554308030266,2.7639764418388024,0.7639764418388024,1.6922138149865755,0.6228948010739566,0.3395167195508909,268.08147442634765
GW151226,untouched_confirmation,-0.40786123275756836,1.5881714669978613,1.141567000244081,2.7297384672419422,0.7297384672419422,1.6692701977056383,0.6138638027825237,0.34976812301684157,267.5059431786685
GW151226,untouched_confirmation,-0.40395498275756836,1.5699599816676035,1.1649987795948253,2.734958761262429,0.7349587612624289,1.6321698804002929,0.697827678789358,0.40371003173053455,264.66840378562586
GW151226,untouched_confirmation,-0.40004873275756836,1.5519416726324828,1.1471808640468635,2.6991225366793463,0.6991225366793463,1.550402733707591,0.7439589943861362,0.5255064681474249,258.50747589829297
GW151226,untouched_confirmation,-0.39614248275756836,1.5343427922145654,1.093483036368074,2.6278258285826395,0.6278258285826395,1.4188430558945568,0.7681230168415913,0.7041737856968513,249.7030372803313
GW151226,untouched_confirmation,-0.39223623275756836,1.517343307469233,1.0540639492311448,2.571407256700378,0.5714072567003781,1.1974615572370029,0.9106663412252868,0.9092018550158653,240.20027636232055
GW151226,untouched_confirmation,-0.38832998275756836,1.5009907593451917,1.0187942396875762,2.519784999032768,0.5197849990327681,0.9824261654869417,1.055162313888211,1.107883817427386,232.0262221855406
GW151226,untouched_confirmation,-0.38442373275756836,1.4851946910733747,0.9000488162069807,2.3852435072803555,0.3852435072803555,0.8115694410544301,0.9885281913595314,1.2374908469611912,226.07693797346337
GW151226,untouched_confirmation,-0.38051748275756836,1.4698036429699557,0.7134488650231877,2.1832525079931435,0.18325250799314352,0.7217476202099097,0.7051501098364658,1.3348791798877229,222.1695439223742
GW151226,untouched_confirmation,-0.37661123275756836,1.4546786055898706,0.45423480595557725,1.9089134115454478,0.0910865884545522,0.6848913839394679,0.22357822797168658,1.3951671955089089,219.86324532118283
GW151226,untouched_confirmation,-0.37270498275756836,1.4397105782658748,0.4104222601903832,1.850132838456258,0.1498671615437419,0.6746399804735171,0.14620453990724921,1.4376372955821333,218.42880715038865
GW151226,untouched_confirmation,-0.36879873275756836,1.424840205780475,0.5883573346350989,2.013197540415574,0.013197540415573972,0.6829387356602392,0.49377593360995853,1.4688796680497926,218.42880715038865
GW151226,untouched_confirmation,-0.36489248275756836,1.4099698332950754,0.8452526238711253,2.2552224571662007,0.25522245716620073,0.7241884305589457,0.9663168171833049,1.48230412496949,218.42880715038865
GW151226,untouched_confirmation,-0.36098623275756836,1.3950994608096756,1.02245545521113,2.417554916020806,0.41755491602080586,0.8628264583841836,1.1820844520380767,1.471564559433732,218.42880715038865
GW151226,untouched_confirmation,-0.35707998275756836,1.3802290883242758,1.1464486209421527,2.5266777092664285,0.5266777092664285,1.0771296070295338,1.2157676348547717,1.4320234317793508,218.42880715038865
GW151226,untouched_confirmation,-0.35317373275756836,1.3653587158388762,1.2548206004393458,2.620179316278222,0.6201793162782221,1.2487185745667562,1.2609226263119355,1.3622162557969246,218.8292849340659
GW151226,untouched_confirmation,-0.34926748275756836,1.3504610793039533,1.2843544056626799,2.634815484966633,0.6348154849666332,1.2855748108371978,1.283134000488162,1.2792287039297046,223.2214916492515
GW151226,untouched_confirmation,-0.34536123275756836,1.3352644265781728,1.2247986331462046,2.5600630597243774,0.5600630597243774,1.280693190139126,1.168904076153283,1.1989260434464242,228.10127330264828
GW151226,untouched_confirmation,-0.34145498275756836,1.3197355641416857,1.1087381010495485,2.428473665191234,0.428473665191234,1.2579936538930925,0.9594825482060044,1.1051989260434465,233.14314420234808
GW151226,untouched_confirmation,-0.33754873275756836,1.303863457152065,1.0209909690017085,2.324854426153774,0.3248544261537738,1.2352941176470589,0.8066878203563583,0.9660727361484012,238.82395667392717
GW151226,untouched_confirmation,-0.33364248275756836,1.2876046072297054,0.9250671222845985,2.212671729514304,0.2126717295143039,1.217476202099097,0.6326580424701,0.7800829875518671,245.9946755084298
