Name,fluid,split,D0_mm,T_C,v_mm_s,H0_D0,tbrk_s,n_reliable,last_reliable_s,unmeasured_tail_ms,cross_u,cross_t_s,cross_D_mm,rho_time_x,Bo0,Bo_cross,G_height_cross,capillary_rate_mm_s,late_observed_rate_mm_s,late_to_capillary_rate,excluded,reason
241118k,S1,development,2.0,19.1,33.29,0.54,0.177,169,0.169,7.99999999999998,,,,0.9978493092152116,0.2676569681450467,,,4.863946307892642,5.8821594568413555,1.2093388957226925,False,
241118l,S1,development,2.0,19.1,33.14,0.37,0.148,140,0.141,7.000000000000006,,,,0.997934446505875,0.2676569681450467,,,4.863946307892642,5.857682457584761,1.2043065623647202,False,
241118m,S1,development,2.0,19.2,32.91,0.29,0.131,124,0.123,8.000000000000007,,,,0.997880021829478,0.2676350423390157,,,4.894441424592367,6.166304370116697,1.2598586509042258,False,
241118n,S1,development,2.0,19.2,32.25,0.15,0.101,93,0.092,9.000000000000007,,,,0.996103896103896,0.2676350423390157,,,4.894441424592367,6.250392119957343,1.277038905512677,False,
241118o,S1,development,2.0,19.4,32.72,0.06,0.067,58,0.057,10.000000000000002,,,,0.7733580018501388,0.26759119072695353,,,4.955942907680332,7.2983354673495535,1.4726431686771784,False,
241118p,S1,development,2.0,19.4,40.34,0.18,0.098,89,0.09,8.000000000000007,,,,0.9950937950937953,0.26759119072695353,,,4.955942907680332,6.123058542413375,1.2354982001355057,False,
241118q,S1,development,2.0,19.8,51.08,0.15,0.081,74,0.074,7.000000000000006,,,,0.9247568769102531,0.2675034875028294,,,5.081014082917207,6.15842815530804,1.2120470549399163,False,
241118r,S1,development,2.0,19.7,78.71,0.23,0.084,76,0.076,8.000000000000007,,,,0.9839819004524887,0.2675254133088604,,,5.049485678029316,6.467097156582914,1.2807437368763575,False,
241118s,S1,development,2.0,19.7,103.38,0.23,0.076,69,0.068,7.999999999999993,,,,0.9909805735430157,0.2675254133088604,,,5.049485678029316,6.200396825396846,1.2279264108768995,False,
241118t,S1,development,2.0,19.8,154.13,0.22,0.066,57,0.057,9.000000000000002,,,,0.9840245103402997,0.2675034875028294,,,5.081014082917207,6.160506160506166,1.2124560294407176,False,
