Name,fluid,D0_mm,coverage,n_reliable,window_ms,unmeasured_tail_ms,cross_u,cross_t_s,rho_time_x,Bo0,Bo_cross,G_height_cross,capillary_rate_mm_s,late_unresolved_to_capillary,excluded,reason
241118f,S1,2.0,0.9415204678362573,162.0,11.00000000000001,10.000000000000009,0.4635096970288349,0.079,0.8549559124547316,0.2677008197571088,0.033562841204265635,0.16281577040963302,4.803463217085244,0.9334058241944676,False,
241118g,S1,2.0,0.9375,105.0,11.00000000000001,7.000000000000006,0.5007495405479323,0.056,0.8651655306718599,0.2677008197571088,0.01408357684768301,0.06535611079797786,4.803463217085244,0.9242395693749093,False,
241118h,S1,2.0,0.9590643274853801,164.0,11.00000000000001,7.000000000000006,0.5151196591097431,0.088,0.8447078538160133,0.2677008197571088,0.025800810343516393,0.20211139893074437,4.803463217085244,0.8152851228054369,False,
241118i,S1,2.0,0.9453125,122.0,11.00000000000001,7.000000000000006,0.48491173951094824,0.062,0.7600793454004463,0.2676788939510778,0.018647836817905217,0.13474792523913634,4.833620511421563,0.7486813173093629,False,
241118j,S1,2.0,0.9212598425196851,118.0,11.00000000000001,9.999999999999995,0.5531734728152897,0.07,0.755735809870883,0.2676788939510778,0.012472703561831222,0.1409632777263576,4.833620511421563,0.7289359534697787,False,
241118k,S1,2.0,0.9548022598870057,169.0,11.00000000000001,7.99999999999998,0.5061713210977971,0.09,0.8858260367127428,0.2676569681450467,0.023544854705741414,0.32358033077640885,4.863946307892642,0.7336901044465706,False,
241118l,S1,2.0,0.9527027027027026,140.0,11.00000000000001,7.000000000000006,0.4916035156474402,0.073,0.8645287175452399,0.2676569681450467,0.02001321922261157,0.23122118549890083,4.863946307892642,0.6988884006809107,False,
241118m,S1,2.0,0.9389312977099236,124.0,11.00000000000001,8.000000000000007,0.47074819710473076,0.062,0.7695767500864952,0.2676350423390157,0.02054233285449054,0.19429752775378528,4.894441424592367,0.6893192903440345,False,
241118n,S1,2.0,0.9108910891089108,93.0,11.00000000000001,9.000000000000007,0.4517209640300704,0.046,0.6716187242193707,0.2676350423390157,0.015152314909679101,0.11357535310918501,4.894441424592367,0.654347476739926,False,
241118o,S1,2.0,0.8507462686567164,,,,,,,,,,,,True,source_coverage
241118p,S1,2.0,0.9183673469387754,89.0,11.00000000000001,8.000000000000007,0.5766737411393336,0.057,0.8145590766427053,0.26759119072695353,0.0064742375496555805,0.11069056888732581,4.955942907680332,0.6579340776310925,False,
241118q,S1,2.0,0.9135802469135802,74.0,11.00000000000001,7.000000000000006,,,0.5991743471582182,0.2675034875028294,,,5.081014082917207,0.6028039056079374,False,
241118r,S1,2.0,0.9047619047619047,76.0,11.00000000000001,8.000000000000007,0.7090772604505663,0.06,0.4731052984574111,0.2675254133088604,0.0019605701948187957,0.11869198979908428,5.049485678029316,0.6731341518654279,False,
241118s,S1,2.0,0.8947368421052633,,,,,,,,,,,,True,source_coverage
241118t,S1,2.0,0.8636363636363636,,,,,,,,,,,,True,source_coverage
241118aa,S1,1.0,0.9794117647058823,334.0,11.00000000000001,7.000000000000006,0.5452041034569504,0.185,0.8257673975919655,0.0668813533272151,0.01773298716509354,0.04637480390033918,5.049485678029316,0.47594654543314385,False,
241118ab,S1,1.0,0.9695431472081218,191.0,11.00000000000001,6.000000000000005,0.4459555684326217,0.088,0.952936215363269,0.0668649089726918,0.022709764148739157,0.045701388825357445,5.1445971592615,0.7781188213105393,False,
241118ad,S1,1.0,0.9503546099290782,134.0,11.00000000000001,6.999999999999979,0.6536376583304596,0.092,0.7706507396346968,0.06685942752118404,0.008522688025240548,0.04866426447269691,5.176653524079824,1.0798562354990575,False,
241118ae,S1,1.0,0.9292035398230087,106.0,11.00000000000001,8.000000000000007,0.6040309195675384,0.068,0.8318638090070537,0.0668649089726918,0.008420502508838041,0.04463213825570096,5.1445971592615,1.1849565459969302,False,
241118af,S1,1.0,0.9135802469135802,73.0,11.00000000000001,7.000000000000006,0.4326216344510431,0.035,0.9887362637362638,0.0668649089726918,0.012152295353286983,0.03256465499329799,5.1445971592615,1.2001534477272715,False,
241118ag,S1,1.0,0.9213483146067416,82.0,11.00000000000001,6.999999999999992,0.6197997622273446,0.055,0.8492410218437614,0.06687039042419958,0.00583734296574884,0.04004381352393142,5.112717628335645,1.2501406562462463,False,
241118ai,S1,1.0,0.8679245283018868,,,,,,,,,,,,True,source_coverage
241118aj,S1,1.0,0.888888888888889,,,,,,,,,,,,True,source_coverage
241118ak,S1,1.0,0.8904109589041097,,,,,,,,,,,,True,source_coverage
241118al,S1,1.0,0.9016393442622951,55.0,11.00000000000001,5.999999999999998,0.4823055191637767,0.029,0.720814479638009,0.06685942752118404,0.006031123055086085,0.048340845888642014,5.176653524079824,0.7848068820343799,False,
241118am,S1,1.0,0.8846153846153847,,,,,,,,,,,,True,source_coverage
241118an,S1,1.0,0.8666666666666667,,,,,,,,,,,,True,source_coverage
241112b,S3,2.0,0.9038255273507328,2496.0,375.00000000000034,269.0000000000001,0.788812777011872,2.206,0.8531729925218143,0.326106832829511,0.000647156046101,0.06895259591764913,0.0661190355648726,0.6008507173742187,False,
241112c,S3,2.0,0.9240335225736687,3389.0,369.00000000000034,280.9999999999997,0.7951736558942275,2.941,0.8389479351248078,0.32601254009915415,0.0008256213887221704,0.10530244605666367,0.06670326598533818,0.7194919991432979,False,
241112d,S3,2.0,0.9543828264758497,5228.0,365.00000000000034,254.9999999999999,0.6133716357422853,3.429,0.9296496538573459,0.3259182473687974,0.005491353876058758,0.33811693069629034,0.06729225659201044,0.9012307361910714,False,
241112f,S3,2.0,0.9318111693921629,2920.0,351.0000000000003,221.00000000000009,0.7561973202350806,2.451,0.7328797449634998,0.3254467837170132,0.0010897729943281037,0.19979589257576438,0.07030985886802664,0.7804156532811964,False,
241112g,S3,2.0,0.9318557724115117,2780.0,333.0000000000003,205.99999999999997,0.6141867300846975,1.857,0.8562336350410413,0.32488102733487223,0.002336336210928878,0.33499011319681826,0.07409561375518789,0.7700273962446423,False,
241112h,S3,2.0,0.9792040157762638,2606.0,323.0000000000003,58.00000000000027,0.746054062786891,2.081,0.7828141336116604,0.3245981491438017,0.0007984447399167706,0.28533962990885703,0.07605819120321286,0.5198394214548994,False,
241112l,S3,2.0,0.9031141868512111,2089.0,325.0000000000003,223.99999999999974,,,0.6977736368374436,0.3246924418741586,,,0.07539873411233383,0.5331520008519688,False,
241112o,S3,2.0,0.8595787362086259,,,,,,,,,,,,True,source_coverage
241112q,S3,2.0,0.9156498673740053,1617.0,365.00000000000034,159.00000000000003,,,-0.12094850912128212,0.3259182473687974,,,0.06729225659201044,0.2867315448341523,False,
241113a,S3,2.0,0.6435354273192111,,,,,,,,,,,,True,source_coverage
241113b,S3,2.0,0.923277359583092,3190.0,473.0000000000004,265.0000000000001,0.831252114134594,2.871,0.39369265725935687,0.3271440528634361,0.0008640260070933479,0.8048352037718165,0.05999678817637465,0.39620063598677613,False,
241113c,S3,2.0,0.9915151515151515,534.0,165.00000000000014,14.000000000000012,,,-0.439825201718233,0.32704976013307924,,,0.060530925138871546,-153.8366923206301,False,
241113d,S3,2.0,0.8423405119869972,,,,,,,,,,,,True,source_coverage
241113e,S3,2.0,0.978178368121442,1632.0,457.0000000000004,46.00000000000026,0.08742496583694707,0.184,-0.20355007291516497,0.32676688194200887,0.026448788991256703,0.27347481721708594,0.06215978525877164,-14.844478641072829,False,
241113f,S3,2.0,0.9599723947550034,1004.0,311.0000000000003,58.00000000000005,0.06629180007917916,0.096,-0.6763563385015311,0.32657829648129505,0.030577065609695767,0.2323469276160613,0.06326806447156597,-43.98790681644225,False,
241113h,S3,2.0,0.7375838926174496,,,,,,,,,,,,True,source_coverage
241118ba,S3,1.0,0.8338224504768893,,,,,,,,,,,,True,source_coverage
241118bb,S3,1.0,0.8170731707317073,,,,,,,,,,,,True,source_coverage
241118bc,S3,1.0,0.7736602052451539,,,,,,,,,,,,True,source_coverage
241118bd,S3,1.0,0.6824324324324325,,,,,,,,,,,,True,source_coverage
241118be,S3,1.0,0.7180811808118082,,,,,,,,,,,,True,source_coverage
241118bf,S3,1.0,0.7555266579973992,,,,,,,,,,,,True,source_coverage
241118bg,S3,1.0,0.7075840500390931,,,,,,,,,,,,True,source_coverage
241118bh,S3,1.0,0.7849666983824929,,,,,,,,,,,,True,source_coverage
241118bi,S3,1.0,1.0,759.0,235.0000000000002,0.0,0.07960797575184221,0.09,-0.04663737043959375,0.08180958639844822,0.008528976975517187,0.14050137027724777,0.05946700482533969,-1.8469185344783527,False,
241118bj,S3,1.0,0.674698795180723,,,,,,,,,,,,True,source_coverage
241118bk,S3,1.0,0.53125,,,,,,,,,,,,True,source_coverage
