Name,fluid,split,D0_mm,v_mm_s,H0_D0,tbrk_s,n_reliable,window_frames,window_ms,unmeasured_tail_ms,cross_u,cross_t_s,cross_D_mm,cross_r_mechanical,cross_r_unresolved,rho_time_x,Bo0,Bo_cross,G_height_cross,capillary_rate_mm_s,late_unresolved_to_capillary,excluded,reason
241113b,S3,development,2.0,16.27,0.58,3.454,3190.0,473.0,473.0000000000004,265.0000000000001,0.831252114134592,2.871,0.10278361502104215,0.03131069663319249,0.03124558483923421,0.39260373423169287,0.3271440528634361,0.0008640260070910641,0.8048352037707527,0.05999678817637465,0.39620063598682764,False,
241113c,S3,development,2.0,16.74,0.19,1.65,534.0,165.0,165.00000000000014,14.000000000000012,,,,,,-0.439825201718233,0.32704976013307924,,,0.060530925138871546,-24.35312129361052,False,
241113d,S3,development,2.0,10.19,0.26,2.461,1991.0,461.0,461.0000000000004,387.9999999999999,,,,,,0.1898867602740464,0.3268611746723656,,,0.06161239070303353,-0.23435138052571705,False,
241113e,S3,development,2.0,13.27,0.25,2.108,1632.0,457.0,457.0000000000004,46.00000000000026,,,,,,-0.22050572027382298,0.32676688194200887,,,0.06215978525877164,-0.8302611679879125,False,
241113f,S3,development,2.0,20.47,0.18,1.449,1004.0,311.0,311.0000000000003,58.00000000000005,0.07029532564979342,0.102,0.596472091759677,2.978753953537935,2.9844737715601797,-0.6784369137127526,0.32657829648129505,0.0290474213638547,0.23842303985643545,0.06326806447156597,-4.676356523729744,False,
241113h,S3,development,2.0,28.76,0.27,1.49,1046.0,323.0,323.0000000000003,391.0,0.06949980855352464,0.104,0.6226525054597767,2.9877609401814356,3.005921120277602,-0.778221764409934,0.32657829648129505,0.031653286447022845,0.35900930164366235,0.06326806447156597,-1.4169956776100867,False,
241118ba,S3,development,1.0,2.05,0.34,2.726,2253.0,497.0,497.00000000000045,452.99999999999983,0.6682012202871006,1.822,0.10485755434212546,0.05857095953552556,0.05874752415114537,0.774741391358735,0.08192745231139427,0.0009008010800369193,0.070016023247716,0.056882264873636894,0.5247501884479817,False,
241118bb,S3,development,1.0,4.02,0.28,1.804,1379.0,427.0,427.0000000000004,330.00000000000006,,,,,,0.19702110102487883,0.08190387912880508,,,0.057390762245209906,0.7335362174013583,False,
241118bc,S3,development,1.0,6.08,0.35,1.754,1227.0,379.0,379.00000000000034,397.0,,,,,,-0.18827174387597165,0.08188030594621586,,,0.05790345325438928,-0.0966961107405129,False,
241118bd,S3,development,1.0,7.93,0.33,1.48,1000.0,309.0,309.0000000000003,470.0,,,,,,0.15610424633982134,0.08195102549398348,,,0.05637792978731699,,False,
241118be,S3,development,1.0,10.22,0.34,1.355,968.0,299.0,299.0000000000003,382.0,,,,,,-0.18728195321692262,0.08188030594621586,,,0.05790345325438928,-0.1657625461681749,False,
241118bf,S3,development,1.0,12.08,0.43,1.538,1117.0,345.0,345.0000000000003,376.0000000000001,,,,,,0.22311544510275283,0.08180958639844822,,,0.05946700482533969,0.6198009288504024,False,
241118bg,S3,development,1.0,16.09,0.42,1.279,856.0,265.0,265.0000000000002,373.9999999999999,,,,,,0.14294146103452177,0.08180958639844822,,,0.05946700482533969,-0.7059899988585971,False,
241118bh,S3,development,1.0,20.16,0.36,1.051,761.0,235.0,235.0000000000002,225.99999999999997,,,,,,0.10508883879239525,0.08188030594621586,,,0.05790345325438928,0.6642304400122006,False,
241118bi,S3,development,1.0,24.55,0.45,1.136,759.0,235.0,235.0000000000002,0.0,,,,,,-0.026164098128779567,0.08180958639844822,,,0.05946700482533969,-0.07875823794120115,False,
241118bj,S3,development,1.0,28.85,0.34,0.83,542.0,167.0,167.00000000000014,269.9999999999999,0.6074065948581223,0.503,0.07701042317599391,0.08574635165724291,0.0843862420199638,-0.018967781068149833,0.08180958639844822,0.0004851803648648266,0.18713519938309883,0.05946700482533969,,False,
241118bk,S3,development,1.0,32.58,0.22,0.64,300.0,93.0,93.00000000000009,300.0,0.05342977091190999,0.034,0.30664074052871,4.77961575224232,4.7583200641228895,0.026111154294597747,0.08183315958103744,0.00769465282602962,0.06663396672314988,0.058941542658456816,,False,
