Name,Time_s,D_px,D_mm,D_smooth_mm,u_breakup,r_observed_mm_s,r_mechanical_mm_s,r_unresolved_mm_s,x_rate_ara,Bo_local,G_height_proxy,fluid,D0_mm,coverage
241113m,0.02,134.0,1.84827586206897,1.8416526002732907,0.03759398496240601,8.275862068965424,11.13193585366422,-2.856073784698797,,0.22672888793078955,0.059389059327249014,S1,2.0,0.9868421052631579
241113m,0.021,133.0,1.83448275862069,1.8344827586206898,0.039473684210526314,8.025078369906112,10.9674899966748,-2.9424116267686884,,0.2249669423316591,0.059663093735202344,S1,2.0,0.9868421052631579
241113m,0.022,132.0,1.82068965517241,1.8273129169680893,0.041353383458646614,8.275862068965438,10.806829587442932,-2.5309675184774942,,0.22321186964101172,0.05993317876961,S1,2.0,0.9868421052631579
241113m,0.023,132.0,1.82068965517241,1.817699541837472,0.043233082706766915,8.401253918495172,10.649836787235618,-2.2485828687404457,,0.22086944114075627,0.060118497135304615,S1,2.0,0.9868421052631579
241113m,0.024,131.0,1.80689655172414,1.8098866650590781,0.045112781954887216,8.401253918495328,10.49639836549631,-2.0951444470009815,,0.21897482970846427,0.060358565623993256,S1,2.0,0.9868421052631579
241113m,0.025,131.0,1.80689655172414,1.8014307531548914,0.046992481203007516,8.902821316614535,10.346405483482558,-1.443584166868023,,0.21693347935126991,0.06057270862207077,S1,2.0,0.9868421052631579
241113m,0.026,130.0,1.79310344827586,1.7928140824692562,0.04887218045112782,8.526645768025134,10.199753489732302,-1.6731077217071686,,0.21486315405080128,0.06077674408501353,S1,2.0,0.9868421052631579
241113m,0.027,129.0,1.77931034482759,1.7845189293465165,0.05075187969924812,8.652037617554768,10.056341726622367,-1.4043041090675992,,0.2128794576093227,0.06098702127415603,S1,2.0,0.9868421052631579
241113m,0.028,129.0,1.77931034482759,1.7752592235350861,0.05263157894736842,9.278996865203922,9.916073347333969,-0.6370764821300465,,0.21067596519798548,0.06115949940439104,S1,2.0,0.9868421052631579
241113m,0.029,128.0,1.76551724137931,1.7655172413793099,0.05451127819548872,9.028213166144653,9.778855142587467,-0.7506419764428145,,0.20837008215059644,0.061310129257659454,S1,2.0,0.9868421052631579
241113m,0.03,127.0,1.75172413793103,1.7557752592235334,0.05639097744360902,9.278996865203908,9.644597376552435,-0.3656005113485268,,0.20607688777289526,0.0614553929217604,S1,2.0,0.9868421052631579
241113m,0.031,127.0,1.75172413793103,1.7465155534121026,0.05827067669172932,8.65203761755474,9.513213631379488,-0.861176013824748,,0.20390897985939455,0.061612303790351125,S1,2.0,0.9868421052631579
241113m,0.032,126.0,1.73793103448276,1.7382204002893635,0.06015037593984962,8.526645768025148,9.38462065983777,-0.8579748918126224,,0.2019766301765393,0.06179840656294708,S1,2.0,0.9868421052631579
241113m,0.033,125.0,1.72413793103448,1.7296037296037274,0.06203007518796992,8.90282131661408,9.25873824557666,-0.3559169289625803,,0.1999791246191731,0.06196842074077189,S1,2.0,0.9868421052631579
241113m,0.034,125.0,1.72413793103448,1.721147817699541,0.06390977443609022,8.40125391849449,9.13548907056213,-0.7342351520676402,,0.19802853648528368,0.06213949254394742,S1,2.0,0.9868421052631579
241113m,0.035,124.0,1.71034482758621,1.7121774776947196,0.06578947368421052,7.774294670845393,9.014798589268144,-1.2405039184227515,,0.1959697311048683,0.0622871922196166,S1,2.0,0.9868421052631579
241113m,0.036,124.0,1.71034482758621,1.7040109315971406,0.06766917293233082,7.774294670845677,8.896594909230732,-1.1223002383850549,,0.19410476188046816,0.06245941329410478,S1,2.0,0.9868421052631579
241113m,0.037,123.0,1.69655172413793,1.69796640141468,0.06954887218045112,7.648902821316355,8.780808677598095,-1.1319058562817403,,0.1927301331934175,0.06270550152974956,S1,2.0,0.9868421052631579
241113m,0.038,122.0,1.68275862068966,1.690442890442894,0.07142857142857142,7.398119122257,8.667372973333698,-1.269253851076698,,0.19102598303423057,0.06289323450002879,S1,2.0,0.9868421052631579
241113m,0.039,122.0,1.68275862068966,1.6816011574632297,0.07330827067669173,7.147335423197845,8.55622320475128,-1.4088877815534353,,0.18903291524265353,0.06302741553659315,S1,2.0,0.9868421052631579
241113m,0.04,122.0,1.68275862068966,1.6765211799694573,0.07518796992481203,7.523510971787488,8.447297012081231,-0.9237860402937432,,0.18789253485790394,0.06329875515779494,S1,2.0,0.9868421052631579
241113m,0.041,121.0,1.66896551724138,1.6686761514347728,0.07706766917293233,7.774294670847041,8.340534174786702,-0.566239503939661,,0.1861382193356918,0.06346213772720852,S1,2.0,0.9868421052631579
241113m,0.042,120.0,1.6551724137931,1.6611526404629848,0.07894736842105263,7.272727272727877,8.235876523365501,-0.963149250637624,,0.18446353136944904,0.06363351533215378,S1,2.0,0.9868421052631579
241113m,0.043,120.0,1.6551724137931,1.654111405835541,0.08082706766917293,7.398119122257526,8.133267855390322,-0.7351487331327959,,0.18290305075938657,0.06381935606263706,S1,2.0,0.9868421052631579
241113m,0.044,120.0,1.6551724137931,1.6459448597379605,0.08270676691729323,8.150470219435945,8.032653855555038,0.1178163638809071,0.028910323136929542,0.1811014805188973,0.0639575912723978,S1,2.0,0.9868421052631579
241113m,0.045,118.0,1.62758620689655,1.6368137609516893,0.08458646616541353,8.150470219435675,7.93398201950925,0.21648819992642565,0.05312287367425408,0.17909768487303393,0.06405358216423776,S1,2.0,0.9868421052631579
241113m,0.046,118.0,1.62758620689655,1.6286472148541098,0.08646616541353383,7.398119122256674,7.837201581276317,-0.4390824590196436,,0.17731500093007765,0.0641825549418712,S1,2.0,0.9868421052631579
241113m,0.047,118.0,1.62758620689655,1.6216059802266694,0.08834586466165413,7.272727272726968,7.742263444062745,-0.4695361713357773,,0.17578512064968865,0.06435168610311527,S1,2.0,0.9868421052631579
241113m,0.048,117.0,1.61379310344828,1.6140824692548825,0.09022556390977443,7.774294670846061,7.649120114278181,0.12517455656788012,0.03220216414931893,0.17415777917133946,0.06449766728804024,S1,2.0,0.9868421052631579
241113m,0.049,116.0,1.6,1.6062374407201994,0.09210526315789473,7.523510971786493,7.557725638596153,-0.03421466680966034,,0.17246895287953276,0.06462656810725888,S1,2.0,0.9868421052631579
241113m,0.05,116.0,1.6,1.5999999999999999,0.09398496240601503,6.520376175548336,7.46803554389576,-0.9476593683474244,,0.17113206942251138,0.0648162712937762,S1,2.0,0.9868421052631579
241113m,0.051,116.0,1.6,1.5926050960533722,0.09586466165413533,6.896551724137879,7.380006779933911,-0.483455055796032,,0.1695538434848936,0.06495533088733534,S1,2.0,0.9868421052631579
241113m,0.052,115.0,1.58620689655172,1.5862068965517242,0.09774436090225563,7.272727272727124,7.293597664606528,-0.020870391879403982,,0.16819423440195558,0.06513124281810126,S1,2.0,0.9868421052631579
241113m,0.053,114.0,1.57241379310345,1.5798086970500758,0.09962406015037593,6.896551724137808,7.208767831665382,-0.3122161075275738,,0.16684009846444223,0.06530363042000799,S1,2.0,0.9868421052631579
241113m,0.054,114.0,1.57241379310345,1.572413793103448,0.10150375939849623,6.520376175548122,7.125478180764901,-0.6051020052167786,,0.16528183518244338,0.06543101899488275,S1,2.0,0.9868421052631579
241113m,0.055,114.0,1.57241379310345,1.563861425930392,0.10338345864661654,6.2695924764885405,7.043690829720516,-0.7740983532319756,,0.16348878707758685,0.06550585127570994,S1,2.0,0.9868421052631579
241113m,0.056,113.0,1.55862068965517,1.5589100554617819,0.10526315789473684,6.771159874607989,6.963369068866877,-0.19220919425888816,,0.1624551762183891,0.06572780025728328,S1,2.0,0.9868421052631579
241113m,0.057,112.0,1.5448275862069,1.5536371674302738,0.10714285714285714,6.520376175548691,6.884477317410554,-0.3641011418618634,,0.16135805166325995,0.0659333772809611,S1,2.0,0.9868421052631579
241113m,0.058,112.0,1.5448275862069,1.5470460573908869,0.10902255639097744,6.2695924764896205,6.8069810816778356,-0.5373886051882151,,0.15999187331317363,0.06607974396353457,S1,2.0,0.9868421052631579
241113m,0.059,112.0,1.5448275862069,1.5389759665621747,0.11090225563909774,6.144200626959915,6.7308469151637205,-0.5866462882038057,,0.15832704719457025,0.06615890028310642,S1,2.0,0.9868421052631579
241113m,0.06,112.0,1.5448275862069,1.53418535487501,0.11278195488721804,6.771159874608827,6.656042380293482,0.11511749431534479,0.034002296932029,0.15734288253695594,0.06637549579934178,S1,2.0,0.9868421052631579
241113m,0.061,110.0,1.51724137931034,1.5287517080620514,0.11466165413533834,6.645768025079036,6.582536011813032,0.06323201326600447,0.019029256822503213,0.15623032900783024,0.06656145491302357,S1,2.0,0.9868421052631579
241113m,0.062,110.0,1.51724137931034,1.5216783216783185,0.11654135338345864,6.520376175549444,6.5102972817289295,0.010078893820514523,0.003091506854561261,0.15478794836122836,0.06667257555590704,S1,2.0,0.9868421052631579
241113m,0.063,110.0,1.51724137931034,1.5128044369423637,0.11842105263157894,6.5203761755492735,6.4392965657231995,0.08107960982607398,0.0248696110908797,0.152987876287361,0.06670041495121302,S1,2.0,0.9868421052631579
241113m,0.064,110.0,1.51724137931034,1.5057310505586317,0.12030075187969924,6.645768025078553,6.369505110972162,0.2762629141063906,0.0831394996225813,0.15156057681620333,0.06680324722270915,S1,2.0,0.9868421052631579
241113m,0.065,108.0,1.48965517241379,1.5002974037456753,0.12218045112781954,6.771159874607989,6.300895005302295,0.47026486930569344,0.1389023086189998,0.1504686942548685,0.0669753835289811,S1,2.0,0.9868421052631579
241113m,0.066,108.0,1.48965517241379,1.4955067920585134,0.12406015037593984,6.144200626958707,6.233439147619774,-0.08923852066106708,,0.14950930283272776,0.06717340990547364,S1,2.0,0.9868421052631579
241113m,0.067,108.0,1.48965517241379,1.4874367012298026,0.12593984962406016,6.269592476488526,6.167111219553599,0.1024812569349276,0.03269152096224452,0.14790008481697875,0.06722059046748156,S1,2.0,0.9868421052631579
241113m,0.068,108.0,1.48965517241379,1.4796881279639886,0.12781954887218044,5.893416927899267,6.101885658255563,-0.2084687303562962,,0.14636317282797304,0.06727794441903971,S1,2.0,0.9868421052631579
241113m,0.069,107.0,1.47586206896552,1.4735471425126587,0.12969924812030076,5.015673981190872,6.037737630303133,-1.022063649112261,,0.14515082412590324,0.06740456621123664,S1,2.0,0.9868421052631579
241113m,0.07,106.0,1.46206896551724,1.4726147415802577,0.13157894736842105,4.890282131661152,5.974643006654202,-1.0843608749930498,,0.14496719112033848,0.06776749651449973,S1,2.0,0.9868421052631579
241113m,0.071,106.0,1.46206896551724,1.4671167912547212,0.13345864661654133,5.517241379310036,5.912578338605382,-0.39533695929534574,,0.14388675294879283,0.06791855614090489,S1,2.0,0.9868421052631579
241113m,0.072,106.0,1.46206896551724,1.4606542882404943,0.13533834586466165,5.6426332288398555,5.851520834707881,-0.2088876058680258,,0.1426219312371953,0.06802166876651163,S1,2.0,0.9868421052631579
241113m,0.073,106.0,1.46206896551724,1.454513302789164,0.13721804511278193,5.266457680250568,5.791448338597457,-0.5249906583468888,,0.14142520990563318,0.06813628304631401,S1,2.0,0.9868421052631579
241113m,0.074,106.0,1.46206896551724,1.451137368378747,0.13909774436090225,5.015673981191327,5.732339307697148,-0.7166653265058214,,0.14076947419182068,0.0683778042868459,S1,2.0,0.9868421052631579
241113m,0.075,104.0,1.43448275862069,1.4474399164054332,0.14097744360902253,5.517241379310136,5.674172792753516,-0.15693141344338013,,0.1400530357793952,0.06860222745147618,S1,2.0,0.9868421052631579
241113m,0.076,104.0,1.43448275862069,1.440334378265412,0.14285714285714285,6.144200626958977,5.616928418169204,0.527272208789773,0.1716324842897398,0.13868135940657864,0.06866214714608136,S1,2.0,0.9868421052631579
241113m,0.077,104.0,1.43448275862069,1.4322642874367009,0.14473684210526314,6.269592476488683,5.560586363096425,0.7090061133922578,0.22617295017214273,0.13713166946599953,0.06867190606547911,S1,2.0,0.9868421052631579
241113m,0.078,104.0,1.43448275862069,1.4245157141708866,0.14661654135338345,5.89341692789931,5.505127343257756,0.3882895846415533,0.1317706143624079,0.13565191391570286,0.06869272388419068,S1,2.0,0.9868421052631579
241113m,0.079,103.0,1.42068965517241,1.4183747287195565,0.14849624060150377,5.015673981190886,5.450532593462321,-0.43485861227143463,,0.1344848634700373,0.0687872370923591,S1,2.0,0.9868421052631579
241113m,0.08,102.0,1.40689655172414,1.4162848645607276,0.15037593984962405,4.263322884012425,5.396783850786966,-1.1334609667745417,,0.13408884959015036,0.06907595153275671,S1,2.0,0.9868421052631579
241113m,0.081,102.0,1.40689655172414,1.4122337432682268,0.15225563909774437,5.015673981190986,5.343863338393586,-0.3281893572026,,0.1333228549631674,0.06926731896179866,S1,2.0,0.9868421052631579
241113m,0.082,102.0,1.40689655172414,1.406896551724139,0.15413533834586465,5.266457680250454,5.291753749955088,-0.02529606970463405,,0.1323170370297125,0.06939302145730605,S1,2.0,0.9868421052631579
241113m,0.083,102.0,1.40689655172414,1.4015593601800513,0.15601503759398497,5.015673981190815,5.2404382346638885,-0.22476425347307316,,0.1313150275353205,0.06951578406039827,S1,2.0,0.9868421052631579
241113m,0.084,102.0,1.40689655172414,1.3975082388875515,0.15789473684210525,4.263322884012069,5.189900382798057,-0.9265774987859876,,0.13055700857249206,0.0696997486278165,S1,2.0,0.9868421052631579
241113m,0.085,101.0,1.39310344827586,1.3942609115022928,0.15977443609022557,4.388714733542287,5.140124211821404,-0.7514094782791174,,0.12995097453637058,0.06992179174853452,S1,2.0,0.9868421052631579
241113m,0.086,100.0,1.37931034482759,1.3884092918575701,0.16165413533834586,4.764890282131745,5.091094152994971,-0.32620387086322644,,0.12886247245533972,0.07001072435381213,S1,2.0,0.9868421052631579
241113m,0.087,100.0,1.37931034482759,1.3832328590949308,0.16353383458646614,5.391849529780885,5.042795038478462,0.3490544913024225,0.12947486363426297,0.1279033828778392,0.07013066604949039,S1,2.0,0.9868421052631579
241113m,0.088,100.0,1.37931034482759,1.3770918736436002,0.16541353383458646,5.51724137931086,4.995212088901079,0.5220292904097814,0.18923561777352807,0.12677022693172085,0.07019858739945757,S1,2.0,0.9868421052631579
241113m,0.089,100.0,1.37931034482759,1.3712724057551662,0.16729323308270674,5.141065830721686,4.948330901382328,0.1927349293393581,0.07497858836493544,0.12570105140742688,0.07027960432119486,S1,2.0,0.9868421052631579
241113m,0.09,99.0,1.36551724137931,1.3670605256812158,0.16917293233082706,4.26332288401332,4.902137437984127,-0.638814553970807,,0.12493005264133177,0.07044024954780514,S1,2.0,0.9868421052631579
241113m,0.091,99.0,1.36551724137931,1.3628164938509753,0.17105263157894735,3.6363636363646776,4.856618014576535,-1.2202543782118571,,0.12415556738996952,0.07059690920673277,S1,2.0,0.9868421052631579
241113m,0.092,98.0,1.35172413793103,1.3588939795836317,0.17293233082706766,4.012539184953681,4.811759290100129,-0.799220105146448,,0.12344189664688797,0.07076797499188064,S1,2.0,0.9868421052631579
241113m,0.093,98.0,1.35172413793103,1.3556466521983723,0.17481203007518795,4.639498432602409,4.767548256208955,-0.12804982360654638,,0.12285262728875893,0.07097222822144773,S1,2.0,0.9868421052631579
241113m,0.094,98.0,1.35172413793103,1.3514347721244229,0.17669172932330826,4.76489028213193,4.72397222727857,0.04091805485335964,0.017174815129238147,0.12209042762563153,0.07112392979944558,S1,2.0,0.9868421052631579
241113m,0.095,98.0,1.35172413793103,1.3475444096133715,0.17857142857142858,4.388714733542329,4.681018830764548,-0.2923040972222184,,0.12138851825067452,0.07129032086678815,S1,2.0,0.9868421052631579
241113m,0.096,98.0,1.35172413793103,1.3423358250944424,0.18045112781954886,4.263322884012396,4.638675997897364,-0.3753531138849677,,0.1204519399396414,0.07138446688930604,S1,2.0,0.9868421052631579
241113m,0.097,97.0,1.33793103448276,1.337931034482756,0.18233082706766918,3.761755485893147,4.596931954700264,-0.8351764688071173,,0.11966272601043428,0.07151871042738484,S1,2.0,0.9868421052631579
241113m,0.098,96.0,1.32413793103448,1.3335262438710687,0.18421052631578946,4.263322884012055,4.555775213317321,-0.29245232930526566,,0.118876106093158,0.07165052766871131,S1,2.0,0.9868421052631579
241113m,0.099,96.0,1.32413793103448,1.3283176593521393,0.18609022556390978,4.388714733541704,4.515194563639425,-0.126479830097721,,0.11794928963681654,0.07173650929120871,S1,2.0,0.9868421052631579
241113m,0.1,96.0,1.32413793103448,1.324427296841088,0.18796992481203006,4.764890282131162,4.475179065216543,0.2897112169146192,0.1216024713102279,0.11725940415466063,0.07189117620928105,S1,2.0,0.9868421052631579
241113m,0.101,96.0,1.32413793103448,1.3202154167671396,0.18984962406015038,4.639498432601535,4.435718039445032,0.20378039315650298,0.0878458721850396,0.11651478459231844,0.07202615936294203,S1,2.0,0.9868421052631579
241113m,0.102,96.0,1.32413793103448,1.3169680893818814,0.19172932330827067,4.012539184952793,4.396801062019344,-0.38426187706655135,,0.11594230783004712,0.07221171062630172,S1,2.0,0.9868421052631579
241113m,0.103,95.0,1.31034482758621,1.3130455751145405,0.19360902255639095,3.6363636363633347,4.358417955637903,-0.7220543192745685,,0.1152526812791797,0.07235826550119301,S1,2.0,0.9868421052631579
241113m,0.104,95.0,1.31034482758621,1.3076440800578732,0.19548872180451127,3.63636363636342,4.32055878295336,-0.6841951465899401,,0.11430639833125751,0.07242074990718346,S1,2.0,0.9868421052631579
241113m,0.105,94.0,1.29655172413793,1.3025641025641028,0.19736842105263155,3.3855799373039517,4.283213839757884,-0.8976339024539319,,0.11342000113887606,0.07249815403505706,S1,2.0,0.9868421052631579
241113m,0.106,94.0,1.29655172413793,1.2984486777590227,0.19924812030075187,2.8840125391849583,4.246373648394526,-1.3623611092095675,,0.11270443695642915,0.07262671070907338,S1,2.0,0.9868421052631579
241113m,0.107,94.0,1.29655172413793,1.297098303994855,0.20112781954887216,2.758620689655025,4.210028951386111,-1.4514082617310855,,0.11247013585895668,0.07290842085321257,S1,2.0,0.9868421052631579
241113m,0.108,94.0,1.29655172413793,1.2977091873643587,0.20300751879699247,2.8840125391849867,4.174170705273411,-1.2901581660884247,,0.11257609901429026,0.07330016736361994,S1,2.0,0.9868421052631579
241113m,0.109,94.0,1.29655172413793,1.295715778474398,0.20488721804511276,3.2601880877741607,4.138790074654795,-0.8786019868806347,,0.11223050873768027,0.07354443153512347,S1,2.0,0.9868421052631579
241113m,0.11,94.0,1.29655172413793,1.2932400932400931,0.20676691729323307,3.260188087773976,4.103878426419777,-0.8436903386458008,,0.11180204752639199,0.07376009099016416,S1,2.0,0.9868421052631579
241113m,0.111,94.0,1.29655172413793,1.2883208745277714,0.20864661654135339,3.6363636363633205,4.069427324169299,-0.43306368780597815,,0.11095312129174659,0.07383434657201131,S1,2.0,0.9868421052631579
241113m,0.112,93.0,1.28275862068966,1.2827586206896557,0.21052631578947367,3.76175548589314,4.03542852281581,-0.27367303692266987,,0.10999712161380072,0.07386886271093497,S1,2.0,0.9868421052631579
241113m,0.113,92.0,1.26896551724138,1.2783538300779695,0.212406015037594,4.263322884012524,4.001873963356538,0.2614489206559858,0.12265030248420554,0.10924299311603976,0.07396728737907578,S1,2.0,0.9868421052631579
241113m,0.114,92.0,1.26896551724138,1.2731452455590402,0.21428571428571427,4.388714733542514,3.968755767813587,0.4199589657289269,0.19138130009645962,0.10835459717036582,0.07401655576677389,S1,2.0,0.9868421052631579
241113m,0.115,92.0,1.26896551724138,1.269254883047987,0.2161654135338346,4.764890282131795,3.936066234334807,0.8288240477969877,0.3478879884831996,0.10769340848938719,0.07413995533509309,S1,2.0,0.9868421052631579
241113m,0.116,92.0,1.26896551724138,1.2650430029740372,0.21804511278195488,4.639498432602004,3.903797832449558,0.7357006001524455,0.317146610065708,0.1069798573646833,0.07424234287435548,S1,2.0,0.9868421052631579
241113m,0.117,92.0,1.26896551724138,1.261795675588778,0.2199248120300752,4.012539184953091,3.8719431984738137,0.14059598647927762,0.07007831201076296,0.10643133413066752,0.07439928331725285,S1,2.0,0.9868421052631579
241113m,0.118,91.0,1.2551724137931,1.2578731613214365,0.22180451127819548,3.636363636363434,3.840495131059194,-0.20413149469575975,,0.10577064154462365,0.0745144380159265,S1,2.0,0.9868421052631579
241113m,0.119,91.0,1.2551724137931,1.2524716662647692,0.22368421052631576,3.6363636363633205,3.809446586880807,-0.17308295051748646,,0.10486420208924555,0.07453941222833042,S1,2.0,0.9868421052631579
241113m,0.12,90.0,1.24137931034483,1.2473916887709995,0.22556390977443608,3.3855799373036817,3.778790676458928,-0.3932107391552462,,0.10401527675294733,0.07458063442726297,S1,2.0,0.9868421052631579
241113m,0.121,90.0,1.24137931034483,1.2432762639659203,0.22744360902255636,2.8840125391844893,3.7485206601097825,-0.8645081209252932,,0.1033300695172008,0.07467699396627445,S1,2.0,0.9868421052631579
241113m,0.122,90.0,1.24137931034483,1.2419258902017543,0.22932330827067668,2.758620689654869,3.7186299440208677,-0.9600092543659988,,0.10310572929286468,0.07493793005135944,S1,2.0,0.9868421052631579
241113m,0.123,90.0,1.24137931034483,1.2413793103448303,0.23120300751879697,2.2570532915358754,3.6891120764464396,-1.4320587849105642,,0.10301499422728512,0.07524684468890146,S1,2.0,0.9868421052631579
241113m,0.124,90.0,1.24137931034483,1.2396752672614768,0.23308270676691728,2.1316614420064113,3.6599607440189525,-1.5282993020125413,,0.10273237069140266,0.07548497924146073,S1,2.0,0.9868421052631579
241113m,0.125,90.0,1.24137931034483,1.2397717225303442,0.2349624060150376,2.382445141066036,3.631169768172423,-1.248724627106387,,0.10274835788449327,0.07583230505728064,S1,2.0,0.9868421052631579
241113m,0.126,90.0,1.24137931034483,1.2367816091954025,0.23684210526315788,3.0094043887147564,3.6027331016738207,-0.5933287129590643,,0.10225333329602945,0.07599003979383878,S1,2.0,0.9868421052631579
241113m,0.127,89.0,1.22758620689655,1.2325054256088739,0.2387218045112782,3.3855799373039446,3.57464482525878,-0.18906488795483556,,0.10154747202288089,0.07606675485756137,S1,2.0,0.9868421052631579
241113m,0.128,89.0,1.22758620689655,1.227586206896552,0.24060150375939848,3.510971786833565,3.546899144368018,-0.03592735753445275,,0.10073849003386694,0.07610125105102242,S1,2.0,0.9868421052631579
241113m,0.129,89.0,1.22758620689655,1.2226669881842303,0.2424812030075188,3.3855799373036604,3.519490385981031,-0.13391044867737056,,0.09993274333843778,0.07613303758460682,S1,2.0,0.9868421052631579
241113m,0.13,88.0,1.21379310344828,1.2183908045977028,0.24436090225563908,3.009404388714202,3.4924129955437553,-0.48300860682955316,,0.09923495157216851,0.07620233207651042,S1,2.0,0.9868421052631579
241113m,0.131,88.0,1.21379310344828,1.216558154489192,0.2462406015037594,3.009404388714316,3.465661533987004,-0.456257145272688,,0.09893664635032812,0.07642277104900727,S1,2.0,0.9868421052631579
241113m,0.132,88.0,1.21379310344828,1.2152077807250263,0.24812030075187969,2.6332288401250565,3.439230674832592,-0.8060018347075353,,0.09871712983553518,0.07667262940694954,S1,2.0,0.9868421052631579
241113m,0.133,88.0,1.21379310344828,1.212378426171534,0.25,2.6332288401253408,3.4131152013842367,-0.779886361258896,,0.09825798101669378,0.07682802141136616,S1,2.0,0.9868421052631579
241113m,0.134,88.0,1.21379310344828,1.2110280524073669,0.2518796992481203,3.0094043887151543,3.3873100040003754,-0.37790561528522115,,0.0980392191135018,0.0770759847784142,S1,2.0,0.9868421052631579
241113m,0.135,88.0,1.21379310344828,1.2091954022988534,0.25375939849624063,3.009404388715602,3.3618100774461612,-0.35240568873055933,,0.09774271791093399,0.07729237697129118,S1,2.0,0.9868421052631579
241113m,0.136,87.0,1.2,1.2049192187123237,0.2556390977443609,3.385579937305046,3.3366105183220345,0.04896941898301144,0.028928230843659572,0.09705262802025058,0.0773508948093715,S1,2.0,0.9868421052631579
241113m,0.137,87.0,1.2,1.2,0.2575187969924812,3.5109717868348653,3.311706522566305,0.1992652642685604,0.11351003446723659,0.09626178905016265,0.07736559985961573,S1,2.0,0.9868421052631579
