event,time_s,frequency_hz,T_A,S_B,separation_km,compactness,binding_proxy,inspiral_tau_s
GW150914,-0.6297364234924316,266.6290936488254,1.4220161093483035,1.1340004881620698,238.9817912674172,0.4458646451702215,0.1108302931386699,0.0007114618756147487
GW150914,-0.6258301734924316,271.49991123164045,1.4304369050524772,1.4862094215279473,236.11488964302322,0.45127832355971614,0.11217599203936902,0.0006779316108362464
GW150914,-0.6219239234924316,274.9322306011739,1.417622650720039,1.5129362948498901,234.14563493639258,0.4550737475611577,0.11311943521034465,0.0006555965330709786
GW150914,-0.6180176734924316,276.5969547682256,1.3598974859653405,1.361972174762021,233.20520534345988,0.4569088902139258,0.11357560369187991,0.0006451271879105351
GW150914,-0.6141114234924316,276.2453306249212,1.3503783256041006,1.2538442762997315,233.40305651724748,0.45652157754719486,0.11347932788967156,0.0006473192778612367
GW150914,-0.6102051734924316,274.09617942484874,1.3487917988772273,1.2011227727605565,234.62152227281703,0.4541507127453161,0.11288999288894716,0.0006609426507531958
GW150914,-0.6062989234924316,271.01098999886403,1.361972174762021,1.243470832316329,236.398781943361,0.45073638150606105,0.1120412794145368,0.0006811979350934928
GW150914,-0.6023926734924316,268.6589333987931,1.4006590187942396,1.4311691481571882,237.776526670917,0.44812468689586477,0.11139208042024061,0.0006972175333271244
GW150914,-0.5984864234924316,268.2817663588148,1.4356846473029043,1.253600195264828,237.99932841598124,0.4477051774673665,0.11128780134487874,0.0006998344402005775
GW150914,-0.5945801734924316,268.6758746989844,1.3871125213570905,1.1413229192091774,237.76653126696095,0.4481435254903647,0.11139676320227629,0.0006971003050780768
GW150914,-0.5906739234924316,267.04377247161597,1.3138882108860142,1.1974615572370029,238.73432533639868,0.446326817123793,0.11094517700230355,0.0007085195712035906
GW150914,-0.5867676734924316,262.14281015308865,1.2680009763241396,1.422260190383207,241.70067826046198,0.44084912103873564,0.10958356497630477,0.0007443957095978193
GW150914,-0.5828614234924316,254.36155078143645,1.2389553331706127,1.6473029045643153,246.60517927539541,0.43208148295457194,0.107404159388695,0.0008066797573903898
GW150914,-0.5789551734924316,244.6402958422848,1.197827678789358,1.832926531608494,253.0955488956359,0.4210012069770865,0.10464989248741773,0.0008950152074775211
GW150914,-0.5750489234924316,234.49524358097574,1.1199658286551135,1.7404198193800342,260.34374285692655,0.40928017088602753,0.10173634937532584,0.0010020305482736833
GW150914,-0.5711426734924316,225.82881253664505,1.0087869172565291,1.5947034415425922,266.96250512681644,0.39913294758368517,0.0992140149733398,0.001107881883999509
GW150914,-0.5672364234924316,220.2467508586063,0.9231144740053698,1.501830607761777,271.4543649288604,0.3925283411578783,0.09757228250101459,0.001184349013124668
GW150914,-0.5633301734924316,218.14880377658514,0.881498657554308,1.4766902611667074,273.191979956851,0.39003169705941004,0.09695168205580429,0.001214966120258238
GW150914,-0.5594239234924316,218.59361570392372,0.8873566023919941,1.5759092018550158,272.8212454293474,0.39056170789743394,0.09708342889238612,0.0012083844652975221
GW150914,-0.5555176734924316,220.1976273881973,0.9199414205516231,1.7396875762753234,271.494735586998,0.3924699730741071,0.09755777372149062,0.0011850537152398534
GW150914,-0.5516114234924316,222.09230053694927,0.93605076885526,1.8854039541127654,269.9484476849656,0.3947180748004919,0.09811659303143087,0.0011582857746114809
GW150914,-0.5477051734924316,224.21174179763966,0.9527703197461557,1.9149377593360994,268.24456701596773,0.39722531103210795,0.09873982640399803,0.001129317669480623
GW150914,-0.5437989234924316,226.8291468776054,0.979863314620454,1.8273126678057117,266.1770433594753,0.40031074889388213,0.0995067855840672,0.0010949007963652797
GW150914,-0.5398926734924316,229.97684772798385,1.0228215767634854,1.755308762509153,263.74268614887126,0.4040056356499156,0.10042523782449779,0.0010553926979378469
GW150914,-0.5359864234924316,233.39164090540567,1.0861606053209665,1.782523797900903,261.1637953475805,0.4079950340121984,0.10141689794989286,0.0010147154435510679
GW150914,-0.5320801734924316,236.74339231590625,1.1366853795460092,1.5048816206980717,258.69294923634885,0.41189190459242375,0.10238555808791512,0.0009768564603139004
GW150914,-0.5281739234924316,240.05552137462467,1.2047839882841105,1.0292897241884307,256.307926174049,0.41572468380565986,0.10333828678784733,0.0009413270345692052
GW150914,-0.5242676734924316,243.89194191336873,1.2787405418598976,0.7226019038320722,253.61301390512025,0.4201422077080551,0.10443636772867328,0.0009023572781565255
GW150914,-0.5203614234924316,249.0560396373686,1.3213326824505738,0.6385159873077861,250.09506245753383,0.42605212001609877,0.1059054174069097,0.0008533218290987514
GW150914,-0.5164551734924316,255.3994328154854,1.3983402489626555,0.6548694166463266,245.93662976102155,0.433256045141099,0.10769612483796871,0.0007979675928211275
