split,run,temperature_K,field_G,development_bins,future_bins,mode_variance_fraction,ara_matrix_00,ara_matrix_01,ara_matrix_10,ara_matrix_11,harmonic_frequency_MHz,harmonic_decay_per_us,observed_future_crossing_us,future_correlation_ara,rmse_ara_full,pattern_rmse_ara_full,crossing_time_ara_full_us,crossing_error_ara_full_us,rmse_persistence,pattern_rmse_persistence,crossing_time_persistence_us,crossing_error_persistence_us,rmse_ar1,pattern_rmse_ar1,crossing_time_ar1_us,crossing_error_ar1_us,rmse_diagonal,pattern_rmse_diagonal,crossing_time_diagonal_us,crossing_error_diagonal_us,rmse_harmonic,pattern_rmse_harmonic,crossing_time_harmonic_us,crossing_error_harmonic_us,rmse_wrong_orientation,pattern_rmse_wrong_orientation,crossing_time_wrong_orientation_us,crossing_error_wrong_orientation_us,rmse_broken_order,pattern_rmse_broken_order,crossing_time_broken_order_us,crossing_error_broken_order_us
validation,EMU00069992,300.0,104.0,18,27,0.12865409997573402,-0.12402535083607874,0.20045228310925478,-1.1240253508360791,0.20045228310925461,6.14,0.0,2.7262394399124483,0.3839324479485036,0.02490856740985021,0.023607387827006318,,3.3280002772808075,0.02741954239058822,0.023646589310859112,,3.3280002772808075,0.02614480103047061,0.023610685801476072,,3.3280002772808075,0.02614971458940794,0.023610507643416205,,3.3280002772808075,0.03482755172639881,0.023712771625333213,2.669651367100325,0.056588072812123524,0.028293387773957016,0.02361755424687139,2.7680876098020706,0.041848169889622255,0.026407881614384465,0.02360023143594294,2.6457912462615605,0.08044819365088784
validation,EMU00069998,300.0,140.0,18,27,0.1050029857077572,0.23287872416888625,0.07801828352078308,-0.767121275831113,0.07801828352078269,7.82,1.35,2.8570359913624275,-0.1842150198113845,0.030454379140900295,0.022678134556621415,,3.3280002772808075,0.06169146731666199,0.023171491296019035,,3.3280002772808075,0.031126847714292825,0.022686099652190376,,3.3280002772808075,0.031150146921143946,0.022686023466243252,,3.3280002772808075,0.04958544119395708,0.02295098579236023,,3.3280002772808075,0.029602997447800157,0.02266887052720218,,3.3280002772808075,0.02831221390399362,0.022654348237213177,,3.3280002772808075
validation,EMU00070004,300.0,176.0,18,27,0.1095863901273797,-0.4179998662059227,0.13194860526376573,-1.417999866205922,0.13194860526376548,3.4699999999999998,0.30000000000000004,2.6363830514911495,-0.21732193126009614,0.0351304399089221,0.023640044714945945,,3.3280002772808075,0.038508650789589476,0.023686180290028,,3.3280002772808075,0.035118494010190585,0.02364204365050038,2.732050600661297,0.0956675491701473,0.03495644195030619,0.023639676832836933,,3.3280002772808075,0.04014733482931843,0.02368875162980684,2.6547877246576865,0.018404673166537044,0.03491792600630537,0.023644137180282934,2.738531949975183,0.10214889848403352,0.03486824227218162,0.023646908233816665,2.6831226074629,0.0467395559717505
validation,EMU00070010,300.0,212.0,18,27,0.10806203616675142,0.27815225829889106,-0.1193738446281392,-0.7218477417011093,-0.11937384462813921,1.25,1.35,2.6461771556318268,-0.1995633111387045,0.02675934079020727,0.022932292234102297,,3.3280002772808075,0.0480506629017901,0.02325946498524481,,3.3280002772808075,0.027158775405617445,0.02293151954246612,,3.3280002772808075,0.026580743049954277,0.022927841244861236,,3.3280002772808075,0.02790891946973863,0.022930556756239433,,3.3280002772808075,0.027380694016374756,0.022943528236076354,,3.3280002772808075,0.030377300514790997,0.022949010815844287,2.6750557712943404,0.028878615662513596
validation,EMU00070016,300.0,248.0,18,27,0.16939587871077402,0.6447551501266323,-0.6087503188933526,-0.35524484987336796,-0.6087503188933526,7.46,1.35,3.7439786464347398,0.06309593517816646,0.03757079082759444,0.024306295170081652,,3.3280002772808075,0.05154846541790679,0.024501835443059526,,3.3280002772808075,0.025676203757540848,0.024200185875563746,,3.3280002772808075,0.025635707186846633,0.024200056710766395,,3.3280002772808075,0.025379340288710157,0.02420089156378882,,3.3280002772808075,0.09119127696238738,0.02541947247737659,,3.3280002772808075,0.02611246830944438,0.024236341472365613,,3.3280002772808075
validation,EMU00070022,300.0,284.0,18,27,0.1538273967665534,0.5021242117359491,-0.13415082165766723,-0.4978757882640508,-0.1341508216576674,7.81,0.75,2.8145699974871934,-0.1364888617423462,0.030448506247217712,0.023674774754195237,,3.3280002772808075,0.03386174908369834,0.023717182539130036,,3.3280002772808075,0.02793607374942387,0.023648218703076932,,3.3280002772808075,0.02851335802235837,0.023654669603673396,,3.3280002772808075,0.07279326721648186,0.024489409325486586,,3.3280002772808075,0.032950420618027124,0.023707372781697846,,3.3280002772808075,0.028616198527071264,0.02366073694229125,,3.3280002772808075
validation,EMU00070028,300.0,320.0,18,27,0.13221141069248876,0.19923326771383057,-0.006858837242636484,-0.8007667322861701,-0.006858837242636757,0.8,0.0,2.7786353024436,0.04760843501796112,0.027887949540889617,0.02391835547614702,,3.3280002772808075,0.06569951096781351,0.024365605295711402,,3.3280002772808075,0.027852107752892735,0.02391863164729605,,3.3280002772808075,0.027869187697877863,0.023918231698953834,,3.3280002772808075,0.03584655631214375,0.023994885186934427,2.7132165541091573,0.06541874833444261,0.02790732454216046,0.023918457044933946,,3.3280002772808075,0.02773143236416536,0.023917803159083532,,3.3280002772808075
validation,EMU00070034,300.0,356.0,18,27,0.11330384687358297,-0.09138550986208453,0.35837566829626216,-1.0913855098620837,0.35837566829626155,6.81,0.30000000000000004,2.9525447568415406,0.3760044559044079,0.02635698922136771,0.02420626680082817,,3.3280002772808075,0.04830221972152863,0.024407152369245615,,3.3280002772808075,0.028016203230002756,0.024213921230246536,2.6538999406025248,0.29864481623901584,0.02792829732216626,0.024215140839286366,,3.3280002772808075,0.02893698942766156,0.02423203558919981,3.1970304834318712,0.24448572659033063,0.026515546574071087,0.02419970657311314,2.939796760835163,0.012747996006377438,0.027671466888350125,0.024214060444614553,,3.3280002772808075
validation,EMU00070040,300.0,392.0,18,27,0.12680022900411766,-0.618173466417728,0.20999012470913733,-1.6181734664177287,0.2099901247091378,3.63,0.0,2.6346051218494724,-0.10948899419618224,0.034072199940353626,0.02393640293457532,2.724871819604703,0.09026669775523066,0.0648740407386277,0.024540759706640037,,3.3280002772808075,0.032462188982608636,0.02393005600679711,2.699748492819285,0.0651433709698126,0.03201193072153698,0.023926457084274474,2.691708753983565,0.05710363213409275,0.041344666295006646,0.024082425632354548,2.6564773433704265,0.021872221520954138,0.03415818726146422,0.023937520504822545,2.7286383796224,0.09403325777292748,0.03022989119374218,0.0239276241633402,,3.3280002772808075
validation,EMU00070046,300.0,428.0,18,27,0.1138884581691768,0.22887996103953775,-0.07140553730402147,-0.7711200389604622,-0.0714055373040217,8.63,0.0,2.724235156126045,0.1128814535142204,0.027208864988650487,0.024387730787870127,,3.3280002772808075,0.056263410079208515,0.024756499501586697,,3.3280002772808075,0.02687542280027832,0.024385207958487885,,3.3280002772808075,0.02705336469836086,0.02438643884445619,,3.3280002772808075,0.042236709183058344,0.024521380643210824,2.9009051139706985,0.17666995784465334,0.0273257144676323,0.024388206437497423,,3.3280002772808075,0.02772767021530065,0.024391900114622243,,3.3280002772808075
validation,EMU00070052,300.0,464.0,18,27,0.11949040425476241,-0.006096750334268715,0.16071124722101815,-1.0060967503342695,0.16071124722101798,1.18,0.2,2.7010328641678027,0.228643004601047,0.03366872907252255,0.023684583981142815,,3.3280002772808075,0.03417840680887885,0.023687485575778353,,3.3280002772808075,0.033757187290103775,0.02368566944182819,2.630379823916097,0.0706530402517056,0.03383122520551821,0.02368586134262844,,3.3280002772808075,0.04048588782263233,0.023774638782018104,3.011000977056693,0.30996811288889026,0.033853174810864174,0.023686446092322587,2.693819851561265,0.007213012606537728,0.033791964532536536,0.0236916132471976,,3.3280002772808075
validation,EMU00070058,300.0,500.0,18,27,0.11427582868101527,-0.09028590726053579,0.35329546475569973,-1.0902859072605358,0.3532954647556994,6.01,0.0,2.667168983187362,-0.036101205349896394,0.03720231573340816,0.02350899007206983,2.636893686388324,0.030275296799037843,0.11402561520106438,0.025280498138711062,,3.3280002772808075,0.03653896574816774,0.023487901034166665,,3.3280002772808075,0.0375406047842236,0.023500569078263592,,3.3280002772808075,0.04573374968616738,0.023615880735486358,2.788383435992958,0.12121445280559584,0.03808336039076831,0.02352074128135887,2.8815140274789734,0.2143450442916115,0.03608553015529717,0.02348224122455917,,3.3280002772808075
