dataset,cohort,genotype,condition,plant_id,events,candidate,increment_ara,one_step_median_ara,one_step_mean_ara,carrier_median_ara,carrier_mean_ara
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P4,38,phi,0.7639320225002103,0.09722222222222227,0.09550791717584414,0.6900966300058933,0.6355412785981698
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P4,38,two_fifths,0.8,0.07777777777777772,0.08518518518518517,0.3638888888888836,0.34197530864197234
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P4,38,silver_conjugate,0.8284271247461903,0.0743506530315875,0.08213484026367726,0.14451651537642896,0.25468971235896776
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P4,38,ridge,1.0,0.17500000000000004,0.18981481481481483,0.48611111111111205,0.5200617283950614
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P5,46,persistence,0.0,0.775,0.7612373737373737,0.5027777777777769,0.49406565656565654
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P5,46,one_third,0.6666666666666666,0.14166666666666672,0.185479797979798,0.5777777777777775,0.5491161616161613
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P5,46,one_over_e,0.7357588823428847,0.0975744509904487,0.14783934551716296,0.7167426501306968,0.6408020524013692
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P5,46,three_eighths,0.75,0.09999999999999998,0.14431818181818182,0.8083333333333318,0.7337121212121205
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P5,46,fibonacci_8_21,0.7619047619047619,0.10555555555555557,0.1416125541125541,0.47341269841269806,0.5019660894660888
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P5,46,phi,0.7639320225002103,0.10551242194423416,0.14115181306813399,0.44512162874652894,0.4583035234046342
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P5,46,two_fifths,0.8,0.08888888888888885,0.13724747474747473,0.35277777777777786,0.4758838383838386
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P5,46,silver_conjugate,0.8284271247461903,0.09509379141285695,0.14042535663423517,0.2544010034826947,0.3334661349792198
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P5,46,ridge,1.0,0.22499999999999998,0.2387626262626263,0.4388888888888891,0.48446969696969683
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P6,29,persistence,0.0,0.6944444444444444,0.6874485596707819,0.6111111111111112,0.48086419753086435
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P6,29,one_third,0.6666666666666666,0.05555555555555547,0.1277777777777778,0.40555555555555856,0.37716049382716116
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P6,29,one_over_e,0.7357588823428847,0.09686999345399583,0.13288119074874724,0.2815321371241666,0.29346956562425536
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P6,29,three_eighths,0.75,0.08333333333333337,0.13868312757201645,0.5,0.4837448559670783
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P6,29,fibonacci_8_21,0.7619047619047619,0.08968253968253959,0.14447383891828333,0.6555555555555559,0.6382422104644321
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P6,29,phi,0.7639320225002103,0.09170980027798803,0.1456000948046436,0.6703502502821976,0.6572642716885516
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P6,29,two_fifths,0.8,0.12222222222222223,0.16563786008230455,0.5722222222222193,0.560699588477366
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P6,29,silver_conjugate,0.8284271247461903,0.15064934696841248,0.18143070716352133,0.4945166570925448,0.43637165331098293
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P6,29,ridge,1.0,0.3055555555555556,0.31255144032921806,0.5111111111111111,0.5207818930041151
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P7,35,persistence,0.0,0.8,0.8173400673400674,0.516666666666667,0.5023569023569023
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P7,35,one_third,0.6666666666666666,0.13333333333333341,0.17020202020202022,0.5333333333333279,0.5060606060606059
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P7,35,one_over_e,0.7357588823428847,0.06424111765711538,0.10977862448771364,0.4813000654600419,0.48902400455200457
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P7,35,three_eighths,0.75,0.050000000000000044,0.09898989898989899,0.4277777777777807,0.4671717171717168
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P7,35,fibonacci_8_21,0.7619047619047619,0.05476190476190479,0.09035594035594038,0.405555555555555,0.42409812409812403
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P7,35,phi,0.7639320225002103,0.052734644166456346,0.08894300115305208,0.37717390721927657,0.41521189977179035
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P7,35,two_fifths,0.8,0.033333333333333326,0.07390572390572392,0.1277777777777791,0.19932659932660002
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P7,35,silver_conjugate,0.8284271247461903,0.045093791412856965,0.07934102811404997,0.49047614998587186,0.4395381843241666
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P7,35,ridge,1.0,0.19999999999999996,0.18265993265993266,0.5611111111111136,0.5377104377104381
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P8,55,persistence,0.0,0.7111111111111111,0.7061844863731656,0.48888888888888715,0.4837526205450732
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P8,55,one_third,0.6666666666666666,0.0888888888888889,0.15607966457023065,0.41666666666666785,0.4537735849056589
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P8,55,one_over_e,0.7357588823428847,0.06909221567621804,0.13465025169583653,0.800151966928059,0.6881071939169005
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P8,55,three_eighths,0.75,0.06666666666666665,0.13522012578616352,0.5666666666666629,0.5895178197064977
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P8,55,fibonacci_8_21,0.7619047619047619,0.06190476190476191,0.13664270739742435,0.269047619047619,0.3552710392333043
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P8,55,phi,0.7639320225002103,0.06384575527756742,0.1370634595964797,0.2751294008339644,0.3415984677412706
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P8,55,two_fifths,0.8,0.0888888888888889,0.15062893081761006,0.5055555555555529,0.4854297693920306
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P8,55,silver_conjugate,0.8284271247461903,0.11731601363507915,0.16560347180213522,0.627994415722064,0.5913161350421465
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P8,55,ridge,1.0,0.28888888888888886,0.29381551362683433,0.50555555555556,0.530503144654088
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P9,40,persistence,0.0,0.7611111111111111,0.7723684210526316,0.47499999999999787,0.4931286549707599
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P9,40,one_third,0.6666666666666666,0.09722222222222227,0.15160818713450291,0.5138888888888875,0.513304093567251
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P9,40,one_over_e,0.7357588823428847,0.07464777123177357,0.11575450499113582,0.733137192765204,0.6427202214778772
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P9,40,three_eighths,0.75,0.08055555555555555,0.11125730994152044,0.42499999999999183,0.4491228070175418
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P9,40,fibonacci_8_21,0.7619047619047619,0.07698412698412704,0.10891812865497078,0.3738095238095247,0.33978696741854636
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P9,40,phi,0.7639320225002103,0.0749568663886786,0.10891812865497078,0.37389147958470303,0.3403810714259435
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P9,40,two_fifths,0.8,0.08055555555555555,0.11154970760233918,0.1388888888888964,0.27090643274853643
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P9,40,silver_conjugate,0.8284271247461903,0.08676045807952365,0.11610655329578108,0.324711291123732,0.403362505970731
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P9,40,ridge,1.0,0.23888888888888893,0.22763157894736843,0.558333333333332,0.533479532163743
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P10,41,persistence,0.0,0.7,0.6774928774928775,0.5111111111111066,0.5081196581196579
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P10,41,one_third,0.6666666666666666,0.08333333333333326,0.22108262108262108,0.4666666666666668,0.45626780626780583
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P10,41,one_over_e,0.7357588823428847,0.06979667321267091,0.19936800586585193,0.691082366234312,0.6552497524054206
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P10,41,three_eighths,0.75,0.07777777777777772,0.20014245014245013,0.5166666666666693,0.5035612535612523
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P10,41,fibonacci_8_21,0.7619047619047619,0.07857142857142851,0.20411070411070406,0.36666666666666714,0.44788359788359755
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P10,41,phi,0.7639320225002103,0.08059868916687696,0.20478645764252024,0.38051242194423407,0.45174036943035034
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P10,41,two_fifths,0.8,0.1166666666666667,0.21709401709401704,0.40000000000000213,0.43860398860398986
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P10,41,silver_conjugate,0.8284271247461903,0.14509379141285694,0.2303733285800528,0.648629093415078,0.5699948067811955
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P10,41,ridge,1.0,0.30000000000000004,0.3225071225071225,0.472222222222225,0.462535612535613
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P11,32,persistence,0.0,0.7138888888888889,0.6853703703703703,0.48611111111110983,0.49814814814814823
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P11,32,one_third,0.6666666666666666,0.07500000000000007,0.1553703703703704,0.39444444444444215,0.41074074074074035
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P11,32,one_over_e,0.7357588823428847,0.055555555555555525,0.13865673986794022,0.7431156341076051,0.7012608373464146
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P11,32,three_eighths,0.75,0.05555555555555558,0.1416666666666667,0.5333333333333306,0.5672222222222204
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P11,32,fibonacci_8_21,0.7619047619047619,0.06190476190476191,0.14801587301587302,0.3646825396825397,0.4408465608465607
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P11,32,phi,0.7639320225002103,0.06393202250021035,0.14909707866677882,0.3383281519417105,0.4295022408044831
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P11,32,two_fifths,0.8,0.10000000000000009,0.16870370370370374,0.44722222222222463,0.4744444444444457
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P11,32,silver_conjugate,0.8284271247461903,0.12842712474619034,0.1888095211101692,0.5476550729624599,0.5274458924765025
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P11,32,ridge,1.0,0.2861111111111111,0.31462962962962965,0.4555555555555566,0.43629629629629657
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P12,40,persistence,0.0,0.8166666666666667,0.7961988304093567,0.47500000000000053,0.5162280701754381
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P12,40,one_third,0.6666666666666666,0.15833333333333333,0.17397660818713448,0.3861111111111075,0.4375730994152052
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P12,40,one_over_e,0.7357588823428847,0.08924111765711529,0.12006842449789695,0.454302728682745,0.4289016427220713
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P12,40,three_eighths,0.75,0.08611111111111114,0.11345029239766082,0.5027777777777791,0.501754385964912
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P12,40,fibonacci_8_21,0.7619047619047619,0.07420634920634928,0.10906432748538013,0.5035714285714299,0.5213659147869686
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P12,40,phi,0.7639320225002103,0.07217908861090083,0.10831744200284649,0.48507590443939996,0.5117097524770695
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P12,40,two_fifths,0.8,0.06666666666666665,0.09970760233918127,0.24722222222222268,0.2945906432748531
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P12,40,silver_conjugate,0.8284271247461903,0.06879509747603196,0.09769499486968253,0.38336943965738346,0.3607218561451576
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P12,40,ridge,1.0,0.18333333333333335,0.2038011695906433,0.5111111111111137,0.5203216374269016
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P13,33,persistence,0.0,0.7055555555555556,0.6956989247311829,0.5111111111111152,0.5256272401433689
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P13,33,one_third,0.6666666666666666,0.06666666666666665,0.074910394265233,0.5499999999999989,0.5367383512544793
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P13,33,one_over_e,0.7357588823428847,0.046869993453995784,0.07070770292576857,0.591234333162376,0.6118795626026885
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P13,33,three_eighths,0.75,0.05555555555555558,0.07831541218637993,0.7555555555555582,0.7062724014336914
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P13,33,fibonacci_8_21,0.7619047619047619,0.06190476190476191,0.08637992831541215,0.8047619047619037,0.6889656938044023
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P13,33,phi,0.7639320225002103,0.06393202250021035,0.08775323388007077,0.760162171662035,0.6831162738699079
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P13,33,two_fifths,0.8,0.09444444444444444,0.11397849462365596,0.588888888888889,0.5209677419354841
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P13,33,silver_conjugate,0.8284271247461903,0.12287156919063469,0.13658706563915501,0.4296536060349201,0.4702252996434006
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P13,33,ridge,1.0,0.2944444444444444,0.3043010752688172,0.5166666666666675,0.5213261648745515
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P14,28,persistence,0.0,0.6527777777777777,0.6442307692307693,0.6000000000000001,0.4970085470085471
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P14,28,one_third,0.6666666666666666,0.08333333333333337,0.08867521367521368,0.3861111111111084,0.3670940170940157
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P14,28,one_over_e,0.7357588823428847,0.08298110456510693,0.10688871492748524,0.2716738528858662,0.3276721636257083
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P14,28,three_eighths,0.75,0.09722222222222227,0.11431623931623933,0.35000000000000053,0.4177350427350426
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P14,28,fibonacci_8_21,0.7619047619047619,0.10912698412698413,0.12213064713064711,0.4428571428571395,0.5112332112332104
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P14,28,phi,0.7639320225002103,0.11115424472243257,0.12353413523518834,0.4813750941706605,0.5209677111224498
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P14,28,two_fifths,0.8,0.1472222222222223,0.1557692307692308,0.5333333333333341,0.5004273504273504
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P14,28,silver_conjugate,0.8284271247461903,0.17564934696841256,0.18419635551542107,0.5166305603426165,0.5071983539421433
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P14,28,ridge,1.0,0.34722222222222227,0.3557692307692308,0.49722222222222356,0.5371794871794873
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P15,27,persistence,0.0,0.6722222222222223,0.6557777777777778,0.6055555555555554,0.5506666666666667
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P15,27,one_third,0.6666666666666666,0.15000000000000002,0.30866666666666664,0.43888888888889,0.4004444444444449
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P15,27,one_over_e,0.7357588823428847,0.20242554900955134,0.28990297803961795,0.2621277450477564,0.3874085853711431
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P15,27,three_eighths,0.75,0.2055555555555556,0.2897777777777778,0.37777777777777777,0.41622222222222205
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P15,27,fibonacci_8_21,0.7619047619047619,0.19365079365079374,0.29025396825396826,0.3682539682539723,0.4684444444444449
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P15,27,phi,0.7639320225002103,0.1916235330553453,0.2903350586777862,0.36683920111195256,0.46787681147771903
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P15,27,two_fifths,0.8,0.18888888888888888,0.29266666666666663,0.5111111111111111,0.5106666666666669
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P15,27,silver_conjugate,0.8284271247461903,0.21731601363507913,0.29701875828257135,0.6130591520163491,0.526632038607448
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P15,27,ridge,1.0,0.3277777777777777,0.34422222222222215,0.5611111111111118,0.5239999999999999
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P16,28,persistence,0.0,0.6916666666666667,0.698076923076923,0.6000000000000001,0.4760683760683762
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P16,28,one_third,0.6666666666666666,0.06666666666666665,0.07200854700854703,0.7111111111111112,0.5461538461538465
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P16,28,one_over_e,0.7357588823428847,0.06909221567621804,0.0752647833035536,0.30535941498742547,0.3943197105421993
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P16,28,three_eighths,0.75,0.07222222222222219,0.08183760683760684,0.39722222222222126,0.4972222222222214
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P16,28,fibonacci_8_21,0.7619047619047619,0.08333333333333331,0.08824786324786323,0.44642857142857073,0.5016483516483509
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P16,28,phi,0.7639320225002103,0.08333333333333331,0.08933946510695086,0.4586352686125834,0.5000321832795498
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P16,28,two_fifths,0.8,0.10833333333333339,0.11089743589743593,0.5833333333333339,0.5145299145299155
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P16,28,silver_conjugate,0.8284271247461903,0.13676045807952364,0.13324175512711828,0.7362192883671415,0.638272838131264
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P16,28,ridge,1.0,0.30833333333333335,0.30192307692307685,0.5833333333333335,0.5106837606837609
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P17,35,persistence,0.0,0.6722222222222223,0.6893939393939394,0.5444444444444438,0.4853535353535354
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P17,35,one_third,0.6666666666666666,0.12777777777777777,0.15740740740740738,0.4166666666666643,0.45336700336700236
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P17,35,one_over_e,0.7357588823428847,0.15313000654600417,0.15680750821914466,0.5076689281649145,0.5054058753949722
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P17,35,three_eighths,0.75,0.15000000000000002,0.15925925925925927,0.4222222222222225,0.48552188552188585
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P17,35,fibonacci_8_21,0.7619047619047619,0.13809523809523816,0.1622174122174122,0.36746031746031704,0.3863155363155369
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P17,35,phi,0.7639320225002103,0.13606797749978972,0.16289316574922832,0.34110592971948783,0.3690745410503853
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P17,35,two_fifths,0.8,0.1444444444444445,0.17895622895622898,0.43888888888889,0.44057239057239034
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P17,35,silver_conjugate,0.8284271247461903,0.1673160136350792,0.1929664590289513,0.4973303994782512,0.507964933257706
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P17,35,ridge,1.0,0.3277777777777777,0.3106060606060606,0.44444444444444287,0.47087542087542084
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P18,43,persistence,0.0,0.8277777777777777,0.8123306233062331,0.5611111111111091,0.5288617886178859
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P18,43,one_third,0.6666666666666666,0.1611111111111111,0.15731707317073174,0.5388888888888879,0.48902439024390193
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P18,43,one_over_e,0.7357588823428847,0.0975744509904487,0.10969889160308575,0.6037543593463912,0.5459863039853317
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P18,43,three_eighths,0.75,0.08333333333333337,0.1037940379403794,0.4555555555555557,0.42249322493224944
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P18,43,fibonacci_8_21,0.7619047619047619,0.07698412698412704,0.0994386372435153,0.2698412698412689,0.34570267131242777
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P18,43,phi,0.7639320225002103,0.0749568663886786,0.09869695653786344,0.27478433194339225,0.34856271893690466
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P18,43,two_fifths,0.8,0.07777777777777772,0.08983739837398373,0.6944444444444429,0.5841463414634142
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P18,43,silver_conjugate,0.8284271247461903,0.09379509747603199,0.08863372390979868,0.10468985407508313,0.16887867897149386
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P18,43,ridge,1.0,0.17222222222222228,0.18766937669376693,0.5277777777777786,0.5126016260162605
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P19,19,persistence,0.0,0.8777777777777778,0.8565359477124184,0.5611111111111127,0.5316993464052286
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P19,19,one_third,0.6666666666666666,0.21111111111111114,0.20228758169934644,0.4944444444444436,0.5284313725490195
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P19,19,one_over_e,0.7357588823428847,0.15798110456510694,0.1422628154632843,0.21807558173957187,0.34910200034483324
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P19,19,three_eighths,0.75,0.15000000000000002,0.13137254901960785,0.3111111111111118,0.4111111111111109
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P19,19,fibonacci_8_21,0.7619047619047619,0.13809523809523816,0.12376283846872085,0.4658730158730169,0.46727357609710524
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P19,19,phi,0.7639320225002103,0.13606797749978972,0.1226895828593658,0.49222740361384787,0.47550186910216125
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P19,19,two_fifths,0.8,0.09999999999999998,0.10490196078431371,0.6166666666666654,0.544771241830065
Landrein2015,Col0_JL,Col0,JL,Col0_JL_P19,19,silver_conjugate,0.8284271247461903,0.09379509747603199,0.09531024595982264,0.3608225439509525,0.3408581854807571
