genotype,plant,split,n_events,candidate,candidate_type,increment_ara,heldout_n,one_step_median_ara,one_step_mean_ara,carrier_median_ara,carrier_mean_ara
Col,7,development,7,development_step_fit,development_fit,0.767655555556,5,0.0392,0.0420211111111,0.0253,0.0363211111111
Col,7,development,7,development_carrier_fit,development_fit,0.766279999999,5,0.0405755555563,0.0417459999998,0.0280511111126,0.0376966666674
Col,8,confirmation,7,persistence,fixed,0,5,0.768288888889,0.765376666667,0.461388888889,0.54245
Col,8,confirmation,7,one_third_phase,fixed,0.666666666667,5,0.101622222222,0.09871,0.322838888889,0.325098888889
Col,8,confirmation,7,one_over_e,fixed,0.735758882343,5,0.0431811045651,0.0468915568648,0.11556224186,0.11782224186
Col,8,confirmation,7,nearest_eighth_3_8,fixed,0.75,5,0.0342277777778,0.0440433333333,0.0768833333333,0.0750988888889
Col,8,confirmation,7,fibonacci_8_21,fixed,0.761904761905,5,0.0261492063492,0.0416623809524,0.0371246031746,0.0393846031746
Col,8,confirmation,7,phi,fixed,0.7639320225,5,0.0281764669447,0.0412569288333,0.0310428213883,0.0333028213883
Col,8,confirmation,7,two_fifths_phase,fixed,0.8,5,0.0460333333333,0.0530366666667,0.0771611111111,0.0933144444444
Col,8,confirmation,7,silver_conjugate,fixed,0.828427124746,5,0.0601382358573,0.0700929415144,0.16244248535,0.167224968785
Col,8,confirmation,7,half_turn_ridge,fixed,1,5,0.231711111111,0.234623333333,0.677161111111,0.605654444444
Col,8,confirmation,7,development_step_fit,development_fit,0.767655555556,5,0.0319,0.0405122222222,0.0198722222222,0.02669
Col,8,confirmation,7,development_carrier_fit,development_fit,0.766279999999,5,0.0305244444437,0.0407873333335,0.0239988888912,0.0280655555563
Col,9,development,7,persistence,fixed,0,5,0.766388888889,0.7616,0.476766666667,0.528758888889
Col,9,development,7,one_third_phase,fixed,0.666666666667,5,0.0997222222222,0.0949333333333,0.254016666667,0.275585555556
Col,9,development,7,one_over_e,fixed,0.735758882343,5,0.030630006546,0.0278313372609,0.0517155686476,0.0683089085269
Col,9,development,7,nearest_eighth_3_8,fixed,0.75,5,0.0192166666667,0.0192866666667,0.0232333333333,0.0255855555556
Col,9,development,7,fibonacci_8_21,fixed,0.761904761905,5,0.0102619047619,0.0141679365079,0.00506031746032,0.0101287301587
Col,9,development,7,phi,fixed,0.7639320225,5,0.00823464416646,0.0137624843888,0.0116601125011,0.0162105119451
Col,9,development,7,two_fifths_phase,fixed,0.8,5,0.0336111111111,0.0384,0.145983333333,0.124414444444
Col,9,development,7,silver_conjugate,fixed,0.828427124746,5,0.0620382358573,0.0668271247462,0.231264707572,0.209695818683
Col,9,development,7,half_turn_ridge,fixed,1,5,0.233611111111,0.2384,0.745983333333,0.647614444444
Col,9,development,7,development_step_fit,development_fit,0.767655555556,5,0.0108111111111,0.0135244444444,0.0302777777778,0.0273811111111
Col,9,development,7,development_carrier_fit,development_fit,0.766279999999,5,0.0094355555548,0.013292888889,0.0233999999962,0.0232544444422
Col,10,confirmation,7,persistence,fixed,0,5,0.722766666667,0.750312222222,0.5122,0.564295555556
Col,10,confirmation,7,one_third_phase,fixed,0.666666666667,5,0.0561,0.0836455555556,0.313033333333,0.27436
Col,10,confirmation,7,one_over_e,fixed,0.735758882343,5,0.0315644378984,0.0403751098019,0.0727666993967,0.0670833529713
Col,10,confirmation,7,nearest_eighth_3_8,fixed,0.75,5,0.0342388888889,0.0432233333333,0.0336055555556,0.02924
Col,10,confirmation,7,fibonacci_8_21,fixed,0.761904761905,5,0.0461436507937,0.0456042857143,0.027319047619,0.0309622222222
Col,10,confirmation,7,phi,fixed,0.7639320225,5,0.0481709113891,0.0460097378334,0.0212372658327,0.0338003870558
Col,10,confirmation,7,two_fifths_phase,fixed,0.8,5,0.0772333333333,0.0597811111111,0.1122,0.12564
Col,10,confirmation,7,silver_conjugate,fixed,0.828427124746,5,0.10566045808,0.078114902524,0.172248040905,0.210921374239
Col,10,confirmation,7,half_turn_ridge,fixed,1,5,0.277233333333,0.249687777778,0.686966666667,0.626264444444
Col,10,confirmation,7,development_step_fit,development_fit,0.767655555556,5,0.0518944444444,0.0467544444444,0.0348222222222,0.0390133333333
Col,10,confirmation,7,development_carrier_fit,development_fit,0.766279999999,5,0.0505188888881,0.0464793333332,0.029319999997,0.0370875555545
Col,11,development,7,persistence,fixed,0,5,0.773994444444,0.758405555556,0.468333333333,0.547795555556
Col,11,development,7,one_third_phase,fixed,0.666666666667,5,0.107327777778,0.0917388888889,0.305661111111,0.319615555556
Col,11,development,7,one_over_e,fixed,0.735758882343,5,0.0644355621016,0.0692648901981,0.113233366063,0.112338908527
Col,11,development,7,nearest_eighth_3_8,fixed,0.75,5,0.0638277777778,0.0664166666667,0.0556611111111,0.0696155555556
Col,11,development,7,fibonacci_8_21,fixed,0.761904761905,5,0.0757325396825,0.0640357142857,0.0199468253968,0.0408996825397
Col,11,development,7,phi,fixed,0.7639320225,5,0.077759800278,0.0636302621666,0.0276323347233,0.0388724219442
Col,11,development,7,two_fifths_phase,fixed,0.8,5,0.0628666666667,0.0668188888889,0.0941444444444,0.105531111111
Col,11,development,7,silver_conjugate,fixed,0.828427124746,5,0.0544326803017,0.0837973859588,0.179620263127,0.179441635451
Col,11,development,7,half_turn_ridge,fixed,1,5,0.226005555556,0.241594444444,0.694338888889,0.597195555556
Col,11,development,7,development_step_fit,development_fit,0.767655555556,5,0.0814833333333,0.0628855555556,0.0352333333333,0.0366066666667
Col,11,development,7,development_carrier_fit,development_fit,0.766279999999,5,0.080107777777,0.0631606666668,0.0393722222184,0.0368817777779
Col,12,confirmation,7,persistence,fixed,0,5,0.779205555556,0.757484444444,0.497777777778,0.551408888889
Col,12,confirmation,7,one_third_phase,fixed,0.666666666667,5,0.112538888889,0.0908177777778,0.281427777778,0.291797777778
Col,12,confirmation,7,one_over_e,fixed,0.735758882343,5,0.0441411176571,0.0496415568648,0.090830006546,0.0845211307491
Col,12,confirmation,7,nearest_eighth_3_8,fixed,0.75,5,0.0299,0.0467933333333,0.0374222222222,0.0417977777778
Col,12,confirmation,7,fibonacci_8_21,fixed,0.761904761905,5,0.0358103174603,0.0444123809524,0.0215873015873,0.0252736507937
Col,12,confirmation,7,phi,fixed,0.7639320225,5,0.0378375780558,0.0440069288333,0.0256418227782,0.0273009113891
Col,12,confirmation,7,two_fifths_phase,fixed,0.8,5,0.0265888888889,0.0531511111111,0.118572222222,0.118837777778
Col,12,confirmation,7,silver_conjugate,fixed,0.828427124746,5,0.0492215691906,0.0709426803017,0.203853596461,0.193483596461
Col,12,confirmation,7,half_turn_ridge,fixed,1,5,0.220794444444,0.242515555556,0.718572222222,0.623171111111
Col,12,confirmation,7,development_step_fit,development_fit,0.767655555556,5,0.0415611111111,0.0432622222222,0.0330888888889,0.0347422222222
Col,12,confirmation,7,development_carrier_fit,development_fit,0.766279999999,5,0.0401855555548,0.0435373333335,0.0303377777763,0.0311657777758
Col,13,development,5,persistence,fixed,0,3,0.801011111111,0.773172222222,0.481494444444,0.548335185185
Col,13,development,5,one_third_phase,fixed,0.666666666667,3,0.134344444444,0.106505555556,0.185172222222,0.227338888889
Col,13,development,5,one_over_e,fixed,0.735758882343,3,0.0652522287682,0.0782451873672,0.108235562102,0.0891544575365
Col,13,development,5,nearest_eighth_3_8,fixed,0.75,3,0.0754888888889,0.0734981481481,0.0695166666667,0.0606722222222
Col,13,development,5,fibonacci_8_21,fixed,0.761904761905,3,0.0820896825397,0.0695298941799,0.0338023809524,0.0403986772487
Col,13,development,5,phi,fixed,0.7639320225,3,0.0800624219442,0.0688541406481,0.027720599166,0.039047170185
Col,13,development,5,two_fifths_phase,fixed,0.8,3,0.0439944444444,0.0568314814815,0.0804833333333,0.0686574074074
Col,13,development,5,silver_conjugate,fixed,0.828427124746,3,0.0274160136351,0.0656331156561,0.138348693937,0.106560240402
Col,13,development,5,half_turn_ridge,fixed,1,3,0.198988888889,0.226827777778,0.481494444444,0.439327777778
Col,13,development,5,development_step_fit,development_fit,0.767655555556,3,0.0763388888889,0.067612962963,0.0168055555556,0.0365648148148
Col,13,development,5,development_carrier_fit,development_fit,0.766279999999,3,0.0777144444452,0.0680714814817,0.0206766666689,0.0374818518524
Col,14,confirmation,7,persistence,fixed,0,5,0.749583333333,0.761858888889,0.514927777778,0.552265555556
Col,14,confirmation,7,one_third_phase,fixed,0.666666666667,5,0.0829166666667,0.0951922222222,0.320611111111,0.29809
Col,14,confirmation,7,one_over_e,fixed,0.735758882343,5,0.0559644378984,0.0484857817054,0.113334464082,0.0908133529713
Col,14,confirmation,7,nearest_eighth_3_8,fixed,0.75,5,0.0552777777778,0.0444677777778,0.0592944444444,0.0540611111111
Col,14,confirmation,7,fibonacci_8_21,fixed,0.761904761905,5,0.043373015873,0.0468487301587,0.0348968253968,0.0279623809524
Col,14,confirmation,7,phi,fixed,0.7639320225,5,0.0413457552776,0.0472541822778,0.0288150436105,0.0275569288333
Col,14,confirmation,7,two_fifths_phase,fixed,0.8,5,0.0504166666667,0.0544677777778,0.114927777778,0.104021111111
Col,14,confirmation,7,silver_conjugate,fixed,0.828427124746,5,0.0788437914129,0.0694129415144,0.17178202727,0.187191374239
Col,14,confirmation,7,half_turn_ridge,fixed,1,5,0.250416666667,0.238141111111,0.679388888889,0.625627777778
Col,14,confirmation,7,development_step_fit,development_fit,0.767655555556,5,0.0376222222222,0.0479988888889,0.0289833333333,0.0269833333333
Col,14,confirmation,7,development_carrier_fit,development_fit,0.766279999999,5,0.0389977777785,0.0477237777776,0.0221055555518,0.0270873333335
Col,15,development,7,persistence,fixed,0,5,0.780161111111,0.780898888889,0.424844444444,0.515815555556
Col,15,development,7,one_third_phase,fixed,0.666666666667,5,0.113494444444,0.114232222222,0.355316666667,0.368642222222
Col,15,development,7,one_over_e,fixed,0.735758882343,5,0.0444022287682,0.051712448372,0.148040019638,0.161365575194
Col,15,development,7,nearest_eighth_3_8,fixed,0.75,5,0.0306722222222,0.0431677777778,0.105827777778,0.118642222222
Col,15,development,7,fibonacci_8_21,fixed,0.761904761905,5,0.0351952380952,0.0399557142857,0.093923015873,0.0829279365079
Col,15,development,7,phi,fixed,0.7639320225,5,0.0331679774998,0.0395502621666,0.0848343319434,0.0768461547216
Col,15,development,7,two_fifths_phase,fixed,0.8,5,0.0479222222222,0.0414322222222,0.0475833333333,0.0536888888889
Col,15,development,7,silver_conjugate,fixed,0.828427124746,5,0.0482660136351,0.0584884970699,0.129964707572,0.127599413229
Col,15,development,7,half_turn_ridge,fixed,1,5,0.219838888889,0.219101111111,0.644683333333,0.593155555556
Col,15,development,7,development_step_fit,development_fit,0.767655555556,5,0.0294444444444,0.0388055555556,0.0662166666667,0.0656755555556
Col,15,development,7,development_carrier_fit,development_fit,0.766279999999,5,0.0308200000008,0.0390806666668,0.0730944444482,0.0698022222245
Col,16,confirmation,7,persistence,fixed,0,5,0.781838888889,0.778868888889,0.441361111111,0.521008888889
Col,16,confirmation,7,one_third_phase,fixed,0.666666666667,5,0.115172222222,0.112202222222,0.340477777778,0.346255555556
Col,16,confirmation,7,one_over_e,fixed,0.735758882343,5,0.046080006546,0.0450313372609,0.133201130749,0.138978908527
Col,16,confirmation,7,nearest_eighth_3_8,fixed,0.75,5,0.0318388888889,0.0364866666667,0.0904777777778,0.0962555555556
Col,16,confirmation,7,fibonacci_8_21,fixed,0.761904761905,5,0.0223063492063,0.0293438095238,0.0625142857143,0.0605412698413
Col,16,confirmation,7,phi,fixed,0.7639320225,5,0.0202790886109,0.0281274531665,0.0544052433325,0.0544594880549
Col,16,confirmation,7,two_fifths_phase,fixed,0.8,5,0.0276833333333,0.0322044444444,0.0595222222222,0.0648177777778
Col,16,confirmation,7,silver_conjugate,fixed,0.828427124746,5,0.0465882358573,0.0495582358573,0.144803596461,0.139025818683
Col,16,confirmation,7,half_turn_ridge,fixed,1,5,0.218161111111,0.221131111111,0.659522222222,0.611482222222
Col,16,confirmation,7,development_step_fit,development_fit,0.767655555556,5,0.0165555555556,0.0258933333333,0.0395111111111,0.0432888888889
Col,16,confirmation,7,development_carrier_fit,development_fit,0.766279999999,5,0.0179311111119,0.0267186666671,0.0450133333364,0.0474155555578
Col,17,development,7,persistence,fixed,0,5,0.722194444444,0.750793333333,0.480066666667,0.569974444444
Col,17,development,7,one_third_phase,fixed,0.666666666667,5,0.0555277777778,0.0841266666667,0.323972222222,0.298001111111
Col,17,development,7,one_over_e,fixed,0.735758882343,5,0.0617922156762,0.0563606653575,0.103131137295,0.0907244640825
Col,17,development,7,nearest_eighth_3_8,fixed,0.75,5,0.0540388888889,0.0592088888889,0.0461666666667,0.0480011111111
Col,17,development,7,fibonacci_8_21,fixed,0.761904761905,5,0.0541047619048,0.0615898412698,0.0382579365079,0.0366411111111
Col,17,development,7,phi,fixed,0.7639320225,5,0.0561320225002,0.0619952933889,0.0321761547216,0.0394792759447
Col,17,development,7,two_fifths_phase,fixed,0.8,5,0.0778055555556,0.0692088888889,0.0800666666667,0.120385555556
Col,17,development,7,silver_conjugate,fixed,0.828427124746,5,0.106232680302,0.084649608181,0.161309152016,0.194296079896
Col,17,development,7,half_turn_ridge,fixed,1,5,0.277805555556,0.249206666667,0.676027777778,0.603585555556
Col,17,development,7,development_step_fit,development_fit,0.767655555556,5,0.0598555555556,0.06274,0.0244555555556,0.0446922222222
Col,17,development,7,development_carrier_fit,development_fit,0.766279999999,5,0.0584799999992,0.0624648888887,0.0251322222245,0.0427664444434
Col,18,confirmation,6,persistence,fixed,0,4,0.776569444444,0.77115,0.662655555556,0.64345
Col,18,confirmation,6,one_third_phase,fixed,0.666666666667,4,0.109902777778,0.104483333333,0.265608333333,0.284813888889
Col,18,confirmation,6,one_over_e,fixed,0.735758882343,4,0.0634694444444,0.0659261143841,0.12341279087,0.112083349698
Col,18,confirmation,6,nearest_eighth_3_8,fixed,0.75,4,0.0634694444444,0.0588055555556,0.0838444444444,0.0764805555556
Col,18,confirmation,6,fibonacci_8_21,fixed,0.761904761905,4,0.0634694444444,0.05805,0.0421777777778,0.0467186507937
Col,18,confirmation,6,phi,fixed,0.7639320225,4,0.0634694444444,0.05805,0.0350823656937,0.041650499305
Col,18,confirmation,6,two_fifths_phase,fixed,0.8,4,0.0526305555556,0.05805,0.067725,0.0769055555556
Col,18,confirmation,6,silver_conjugate,fixed,0.828427124746,4,0.0526305555556,0.0714496734842,0.138792811865,0.133759805048
Col,18,confirmation,6,half_turn_ridge,fixed,1,4,0.223430555556,0.22885,0.567725,0.548519444444
Col,18,confirmation,6,development_step_fit,development_fit,0.767655555556,4,0.0615444444444,0.05805,0.02205,0.0342666666667
Col,18,confirmation,6,development_carrier_fit,development_fit,0.766279999999,4,0.0629200000008,0.05805,0.0268644444471,0.0363300000011
e1e2,1,development,6,persistence,fixed,0,4,0.770547222222,0.775641666667,0.484105555556,0.477273611111
e1e2,1,development,6,one_third_phase,fixed,0.666666666667,4,0.219263888889,0.224358333333,0.261963888889,0.302023611111
e1e2,1,development,6,one_over_e,fixed,0.735758882343,4,0.219263888889,0.224358333333,0.148015003273,0.163839179759
e1e2,1,development,6,nearest_eighth_3_8,fixed,0.75,4,0.219263888889,0.224358333333,0.140894444444,0.147726388889
e1e2,1,development,6,fibonacci_8_21,fixed,0.761904761905,4,0.219263888889,0.224358333333,0.134942063492,0.141774007937
e1e2,1,development,6,phi,fixed,0.7639320225,4,0.219263888889,0.224358333333,0.133928433194,0.140760377639
e1e2,1,development,6,two_fifths_phase,fixed,0.8,4,0.219263888889,0.224358333333,0.129558333333,0.122726388889
e1e2,1,development,6,silver_conjugate,fixed,0.828427124746,4,0.229452777778,0.224358333333,0.128773367421,0.135605311865
e1e2,1,development,6,half_turn_ridge,fixed,1,4,0.229452777778,0.224358333333,0.557705555556,0.5645375
e1e2,1,development,6,development_step_fit,development_fit,0.767655555556,4,0.219263888889,0.224358333333,0.132066666667,0.138898611111
e1e2,1,development,6,development_carrier_fit,development_fit,0.766279999999,4,0.219263888889,0.224358333333,0.132754444445,0.139586388889
e1e2,2,confirmation,4,persistence,fixed,0,2,0.68425,0.68425,0.716933333333,0.716933333333
e1e2,2,confirmation,4,one_third_phase,fixed,0.666666666667,2,0.31575,0.31575,0.283066666667,0.283066666667
e1e2,2,confirmation,4,one_over_e,fixed,0.735758882343,2,0.31575,0.31575,0.179428343152,0.179428343152
e1e2,2,confirmation,4,nearest_eighth_3_8,fixed,0.75,2,0.31575,0.31575,0.158066666667,0.158066666667
e1e2,2,confirmation,4,fibonacci_8_21,fixed,0.761904761905,2,0.31575,0.31575,0.163763492063,0.163763492063
e1e2,2,confirmation,4,phi,fixed,0.7639320225,2,0.31575,0.31575,0.164777122361,0.164777122361
e1e2,2,confirmation,4,two_fifths_phase,fixed,0.8,2,0.31575,0.31575,0.182811111111,0.182811111111
e1e2,2,confirmation,4,silver_conjugate,fixed,0.828427124746,2,0.31575,0.31575,0.197024673484,0.197024673484
e1e2,2,confirmation,4,half_turn_ridge,fixed,1,2,0.31575,0.31575,0.282811111111,0.282811111111
e1e2,2,confirmation,4,development_step_fit,development_fit,0.767655555556,2,0.31575,0.31575,0.166638888889,0.166638888889
e1e2,2,confirmation,4,development_carrier_fit,development_fit,0.766279999999,2,0.31575,0.31575,0.165951111111,0.165951111111
e1e2,3,development,3,persistence,fixed,0,1,0.768855555556,0.768855555556,0.768855555556,0.768855555556
e1e2,3,development,3,one_third_phase,fixed,0.666666666667,1,0.102188888889,0.102188888889,0.102188888889,0.102188888889
e1e2,3,development,3,one_over_e,fixed,0.735758882343,1,0.0330966732127,0.0330966732127,0.0330966732127,0.0330966732127
e1e2,3,development,3,nearest_eighth_3_8,fixed,0.75,1,0.0188555555556,0.0188555555556,0.0188555555556,0.0188555555556
e1e2,3,development,3,fibonacci_8_21,fixed,0.761904761905,1,0.00695079365079,0.00695079365079,0.00695079365079,0.00695079365079
e1e2,3,development,3,phi,fixed,0.7639320225,1,0.00492353305535,0.00492353305535,0.00492353305535,0.00492353305535
e1e2,3,development,3,two_fifths_phase,fixed,0.8,1,0.0311444444444,0.0311444444444,0.0311444444444,0.0311444444444
e1e2,3,development,3,silver_conjugate,fixed,0.828427124746,1,0.0595715691906,0.0595715691906,0.0595715691906,0.0595715691906
e1e2,3,development,3,half_turn_ridge,fixed,1,1,0.231144444444,0.231144444444,0.231144444444,0.231144444444
e1e2,3,development,3,development_step_fit,development_fit,0.767655555556,1,0.0012,0.0012,0.0012,0.0012
e1e2,3,development,3,development_carrier_fit,development_fit,0.766279999999,1,0.00257555555631,0.00257555555631,0.00257555555631,0.00257555555631
e1e2,4,confirmation,4,persistence,fixed,0,2,0.556136111111,0.556136111111,0.726886111111,0.726886111111
e1e2,4,confirmation,4,one_third_phase,fixed,0.666666666667,2,0.110530555556,0.110530555556,0.160841666667,0.160841666667
