raw_file,calculated_file,plant,compared,forward_mae_deg,backward_mae_deg,matching_direction,best_mae_deg
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,19,25,0.0,120.16,forward,0.0
WS4-JC-JL-Angles-Bruts.txt,WS4-JC-JL.txt,20,39,0.0,113.33333333333333,forward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,1,39,133.48717948717947,0.0,backward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,2,39,0.0,90.66666666666667,forward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,3,39,130.46153846153845,0.0,backward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,4,39,0.0,95.38461538461539,forward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,5,39,0.0,97.6923076923077,forward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,6,35,0.0,76.05714285714286,forward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,7,39,0.0,82.3076923076923,forward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,8,39,0.0,97.38461538461539,forward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,9,39,147.94871794871796,0.0,backward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,10,39,136.92307692307693,0.0,backward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,11,39,0.0,74.2051282051282,forward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,12,39,0.0,99.84615384615384,forward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,13,39,0.0,95.33333333333333,forward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,14,39,133.17948717948718,0.0,backward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,15,39,0.0,90.1025641025641,forward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,16,39,137.94871794871796,0.0,backward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,17,39,142.82051282051282,0.0,backward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,18,39,137.84615384615384,0.0,backward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,19,39,140.15384615384616,0.0,backward,0.0
bot17-JL-Angles-Bruts.txt,bot17-JL.txt,20,39,133.69230769230768,0.0,backward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,1,32,159.6875,0.0,backward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,2,43,0.0,137.67441860465115,forward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,3,40,0.0,139.5,forward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,4,38,150.42105263157896,0.0,backward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,5,38,0.0,124.36842105263158,forward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,6,31,0.0,123.03225806451613,forward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,7,38,147.31578947368422,0.0,backward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,8,46,143.52173913043478,0.0,backward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,9,38,163.94736842105263,0.0,backward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,10,38,141.10526315789474,0.0,backward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,11,9,0.0,146.22222222222223,forward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,12,38,0.0,153.6315789473684,forward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,13,31,0.0,128.96774193548387,forward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,14,38,101.94736842105263,0.0,backward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,15,38,0.0,141.10526315789474,forward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,16,34,124.76470588235294,0.0,backward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,17,38,148.57894736842104,0.0,backward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,18,38,0.0,140.89473684210526,forward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,19,38,0.0,135.42105263157896,forward,0.0
bot17-JC-JL-Angles-Bruts.txt,bot17-JC-JL.txt,20,26,0.0,87.0,forward,0.0
