domain,split,radial_candidate,angular_candidate,alpha,tau,linear_budget_loss,euclidean_budget_loss
recorded_bubbles,evaluation,e,one_over_e,2.718281828459045,0.36787944117144233,0.7656434005580105,0.8036098268333529
recorded_bubbles,evaluation,e,three_eighths,2.718281828459045,0.375,0.766269555809806,0.8042167275153301
recorded_bubbles,evaluation,e,phi_inverse_squared,2.718281828459045,0.38196601125010515,0.767139989817335,0.8050851817856748
recorded_bubbles,evaluation,e,two_fifths,2.718281828459045,0.4,0.7700841308195263,0.8077413008417216
recorded_bubbles,evaluation,e,sqrt2_minus_1,2.718281828459045,0.41421356237309515,0.7732658362412466,0.8083787592170849
recorded_bubbles,holdout,plastic,quarter,1.324717957244746,0.25,0.5522482055163895,0.5565702003081876
recorded_bubbles,holdout,plastic,third,1.324717957244746,0.3333333333333333,0.5489114501447252,0.5479781103192033
recorded_bubbles,holdout,plastic,one_over_e,1.324717957244746,0.36787944117144233,0.5459902967502128,0.5551541368067177
recorded_bubbles,holdout,plastic,three_eighths,1.324717957244746,0.375,0.5444701210566764,0.5564162880352618
recorded_bubbles,holdout,plastic,phi_inverse_squared,1.324717957244746,0.38196601125010515,0.5430377858219628,0.5565829842328109
recorded_bubbles,holdout,plastic,two_fifths,1.324717957244746,0.4,0.5421241901048377,0.5565838286479529
recorded_bubbles,holdout,plastic,sqrt2_minus_1,1.324717957244746,0.41421356237309515,0.5422148207487728,0.5447579929792359
recorded_bubbles,holdout,sqrt2,quarter,1.4142135623730951,0.25,0.5226865096233662,0.5716710515864564
recorded_bubbles,holdout,sqrt2,third,1.4142135623730951,0.3333333333333333,0.5407567223722483,0.5738783660167786
recorded_bubbles,holdout,sqrt2,one_over_e,1.4142135623730951,0.36787944117144233,0.5458474296672193,0.5743889921664864
recorded_bubbles,holdout,sqrt2,three_eighths,1.4142135623730951,0.375,0.5467801266218757,0.5744771946246495
recorded_bubbles,holdout,sqrt2,phi_inverse_squared,1.4142135623730951,0.38196601125010515,0.5476589294583796,0.5745587799589719
recorded_bubbles,holdout,sqrt2,two_fifths,1.4142135623730951,0.4,0.5497918287466894,0.5747506477507891
recorded_bubbles,holdout,sqrt2,sqrt2_minus_1,1.4142135623730951,0.41421356237309515,0.5502379763640091,0.574884626751103
recorded_bubbles,holdout,three_halves,quarter,1.5,0.25,0.5505831315527845,0.5746782123476751
recorded_bubbles,holdout,three_halves,third,1.5,0.3333333333333333,0.5661422826144021,0.5842164189973768
recorded_bubbles,holdout,three_halves,one_over_e,1.5,0.36787944117144233,0.5608430462823341,0.574985871824644
recorded_bubbles,holdout,three_halves,three_eighths,1.5,0.375,0.561116609714609,0.5749958072367805
recorded_bubbles,holdout,three_halves,phi_inverse_squared,1.5,0.38196601125010515,0.5613743658046733,0.5750058032538847
recorded_bubbles,holdout,three_halves,two_fifths,1.5,0.4,0.5576984095897286,0.575097266937447
recorded_bubbles,holdout,three_halves,sqrt2_minus_1,1.5,0.41421356237309515,0.5572198835764244,0.5751611113492069
recorded_bubbles,holdout,phi,quarter,1.618033988749895,0.25,0.5807799711999708,0.6090700551384981
recorded_bubbles,holdout,phi,third,1.618033988749895,0.3333333333333333,0.5770521098629855,0.6054558755053605
recorded_bubbles,holdout,phi,one_over_e,1.618033988749895,0.36787944117144233,0.5830288193418338,0.6092477095020554
