year,body,mean_projection_share,median_projection_share,mean_absolute_share,median_absolute_share
1938,mercury,-1.137190735354815e-05,-1.1331713172288784e-05,0.00048180920700474346,0.0004711773705863709
1939,mercury,-8.50351566431061e-06,-1.7333201041819306e-05,0.0004721690245240846,0.0004547191134885551
1940,mercury,-6.078256051189231e-06,-0.0001243835122885945,0.000469129745412587,0.00044878578690426304
1941,mercury,-5.600945925391127e-06,-0.00013351621010440252,0.000473098415064945,0.0004551729367693719
1942,mercury,-6.101111138595927e-06,-0.00011872949052686515,0.00048266735280174164,0.00046655571168692885
1943,mercury,-3.117947620971539e-06,-8.200817772580981e-05,0.0004950656827572796,0.0004834429201628315
1944,mercury,1.438795265658394e-05,2.18093813964295e-05,0.0005059175338432131,0.0004917308631584806
1945,mercury,1.0781451417741467e-05,1.0374787771536549e-05,0.0005054470456224952,0.0004932549312065934
1946,mercury,8.646645983950905e-06,0.00012661108613343708,0.0005029094560147761,0.0004867748328385354
1947,mercury,7.085936964911186e-06,0.0001508056429801261,0.0004979620802595866,0.00048126891867870925
1948,mercury,7.229245526888965e-06,0.000192687611348339,0.000491736884423168,0.0004736098713834667
1949,mercury,6.8792411137161415e-06,0.0001751875977123911,0.00048588526038456496,0.0004751748310403216
1950,mercury,-9.967885803316206e-07,-2.797238037346702e-05,0.00048117020181514815,0.00046788689888834433
1951,mercury,-8.49468628368192e-06,-0.0001323969470577932,0.0004761276368031426,0.0004661570875420447
1952,mercury,-9.062426536991261e-06,-0.0001504026516206957,0.00047439476270396606,0.0004612060090180221
1953,mercury,-7.065242899052205e-06,-0.0001327971019313555,0.0004789797444749734,0.00046049697352276524
1954,mercury,-7.824018082990392e-06,-0.0001119511082984805,0.000488540340444929,0.00047091551989729153
1955,mercury,-9.832172835179116e-06,-6.834020765691239e-05,0.0005006312654752249,0.00048221812712470076
1956,mercury,-1.103837128621347e-05,-6.093093397173506e-05,0.0005123743094760941,0.0005033223246326844
1957,mercury,-4.845440177926551e-06,5.2547068567176314e-05,0.0005188992031831742,0.0005042099200302427
1958,mercury,4.511391973878627e-06,0.0001169722975373325,0.0005155939640323626,0.0005048091988777571
1959,mercury,6.614100822492573e-06,0.00015150601605045804,0.0005068505805303012,0.0004896308500634576
1960,mercury,6.229098065976086e-06,0.00011150313669263695,0.0004964610577640152,0.0004797044373764873
1961,mercury,7.0464809750522555e-06,8.605389952593509e-05,0.0004868966204715231,0.0004679704684640358
1962,mercury,8.612861397025129e-06,7.956831676608071e-05,0.0004806155056227181,0.0004691818855177321
1963,mercury,9.810499447100667e-06,2.2508059544324687e-06,0.0004793507774427628,0.00046539389881089337
1964,mercury,2.6681755299170912e-06,-6.303492376401088e-05,0.00048128062625393456,0.0004698138996529123
1965,mercury,-4.510132201272209e-06,-0.0001301615887366839,0.00048194661088409057,0.00046596342310679186
1966,mercury,-4.964711232712317e-06,-0.00014069891825341572,0.00048800902415730167,0.0004713434830680554
1967,mercury,-6.669308396202946e-06,-0.00013134130306040329,0.0004959892140395357,0.00047927491235117006
1968,mercury,-1.052973655407243e-05,-0.00011401624403775666,0.0005036795643153754,0.00048812296265710855
1969,mercury,-1.4552295427108538e-05,-2.23769637987342e-05,0.0005091581116989154,0.0005016538815866007
1970,mercury,-1.223883297873793e-05,7.779859413576133e-05,0.0005089374870187027,0.0004951521620848529
1971,mercury,-9.99755278602711e-07,0.0001110033236063551,0.000499931018172975,0.00048821413735675574
1972,mercury,3.277983891667459e-06,8.561504333595811e-05,0.000487632417256229,0.0004747127981785412
1973,mercury,3.798613406450512e-06,0.00014699474395753564,0.0004766865909442432,0.00046262324503226575
1974,mercury,4.717253330795576e-06,3.3573251037074156e-05,0.00046979896497218886,0.00045258063136337966
1975,mercury,6.0218505978273286e-06,-6.51910647896764e-05,0.0004689729235445798,0.0004557408456579393
1976,mercury,1.0875898608524168e-05,-0.00010354183942253924,0.0004747523708427892,0.00046292460584237624
1977,mercury,1.150729446896752e-05,-0.00010373069618126628,0.000482869296146321,0.00047126186808278057
1978,mercury,5.832849844515225e-06,-8.910695687803401e-05,0.0004898420997136992,0.00048224470944142905
1979,mercury,2.1482889613833556e-06,1.560266823259092e-05,0.0004970128708675739,0.00048177619945538423
1980,mercury,-3.8023696595239535e-07,4.154872899740308e-06,0.0005036426280068418,0.0004882962118091962
1981,mercury,-2.59611027705086e-06,-7.127928480209173e-06,0.0005082904842619136,0.00048745816765585553
1982,mercury,-6.697583271907621e-06,8.361526545667063e-05,0.0005102130414700256,0.0004952231531737692
1983,mercury,-1.2792775808865892e-05,7.359319540987861e-05,0.0005082069541738647,0.0004941653415850859
1984,mercury,-1.5198080061963687e-05,2.980349411141794e-05,0.0004993633096852476,0.0004895055435251718
1985,mercury,-2.5429666648600296e-06,3.260170151233035e-05,0.00048568779296108774,0.00047410887517941754
1986,mercury,-1.3690421991051003e-06,2.7908314113343925e-05,0.00047735314629816,0.00046437794919852433
1987,mercury,-5.582999807905996e-07,-2.680671462738057e-05,0.0004751787189481438,0.0004594650566257519
1988,mercury,4.405498084484458e-07,-0.0001095413352483178,0.0004799732162777912,0.00046441216596107923
1989,mercury,7.006566580465111e-06,-0.00014863604924922552,0.0004905393267940429,0.00047640489114972225
1990,mercury,1.3615371178218498e-05,-8.726898801396859e-05,0.0005009320296855071,0.0004884582267561812
1991,mercury,1.0411007235892423e-05,-1.0379011069571192e-05,0.000506691110934145,0.0004994728599411592
1992,mercury,6.632421723656186e-06,7.303896610041424e-05,0.0005096151513831413,0.0004922190393670564
1993,mercury,3.723926178778494e-06,0.00010994172180474017,0.0005100075659873854,0.0004937599049737753
1994,mercury,3.1297824994025963e-06,0.00013134433793142086,0.0005075109478029642,0.0004858597816043446
1995,mercury,3.2753199229465237e-07,0.00011561185095500185,0.0005027041533184343,0.0004885495140859999
1996,mercury,-6.707211508489642e-06,3.3209635843971455e-05,0.0004957382315554402,0.00047845114434116
1997,mercury,-1.1685338581371641e-05,-1.5089191970283366e-06,0.0004849044255936269,0.00047678485913243247
1998,mercury,-9.077383215305425e-06,-4.2801433464211535e-06,0.0004739839661855591,0.0004631542395239805
1999,mercury,-6.123910093018375e-06,-0.00011366383929956465,0.00046893329042041796,0.00045187068936949866
2000,mercury,-5.405311152427261e-06,-0.00012037387306850406,0.00047107057760050245,0.0004541035222713289
2001,mercury,-5.794390594840256e-06,-0.00011697625680626051,0.000479369143246018,0.00046299190774764495
2002,mercury,-3.7146598728291863e-06,-9.401083631360454e-05,0.0004915905587154256,0.0004765331702539092
2003,mercury,4.760590409706683e-06,-1.9859134696913505e-05,0.0005028658892936526,0.0004881584411833702
2004,mercury,1.9339451983947017e-05,2.411922603253008e-05,0.0005067895319064549,0.0004974047579342927
2005,mercury,8.762337243726345e-06,3.1388699836533056e-05,0.0005042543592454933,0.00048524815774954945
2006,mercury,6.479595934718056e-06,0.00017946290615254606,0.0005004131584448722,0.0004819396107692622
2007,mercury,6.497504797321087e-06,0.00020973113157680729,0.0004947570064308347,0.0004732523430583349
2008,mercury,5.757186468517579e-06,0.00016823809119209353,0.0004889001411116147,0.00047531109035126945
2009,mercury,-1.4829223917194516e-07,-6.4461401286673034e-06,0.00048384164895434484,0.00046720440596169724
2010,mercury,-8.306795275857653e-06,-6.963992892807104e-05,0.00047825087260533586,0.00047060887523301233
2011,mercury,-9.04903115150712e-06,-0.000140617795511552,0.0004747480248966403,0.0004622684001058428
2012,mercury,-6.701171882664795e-06,-0.0001870584941219435,0.0004775341101377712,0.0004634720657129077
2013,mercury,-7.130504495496075e-06,-0.000141549545436451,0.0004859908536291139,0.000465556070962633
2014,mercury,-9.07929611621266e-06,-0.00010022745173736435,0.000497780791668104,0.00047883011053360535
2015,mercury,-1.0901085525875367e-05,-7.953119516954693e-05,0.0005101881554460001,0.0004962177636596644
2016,mercury,-6.316649712299302e-06,4.2382385974477634e-07,0.0005187433889091183,0.0005033818158075656
2017,mercury,4.43529348708952e-06,7.839089091497557e-05,0.0005177979219984137,0.0005038861516924381
2018,mercury,7.057236429467666e-06,0.00016068226668412258,0.0005101501012582437,0.0004950066229941542
2019,mercury,6.731234195777237e-06,0.0001642644349624603,0.0005002076981289796,0.00048393904339155203
2020,mercury,7.024996374288351e-06,9.192838083596636e-05,0.0004902204920217854,0.00047116807342849576
2021,mercury,8.086128666048829e-06,5.82059953425811e-05,0.00048279224874057567,0.0004669832440427034
2022,mercury,9.447574587647008e-06,6.148457894526121e-05,0.00047990543000280147,0.0004678419210657203
2023,mercury,4.781493240658828e-06,-5.4126577716993056e-05,0.0004803578094509326,0.0004703612684297588
2024,mercury,-6.158055987201813e-06,-0.00011107976133733146,0.0004813211381478262,0.00046703057615771453
2025,mercury,-5.410747021652567e-06,-0.00016261039727062253,0.0004856288939789691,0.0004730057606443751
2026,mercury,-6.978238167653236e-06,-0.0001855306002218933,0.0004934449704772332,0.0004726311743705608
2027,mercury,-1.0485795041700333e-05,-0.00016569814677996336,0.0005016586170999305,0.0004818887525290195
2028,mercury,-1.4566670072409952e-05,3.721909264448303e-06,0.0005082353584522787,0.0004984127275234
2029,mercury,-1.3555148384652725e-05,8.533368434615625e-05,0.0005100978786503709,0.0004986060910492421
2030,mercury,-7.287951418484198e-07,0.00014487675482072472,0.0005030575631141692,0.0004916774685025285
2031,mercury,4.397862518507544e-06,8.228265567687874e-05,0.0004911879389758341,0.0004759213774581752
2032,mercury,5.27402618730822e-06,0.00012882843791718748,0.0004798121467799594,0.00046537475957298123
2033,mercury,5.537757473425584e-06,8.2980522129659e-05,0.000471649588618527,0.00045590175433556687
2034,mercury,6.312952180838425e-06,-1.950713137985592e-05,0.00046904658622073735,0.000453121068148973
2035,mercury,1.0409046224660763e-05,-9.21490691008114e-05,0.00047303724537046943,0.00046108852493982833
2036,mercury,1.1762533654268545e-05,-9.637109182712921e-05,0.0004807148688165706,0.00046968801026429344
2037,mercury,6.358191022093943e-06,-8.348472765862223e-05,0.00048752700048680577,0.00047391089912094157
2038,mercury,2.206073485874475e-06,1.9870536884771452e-06,0.0004947440715172802,0.0004794495044335202
2039,mercury,-4.331512741752113e-07,-1.7408614820005952e-05,0.0005018712949300887,0.00048270786743840515
2040,mercury,-2.4359435708435907e-06,-2.2279764954749122e-05,0.0005074403921109551,0.0004888078271264567
2041,mercury,-6.329754423956718e-06,7.871936978799607e-05,0.0005103681819561056,0.0004973613260108253
2042,mercury,-1.2324814478495625e-05,7.410934032058183e-05,0.0005097751692809626,0.0005017376764607012
2043,mercury,-1.1719010204280055e-05,5.064768319952945e-05,0.0005023830235415314,0.0004913911477499649
2044,mercury,-7.728754729389312e-06,1.4228394115992273e-05,0.0004892656393159954,0.00047468634266692694
2045,mercury,-7.690972263894093e-07,1.0906799454315587e-05,0.00047900725161899294,0.00046179425735938556
2046,mercury,2.1991623296380593e-07,-1.3006560545594249e-05,0.00047487217161577735,0.00045765566909687037
2047,mercury,1.1208788006926217e-06,-8.210932400293206e-05,0.00047762071925261574,0.0004637805247814553
2048,mercury,6.951548852483518e-06,-0.00012661964407836848,0.0004866961611035105,0.00047289292168209245
2049,mercury,1.3608369494543932e-05,-0.00010281556676669006,0.0004973817736017158,0.0004838992341368461
2050,mercury,1.1538376251837668e-05,-6.506582358355434e-05,0.0005038665689745884,0.0004929546378027515
2051,mercury,6.896663979370423e-06,7.523479986809002e-06,0.0005075477419656218,0.0004887730513355295
2052,mercury,3.6515017450370983e-06,6.925630844736001e-05,0.0005088688189604126,0.0004905165972837923
2053,mercury,2.712362375447563e-06,0.00016231264294858786,0.0005074747441607959,0.0004895997021478044
2054,mercury,1.8388444776312672e-07,9.328626103921288e-05,0.000503472932862083,0.0004886465299342607
2055,mercury,-6.07787347019382e-06,5.01337854396845e-05,0.000497354257236587,0.00048607231190704364
2056,mercury,-1.2397848351889987e-05,-1.3190212435417704e-05,0.0004872377358341602,0.00047486894509090217
2057,mercury,-1.0112196729730619e-05,-1.7664670776901806e-05,0.00047544083560655155,0.0004647801940307192
2058,mercury,-6.281576413136202e-06,-5.5738180201232876e-05,0.0004685062933677832,0.00044827391091840067
2059,mercury,-5.21649094647025e-06,-0.00014373900529056165,0.00046869796219182775,0.0004518650687194171
2060,mercury,-5.194886576259103e-06,-0.0001415987859935127,0.000475509682440466,0.0004586612293773003
2061,mercury,-3.833591041032908e-06,-8.891072019064333e-05,0.0004870985850280744,0.00047383293191405334
2062,mercury,3.2895194815475075e-06,-7.360085545028231e-05,0.0004993710167507871,0.00048607772100260616
2063,mercury,1.1004200693994379e-05,1.8040933775827304e-05,0.000505442489285827,0.0004932486580267536
2064,mercury,1.673759164311924e-05,2.72128565741547e-05,0.0005043367157496465,0.00048736267310629116
2065,mercury,6.635928686495987e-06,0.00014666415315310502,0.0005014146134232986,0.000484804890047857
2066,mercury,6.353450282696423e-06,0.00016401845104036604,0.0004965949634448316,0.0004782117465729937
2067,mercury,5.699745391112522e-06,0.0001854791053941787,0.0004908849509637247,0.00047880173861455385
2068,mercury,9.087261760172261e-07,4.106811618043514e-05,0.0004856922995341378,0.00047279506823531066
2069,mercury,-7.858145140633515e-06,-1.893305936961548e-05,0.00047978998815713267,0.000467539508358661
2070,mercury,-9.666765078393876e-06,-0.00011523510197453493,0.00047479436090175115,0.0004609828994621767
2071,mercury,-6.805233807798848e-06,-0.00018697801758106825,0.0004756519071018611,0.00045628085723115725
2072,mercury,-7.098477228142884e-06,-0.00013811130054933036,0.0004827877372509139,0.0004657075960484177
2073,mercury,-8.429424591000085e-06,-0.00010906480339459988,0.0004940211877459153,0.00047618962090079174
2074,mercury,-1.067059376344549e-05,-7.508194110327905e-05,0.0005068005193497289,0.0004909756165027142
2075,mercury,-7.391892572285839e-06,-5.07798140441725e-05,0.0005170943094612695,0.0005020242634479967
2076,mercury,3.630127439445508e-06,7.122174255675826e-05,0.000518648032822553,0.0005070605192405302
2077,mercury,7.273792498569151e-06,0.00015396281328337007,0.0005124381781017628,0.0004971323461582673
2078,mercury,7.009651235715666e-06,0.00016180905592900932,0.0005031355647756074,0.0004852157764626002
2079,mercury,7.020811324191093e-06,0.00010923796440242566,0.0004931366256439671,0.00047444835450820717
2080,mercury,7.722623360149496e-06,6.835929619431434e-05,0.0004847874848181474,0.0004642031405998659
2081,mercury,9.325364493193169e-06,6.877315777773218e-05,0.0004804942802501869,0.00046707169423972105
2082,mercury,5.429448015932361e-06,-4.348207540105105e-05,0.0004799271539227762,0.0004668008374498545
2083,mercury,-1.870951278972191e-06,-6.469055511599347e-05,0.00048038945041763137,0.00047082132325612755
2084,mercury,-9.478339858703115e-06,-0.00015421982778047083,0.0004829330393903041,0.00046672034685887767
2085,mercury,-6.8123469466032075e-06,-0.0001678279647042414,0.0004907023375781953,0.0004748256884006039
2086,mercury,-9.597792163441102e-06,-0.00016689161982061656,0.0004992980805576181,0.00047999993368692345
2087,mercury,-1.36925146280136e-05,-4.3779077943784045e-05,0.0005069445388602828,0.0004915882910683681
2088,mercury,-1.4306769868689337e-05,5.3542791522963306e-05,0.0005107586249926494,0.0004958762504514651
2089,mercury,-2.1299321422260816e-06,0.0001434922395204384,0.0005060351732394862,0.0004928075062293309
2090,mercury,3.847486350654008e-06,0.00014576964608574214,0.0004949983731632733,0.00048243600003132064
2091,mercury,5.296785563554057e-06,0.00019249028414330876,0.000483457844252893,0.00046874779552794147
2092,mercury,5.475083409571728e-06,0.0001274107369474307,0.00047435299522255133,0.00045728094790059115
2093,mercury,6.343301668798474e-06,-7.385001166721354e-06,0.0004701172214936326,0.00045094121722916
2094,mercury,9.934672701846636e-06,-8.790075278435419e-05,0.0004723579998221989,0.00046144671427442776
2095,mercury,1.2055066762651431e-05,-0.00010701892612082545,0.00047930184913022816,0.00046693925789921705
2096,mercury,7.107233544780815e-06,-0.0001025319542938789,0.00048608322596143435,0.0004774575006444985
2097,mercury,2.2594998891166496e-06,-4.7335933873528245e-05,0.0004932070171216145,0.0004774713887916334
2098,mercury,-4.606650920571504e-07,-4.254834611752494e-06,0.0005008841602967848,0.00048642602036572536
2099,mercury,-2.2975692908975293e-06,-2.9960614660382734e-06,0.0005073223734284151,0.0004867335045041233
2100,mercury,-5.872752700299273e-06,3.327153205495535e-05,0.0005113997063152144,0.000496439925399427
1900,venus,-0.0011371501517929187,-0.0020008808474769896,0.005523853118360767,0.005520745019711397
1901,venus,0.0009476974229155251,0.001904899293834693,0.005408492595465334,0.005415539519069564
1902,venus,-0.0006998988262364702,-0.0010517667492370253,0.005313321107569884,0.00530973967297338
1903,venus,0.00040500058875088765,0.0008578251131783817,0.0052289417040221695,0.005229715861122349
1904,venus,-2.3892529401547967e-05,-7.892721626494693e-05,0.005192293267000195,0.005187282377740753
1905,venus,-0.0003997280199757744,-0.0005353898033608489,0.00523022140985616,0.005234664479270101
1906,venus,0.0007558351812054337,0.0014800564058896472,0.005293060396228039,0.005295589710008916
1907,venus,-0.0011286555643541306,-0.0017552009274904377,0.005388680159867842,0.005394274057132218
1908,venus,0.0014743032780044686,0.002782498222439738,0.005481182013409482,0.0054796291094176336
1909,venus,-0.0017647565014858157,-0.003282435013126363,0.0055228744351684626,0.005518119117400841
1910,venus,0.0019228811115499318,0.0032144134486801015,0.00554016629346786,0.0055431969700140546
1911,venus,-0.001939522693964602,-0.0032660633363000434,0.005496262621359494,0.005496106722808911
1912,venus,0.0018053816443484628,0.003343807685654346,0.005406239995891024,0.005411728726613032
1913,venus,-0.0015541702126094861,-0.002681878995787267,0.005313771446652107,0.005307305236566007
1914,venus,0.0012387295684779507,0.002226762173133229,0.005203185315966422,0.005205982546998403
1915,venus,-0.0009138936616103253,-0.001586482119315111,0.005137837709710126,0.005138229707107809
1916,venus,0.0005692188818309818,0.0009016096645100816,0.005129511591430773,0.005132548636427072
1917,venus,-0.00024153324785176734,-0.0004799090318201691,0.005162519041558526,0.005164190081600646
1918,venus,-0.00010560927309523033,-0.00018637530250370274,0.005262827632796498,0.005253048931234458
1919,venus,0.00044491477644717416,0.0008508660634798189,0.0053714662468130735,0.0053711015538279875
1920,venus,-0.0007670815365420755,-0.001372881304368628,0.005468580954041565,0.0054722799937525
1921,venus,0.001016204906511455,0.0017573239587818535,0.005551921684404665,0.005553453248825836
1922,venus,-0.001181257886490304,-0.0020769049218713267,0.005567110904139988,0.005563659106494816
1923,venus,0.0012186442109053059,0.0019909402495122937,0.005543155135519855,0.005543463022536096
1924,venus,-0.0010803099379587404,-0.0018992645781209946,0.005479685947864613,0.005477623518142114
1925,venus,0.0008643282247861564,0.001548810387682914,0.0053716178837181884,0.0053774936662929545
1926,venus,-0.0006197074793912532,-0.0011195182225072048,0.005288196859098766,0.005286540457026211
1927,venus,0.0003385121445142216,0.000738809548911144,0.005225383988470522,0.005227857798354205
1928,venus,-6.697517326285314e-05,-0.00014272508790554714,0.00520887538875066,0.0052060618654765555
1929,venus,-0.00023336849606619094,-0.00015017209764461566,0.0052688337963714,0.005268054253218057
1930,venus,0.0005358850174909202,0.0007092438315069515,0.005348874164836626,0.0053526765975613535
1931,venus,-0.000848089923737735,-0.0014918004346715934,0.005454964785003689,0.005462869112793613
1932,venus,0.0011312812448303986,0.00217677082940063,0.005551667114873907,0.005550781542027319
1933,venus,-0.0013654679380824461,-0.0025531038635324185,0.005590700806380119,0.005585005020060724
1934,venus,0.0014882841545483107,0.0029166994075999816,0.005599305843634283,0.005601249175375933
1935,venus,-0.0015063342500347557,-0.0024967192361406245,0.005544819670777347,0.005542649700631282
1936,venus,0.00140951186324605,0.002450960249031049,0.005441469601552257,0.005447668382745659
1937,venus,-0.0012225565530095644,-0.002192575303446301,0.005339146388238423,0.0053319162789961655
1938,venus,0.0009770777815608902,0.0019450877094645549,0.005222465456883488,0.005226667754692662
1939,venus,-0.0007103533210600348,-0.0011084593148213914,0.005155521531579051,0.005153963885838757
1940,venus,0.0004068470375885316,0.0008722327637582546,0.005149308441034373,0.005154247438407598
1941,venus,-9.744117904331044e-05,-0.0001440575512928582,0.005182769064768571,0.005183420101491247
1942,venus,-0.0002491139211135331,-0.00028086842442824335,0.00527868477151656,0.005270572998067297
1943,venus,0.0006021128737332382,0.001098604725489577,0.005375666774215877,0.005374761074726582
1944,venus,-0.0009741334123750601,-0.0018412466563853666,0.005454584797765921,0.005453619370416596
1945,venus,0.0012803016095992276,0.001998308102735148,0.0055143809069254455,0.005516821970053991
1946,venus,-0.0014272214169440726,-0.0023661087906562653,0.005507429656496675,0.005504718028836578
1947,venus,0.0014598717411244669,0.002631464548649168,0.005460929725390522,0.005462004713622925
1948,venus,-0.0014041245343614532,-0.0026658909786328724,0.005388275641375053,0.005383421693227715
1949,venus,0.001296551911276698,0.0026005526670869077,0.00527972214882435,0.005285126347740866
1950,venus,-0.0011593672604908187,-0.0018723344973449589,0.005207067941288304,0.005206680358859599
1951,venus,0.0009730297422186968,0.0016704936428128723,0.005165129122593076,0.005167214451751109
1952,venus,-0.0007530854449972649,-0.0013288453181100409,0.005174055982214871,0.005172073169539309
1953,venus,0.0004538463358654144,0.0009184551839701644,0.005257504203518867,0.005251386843913467
1954,venus,-0.00011722342165963074,-0.00020096219305929037,0.0053558097753941365,0.005358839753944663
1955,venus,-0.0002544054974934648,-0.0006222085689221823,0.005470390993611613,0.00548084560892544
1956,venus,0.0006063029097426625,0.001006282192958625,0.005569188211687561,0.005567847127165602
1957,venus,-0.0009127660298054412,-0.0017932448769155467,0.00560454632268202,0.0055993779796905865
1958,venus,0.0011061601298320662,0.0021380580367191017,0.005605954934931448,0.005609155627240679
1959,venus,-0.0011924564205036056,-0.0017855179124954793,0.005546619542788037,0.005544278597198549
1960,venus,0.0011587768404960526,0.0021249662109814917,0.005440326132424695,0.005446898667430193
1961,venus,-0.0010324267158803024,-0.0020002074275942633,0.005343494270928855,0.0053379045003630575
1962,venus,0.0008384822788800011,0.0015616140369624717,0.005240077883726657,0.005241425649992227
1963,venus,-0.0006118544063871449,-0.0009371978945705335,0.005192306674326977,0.005190326784880607
1964,venus,0.00023980121542145735,0.0005206789548119929,0.005206682010180331,0.0052096269461104055
1965,venus,0.00015692709866849485,0.00016459285444440572,0.005255068625345302,0.005256797142136035
1966,venus,-0.0005282924440151987,-0.0009991943547070644,0.005352561194482088,0.005345383442638345
1967,venus,0.0009130680684886359,0.0015288076331868021,0.005443055966453865,0.005442800700258676
1968,venus,-0.0012877655577365188,-0.00221223208292616,0.005500171432625509,0.005496351144626538
1969,venus,0.0015797891015090686,0.0031857360289211617,0.0055349462817104724,0.0055391782670377735
1970,venus,-0.0017745824804049298,-0.0030645783114978268,0.0055007953515845325,0.005497981483231112
1971,venus,0.0018261250522195157,0.00303650938502184,0.005429393142999743,0.005429974629027748
1972,venus,-0.0017523264073544805,-0.0030950156086159922,0.005339662668662186,0.005332258357464898
1973,venus,0.0015844215830205257,0.0027275189576794665,0.00522320416450302,0.005228779448694455
1974,venus,-0.0013561658929066133,-0.002558687083138922,0.005152572436474547,0.005150747481300584
1975,venus,0.0010830816764619403,0.002029530264859303,0.005119758420431885,0.005120540228054282
1976,venus,-0.0008027945975137475,-0.001205969918174735,0.0051395692277225544,0.0051388039458853145
1977,venus,0.00047756782847154514,0.0009265565108351593,0.005229638726126747,0.005222434604656957
1978,venus,-0.00013543877002890155,-0.00019478519602088485,0.005330039551416966,0.005334451565707784
1979,venus,-0.00023243047668944727,-0.0004660167526766192,0.0054394077788000195,0.005447069457614014
1980,venus,0.0005785384747048726,0.0010725532067054576,0.005531940666189217,0.005532531072217299
1981,venus,-0.0008817650048906472,-0.0014219334339906496,0.0055607528271259575,0.005555022724661066
1982,venus,0.0010782693698002136,0.0018818684064768145,0.00555901973367318,0.005560111315240746
1983,venus,-0.0011745193967640662,-0.0019993710646398774,0.005501943481357368,0.005500191798973915
1984,venus,0.0011069410117534862,0.001901978111890669,0.005402392442751933,0.005407362924029966
1985,venus,-0.0009631878261607325,-0.001803264462454607,0.0053173408851186375,0.005313511248626327
