seed,child_lineages,parent_lineages,T_child_median,T_parent_median,Q_2Tc_over_Tp,absolute_closure_error
26,7,5,7.4999837236165865,15.00007627094311,0.9999927451228933,7.254877106732671e-06
27,3,9,7.500472736570722,14.99980655468904,1.0000759288760326,7.592887603258269e-05
28,3,9,7.49926065880585,14.999387217279713,0.9999422709971102,5.772900288980587e-05
30,2,6,7.50048650399232,14.999549257763196,1.0000949195337125,9.491953371254525e-05
31,11,3,7.500479166163433,14.999659080468422,1.0000866187592312,8.66187592312162e-05
32,4,2,7.500316906825443,15.000832431357559,0.9999867595543394,1.3240445660644973e-05
33,2,3,7.500309664495662,15.000375914076479,1.0000162272543194,1.622725431937866e-05
34,3,9,7.50037311489119,14.999121056269503,1.0001083512498352,0.0001083512498352146
35,5,6,7.500077588135781,14.999689538358407,1.0000310431700579,3.1043170057865055e-05
36,2,4,7.499120559662908,14.999542176818341,0.9999132601863985,8.673981360152183e-05
37,5,4,7.50046876965536,14.995631492500644,1.00035383950404,0.0003538395040401099
38,1,5,7.501142955139296,14.99785046435445,1.0002957387750122,0.0002957387750122109
39,5,14,7.49954432225464,14.999638935925047,0.9999633130225256,3.6686977474387206e-05
40,6,8,7.499753055294681,14.99850197817213,1.0000669488472045,6.694884720448435e-05
41,1,9,7.501244780222281,15.000195212367123,1.0001529545479213,0.00015295454792130236
42,5,9,7.500115884628607,14.999142216368707,1.0000726410132519,7.264101325188399e-05
43,3,10,7.499541601572331,15.000408702888425,0.9999116357580639,8.836424193614523e-05
46,2,9,7.498687140622087,14.999756099148861,0.9998412095577459,0.00015879044225408645
47,3,8,7.499781885223118,14.999241125319102,1.0000215107634072,2.1510763407173172e-05
48,3,2,7.500121055280204,14.99956191408885,1.0000453477558513,4.5347755851299354e-05
49,7,10,7.499797000061897,14.999550922271922,1.0000028719427732,2.8719427731527247e-06
50,5,4,7.499623836366029,15.000570202585564,0.9999118346945719,8.816530542810064e-05
51,6,14,7.500404810257768,15.000101137068775,1.0000472319113243,4.7231911324274733e-05
52,2,6,7.499973519227735,14.998284531153946,1.0001108464970159,0.00011084649701587068
53,1,9,7.500488717610321,15.000357518626489,1.0000413267879371,4.132678793711264e-05
54,4,5,7.499401333967478,14.999831437710574,0.9999314145775645,6.858542243548538e-05
55,5,4,7.500045484034048,15.00124097706967,0.9999233390755249,7.666092447511375e-05
56,4,1,7.50013209250094,14.99836162741385,1.0001268510278185,0.00012685102781850865
57,4,9,7.500064108636677,14.99913102164817,1.0000664835598638,6.648355986382803e-05
58,4,5,7.500526740106279,14.99816494208369,1.0001925927698503,0.00019259276985028606
59,4,6,7.499977424431744,14.999855425226738,1.0000066283063358,6.628306335798584e-06
60,2,12,7.5002160153195785,15.000425584790325,1.0000004297110636,4.297110636208856e-07
61,4,5,7.499515456245339,14.999919060512752,0.9999407898123656,5.921018763443975e-05
62,3,7,7.500848819756938,14.999424133222627,1.0001515729051367,0.00015157290513667654
64,1,3,7.500285898467149,14.99999757541617,1.0000382814407296,3.828144072959283e-05
65,2,2,7.500229569252744,14.997488245282717,1.0001980927188727,0.00019809271887272217
66,6,5,7.500819634372712,15.0006657383176,1.0000648991481316,6.489914813156972e-05
67,1,4,7.499046991537052,14.998666051517738,0.9999618587118569,3.8141288143056506e-05
68,7,2,7.500155011048102,14.999785024196058,1.0000350003616252,3.50003616251815e-05
69,1,6,7.500082330849412,15.000981439665644,0.9999455516980602,5.444830193979122e-05
70,4,6,7.50013752283066,15.00037123769125,0.9999935873567124,6.41264328760105e-06
71,11,4,7.500409451111249,15.002545579312478,0.9998849077257688,0.00011509227423123214
72,3,2,7.500498992841637,15.000030671165346,1.000064487502668,6.448750266807579e-05
73,1,7,7.501270204115243,14.99916092759321,1.000225311312652,0.0002253113126520212
74,4,8,7.5007474135849925,15.000256655857802,1.0000825433417968,8.254334179680356e-05
75,3,7,7.497995721925705,14.998536830945826,0.9998302909728393,0.000169709027160736
76,7,10,7.498944719729972,14.999756291347733,0.9998755411853681,0.00012445881463185593
77,6,7,7.499094495397987,15.000716941234826,0.9998314780254334,0.00016852197456662665
78,3,8,7.500524457846842,14.999791728699176,1.000083813630032,8.381363003207021e-05
79,9,4,7.500201217050551,14.999409056120191,1.0000662278078554,6.622780785536797e-05
80,5,2,7.500058879480751,15.001348633689247,0.9999179490619275,8.205093807245323e-05
81,6,8,7.500220297971154,14.99946571349441,1.000064994478238,6.499447823804516e-05
82,3,4,7.500289476632766,14.99981935970148,1.0000506401807805,5.064018078049237e-05
84,3,8,7.500006632886559,15.000834524991504,0.9999452524313219,5.4747568678070735e-05
85,4,7,7.499259455442081,14.999410354772165,0.9999405680712162,5.943192878377079e-05
86,2,6,7.49757077830929,14.999257898617344,0.9997255636227748,0.00027443637722524006
87,3,2,7.50011961998879,14.998826102629979,1.0000942165298758,9.421652987584572e-05
88,1,7,7.5000432997879205,14.999554605194596,1.0000354673452143,3.546734521431283e-05
89,5,7,7.499901770227138,14.998640669297885,1.0000775317698472,7.753176984715004e-05
90,4,4,7.499754549199729,14.99667482007064,1.000188993784477,0.00018899378447700954
91,2,4,7.500051507670705,15.000355334705453,0.9999831791075335,1.6820892466462567e-05
92,3,6,7.501801791275712,14.998913133331065,1.0003127192736343,0.00031271927363429874
93,5,7,7.500803430130814,15.000097096962543,1.0001006502350835,0.00010065023508354365
94,5,4,7.499477058224487,14.999081040294177,0.9999915378918974,8.46210810256931e-06
95,1,7,7.500150053060433,15.00035630157733,0.9999962537252226,3.7462747773941985e-06
96,5,2,7.499980426012601,14.996799990113509,1.000210769091658,0.00021076909165795854
97,2,6,7.499307387520385,15.000167125006861,0.9998965111552988,0.00010348884470123831
98,4,12,7.50053647877229,15.000060075774343,1.0000675251809072,6.752518090724635e-05
99,2,13,7.500498760657804,14.999377428570611,1.0001080106659568,0.00010801066595678144
