genotype,meristem,plant,split,angle_deg,u_ara,position_ara,heldout
e1e2,3,2,confirmation,191.858,1.06587777778,1.46876111111,True
e1e2,4,2,confirmation,78.188,0.434377777778,1.90313888889,True
e1e2,1,3,development,128.114,0.711744444444,0.711744444444,False
e1e2,2,3,development,142.319,0.790661111111,1.50240555556,False
e1e2,3,3,development,138.394,0.768855555556,0.271261111111,True
e1e2,1,4,confirmation,212.036,1.17797777778,1.17797777778,False
e1e2,2,4,confirmation,96.068,0.533711111111,1.71168888889,False
e1e2,3,4,confirmation,101.888,0.566044444444,0.277733333333,True
e1e2,4,4,confirmation,98.321,0.546227777778,0.823961111111,True
e1e2,1,5,development,227.901,1.26611666667,1.26611666667,False
e1e2,2,5,development,75.842,0.421344444444,1.68746111111,False
e1e2,3,5,development,152.276,0.845977777778,0.533438888889,True
e1e2,4,5,development,264.758,1.47087777778,0.00431666666667,True
e1e2,5,5,development,152.354,0.846411111111,0.850727777778,True
e1e2,6,5,development,130.899,0.727216666667,1.57794444444,True
e1e2,1,6,confirmation,144.305,0.801694444444,0.801694444444,False
e1e2,2,6,confirmation,128.301,0.712783333333,1.51447777778,False
e1e2,3,6,confirmation,141.975,0.78875,0.303227777778,True
e1e2,4,6,confirmation,140.505,0.780583333333,1.08381111111,True
e1e2,5,6,confirmation,139.045,0.772472222222,1.85628333333,True
e1e2,6,6,confirmation,146.019,0.811216666667,0.6675,True
e1e2,1,7,development,143.819,0.798994444444,0.798994444444,False
e1e2,2,7,development,136.479,0.758216666667,1.55721111111,False
e1e2,3,7,development,138.255,0.768083333333,0.325294444444,True
e1e2,4,7,development,136.12,0.756222222222,1.08151666667,True
e1e2,5,7,development,136.916,0.760644444444,1.84216111111,True
e1e2,6,7,development,152.388,0.8466,0.688761111111,True
e1e2,7,7,development,119.859,0.665883333333,1.35464444444,True
e1e2,1,8,confirmation,114.178,0.634322222222,0.634322222222,False
e1e2,2,8,confirmation,138.512,0.769511111111,1.40383333333,False
e1e2,3,8,confirmation,148.055,0.822527777778,0.226361111111,True
