Name,fluid,partition,snapshots,dt_s,child_horizon_s,target_t_s
241022k,S2,diagnostic,99,0.0010000000000000009,0.019000000000000017,0.53
241022m,S2,diagnostic,84,0.0010000000000000009,0.019000000000000017,0.456
241022n,S2,diagnostic,62,0.0010000000000000009,0.02100000000000002,0.35
241022p,S2,diagnostic,62,0.0010000000000000009,0.02100000000000002,0.347
241022q,S2,diagnostic,78,0.0010000000000000009,0.02100000000000002,0.43
241022s,S2,diagnostic,62,0.0010000000000000009,0.02100000000000002,0.347
241111d,S2,diagnostic,70,0.0010000000000000009,0.02300000000000002,0.392
241111e,S2,diagnostic,76,0.0010000000000000009,0.02300000000000002,0.423
241111f,S2,diagnostic,73,0.0010000000000000009,0.02300000000000002,0.408
241111g,S2,diagnostic,64,0.0010000000000000009,0.02300000000000002,0.36
241111h,S2,diagnostic,78,0.0010000000000000009,0.02300000000000002,0.434
241111i,S2,diagnostic,59,0.0010000000000000009,0.02300000000000002,0.335
241111j,S2,diagnostic,71,0.0010000000000000009,0.02300000000000002,0.398
241111k,S2,diagnostic,62,0.0010000000000000009,0.02300000000000002,0.35
241111l,S2,diagnostic,54,0.0010000000000000009,0.02100000000000002,0.311
241111m,S2,diagnostic,58,0.0010000000000000009,0.02300000000000002,0.334
250722a,S2,diagnostic,89,0.0010000000000000009,0.017000000000000015,0.477
250722b,S2,diagnostic,113,0.0010000000000000009,0.017000000000000015,0.599
250722c,S2,diagnostic,90,0.0010000000000000009,0.017000000000000015,0.48
250722d,S2,diagnostic,83,0.0010000000000000009,0.017000000000000015,0.445
250722e,S2,diagnostic,89,0.0010000000000000009,0.017000000000000015,0.483
250722f,S2,diagnostic,51,0.0010000000000000009,0.017000000000000015,0.298
250722g,S2,diagnostic,49,0.0010000000000000009,0.015000000000000013,0.277
250722h,S2,diagnostic,38,0.0010000000000000009,0.015000000000000013,0.223
250722i,S2,diagnostic,45,0.0010000000000000009,0.015000000000000013,0.251
250722j,S2,diagnostic,48,0.0010000000000000009,0.015000000000000013,0.265
250722l,S2,diagnostic,30,0.0010000000000000009,0.017000000000000015,0.184
250722m,S2,diagnostic,14,0.0010000000000000009,0.015000000000000013,0.108
250722n,S2,diagnostic,42,0.0010000000000000009,0.015000000000000013,0.236
250722o,S2,diagnostic,35,0.0010000000000000009,0.015000000000000013,0.206
250722p,S2,diagnostic,25,0.0010000000000000009,0.015000000000000013,0.16
250722q,S2,diagnostic,22,0.0010000000000000009,0.015000000000000013,0.145
250722r,S2,diagnostic,30,0.0010000000000000009,0.015000000000000013,0.18
250722t,S2,diagnostic,30,0.0010000000000000009,0.015000000000000013,0.179
250722v,S2,diagnostic,31,0.0010000000000000009,0.015000000000000013,0.185
250722w,S2,diagnostic,32,0.0010000000000000009,0.013000000000000012,0.186
250722x,S2,diagnostic,29,0.0010000000000000009,0.015000000000000013,0.173
250722y,S2,diagnostic,29,0.0010000000000000009,0.015000000000000013,0.173
250722z,S2,diagnostic,27,0.0010000000000000009,0.013000000000000012,0.158
250723a,S2,diagnostic,79,0.0010000000000000009,0.015000000000000013,0.42
250723b,S2,diagnostic,73,0.0010000000000000009,0.009000000000000008,0.382
250723c,S2,diagnostic,77,0.0010000000000000009,0.009000000000000008,0.4
250723d,S2,diagnostic,48,0.0010000000000000009,0.009000000000000008,0.254
250723e,S2,diagnostic,45,0.0010000000000000009,0.009000000000000008,0.243
250723f,S2,diagnostic,43,0.0010000000000000009,0.009000000000000008,0.232
250723g,S2,diagnostic,6,0.0010000000000000009,0.009000000000000008,0.045
250723h,S2,diagnostic,24,0.0010000000000000009,0.009000000000000008,0.138
250723i,S2,diagnostic,37,0.0010000000000000009,0.009000000000000008,0.205
250723j,S2,diagnostic,41,0.0010000000000000009,0.009000000000000008,0.222
250723k,S2,diagnostic,40,0.0010000000000000009,0.013000000000000012,0.226
250723l,S2,diagnostic,32,0.0010000000000000009,0.013000000000000012,0.183
250723m,S2,diagnostic,36,0.0010000000000000009,0.013000000000000012,0.204
250723n,S2,diagnostic,40,0.0010000000000000009,0.013000000000000012,0.225
250723o,S2,diagnostic,24,0.0010000000000000009,0.013000000000000012,0.144
250723q,S2,diagnostic,26,0.0010000000000000009,0.013000000000000012,0.155
250723r,S2,diagnostic,27,0.0010000000000000009,0.013000000000000012,0.158
250723s,S2,diagnostic,23,0.0010000000000000009,0.013000000000000012,0.138
250723u,S2,diagnostic,23,0.0010000000000000009,0.013000000000000012,0.141
250723x,S2,diagnostic,16,0.0010000000000000009,0.013000000000000012,0.105
250820a,S4,diagnostic,246,0.0010000000000000009,0.049000000000000044,1.322
250820b,S4,diagnostic,345,0.0010000000000000009,0.049000000000000044,1.821
250820c,S4,diagnostic,251,0.0010000000000000009,0.049000000000000044,1.348
250820d,S4,diagnostic,259,0.0010000000000000009,0.049000000000000044,1.391
250820e,S4,diagnostic,249,0.0010000000000000009,0.05500000000000005,1.353
250820f,S4,diagnostic,248,0.0010000000000000009,0.05700000000000005,1.351
250820g,S4,diagnostic,196,0.0010000000000000009,0.05500000000000005,1.091
250820h,S4,diagnostic,190,0.0010000000000000009,0.05700000000000005,1.061
250820i,S4,diagnostic,150,0.0010000000000000009,0.05500000000000005,0.856
250820j,S4,diagnostic,173,0.0010000000000000009,0.05500000000000005,0.976
250820k,S4,diagnostic,139,0.0010000000000000009,0.05500000000000005,0.806
250820l,S4,diagnostic,140,0.0010000000000000009,0.05500000000000005,0.812
250822a,S4,diagnostic,117,0.0010000000000000009,0.05500000000000005,0.693
250822b,S4,diagnostic,103,0.0010000000000000009,0.05500000000000005,0.623
250822c,S4,diagnostic,107,0.0010000000000000009,0.05500000000000005,0.641
250822e,S4,diagnostic,81,0.0010000000000000009,0.05300000000000005,0.509
250822r,S4,diagnostic,231,0.0010000000000000009,0.05300000000000005,1.258
250822s,S4,diagnostic,179,0.0010000000000000009,0.05300000000000005,0.995
250822t,S4,diagnostic,141,0.0010000000000000009,0.05300000000000005,0.806
250822u,S4,diagnostic,110,0.0010000000000000009,0.05300000000000005,0.65
