horizon_bins,horizon_us,run,field_G,model,rmse_log_rate,parent_rmse_log_rate,improvement_fraction
1,0.016,EMU00070034,356.0,M1 + spin,0.08530936374318168,0.08540664878048133,0.001139080372415724
1,0.016,EMU00070040,392.0,M1 + spin,0.08353819113281762,0.08348479124292396,-0.0006396361432858821
1,0.016,EMU00070046,428.0,M1 + spin,0.08448134556307481,0.0843618022158207,-0.0014170316910524505
1,0.016,EMU00070052,464.0,M1 + spin,0.08414097391738248,0.08413408332200749,-8.190016581766102e-05
1,0.016,EMU00070058,500.0,M1 + spin,0.08369567840739697,0.08368958397682016,-7.28218529379987e-05
1,0.016,EMU00069986,68.0,M2 + strength,0.05575789805464468,0.0841738718447761,0.3375866307128289
1,0.016,EMU00069992,104.0,M2 + strength,0.06315004573329726,0.08456660015416087,0.2532507441687647
1,0.016,EMU00069998,140.0,M2 + strength,0.05672556617761278,0.08379254293584089,0.3230236941126494
1,0.016,EMU00070004,176.0,M2 + strength,0.05578752661799959,0.08420157725029605,0.3374527124098088
1,0.016,EMU00070010,212.0,M2 + strength,0.058447127798080714,0.08352108647657892,0.3002111171713442
1,0.016,EMU00070016,248.0,M2 + strength,0.057942841481345195,0.0837194065227551,0.3078923527056273
1,0.016,EMU00070022,284.0,M2 + strength,0.05985090212356899,0.08406275623813764,0.28802117843935504
1,0.016,EMU00070028,320.0,M2 + strength,0.054619955135775264,0.08382451253536473,0.3484011599502992
1,0.016,EMU00070034,356.0,M2 + strength,0.05553074742661692,0.08540664878048133,0.3498076763397394
1,0.016,EMU00070040,392.0,M2 + strength,0.05806093657250372,0.08348479124292396,0.3045327692853892
1,0.016,EMU00070046,428.0,M2 + strength,0.0524979604133107,0.0843618022158207,0.3777046123433153
1,0.016,EMU00070052,464.0,M2 + strength,0.06136322539271404,0.08413408332200749,0.2706496229612705
1,0.016,EMU00070058,500.0,M2 + strength,0.05823893870706774,0.08368958397682016,0.30410768055438764
1,0.016,EMU00069986,68.0,M3 + environment,0.056526689113476664,0.0841738718447761,0.32845326139069886
1,0.016,EMU00069992,104.0,M3 + environment,0.06375234914889805,0.08456660015416087,0.24612850661276953
