horizon_bins,model,lambda,median_leave_run_out_rmse,mean_leave_run_out_rmse
8,M0 parent,0.01,0.07940437652227061,0.07936606456962589
8,M0 parent,0.1,0.07940413265563323,0.07936621955077522
8,M0 parent,1.0,0.07941548410681264,0.07938151720422351
8,M0 parent,10.0,0.08063558459411244,0.08063669374550606
8,M0 parent,100.0,0.10937286964494247,0.10926247177757806
8,M1 + spin,0.0,0.07953808267066867,0.07950828814233377
8,M1 + spin,1e-06,0.07953808265799336,0.0795082881349973
8,M1 + spin,0.0001,0.07953808140330812,0.07950828740884308
8,M1 + spin,0.01,0.07953795754455484,0.07950821638191335
8,M1 + spin,0.1,0.07953697744521705,0.07950771464186368
8,M1 + spin,1.0,0.07954131869498893,0.07951665122491064
8,M1 + spin,10.0,0.08072043734109316,0.08072578462255961
8,M1 + spin,100.0,0.10936933949427328,0.10934113636790074
8,M2 + strength,0.0,0.05581076877000804,0.05564268236440087
8,M2 + strength,1e-06,0.05581076871737579,0.05564268235203211
8,M2 + strength,0.0001,0.055810763506918375,0.0556426811277073
8,M2 + strength,0.01,0.0558102439757726,0.05564256025073262
8,M2 + strength,0.1,0.05580565784039061,0.05564160189866855
8,M2 + strength,1.0,0.05577270023921827,0.055645226246743604
8,M2 + strength,10.0,0.05625957783944252,0.056491827672828704
8,M2 + strength,100.0,0.06541481549848961,0.06594979803862627
8,M3 + environment,0.0,0.05571911447917942,0.05557923734068355
8,M3 + environment,1e-06,0.05571911443078,0.055579237331054805
8,M3 + environment,0.0001,0.055719109639378914,0.05557923637798624
8,M3 + environment,0.01,0.05571863199168755,0.05557914261202687
8,M3 + environment,0.1,0.05571442460373419,0.05557842939611978
8,M3 + environment,1.0,0.05568505808734579,0.0555843731338687
8,M3 + environment,10.0,0.05642454482631363,0.05644219415485545
8,M3 + environment,100.0,0.06469787330574649,0.06579556835390844
8,M4 full lock,0.0,0.05588603910807115,0.05561023099367327
8,M4 full lock,1e-06,0.055886038987797065,0.05561023096768821
8,M4 full lock,0.0001,0.05588602708116915,0.05561022839543464
8,M4 full lock,0.01,0.055884841460767005,0.05560997358330977
8,M4 full lock,0.1,0.05587450494066536,0.05560787153452526
8,M4 full lock,1.0,0.055804078079000244,0.05560478539329656
8,M4 full lock,10.0,0.05642582436275765,0.05644927811507064
8,M4 full lock,100.0,0.06474990434861524,0.06583524330662628
