horizon_bins,horizon_us,run,field_G,period,model,rmse_log_rate,parent_rmse_log_rate,improvement_fraction
1,0.016,EMU00070058,500.0,RF off,M1 + spin,0.0838724578530781,0.08386323790303303,-0.00010994030609379202
1,0.016,EMU00070058,500.0,RF on,M1 + spin,0.0835185247824246,0.08351556897277149,-3.539231893490147e-05
1,0.016,EMU00069986,68.0,RF off,M2 + strength,0.05344001137589008,0.08412070516234553,0.3647222610324583
1,0.016,EMU00069986,68.0,RF on,M2 + strength,0.057983200800654645,0.08422700496676414,0.31158420243561147
1,0.016,EMU00069992,104.0,RF off,M2 + strength,0.06554278898896342,0.08391362590992386,0.21892555257569746
1,0.016,EMU00069992,104.0,RF on,M2 + strength,0.060662998308551215,0.08521457099532213,0.28811472498193624
1,0.016,EMU00069998,140.0,RF off,M2 + strength,0.056286340762016905,0.08360336027124292,0.32674547315560787
1,0.016,EMU00069998,140.0,RF on,M2 + strength,0.0571614167071073,0.08398129943425642,0.31935541492954256
1,0.016,EMU00070004,176.0,RF off,M2 + strength,0.05738467238252771,0.08456629381772766,0.32142382275598624
1,0.016,EMU00070004,176.0,RF on,M2 + strength,0.054143287929880914,0.08383527403670188,0.35417056183083795
1,0.016,EMU00070010,212.0,RF off,M2 + strength,0.05761125305216645,0.08423742366849181,0.31608481666189203
1,0.016,EMU00070010,212.0,RF on,M2 + strength,0.05927121575815363,0.08279855207762613,0.2841515428604948
1,0.016,EMU00070016,248.0,RF off,M2 + strength,0.06149429932540965,0.08361358722209786,0.26454178838104436
1,0.016,EMU00070016,248.0,RF on,M2 + strength,0.05415899655958848,0.08382509223912188,0.35390471858840356
1,0.016,EMU00070022,284.0,RF off,M2 + strength,0.06642097140106447,0.08438600724790525,0.21289117038164806
1,0.016,EMU00070022,284.0,RF on,M2 + strength,0.052464421545930034,0.08373825740640643,0.3734713000856378
1,0.016,EMU00070028,320.0,RF off,M2 + strength,0.05283146046195792,0.0839186994336013,0.3704447182983386
1,0.016,EMU00070028,320.0,RF on,M2 + strength,0.05635171500074139,0.08373021968773237,0.32698474683450884
1,0.016,EMU00070034,356.0,RF off,M2 + strength,0.05467597295593937,0.0857272242734141,0.36220992316794753
1,0.016,EMU00070034,356.0,RF on,M2 + strength,0.056372562482459754,0.08508486545914465,0.3374548789816414
1,0.016,EMU00070040,392.0,RF off,M2 + strength,0.057012199067811464,0.08325542004690249,0.31521336345797946
1,0.016,EMU00070040,392.0,RF on,M2 + strength,0.059091064204368826,0.08371353397487775,0.2941277067325586
1,0.016,EMU00070046,428.0,RF off,M2 + strength,0.05289215298812518,0.08451900966299668,0.3741981454938661
1,0.016,EMU00070046,428.0,RF on,M2 + strength,0.05210078547772419,0.08420430126655509,0.38125743347961283
1,0.016,EMU00070052,464.0,RF off,M2 + strength,0.06027824013945391,0.08453727167208672,0.2869625557201756
1,0.016,EMU00070052,464.0,RF on,M2 + strength,0.06242935709171108,0.08372895348150965,0.2543874669889703
1,0.016,EMU00070058,500.0,RF off,M2 + strength,0.05782257294394827,0.08386323790303303,0.3105134694321523
1,0.016,EMU00070058,500.0,RF on,M2 + strength,0.05865234881565246,0.08351556897277149,0.29770760665266094
1,0.016,EMU00069986,68.0,RF off,M3 + environment,0.05492230136744992,0.08412070516234553,0.3471012723745631
1,0.016,EMU00069986,68.0,RF on,M3 + environment,0.05808677970731628,0.08422700496676414,0.3103544435631156
1,0.016,EMU00069992,104.0,RF off,M3 + environment,0.06622230628549325,0.08391362590992386,0.2108277342635767
1,0.016,EMU00069992,104.0,RF on,M3 + environment,0.0611827605967263,0.08521457099532213,0.2820152717768779
1,0.016,EMU00069998,140.0,RF off,M3 + environment,0.05733539922536977,0.08360336027124292,0.3141974313071786
1,0.016,EMU00069998,140.0,RF on,M3 + environment,0.05726262224119998,0.08398129943425642,0.31815031885726863
1,0.016,EMU00070004,176.0,RF off,M3 + environment,0.05836537740032829,0.08456629381772766,0.3098269444546341
1,0.016,EMU00070004,176.0,RF on,M3 + environment,0.054198226636949974,0.08383527403670188,0.35351524451124516
1,0.016,EMU00070010,212.0,RF off,M3 + environment,0.05773674810299398,0.08423742366849181,0.31459503877740447
1,0.016,EMU00070010,212.0,RF on,M3 + environment,0.05885674058280628,0.08279855207762613,0.2891573692300039
1,0.016,EMU00070016,248.0,RF off,M3 + environment,0.0599278916402484,0.08361358722209786,0.283275677659117
1,0.016,EMU00070016,248.0,RF on,M3 + environment,0.054182942340986834,0.08382509223912188,0.3536190549433217
1,0.016,EMU00070022,284.0,RF off,M3 + environment,0.06551281174048305,0.08438600724790525,0.22365314017023474
1,0.016,EMU00070022,284.0,RF on,M3 + environment,0.051924631225379686,0.08373825740640643,0.3799174614612034
1,0.016,EMU00070028,320.0,RF off,M3 + environment,0.05300870093831578,0.0839186994336013,0.3683326684506393
1,0.016,EMU00070028,320.0,RF on,M3 + environment,0.05564495610330355,0.08373021968773237,0.3354256526397684
1,0.016,EMU00070034,356.0,RF off,M3 + environment,0.05469582234434362,0.0857272242734141,0.36197838192101595
1,0.016,EMU00070034,356.0,RF on,M3 + environment,0.055534702194555176,0.08508486545914465,0.3473022270779593
1,0.016,EMU00070040,392.0,RF off,M3 + environment,0.056844730211085395,0.08325542004690249,0.3172248704161058
1,0.016,EMU00070040,392.0,RF on,M3 + environment,0.05742561728662694,0.08371353397487775,0.3140223024886246
1,0.016,EMU00070046,428.0,RF off,M3 + environment,0.05252564573636046,0.08451900966299668,0.37853453387827907
1,0.016,EMU00070046,428.0,RF on,M3 + environment,0.0510357345717618,0.08420430126655509,0.39390584798982753
1,0.016,EMU00070052,464.0,RF off,M3 + environment,0.05901240885274217,0.08453727167208672,0.3019362029845657
1,0.016,EMU00070052,464.0,RF on,M3 + environment,0.05901287138603743,0.08372895348150965,0.29519158030477965
1,0.016,EMU00070058,500.0,RF off,M3 + environment,0.05610426560119725,0.08386323790303303,0.33100286843124427
1,0.016,EMU00070058,500.0,RF on,M3 + environment,0.05468744932740464,0.08351556897277149,0.3451825809241108
1,0.016,EMU00069986,68.0,RF off,M4 full lock,0.05500900313795714,0.08412070516234553,0.3460705894964311
1,0.016,EMU00069986,68.0,RF on,M4 full lock,0.05806294073575548,0.08422700496676414,0.31063747596549307
1,0.016,EMU00069992,104.0,RF off,M4 full lock,0.06630022231824312,0.08391362590992386,0.2098992076756122
1,0.016,EMU00069992,104.0,RF on,M4 full lock,0.06125889970015422,0.08521457099532213,0.28112177313528885
1,0.016,EMU00069998,140.0,RF off,M4 full lock,0.05736876223060554,0.08360336027124292,0.3137983683373706
1,0.016,EMU00069998,140.0,RF on,M4 full lock,0.05726228038078768,0.08398129943425642,0.3181543895303186
1,0.016,EMU00070004,176.0,RF off,M4 full lock,0.05836390193716332,0.08456629381772766,0.30984439186894486
1,0.016,EMU00070004,176.0,RF on,M4 full lock,0.05416496648773803,0.08383527403670188,0.3539119766695653
1,0.016,EMU00070010,212.0,RF off,M4 full lock,0.0577718616348769,0.08423742366849181,0.31417819872753416
1,0.016,EMU00070010,212.0,RF on,M4 full lock,0.05886385350044997,0.08279855207762613,0.2890714629253016
1,0.016,EMU00070016,248.0,RF off,M4 full lock,0.05990858668056238,0.08361358722209786,0.2835065607048921
1,0.016,EMU00070016,248.0,RF on,M4 full lock,0.05418311889450119,0.08382509223912188,0.3536169487301385
1,0.016,EMU00070022,284.0,RF off,M4 full lock,0.06547892272490449,0.08438600724790525,0.22405473537166432
1,0.016,EMU00070022,284.0,RF on,M4 full lock,0.051927581607915774,0.08373825740640643,0.37988222807293537
1,0.016,EMU00070028,320.0,RF off,M4 full lock,0.05296944672568107,0.0839186994336013,0.36880043323845957
1,0.016,EMU00070028,320.0,RF on,M4 full lock,0.05565450104484305,0.08373021968773237,0.3353116562645637
1,0.016,EMU00070034,356.0,RF off,M4 full lock,0.05469962475647612,0.0857272242734141,0.36193402714148437
1,0.016,EMU00070034,356.0,RF on,M4 full lock,0.05553603214515191,0.08508486545914465,0.34728659620648106
1,0.016,EMU00070040,392.0,RF off,M4 full lock,0.05682140428484996,0.08325542004690249,0.3175050434813824
1,0.016,EMU00070040,392.0,RF on,M4 full lock,0.05743276801408624,0.08371353397487775,0.3139368834754762
1,0.016,EMU00070046,428.0,RF off,M4 full lock,0.05251186362647714,0.08451900966299668,0.3786975990861924
1,0.016,EMU00070046,428.0,RF on,M4 full lock,0.05103954688959222,0.08420430126655509,0.39386057336878
1,0.016,EMU00070052,464.0,RF off,M4 full lock,0.05900626218195313,0.08453727167208672,0.3020089125796054
1,0.016,EMU00070052,464.0,RF on,M4 full lock,0.05900080829535728,0.08372895348150965,0.2953356534142425
1,0.016,EMU00070058,500.0,RF off,M4 full lock,0.056091917415558766,0.08386323790303303,0.3311501103687994
1,0.016,EMU00070058,500.0,RF on,M4 full lock,0.0546871368181765,0.08351556897277149,0.3451863228518972
4,0.064,EMU00069986,68.0,RF off,M0 parent,0.08216805047515276,0.08216805047515276,0.0
4,0.064,EMU00069986,68.0,RF on,M0 parent,0.08228280084653461,0.08228280084653461,0.0
4,0.064,EMU00069992,104.0,RF off,M0 parent,0.08192925359089945,0.08192925359089945,0.0
4,0.064,EMU00069992,104.0,RF on,M0 parent,0.0833376798663315,0.0833376798663315,0.0
4,0.064,EMU00069998,140.0,RF off,M0 parent,0.08166437523827004,0.08166437523827004,0.0
4,0.064,EMU00069998,140.0,RF on,M0 parent,0.08202321315876293,0.08202321315876293,0.0
4,0.064,EMU00070004,176.0,RF off,M0 parent,0.08271035383185042,0.08271035383185042,0.0
4,0.064,EMU00070004,176.0,RF on,M0 parent,0.08193683344435622,0.08193683344435622,0.0
4,0.064,EMU00070010,212.0,RF off,M0 parent,0.08225411354628692,0.08225411354628692,0.0
4,0.064,EMU00070010,212.0,RF on,M0 parent,0.08087555494030457,0.08087555494030457,0.0
4,0.064,EMU00070016,248.0,RF off,M0 parent,0.08170953418680894,0.08170953418680894,0.0
4,0.064,EMU00070016,248.0,RF on,M0 parent,0.08200391975086713,0.08200391975086713,0.0
4,0.064,EMU00070022,284.0,RF off,M0 parent,0.0824434718859365,0.0824434718859365,0.0
4,0.064,EMU00070022,284.0,RF on,M0 parent,0.08185736171675695,0.08185736171675695,0.0
4,0.064,EMU00070028,320.0,RF off,M0 parent,0.08198325872314195,0.08198325872314195,0.0
4,0.064,EMU00070028,320.0,RF on,M0 parent,0.08175660870499803,0.08175660870499803,0.0
4,0.064,EMU00070034,356.0,RF off,M0 parent,0.08377942803790708,0.08377942803790708,0.0
4,0.064,EMU00070034,356.0,RF on,M0 parent,0.08309640075619164,0.08309640075619164,0.0
4,0.064,EMU00070040,392.0,RF off,M0 parent,0.08137221555264904,0.08137221555264904,0.0
4,0.064,EMU00070040,392.0,RF on,M0 parent,0.081775688280856,0.081775688280856,0.0
4,0.064,EMU00070046,428.0,RF off,M0 parent,0.08252121193055433,0.08252121193055433,0.0
4,0.064,EMU00070046,428.0,RF on,M0 parent,0.0822158414905012,0.0822158414905012,0.0
4,0.064,EMU00070052,464.0,RF off,M0 parent,0.08279445850436587,0.08279445850436587,0.0
4,0.064,EMU00070052,464.0,RF on,M0 parent,0.08176652586936214,0.08176652586936214,0.0
4,0.064,EMU00070058,500.0,RF off,M0 parent,0.08191011235321273,0.08191011235321273,0.0
4,0.064,EMU00070058,500.0,RF on,M0 parent,0.08158862886341593,0.08158862886341593,0.0
4,0.064,EMU00069986,68.0,RF off,M1 + spin,0.08205679918338862,0.08216805047515276,0.001353948294024243
4,0.064,EMU00069986,68.0,RF on,M1 + spin,0.08221353791099177,0.08228280084653461,0.0008417668678053492
4,0.064,EMU00069992,104.0,RF off,M1 + spin,0.08233667156362195,0.08192925359089945,-0.004972802202701354
4,0.064,EMU00069992,104.0,RF on,M1 + spin,0.08377904999159415,0.0833376798663315,-0.005296165263666719
4,0.064,EMU00069998,140.0,RF off,M1 + spin,0.08201706919746662,0.08166437523827004,-0.00431882272003592
4,0.064,EMU00069998,140.0,RF on,M1 + spin,0.08239293757949284,0.08202321315876293,-0.004507558366608766
4,0.064,EMU00070004,176.0,RF off,M1 + spin,0.08261195975666161,0.08271035383185042,0.0011896222253969801
4,0.064,EMU00070004,176.0,RF on,M1 + spin,0.08185914247653225,0.08193683344435622,0.0009481812337392981
4,0.064,EMU00070010,212.0,RF off,M1 + spin,0.0820614603403391,0.08225411354628692,0.002342171079862232
4,0.064,EMU00070010,212.0,RF on,M1 + spin,0.08070037871354682,0.08087555494030457,0.0021659972149440376
4,0.064,EMU00070016,248.0,RF off,M1 + spin,0.08174375782583031,0.08170953418680894,-0.00041884511228662547
4,0.064,EMU00070016,248.0,RF on,M1 + spin,0.08204410079250284,0.08200391975086713,-0.0004899892804854922
4,0.064,EMU00070022,284.0,RF off,M1 + spin,0.08250926179286328,0.0824434718859365,-0.0007980001984608798
4,0.064,EMU00070022,284.0,RF on,M1 + spin,0.0819150276404749,0.08185736171675695,-0.0007044683887746928
4,0.064,EMU00070028,320.0,RF off,M1 + spin,0.08192954040428331,0.08198325872314195,0.0006552352235722481
4,0.064,EMU00070028,320.0,RF on,M1 + spin,0.08171202523014269,0.08175660870499803,0.0005453195229294661
4,0.064,EMU00070034,356.0,RF off,M1 + spin,0.08375702638092083,0.08377942803790708,0.00026738851661900487
4,0.064,EMU00070034,356.0,RF on,M1 + spin,0.08308982715743606,0.08309640075619164,7.910810451183803e-05
4,0.064,EMU00070040,392.0,RF off,M1 + spin,0.08150647365505878,0.08137221555264904,-0.0016499256103317261
4,0.064,EMU00070040,392.0,RF on,M1 + spin,0.08191092391698837,0.081775688280856,-0.0016537388920274676
4,0.064,EMU00070046,428.0,RF off,M1 + spin,0.08269214199559036,0.08252121193055433,-0.00207134700323941
4,0.064,EMU00070046,428.0,RF on,M1 + spin,0.08240452438837458,0.0822158414905012,-0.0022949700988605937
4,0.064,EMU00070052,464.0,RF off,M1 + spin,0.08284040691729172,0.08279445850436587,-0.0005549696653119884
4,0.064,EMU00070052,464.0,RF on,M1 + spin,0.0818172095012116,0.08176652586936214,-0.0006198579591167874
4,0.064,EMU00070058,500.0,RF off,M1 + spin,0.08192925482602696,0.08191011235321273,-0.00023370097127561884
4,0.064,EMU00070058,500.0,RF on,M1 + spin,0.08159076263686275,0.08158862886341593,-2.6152828850545262e-05
4,0.064,EMU00069986,68.0,RF off,M2 + strength,0.05395209118782181,0.08216805047515276,0.3433933155790684
4,0.064,EMU00069986,68.0,RF on,M2 + strength,0.05852611641620582,0.08228280084653461,0.28871992914579203
4,0.064,EMU00069992,104.0,RF off,M2 + strength,0.06500231197110988,0.08192925359089945,0.20660436752312583
4,0.064,EMU00069992,104.0,RF on,M2 + strength,0.058462223411673085,0.0833376798663315,0.2984899087010475
4,0.064,EMU00069998,140.0,RF off,M2 + strength,0.056627364648959795,0.08166437523827004,0.3065842421038599
4,0.064,EMU00069998,140.0,RF on,M2 + strength,0.056054296056951794,0.08202321315876293,0.31660448428844257
4,0.064,EMU00070004,176.0,RF off,M2 + strength,0.05722104733689251,0.08271035383185042,0.3081755223388053
4,0.064,EMU00070004,176.0,RF on,M2 + strength,0.053502881404960935,0.08193683344435622,0.3470228326397913
4,0.064,EMU00070010,212.0,RF off,M2 + strength,0.05646193283657195,0.08225411354628692,0.31356706184914285
4,0.064,EMU00070010,212.0,RF on,M2 + strength,0.059524749532136066,0.08087555494030457,0.2639957824577259
4,0.064,EMU00070016,248.0,RF off,M2 + strength,0.06027218419256375,0.08170953418680894,0.26236044798926295
4,0.064,EMU00070016,248.0,RF on,M2 + strength,0.05406020909680067,0.08200391975086713,0.3407606702089503
4,0.064,EMU00070022,284.0,RF off,M2 + strength,0.06524367075168794,0.0824434718859365,0.20862538586493662
4,0.064,EMU00070022,284.0,RF on,M2 + strength,0.05377132311296307,0.08185736171675695,0.3431095018793454
4,0.064,EMU00070028,320.0,RF off,M2 + strength,0.05273262129827813,0.08198325872314195,0.3567879330540328
4,0.064,EMU00070028,320.0,RF on,M2 + strength,0.05527354815939528,0.08175660870499803,0.32392562466921104
4,0.064,EMU00070034,356.0,RF off,M2 + strength,0.053543566864674604,0.08377942803790708,0.3608983957201507
4,0.064,EMU00070034,356.0,RF on,M2 + strength,0.05635714643701846,0.08309640075619164,0.3217859507251979
4,0.064,EMU00070040,392.0,RF off,M2 + strength,0.057116988352636684,0.08137221555264904,0.2980775076023199
4,0.064,EMU00070040,392.0,RF on,M2 + strength,0.06103694056519545,0.081775688280856,0.2536052970221906
4,0.064,EMU00070046,428.0,RF off,M2 + strength,0.05302987628891742,0.08252121193055433,0.35737884783436435
4,0.064,EMU00070046,428.0,RF on,M2 + strength,0.05225384589411217,0.0822158414905012,0.36443093025874684
4,0.064,EMU00070052,464.0,RF off,M2 + strength,0.05940575266774007,0.08279445850436587,0.28249119879674656
4,0.064,EMU00070052,464.0,RF on,M2 + strength,0.06130723464733429,0.08176652586936214,0.2502159778038696
4,0.064,EMU00070058,500.0,RF off,M2 + strength,0.058458114640097064,0.08191011235321273,0.2863138266980514
4,0.064,EMU00070058,500.0,RF on,M2 + strength,0.056801739082867314,0.08158862886341593,0.3038032398122942
4,0.064,EMU00069986,68.0,RF off,M3 + environment,0.05540078833530634,0.08216805047515276,0.3257624099033567
4,0.064,EMU00069986,68.0,RF on,M3 + environment,0.058603301129614906,0.08228280084653461,0.2877818872632236
4,0.064,EMU00069992,104.0,RF off,M3 + environment,0.06586747263749818,0.08192925359089945,0.1960445170610633
4,0.064,EMU00069992,104.0,RF on,M3 + environment,0.05890634619111562,0.0833376798663315,0.2931607133100206
4,0.064,EMU00069998,140.0,RF off,M3 + environment,0.05770793149117247,0.08166437523827004,0.29335244012092754
4,0.064,EMU00069998,140.0,RF on,M3 + environment,0.05608069617590726,0.08202321315876293,0.3162826227331733
4,0.064,EMU00070004,176.0,RF off,M3 + environment,0.0583403858133443,0.08271035383185042,0.2946422895016275
4,0.064,EMU00070004,176.0,RF on,M3 + environment,0.053598696252368794,0.08193683344435622,0.3458534580938134
4,0.064,EMU00070010,212.0,RF off,M3 + environment,0.05662232235949249,0.08225411354628692,0.31161713477552266
4,0.064,EMU00070010,212.0,RF on,M3 + environment,0.05922992657516565,0.08087555494030457,0.2676411726771566
4,0.064,EMU00070016,248.0,RF off,M3 + environment,0.058944812538690515,0.08170953418680894,0.2786054513059937
4,0.064,EMU00070016,248.0,RF on,M3 + environment,0.05402200699960242,0.08200391975086713,0.3412265271742553
4,0.064,EMU00070022,284.0,RF off,M3 + environment,0.06452777026591482,0.0824434718859365,0.21730891737321179
4,0.064,EMU00070022,284.0,RF on,M3 + environment,0.05317566555362965,0.08185736171675695,0.35038627634215447
4,0.064,EMU00070028,320.0,RF off,M3 + environment,0.0528054607638187,0.08198325872314195,0.35589946549766804
4,0.064,EMU00070028,320.0,RF on,M3 + environment,0.054509854016154116,0.08175660870499803,0.33326669391532915
4,0.064,EMU00070034,356.0,RF off,M3 + environment,0.05334537465908881,0.08377942803790708,0.3632640385781578
4,0.064,EMU00070034,356.0,RF on,M3 + environment,0.05546420340639028,0.08309640075619164,0.3325318196497511
4,0.064,EMU00070040,392.0,RF off,M3 + environment,0.05691747745520213,0.08137221555264904,0.30052933831725803
4,0.064,EMU00070040,392.0,RF on,M3 + environment,0.05948533943806616,0.081775688280856,0.27257916516990177
4,0.064,EMU00070046,428.0,RF off,M3 + environment,0.05260709454874668,0.08252121193055433,0.3625021577116664
4,0.064,EMU00070046,428.0,RF on,M3 + environment,0.051020165053545674,0.0822158414905012,0.3794363211688312
4,0.064,EMU00070052,464.0,RF off,M3 + environment,0.05826886863165196,0.08279445850436587,0.2962226013160124
4,0.064,EMU00070052,464.0,RF on,M3 + environment,0.058005729851088955,0.08176652586936214,0.2905931952671642
4,0.064,EMU00070058,500.0,RF off,M3 + environment,0.05691442855202638,0.08191011235321273,0.3051599257171078
4,0.064,EMU00070058,500.0,RF on,M3 + environment,0.05300121326360535,0.08158862886341593,0.3503848023683247
4,0.064,EMU00069986,68.0,RF off,M4 full lock,0.055559587278702575,0.08216805047515276,0.3238297981098682
4,0.064,EMU00069986,68.0,RF on,M4 full lock,0.058616059923553086,0.08228280084653461,0.28762682698565756
4,0.064,EMU00069992,104.0,RF off,M4 full lock,0.0659889503792407,0.08192925359089945,0.19456180195726047
4,0.064,EMU00069992,104.0,RF on,M4 full lock,0.05901245491380014,0.0833376798663315,0.2918874750478718
4,0.064,EMU00069998,140.0,RF off,M4 full lock,0.05775328242299037,0.08166437523827004,0.29279710700675654
4,0.064,EMU00069998,140.0,RF on,M4 full lock,0.05606212964415862,0.08202321315876293,0.31650897977325543
4,0.064,EMU00070004,176.0,RF off,M4 full lock,0.05835981346973825,0.08271035383185042,0.2944074016611832
4,0.064,EMU00070004,176.0,RF on,M4 full lock,0.053570031718472126,0.08193683344435622,0.34620329506812286
4,0.064,EMU00070010,212.0,RF off,M4 full lock,0.056673885704225754,0.08225411354628692,0.3109902561610659
4,0.064,EMU00070010,212.0,RF on,M4 full lock,0.05925360223832683,0.08087555494030457,0.2673484307827899
4,0.064,EMU00070016,248.0,RF off,M4 full lock,0.05895907894326261,0.08170953418680894,0.27843085228625775
4,0.064,EMU00070016,248.0,RF on,M4 full lock,0.05403098304475731,0.08200391975086713,0.34111706844128054
4,0.064,EMU00070022,284.0,RF off,M4 full lock,0.0644794392767834,0.0824434718859365,0.21789514922427067
4,0.064,EMU00070022,284.0,RF on,M4 full lock,0.053203175860615105,0.08185736171675695,0.3500502001920258
4,0.064,EMU00070028,320.0,RF off,M4 full lock,0.0527376834228757,0.08198325872314195,0.35672618722108584
4,0.064,EMU00070028,320.0,RF on,M4 full lock,0.05453074845800658,0.08175660870499803,0.33301112507284136
4,0.064,EMU00070034,356.0,RF off,M4 full lock,0.05336466983628731,0.08377942803790708,0.36303372932861544
4,0.064,EMU00070034,356.0,RF on,M4 full lock,0.055478115406590034,0.08309640075619164,0.3323643996403024
4,0.064,EMU00070040,392.0,RF off,M4 full lock,0.05687974348694634,0.08137221555264904,0.3009930588636326
4,0.064,EMU00070040,392.0,RF on,M4 full lock,0.05948081698494451,0.081775688280856,0.2726344683194897
4,0.064,EMU00070046,428.0,RF off,M4 full lock,0.052568329521208226,0.08252121193055433,0.36297191605175316
4,0.064,EMU00070046,428.0,RF on,M4 full lock,0.05101869571714861,0.0822158414905012,0.379454192863269
4,0.064,EMU00070052,464.0,RF off,M4 full lock,0.05824496449018455,0.08279445850436587,0.2965113179994624
