x_e_child,charged_parent,joint_neutral_parent,nu_e_parent_mean,anti_nu_mu_parent_mean,pair_mass_parent,nu_e_internal_ara,anti_nu_mu_internal_ara,probability_anti_nu_mu_heavier
0.135,0.0675,0.9325,0.45555631868131724,0.47694368131868276,0.4325,0.9770644904693131,1.022935509530687,0.7376373626373635
0.13999999999999999,0.06999999999999999,0.93,0.453933823529408,0.4760661764705921,0.43,0.9762017710309848,1.023798228969015,0.7371323529411764
0.145,0.0725,0.9275,0.45231319188191826,0.4751868081180817,0.4275,0.9753384191523844,1.0246615808476156,0.7366236162361567
0.14999999999999997,0.07499999999999998,0.925,0.4506944444444442,0.47430555555555587,0.42500000000000004,0.9744744744744739,1.0255255255255262,0.7361111111111119
0.15499999999999997,0.07749999999999999,0.9225,0.44907760223048054,0.47342239776951944,0.4225,0.9736099777354592,1.0263900222645408,0.7355947955390293
0.15999999999999998,0.07999999999999999,0.92,0.4474626865671631,0.47253731343283695,0.42000000000000004,0.9727449707981806,1.0272550292018194,0.7350746268656723
0.16499999999999998,0.08249999999999999,0.9175,0.4458497191011227,0.4716502808988773,0.4175,0.9718794966781966,1.0281205033218033,0.7345505617977531
0.16999999999999998,0.08499999999999999,0.915,0.4442387218045087,0.47076127819549135,0.41500000000000004,0.9710135995726965,1.0289864004273035,0.7340225563909788
0.175,0.0875,0.9125,0.44262971698112946,0.4698702830188705,0.4125,0.9701473248901468,1.0298526751098531,0.7334905660377337
0.18,0.09,0.91,0.4410227272727273,0.46897727272727274,0.41000000000000003,0.9692807192807192,1.0307192807192807,0.732954545454545
0.185,0.0925,0.9075,0.4394177756653983,0.46808222433460167,0.4075,0.9684138306675445,1.0315861693324555,0.7324144486692009
0.19,0.095,0.905,0.4378148854961823,0.4671851145038177,0.405,0.9675467082788559,1.0324532917211442,0.7318702290076323
0.195,0.0975,0.9025,0.4362140804597684,0.4662859195402316,0.40249999999999997,0.9666794026809272,1.0333205973190729,0.7313218390804612
0.19999999999999996,0.09999999999999998,0.9,0.434615384615383,0.465384615384617,0.4,0.9658119658119623,1.0341880341880378,0.7307692307692301
0.20499999999999996,0.10249999999999998,0.8975,0.4330188223938212,0.46448117760617874,0.3975,0.9649444510168719,1.0350555489831281,0.7302123552123545
0.20999999999999996,0.10499999999999998,0.895,0.4314244186046508,0.4635755813953492,0.395,0.9640769130830186,1.0359230869169815,0.7296511627906965
0.21499999999999997,0.10749999999999998,0.8925000000000001,0.4298321984435787,0.4626678015564214,0.3925,0.9632094082769269,1.036790591723073,0.7290856031128395
0.21999999999999997,0.10999999999999999,0.89,0.4282421874999993,0.4617578125000007,0.39,0.962341994382021,1.0376580056179792,0.7285156249999992
0.22499999999999998,0.11249999999999999,0.8875,0.4266544117647047,0.46084558823529526,0.3875,0.9614747307373628,1.0385252692626372,0.7279411764705884
0.22999999999999998,0.11499999999999999,0.885,0.42506889763779376,0.45993110236220625,0.385,0.9606076782775,1.0393923217225,0.7273622047244092
0.235,0.1175,0.8825000000000001,0.4234856719367582,0.4590143280632419,0.3825,0.9597408995733896,1.0402591004266104,0.7267786561264828
0.24,0.12,0.88,0.4219047619047611,0.4580952380952389,0.38,0.9588744588744571,1.041125541125543,0.7261904761904756
0.245,0.1225,0.8775,0.4203261952191234,0.45717380478087655,0.3775,0.9580084221518482,1.0419915778481517,0.7255976095617523
0.24999999999999994,0.12499999999999997,0.875,0.41874999999999934,0.45625000000000066,0.375,0.9571428571428556,1.0428571428571443,0.7249999999999999
0.25499999999999995,0.12749999999999997,0.8725,0.4171762048192766,0.45532379518072347,0.37250000000000005,0.9562778333966225,1.0437221666033776,0.7243975903614449
0.25999999999999995,0.12999999999999998,0.87,0.4156048387096771,0.45439516129032287,0.37,0.9554134223210968,1.0445865776789032,0.7237903225806439
0.26499999999999996,0.13249999999999998,0.8675,0.414035931174089,0.45346406882591106,0.36750000000000005,0.954549697231329,1.045450302768671,0.7231781376518203
0.26999999999999996,0.13499999999999998,0.865,0.41246951219512157,0.4525304878048784,0.365,0.953686733399125,1.046313266600875,0.7225609756097557
0.27499999999999997,0.13749999999999998,0.8625,0.410905612244897,0.451594387755103,0.36250000000000004,0.952824608104109,1.047175391895891,0.7219387755102035
0.27999999999999997,0.13999999999999999,0.86,0.4093442622950817,0.4506557377049183,0.36,0.9519634006862365,1.0480365993137635,0.7213114754098345
0.285,0.1425,0.8575,0.40778549382716,0.44971450617284003,0.35750000000000004,0.95110319259979,1.0488968074002099,0.7206790123456785
0.29,0.145,0.855,0.40622933884297524,0.44877066115702474,0.355,0.950244067468948,1.0497559325310521,0.720041322314049
0.295,0.1475,0.8525,0.4046758298755182,0.44782417012448184,0.35250000000000004,0.9493861111449107,1.0506138888550893,0.7193983402489628
0.3,0.15,0.85,0.4031249999999997,0.4468750000000003,0.35,0.9485294117647052,1.0514705882352948,0.7187499999999997
0.30499999999999994,0.15249999999999997,0.8475,0.4015768828451878,0.44592311715481225,0.34750000000000003,0.9476740598116525,1.0523259401883474,0.7180962343096222
0.30999999999999994,0.15499999999999997,0.845,0.4000315126050416,0.44496848739495837,0.34500000000000003,0.9468201481776133,1.0531798518223867,0.7174369747899151
0.31499999999999995,0.15749999999999997,0.8425,0.39848892405063235,0.4440110759493677,0.3425,0.9459677722270204,1.0540322277729797,0.716772151898734
0.31999999999999995,0.15999999999999998,0.8400000000000001,0.3969491525423728,0.4430508474576273,0.34,0.9451170298627922,1.0548829701372078,0.716101694915254
