salt,source,bin_low,bin_high,bin_center,proportion_of_split_weight
603,C,1.5,1.75,1.625,0.07317073170731708
603,C,1.75,2.0,1.875,0.17073170731707318
603,AC,0.0,0.25,0.125,0.0
603,AC,0.25,0.5,0.375,0.05555555555555554
603,AC,0.5,0.75,0.625,0.05555555555555554
603,AC,0.75,1.0,0.875,0.16666666666666663
603,AC,1.0,1.25,1.125,0.22222222222222227
603,AC,1.25,1.5,1.375,0.11111111111111113
603,AC,1.5,1.75,1.625,0.16666666666666669
603,AC,1.75,2.0,1.875,0.22222222222222227
604,C,0.0,0.25,0.125,0.045454545454545484
604,C,0.25,0.5,0.375,0.13636363636363644
604,C,0.5,0.75,0.625,0.20454545454545478
604,C,0.75,1.0,0.875,0.18181818181818182
604,C,1.0,1.25,1.125,0.04545454545454542
604,C,1.25,1.5,1.375,0.11363636363636355
604,C,1.5,1.75,1.625,0.13636363636363624
604,C,1.75,2.0,1.875,0.13636363636363624
604,AC,0.0,0.25,0.125,0.08333333333333334
604,AC,0.25,0.5,0.375,0.08333333333333334
604,AC,0.5,0.75,0.625,0.16666666666666663
604,AC,0.75,1.0,0.875,0.0833333333333333
604,AC,1.0,1.25,1.125,0.0833333333333334
604,AC,1.25,1.5,1.375,0.0833333333333334
604,AC,1.5,1.75,1.625,0.20833333333333348
604,AC,1.75,2.0,1.875,0.20833333333333312
606,C,0.0,0.25,0.125,0.12948954950051123
606,C,0.25,0.5,0.375,0.08240244059123442
606,C,0.5,0.75,0.625,0.15303310395514963
606,C,0.75,1.0,0.875,0.129489549500511
606,C,1.0,1.25,1.125,0.05885888613659578
606,C,1.25,1.5,1.375,0.1763705792136281
606,C,1.5,1.75,1.625,0.15280985149264345
606,C,1.75,2.0,1.875,0.11754603960972645
606,AC,0.0,0.25,0.125,0.07276587438266625
606,AC,0.25,0.5,0.375,0.18191468595666563
606,AC,0.5,0.75,0.625,0.0909573429783328
606,AC,0.75,1.0,0.875,0.12734028016966598
606,AC,1.0,1.25,1.125,0.12734028016966598
606,AC,1.25,1.5,1.375,0.1453725169368342
606,AC,1.5,1.75,1.625,0.1453194396606681
606,AC,1.75,2.0,1.875,0.10898957974550108
607,C,0.0,0.25,0.125,0.055487017323664456
607,C,0.25,0.5,0.375,0.16646105197099334
607,C,0.5,0.75,0.625,0.16646105197099353
607,C,0.75,1.0,0.875,0.1294697070885505
607,C,1.0,1.25,1.125,0.036991344882443
607,C,1.25,1.5,1.375,0.11097403464732902
607,C,1.5,1.75,1.625,0.2034523968534362
607,C,1.75,2.0,1.875,0.13070339526258998
607,AC,0.0,0.25,0.125,0.23809523809523797
607,AC,0.25,0.5,0.375,0.0
607,AC,0.5,0.75,0.625,0.19047619047619038
607,AC,0.75,1.0,0.875,0.14285714285714282
607,AC,1.0,1.25,1.125,0.09523809523809529
607,AC,1.25,1.5,1.375,0.14285714285714293
607,AC,1.5,1.75,1.625,0.19047619047619058
607,AC,1.75,2.0,1.875,0.0
608,C,0.0,0.25,0.125,0.02125307459596059
608,C,0.25,0.5,0.375,0.17002459676768472
608,C,0.5,0.75,0.625,0.12751844757576347
608,C,0.75,1.0,0.875,0.10626537297980285
608,C,1.0,1.25,1.125,0.14877152217172404
608,C,1.25,1.5,1.375,0.12751844757576342
608,C,1.5,1.75,1.625,0.14877152217172399
608,C,1.75,2.0,1.875,0.14987701616157695
608,AC,0.0,0.25,0.125,0.15605974468574565
608,AC,0.25,0.5,0.375,0.031211948937149115
608,AC,0.5,0.75,0.625,0.15605974468574568
608,AC,0.75,1.0,0.875,0.1560597446857455
608,AC,1.0,1.25,1.125,0.09363584681144729
608,AC,1.25,1.5,1.375,0.06242389787429827
608,AC,1.5,1.75,1.625,0.24969559149719278
608,AC,1.75,2.0,1.875,0.09485348082267571
611,C,0.0,0.25,0.125,0.10618330695203043
611,C,0.25,0.5,0.375,0.10618330695203043
611,C,0.5,0.75,0.625,0.16685948235319067
611,C,0.75,1.0,0.875,0.1668594823531907
611,C,1.0,1.25,1.125,0.18202852620348078
611,C,1.25,1.5,1.375,0.060676175401160014
611,C,1.5,1.75,1.625,0.07543204278032749
611,C,1.75,2.0,1.875,0.13577767700458948
611,AC,0.0,0.25,0.125,0.1334545017265051
611,AC,0.25,0.5,0.375,0.10009087629487884
611,AC,0.5,0.75,0.625,0.13345450172650514
611,AC,0.75,1.0,0.875,0.16681812715813138
611,AC,1.0,1.25,1.125,0.16681812715813144
611,AC,1.25,1.5,1.375,0.13345450172650505
611,AC,1.5,1.75,1.625,0.06636374568373721
611,AC,1.75,2.0,1.875,0.09954561852560583
613,C,0.0,0.25,0.125,0.09505974125887577
613,C,0.25,0.5,0.375,0.13893346799374162
613,C,0.5,0.75,0.625,0.1608703313611741
613,C,0.75,1.0,0.875,0.13137043476860105
613,C,1.0,1.25,1.125,0.11619421923111989
613,C,1.25,1.5,1.375,0.1016699418272299
613,C,1.5,1.75,1.625,0.130858272306857
613,C,1.75,2.0,1.875,0.12504359125240067
613,AC,0.0,0.25,0.125,0.07988719511242849
613,AC,0.25,0.5,0.375,0.09985899389053564
613,AC,0.5,0.75,0.625,0.059915396334321455
613,AC,0.75,1.0,0.875,0.1692808929769538
613,AC,1.0,1.25,1.125,0.14876121232803902
613,AC,1.25,1.5,1.375,0.11900896986243116
613,AC,1.5,1.75,1.625,0.1525237211177217
613,AC,1.75,2.0,1.875,0.17076361837756873
614,C,0.0,0.25,0.125,0.12515824444345153
614,C,0.25,0.5,0.375,0.11264241999910628
614,C,0.5,0.75,0.625,0.12515824444345164
614,C,0.75,1.0,0.875,0.10012659555476135
614,C,1.0,1.25,1.125,0.1376740688877965
614,C,1.25,1.5,1.375,0.0874751330160289
614,C,1.5,1.75,1.625,0.17458856444702608
614,C,1.75,2.0,1.875,0.13717672920837762
614,AC,0.0,0.25,0.125,0.07703010262642919
614,AC,0.25,0.5,0.375,0.07703010262642919
614,AC,0.5,0.75,0.625,0.15406020525285827
614,AC,0.75,1.0,0.875,0.15406020525285835
614,AC,1.0,1.25,1.125,0.09628762828303661
614,AC,1.25,1.5,1.375,0.0961484948686787
614,AC,1.5,1.75,1.625,0.13431571264599856
614,AC,1.75,2.0,1.875,0.21106754844371114
615,C,0.0,0.25,0.125,0.08000000000000003
615,C,0.25,0.5,0.375,0.1600000000000001
615,C,0.5,0.75,0.625,0.20000000000000015
615,C,0.75,1.0,0.875,0.12000000000000004
615,C,1.0,1.25,1.125,0.07999999999999995
615,C,1.25,1.5,1.375,0.07999999999999995
615,C,1.5,1.75,1.625,0.03999999999999997
615,C,1.75,2.0,1.875,0.23999999999999982
615,AC,0.0,0.25,0.125,0.07142857142857141
615,AC,0.25,0.5,0.375,0.14285714285714282
615,AC,0.5,0.75,0.625,0.28571428571428575
615,AC,0.75,1.0,0.875,0.21428571428571433
615,AC,1.0,1.25,1.125,0.0
615,AC,1.25,1.5,1.375,0.14285714285714288
615,AC,1.5,1.75,1.625,0.07142857142857144
615,AC,1.75,2.0,1.875,0.07142857142857134
616,C,0.0,0.25,0.125,0.0
616,C,0.25,0.5,0.375,0.12499999999999993
616,C,0.5,0.75,0.625,0.16666666666666657
616,C,0.75,1.0,0.875,0.12499999999999993
616,C,1.0,1.25,1.125,0.16666666666666666
616,C,1.25,1.5,1.375,0.16666666666666677
616,C,1.5,1.75,1.625,0.12500000000000008
616,C,1.75,2.0,1.875,0.12500000000000008
616,AC,0.0,0.25,0.125,0.0
616,AC,0.25,0.5,0.375,0.11111111111111106
616,AC,0.5,0.75,0.625,0.1666666666666666
616,AC,0.75,1.0,0.875,0.11111111111111106
616,AC,1.0,1.25,1.125,0.05555555555555553
616,AC,1.25,1.5,1.375,0.22222222222222213
616,AC,1.5,1.75,1.625,0.1111111111111112
616,AC,1.75,2.0,1.875,0.2222222222222224
617,C,0.0,0.25,0.125,0.08496077468855787
617,C,0.25,0.5,0.375,0.10620096836069735
617,C,0.5,0.75,0.625,0.10620096836069744
617,C,0.75,1.0,0.875,0.1699215493771159
617,C,1.0,1.25,1.125,0.1699215493771159
617,C,1.25,1.5,1.375,0.16992154937711573
617,C,1.5,1.75,1.625,0.14970789415064292
617,C,1.75,2.0,1.875,0.04316474630805688
617,AC,0.0,0.25,0.125,0.09476555362661498
617,AC,0.25,0.5,0.375,0.07107416521996124
617,AC,0.5,0.75,0.625,0.09476555362661505
617,AC,0.75,1.0,0.875,0.14214833043992262
617,AC,1.0,1.25,1.125,0.09476555362661508
617,AC,1.25,1.5,1.375,0.11845694203326886
617,AC,1.5,1.75,1.625,0.07107416521996131
617,AC,1.75,2.0,1.875,0.3129497362070408
618,C,0.0,0.25,0.125,0.1482585623516959
618,C,0.25,0.5,0.375,0.09883904156779717
618,C,0.5,0.75,0.625,0.07412928117584787
618,C,0.75,1.0,0.875,0.12354880195974646
618,C,1.0,1.25,1.125,0.11119392176377223
618,C,1.25,1.5,1.375,0.08635639636486035
618,C,1.5,1.75,1.625,0.20967096247850933
618,C,1.75,2.0,1.875,0.14800303233777068
618,AC,0.0,0.25,0.125,0.11327385249982531
618,AC,0.25,0.5,0.375,0.11327385249982531
618,AC,0.5,0.75,0.625,0.18878975416637533
618,AC,0.75,1.0,0.875,0.09439487708318767
618,AC,1.0,1.25,1.125,0.15103180333310026
618,AC,1.25,1.5,1.375,0.09423218344935713
618,AC,1.5,1.75,1.625,0.11307862013922876
618,AC,1.75,2.0,1.875,0.13192505682910022
619,C,0.0,0.25,0.125,0.10000000000000002
619,C,0.25,0.5,0.375,0.13333333333333336
619,C,0.5,0.75,0.625,0.10000000000000003
619,C,0.75,1.0,0.875,0.16666666666666685
619,C,1.0,1.25,1.125,0.13333333333333341
619,C,1.25,1.5,1.375,0.16666666666666652
619,C,1.5,1.75,1.625,0.13333333333333322
619,C,1.75,2.0,1.875,0.06666666666666661
619,AC,0.0,0.25,0.125,0.25
619,AC,0.25,0.5,0.375,0.0
619,AC,0.5,0.75,0.625,0.04166666666666666
619,AC,0.75,1.0,0.875,0.20833333333333343
619,AC,1.0,1.25,1.125,0.1666666666666668
619,AC,1.25,1.5,1.375,0.0416666666666667
619,AC,1.5,1.75,1.625,0.0416666666666667
619,AC,1.75,2.0,1.875,0.24999999999999972
620,C,0.0,0.25,0.125,0.10000000000000003
620,C,0.25,0.5,0.375,0.2500000000000001
620,C,0.5,0.75,0.625,0.1
620,C,0.75,1.0,0.875,0.2000000000000001
620,C,1.0,1.25,1.125,0.0
620,C,1.25,1.5,1.375,0.050000000000000024
620,C,1.5,1.75,1.625,0.24999999999999978
620,C,1.75,2.0,1.875,0.04999999999999994
620,AC,0.0,0.25,0.125,0.0625
620,AC,0.25,0.5,0.375,0.0625
620,AC,0.5,0.75,0.625,0.125
620,AC,0.75,1.0,0.875,0.12500000000000003
620,AC,1.0,1.25,1.125,0.1875
620,AC,1.25,1.5,1.375,0.18750000000000003
620,AC,1.5,1.75,1.625,0.18750000000000003
620,AC,1.75,2.0,1.875,0.06249999999999991
621,C,0.0,0.25,0.125,0.12272802365047192
621,C,0.25,0.5,0.375,0.1577931732648924
621,C,0.5,0.75,0.625,0.15779317326489234
621,C,0.75,1.0,0.875,0.1577931732648923
621,C,1.0,1.25,1.125,0.07013029922884102
621,C,1.25,1.5,1.375,0.1227280236504718
621,C,1.5,1.75,1.625,0.12296923714635269
621,C,1.75,2.0,1.875,0.08806489652918553
621,AC,0.0,0.25,0.125,0.08324849375170817
621,AC,0.25,0.5,0.375,0.08324849375170817
621,AC,0.5,0.75,0.625,0.19424648542065237
621,AC,0.75,1.0,0.875,0.08324849375170809
621,AC,1.0,1.25,1.125,0.08324849375170809
621,AC,1.25,1.5,1.375,0.13874748958618022
621,AC,1.5,1.75,1.625,0.11099799166894413
621,AC,1.75,2.0,1.875,0.22301405831739074
622,C,0.0,0.25,0.125,0.07242178152032708
622,C,0.25,0.5,0.375,0.10139049412845788
622,C,0.5,0.75,0.625,0.11587485043252324
622,C,0.75,1.0,0.875,0.2172653445609811
622,C,1.0,1.25,1.125,0.08690613782439244
622,C,1.25,1.5,1.375,0.1448435630406546
622,C,1.5,1.75,1.625,0.14503670138048314
622,C,1.75,2.0,1.875,0.11626112711218056
622,AC,0.0,0.25,0.125,0.06056934932651359
622,AC,0.25,0.5,0.375,0.030284674663256794
622,AC,0.5,0.75,0.625,0.1211386986530272
622,AC,0.75,1.0,0.875,0.18170804797954065
622,AC,1.0,1.25,1.125,0.060569349326513554
622,AC,1.25,1.5,1.375,0.3028467466325678
622,AC,1.5,1.75,1.625,0.0909549800085247
622,AC,1.75,2.0,1.875,0.15192815341005572
623,C,0.0,0.25,0.125,0.10869565217391311
623,C,0.25,0.5,0.375,0.15217391304347833
623,C,0.5,0.75,0.625,0.08695652173913057
623,C,0.75,1.0,0.875,0.21739130434782628
623,C,1.0,1.25,1.125,0.10869565217391293
623,C,1.25,1.5,1.375,0.10869565217391293
623,C,1.5,1.75,1.625,0.1304347826086955
623,C,1.75,2.0,1.875,0.08695652173913035
623,AC,0.0,0.25,0.125,0.06249999999999999
623,AC,0.25,0.5,0.375,0.06249999999999999
623,AC,0.5,0.75,0.625,0.0
623,AC,0.75,1.0,0.875,0.24999999999999992
623,AC,1.0,1.25,1.125,0.06249999999999997
623,AC,1.25,1.5,1.375,0.18749999999999992
623,AC,1.5,1.75,1.625,0.12500000000000003
623,AC,1.75,2.0,1.875,0.2500000000000002
624,C,0.0,0.25,0.125,0.04166666666666668
624,C,0.25,0.5,0.375,0.1666666666666667
624,C,0.5,0.75,0.625,0.08333333333333334
624,C,0.75,1.0,0.875,0.2500000000000002
624,C,1.0,1.25,1.125,0.12499999999999992
624,C,1.25,1.5,1.375,0.12499999999999992
624,C,1.5,1.75,1.625,0.08333333333333329
624,C,1.75,2.0,1.875,0.12499999999999992
624,AC,0.0,0.25,0.125,0.09999999999999999
624,AC,0.25,0.5,0.375,0.0
624,AC,0.5,0.75,0.625,0.2
624,AC,0.75,1.0,0.875,0.29999999999999993
624,AC,1.0,1.25,1.125,0.09999999999999996
624,AC,1.25,1.5,1.375,0.2000000000000001
624,AC,1.5,1.75,1.625,0.0
624,AC,1.75,2.0,1.875,0.10000000000000005
625,C,0.0,0.25,0.125,0.06568424629283093
625,C,0.25,0.5,0.375,0.16785974052612335
625,C,0.5,0.75,0.625,0.1386667421737545
625,C,0.75,1.0,0.875,0.1457455791853463
625,C,1.0,1.25,1.125,0.15172735331443724
625,C,1.25,1.5,1.375,0.13005201712666048
625,C,1.5,1.75,1.625,0.14118772995465348
625,C,1.75,2.0,1.875,0.059076591426193724
625,AC,0.0,0.25,0.125,0.08914107197791779
625,AC,0.25,0.5,0.375,0.12256897396963697
625,AC,0.5,0.75,0.625,0.1002837059751574
625,AC,0.75,1.0,0.875,0.1225689739696371
625,AC,1.0,1.25,1.125,0.12134068061641312
625,AC,1.25,1.5,1.375,0.1323716515815416
625,AC,1.5,1.75,1.625,0.14035360506653685
625,AC,1.75,2.0,1.875,0.17137133684315917
626,C,0.0,0.25,0.125,0.12684221124230657
626,C,0.25,0.5,0.375,0.15502936929615263
626,C,0.5,0.75,0.625,0.12684221124230652
626,C,0.75,1.0,0.875,0.11274863221538348
626,C,1.0,1.25,1.125,0.11274863221538355
626,C,1.25,1.5,1.375,0.08456147416153761
626,C,1.5,1.75,1.625,0.1406137348134648
626,C,1.75,2.0,1.875,0.1406137348134648
626,AC,0.0,0.25,0.125,0.17656552323236877
626,AC,0.25,0.5,0.375,0.08828276161618435
626,AC,0.5,0.75,0.625,0.2354206976431585
626,AC,0.75,1.0,0.875,0.08828276161618447
626,AC,1.0,1.25,1.125,0.029427587205394824
626,AC,1.25,1.5,1.375,0.1471379360269739
626,AC,1.5,1.75,1.625,0.1468017079123345
626,AC,1.75,2.0,1.875,0.08808102474740069
627,C,0.0,0.25,0.125,0.1538461538461539
627,C,0.25,0.5,0.375,0.0
627,C,0.5,0.75,0.625,0.23076923076923095
627,C,0.75,1.0,0.875,0.19230769230769235
627,C,1.0,1.25,1.125,0.15384615384615374
627,C,1.25,1.5,1.375,0.11538461538461531
627,C,1.5,1.75,1.625,0.038461538461538436
627,C,1.75,2.0,1.875,0.11538461538461531
627,AC,0.0,0.25,0.125,0.05555555555555556
627,AC,0.25,0.5,0.375,0.11111111111111112
627,AC,0.5,0.75,0.625,0.22222222222222232
627,AC,0.75,1.0,0.875,0.16666666666666674
627,AC,1.0,1.25,1.125,0.22222222222222224
627,AC,1.25,1.5,1.375,0.055555555555555504
627,AC,1.5,1.75,1.625,0.11111111111111101
627,AC,1.75,2.0,1.875,0.055555555555555504
628,C,0.0,0.25,0.125,0.030303030303030314
628,C,0.25,0.5,0.375,0.09090909090909094
628,C,0.5,0.75,0.625,0.09090909090909091
628,C,0.75,1.0,0.875,0.33333333333333326
628,C,1.0,1.25,1.125,0.12121212121212119
628,C,1.25,1.5,1.375,0.12121212121212127
628,C,1.5,1.75,1.625,0.0909090909090909
628,C,1.75,2.0,1.875,0.12121212121212119
628,AC,0.0,0.25,0.125,0.0
628,AC,0.25,0.5,0.375,0.12500000000000003
628,AC,0.5,0.75,0.625,0.12500000000000003
628,AC,0.75,1.0,0.875,0.06250000000000003
628,AC,1.0,1.25,1.125,0.12499999999999999
628,AC,1.25,1.5,1.375,0.06249999999999999
628,AC,1.5,1.75,1.625,0.24999999999999997
628,AC,1.75,2.0,1.875,0.24999999999999997
630,C,0.0,0.25,0.125,0.1052631578947369
630,C,0.25,0.5,0.375,0.0789473684210527
630,C,0.5,0.75,0.625,0.13157894736842118
630,C,0.75,1.0,0.875,0.15789473684210542
630,C,1.0,1.25,1.125,0.15789473684210525
630,C,1.25,1.5,1.375,0.10526315789473671
630,C,1.5,1.75,1.625,0.18421052631578927
630,C,1.75,2.0,1.875,0.07894736842105254
630,AC,0.0,0.25,0.125,0.07142857142857144
630,AC,0.25,0.5,0.375,0.035714285714285726
630,AC,0.5,0.75,0.625,0.1428571428571429
630,AC,0.75,1.0,0.875,0.1785714285714287
630,AC,1.0,1.25,1.125,0.1785714285714287
630,AC,1.25,1.5,1.375,0.07142857142857148
630,AC,1.5,1.75,1.625,0.1428571428571428
630,AC,1.75,2.0,1.875,0.1785714285714283
631,C,0.0,0.25,0.125,0.1071428571428571
631,C,0.25,0.5,0.375,0.1071428571428571
631,C,0.5,0.75,0.625,0.14285714285714285
631,C,0.75,1.0,0.875,0.21428571428571433
631,C,1.0,1.25,1.125,0.14285714285714288
631,C,1.25,1.5,1.375,0.07142857142857144
631,C,1.5,1.75,1.625,0.10714285714285716
631,C,1.75,2.0,1.875,0.10714285714285716
631,AC,0.0,0.25,0.125,0.0909090909090909
631,AC,0.25,0.5,0.375,0.1818181818181818
631,AC,0.5,0.75,0.625,0.0909090909090909
631,AC,0.75,1.0,0.875,0.0909090909090909
631,AC,1.0,1.25,1.125,0.1818181818181817
631,AC,1.25,1.5,1.375,0.1818181818181819
631,AC,1.5,1.75,1.625,0.09090909090909095
631,AC,1.75,2.0,1.875,0.09090909090909095
632,C,0.0,0.25,0.125,0.05714285714285713
632,C,0.25,0.5,0.375,0.2285714285714286
632,C,0.5,0.75,0.625,0.19999999999999984
632,C,0.75,1.0,0.875,0.1714285714285712
632,C,1.0,1.25,1.125,0.05714285714285715
632,C,1.25,1.5,1.375,0.11428571428571445
632,C,1.5,1.75,1.625,0.08571428571428584
632,C,1.75,2.0,1.875,0.08571428571428584
632,AC,0.0,0.25,0.125,0.05882352941176471
632,AC,0.25,0.5,0.375,0.11764705882352942
632,AC,0.5,0.75,0.625,0.11764705882352944
632,AC,0.75,1.0,0.875,0.29411764705882365
632,AC,1.0,1.25,1.125,0.17647058823529418
632,AC,1.25,1.5,1.375,0.05882352941176465
632,AC,1.5,1.75,1.625,0.05882352941176465
632,AC,1.75,2.0,1.875,0.1176470588235293
633,C,0.0,0.25,0.125,0.05075358455030187
633,C,0.25,0.5,0.375,0.11842503061737104
633,C,0.5,0.75,0.625,0.20301433820120743
633,C,0.75,1.0,0.875,0.13534289213413808
633,C,1.0,1.25,1.125,0.06767144606706904
633,C,1.25,1.5,1.375,0.1353428921341383
633,C,1.5,1.75,1.625,0.11895250790615121
633,C,1.75,2.0,1.875,0.17049730838962304
633,AC,0.0,0.25,0.125,0.06653988381443639
633,AC,0.25,0.5,0.375,0.0665398838144364
633,AC,0.5,0.75,0.625,0.1774396901718304
633,AC,0.75,1.0,0.875,0.110899806357394
633,AC,1.0,1.25,1.125,0.13307976762887253
633,AC,1.25,1.5,1.375,0.15525972890035128
633,AC,1.5,1.75,1.625,0.1561241574382855
633,AC,1.75,2.0,1.875,0.13411708187439347
635,C,0.0,0.25,0.125,0.07348079869255825
635,C,0.25,0.5,0.375,0.13226543764660487
635,C,0.5,0.75,0.625,0.1763539168621397
635,C,0.75,1.0,0.875,0.16165775712362787
635,C,1.0,1.25,1.125,0.0881769584310698
635,C,1.25,1.5,1.375,0.08817695843106974
635,C,1.5,1.75,1.625,0.05892382585535364
635,C,1.75,2.0,1.875,0.22096434695757616
635,AC,0.0,0.25,0.125,0.1561344730428478
635,AC,0.25,0.5,0.375,0.09368068382570867
635,AC,0.5,0.75,0.625,0.1561344730428479
635,AC,0.75,1.0,0.875,0.06245378921713915
635,AC,1.0,1.25,1.125,0.09368068382570872
635,AC,1.25,1.5,1.375,0.12490757843427816
635,AC,1.5,1.75,1.625,0.21910582302802872
635,AC,1.75,2.0,1.875,0.09390249558344088
636,C,0.0,0.25,0.125,0.07142857142857142
636,C,0.25,0.5,0.375,0.0
636,C,0.5,0.75,0.625,0.3571428571428571
636,C,0.75,1.0,0.875,0.07142857142857147
636,C,1.0,1.25,1.125,0.21428571428571425
636,C,1.25,1.5,1.375,0.07142857142857141
636,C,1.5,1.75,1.625,0.21428571428571433
636,C,1.75,2.0,1.875,0.0
636,AC,0.0,0.25,0.125,0.08333333333333334
636,AC,0.25,0.5,0.375,0.1666666666666667
636,AC,0.5,0.75,0.625,0.33333333333333337
636,AC,0.75,1.0,0.875,0.08333333333333333
636,AC,1.0,1.25,1.125,0.0
636,AC,1.25,1.5,1.375,0.08333333333333333
636,AC,1.5,1.75,1.625,0.16666666666666666
636,AC,1.75,2.0,1.875,0.08333333333333333
637,C,0.0,0.25,0.125,0.034482758620689634
637,C,0.25,0.5,0.375,0.13793103448275854
637,C,0.5,0.75,0.625,0.2068965517241378
637,C,0.75,1.0,0.875,0.17241379310344818
637,C,1.0,1.25,1.125,0.10344827586206905
637,C,1.25,1.5,1.375,0.13793103448275873
637,C,1.5,1.75,1.625,0.17241379310344843
637,C,1.75,2.0,1.875,0.03448275862068968
637,AC,0.0,0.25,0.125,0.16666666666666669
637,AC,0.25,0.5,0.375,0.25
637,AC,0.5,0.75,0.625,0.16666666666666666
637,AC,0.75,1.0,0.875,0.08333333333333338
637,AC,1.0,1.25,1.125,0.0
637,AC,1.25,1.5,1.375,0.0
637,AC,1.5,1.75,1.625,0.24999999999999997
637,AC,1.75,2.0,1.875,0.08333333333333333
638,C,0.0,0.25,0.125,0.08091699067787567
638,C,0.25,0.5,0.375,0.1618339813557514
638,C,0.5,0.75,0.625,0.18880631158170996
638,C,0.75,1.0,0.875,0.1348616511297928
638,C,1.0,1.25,1.125,0.13486165112979284
638,C,1.25,1.5,1.375,0.0809169906778757
638,C,1.5,1.75,1.625,0.13486165112979273
638,C,1.75,2.0,1.875,0.08294077231740893
638,AC,0.0,0.25,0.125,0.039940064526428946
638,AC,0.25,0.5,0.375,0.07988012905285789
638,AC,0.5,0.75,0.625,0.15976025810571584
638,AC,0.75,1.0,0.875,0.15976025810571587
638,AC,1.0,1.25,1.125,0.07988012905285793
638,AC,1.25,1.5,1.375,0.15976025810571579
638,AC,1.5,1.75,1.625,0.2396403871585738
638,AC,1.75,2.0,1.875,0.08137851589213389
639,C,0.0,0.25,0.125,0.09588204208269539
639,C,0.25,0.5,0.375,0.07670563366615632
639,C,0.5,0.75,0.625,0.11505845049923445
639,C,0.75,1.0,0.875,0.23011690099846926
639,C,1.0,1.25,1.125,0.11505845049923467
639,C,1.25,1.5,1.375,0.11505845049923445
639,C,1.5,1.75,1.625,0.17400105691883533
639,C,1.75,2.0,1.875,0.07811901483614013
639,AC,0.0,0.25,0.125,0.028436691973324563
639,AC,0.25,0.5,0.375,0.1421834598666228
639,AC,0.5,0.75,0.625,0.17062015183994736
639,AC,0.75,1.0,0.875,0.05687338394664911
639,AC,1.0,1.25,1.125,0.1421834598666229
639,AC,1.25,1.5,1.375,0.11374676789329845
639,AC,1.5,1.75,1.625,0.11427074355259172
639,AC,1.75,2.0,1.875,0.231685341060943
640,C,0.0,0.25,0.125,0.125
640,C,0.25,0.5,0.375,0.20833333333333337
640,C,0.5,0.75,0.625,0.16666666666666663
640,C,0.75,1.0,0.875,0.16666666666666655
640,C,1.0,1.25,1.125,0.08333333333333327
640,C,1.25,1.5,1.375,0.08333333333333327
640,C,1.5,1.75,1.625,0.12500000000000017
640,C,1.75,2.0,1.875,0.04166666666666673
