split,hours_before,windows,ara_A_median,ara_A_q25,ara_A_q75,ara_B_median,ara_B_q25,ara_B_q75,dominance_median,dominance_q25,dominance_q75,resolved_fraction_median,resolved_fraction_q25,resolved_fraction_q75,share_unstereotyped_median,share_unstereotyped_q25,share_unstereotyped_q75,share_on_edge_median,share_on_edge_q25,share_on_edge_q75
development,79.5,233,0.7880664305515289,0.4808521276016623,1.1247475083283218,1.3487947568424212,0.9687362214870806,1.8410458991738337,-1.1157424818228037,-2.2638144235415725,-0.14325175651025746,0.9083333333333332,0.845,0.9766666666666668,0.0816666666666666,0.0233333333333333,0.1383333333333333,0.0,0.0,0.0066666666666666
development,82.5,225,0.8799579905702292,0.4758503957786163,1.3464045162903369,1.125360159524262,0.7984295187999959,1.8053232799085819,-0.6956317797939312,-2.1220104146592997,0.8059305038787026,0.9433333333333334,0.88,0.9783333333333334,0.0566666666666666,0.0216666666666666,0.1,0.0,0.0,0.0
development,85.5,246,1.0288526268564695,0.5855019361453917,1.3857104359552208,0.9374831045786647,0.7011518098253071,1.4127031709303655,-0.11832549740264381,-1.1340269341405294,0.838619882897448,0.96,0.9037499999999999,0.985,0.039166666666666655,0.013749999999999974,0.0904166666666666,0.0,0.0,0.0
development,88.5,262,1.0036549712233245,0.5993784114228653,1.301018270470433,1.0300283759732793,0.7215944678811667,1.403177772531381,-0.33705671297072576,-1.25927724023442,0.6057820954599311,0.9508333333333334,0.8854166666666667,0.9833333333333332,0.045,0.0166666666666666,0.1033333333333333,0.0,0.0,0.002916666666666625
development,91.5,198,0.9910598956348886,0.7013739221100579,1.319138036813423,1.0225381438871781,0.7332529307097213,1.34267211778246,-0.1834115729723163,-1.11318555155759,0.7457456670541144,0.9383333333333334,0.8704166666666666,0.985,0.059166666666666645,0.015,0.1133333333333333,0.0,0.0,0.0033333333333333
development,94.5,152,1.0672782971915626,0.8189136773814782,1.310378768701045,1.0689635094578693,0.7080240551943316,1.476525482910513,-0.165095982882926,-1.071735608111768,0.8636085447489069,0.9308333333333334,0.8674999999999999,0.9816666666666668,0.059166666666666645,0.017916666666666622,0.1116666666666666,0.0,0.0,0.018749999999999975
holdout,1.4995,149,0.8068928217560761,0.5082573507934447,1.1138099620077069,0.6250432623903064,0.5474301053133321,0.7294546963158339,0.2900960806547591,-0.3066497965736744,0.9501597713186728,0.9016666666666666,0.8516666666666667,0.955,0.09,0.0433333333333333,0.1266666666666666,0.0,0.0,0.0083333333333333
holdout,4.5,162,0.8120555296592418,0.6276374966105319,1.0966858248160536,0.7135630138792018,0.6035842456175546,0.8478798171422796,0.12333790905154823,-0.350061418604331,0.9092480765892836,0.8858333333333333,0.85,0.9266666666666666,0.105,0.06749999999999995,0.135,0.0,0.0,0.0066666666666666
holdout,7.5,175,0.7944654907011481,0.5527536202609844,1.0880867655322253,0.7298754055035865,0.6022003816447317,0.9461556239830292,-0.019006985555633016,-0.60165214021297,0.7673374903748371,0.9083333333333332,0.86,0.945,0.0833333333333333,0.045,0.12916666666666665,0.0,0.0,0.005
holdout,10.5,179,0.890519061322824,0.6234875381930158,1.1400679491866015,0.7744630275792754,0.6404834455694044,1.016861433068562,0.11396810746406905,-0.6247900158809969,0.6697662417321602,0.9033333333333332,0.8541666666666667,0.9533333333333334,0.0916666666666666,0.0466666666666666,0.13416666666666666,0.0,0.0,0.005
holdout,13.5,188,0.9114175332278744,0.6435151429650628,1.1828351176005296,0.739561673447458,0.6100680385737014,0.9748285965451603,0.3100447470654602,-0.5007268297759486,0.8478814706694955,0.9075,0.855,0.9566666666666668,0.0866666666666666,0.0433333333333333,0.1383333333333333,0.0,0.0,0.005
holdout,16.5,194,1.0284812652539728,0.743459617993325,1.291954800679628,0.739499422889938,0.6171560711629415,0.9364774224078002,0.34580168620970286,-0.3328372471624947,1.112705474834224,0.9133333333333332,0.8570833333333333,0.95625,0.08,0.04041666666666665,0.1316666666666666,0.0,0.0,0.005
holdout,19.5,170,1.0035214463331235,0.6823740553898345,1.2451694236515716,0.7406257846778154,0.5968824305324612,0.9183435814021166,0.33804827928886766,-0.29525314070509695,1.0867812263995669,0.9033333333333332,0.8554166666666667,0.965,0.08833333333333329,0.033749999999999974,0.13458333333333333,0.0,0.0,0.005
