lag_windows,median_correlation,q25,q75,flies,pairs,series
-5,0.03014137386399635,-0.002565397521441595,0.08622166844926579,13,2471,holdout shuffled
-4,-0.03266413004219447,-0.07551960194772098,0.028339390680621638,13,2445,holdout shuffled
-3,-0.002670453150970685,-0.039290577815104276,0.13594096625501526,13,2448,holdout shuffled
-2,0.016741692382356347,-0.0536032721331277,0.07168254114920533,15,2509,holdout shuffled
-1,0.019857695683445885,-0.053649223715713235,0.07967948869295019,16,3196,holdout shuffled
0,-0.035619297959188015,-0.05617505792318063,0.04406064843885452,16,4259,holdout shuffled
1,0.05950834197460096,-0.05621906872630466,0.09823640119708338,16,3196,holdout shuffled
2,-0.037589288784231754,-0.11170787221225023,0.02336715785937641,15,2509,holdout shuffled
3,0.054255307373347696,-0.009538425709100396,0.0978137940971936,13,2448,holdout shuffled
4,-0.07135071940574134,-0.09951264022467242,-0.039167202974619245,13,2445,holdout shuffled
5,0.032991079152363545,-0.022649901944329344,0.08789721893421407,13,2471,holdout shuffled
6,-0.06990823976170367,-0.1202265025339465,0.034873348924430655,13,2432,holdout shuffled
7,-0.012226723088154184,-0.06991001740251523,0.0347532192239307,13,2383,holdout shuffled
8,0.03636299512676747,-0.011183470262637222,0.11160060820402819,13,2352,holdout shuffled
9,-0.04378116239904761,-0.11399607914736475,0.054322638161096656,13,2307,holdout shuffled
10,0.0427791863198872,-0.0504850391181296,0.09866946992005977,13,2280,holdout shuffled
11,0.0005319714928185107,-0.07803186192509062,0.028062536768261648,13,2273,holdout shuffled
12,-0.02649684656807784,-0.056950819013581434,0.033163168770851965,13,2254,holdout shuffled
