event,method,time_s,M,C,speed_rank,display_shift_ms,selected_pair_lag_ms
GW170814,T427 direct,-0.22726757812499976,0.08583081334596436,0.18788034078381985,0.543010752688172,0,-4
GW170814,T427 direct,-0.22326757812499975,0.08446986378672078,0.22787154385864972,0.6559139784946236,0,-4
GW170814,T427 direct,-0.21926757812499975,0.08446986378672078,0.25136205203355927,0.5268817204301075,0,-4
GW170814,T427 direct,-0.21526757812499975,0.08446986378672078,0.2672890077515722,0.24731182795698925,0,-4
GW170814,T427 direct,-0.21126757812499974,0.08446986378672078,0.27130500824460024,0.13978494623655913,0,-4
GW170814,T427 direct,-0.20726757812499974,0.09429808000634146,0.271654181879636,0.23118279569892472,0,-4
GW170814,T427 direct,-0.20326757812499974,0.0961180765586044,0.2868884615138005,0.34408602150537637,0,-4
GW170814,T427 direct,-0.19926757812499973,0.10209464027014897,0.294047885467363,0.46236559139784944,0,-4
GW170814,T427 direct,-0.19526757812499973,0.1120272229262567,0.3160959046747258,0.6505376344086021,0,-4
GW170814,T427 direct,-0.19126757812499973,0.14110285443811996,0.3435693445211284,0.6129032258064516,0,-4
GW170814,T427 direct,-0.18726757812499972,0.1120272229262567,0.3685401846962387,0.6935483870967742,0,-4
GW170814,T427 direct,-0.18326757812499972,0.1120272229262567,0.4054081441003392,0.7580645161290323,0,-4
GW170814,T427 direct,-0.17926757812499972,0.1120272229262567,0.44458350487789206,0.7849462365591398,0,-4
GW170814,T427 direct,-0.1752675781249997,0.1473565886101926,0.480647488028131,0.5053763440860215,0,-4
GW170814,T427 direct,-0.1712675781249997,0.10581030445960435,0.480647488028131,0.5483870967741935,0,-4
GW170814,T427 direct,-0.1672675781249997,0.10581030445960435,0.480647488028131,0.043010752688172046,0,-4
GW170814,T427 direct,-0.1632675781249997,0.10506937399286553,0.480647488028131,0.3064516129032258,0,-4
GW170814,T427 direct,-0.1592675781249997,0.10436061273734072,0.45811077220712626,0.8064516129032258,0,-4
GW170814,T427 direct,-0.1552675781249997,0.10241025597284283,0.3948989739478006,0.8924731182795699,0,-4
GW170814,T427 direct,-0.1512675781249997,0.10241025597284283,0.32942968650812243,0.8548387096774194,0,-4
GW170814,T427 direct,-0.1472675781249997,0.101673847566669,0.28801823728959614,0.6720430107526881,0,-4
GW170814,T427 direct,-0.14326757812499968,0.10150200593397667,0.2642333483420957,0.44623655913978494,0,-4
GW170814,T427 direct,-0.13926757812499968,0.10150200593397667,0.25600557237683014,0.17204301075268819,0,-4
GW170814,T427 direct,-0.13526757812499968,0.10150200593397667,0.2501597876530993,0.27956989247311825,0,-4
GW170814,T427 direct,-0.13126757812499967,0.10150200593397667,0.23491551877946323,0.41935483870967744,0,-4
GW170814,T427 direct,-0.12726757812499967,0.101673847566669,0.22040948230217705,0.4032258064516129,0,-4
GW170814,T427 direct,-0.12326757812499967,0.11570640767701343,0.2107098455976039,0.3763440860215054,0,-4
GW170814,T427 direct,-0.11926757812499966,0.11570640767701343,0.19986628916134944,0.3602150537634409,0,-4
GW170814,T427 direct,-0.11526757812499966,0.11570640767701343,0.18608218078278702,0.16666666666666666,0,-4
GW170814,T427 direct,-0.11126757812499966,0.1138750768443067,0.18608218078278702,0.08064516129032258,0,-4
GW170814,T427 direct,-0.10726757812499965,0.1138750768443067,0.18608218078278702,0.05913978494623656,0,-4
GW170814,T427 direct,-0.10326757812499965,0.11497754557658858,0.18608218078278702,0.16129032258064516,0,-4
GW170814,T427 direct,-0.09926757812499964,0.11497754557658858,0.19993388915530633,0.8118279569892473,0,-4
GW170814,T427 direct,-0.09526757812499964,0.11497754557658858,0.28151060438679354,0.967741935483871,0,-4
GW170814,T427 direct,-0.09126757812499964,0.11497754557658858,0.3737981481682093,0.9516129032258065,0,-4
GW170814,T427 direct,-0.08726757812499963,0.12171268849862653,0.4464359082699799,0.7419354838709677,0,-4
GW170814,T427 direct,-0.08326757812499963,0.1300724455976655,0.4464359082699799,0.14516129032258066,0,-4
GW170814,T427 direct,-0.07926757812499963,0.13301739137015617,0.4464359082699799,0.5698924731182796,0,-4
GW170814,T427 direct,-0.07526757812499962,0.17495547483755836,0.4464359082699799,0.6612903225806451,0,-4
GW170814,T427 direct,-0.07126757812499962,0.17495547483755836,0.3982527919768811,0.9193548387096774,0,-4
GW170814,T427 direct,-0.06726757812499962,0.17495547483755836,0.29383799764493534,0.946236559139785,0,-4
GW170814,T427 direct,-0.06326757812499961,0.17495547483755836,0.2337340085808122,0.7204301075268817,0,-4
GW170814,T427 direct,-0.05926757812499961,0.1443383074754669,0.23117300495741883,0.5752688172043011,0,-4
GW170814,T427 direct,-0.055267578124999606,0.1282921681453179,0.23092362868083224,0.40860215053763443,0,-4
GW170814,T427 direct,-0.0512675781249996,0.11611383274851006,0.22647642311189625,0.20430107526881722,0,-4
GW170814,T427 direct,-0.0472675781249996,0.11611383274851006,0.2179040829172575,0.12365591397849462,0,-4
GW170814,T427 direct,-0.043267578124999595,0.11611383274851006,0.2179040829172575,0.021505376344086023,0,-4
GW170814,T427 direct,-0.03926757812499959,0.11611383274851006,0.2179040829172575,0.10215053763440861,0,-4
GW170814,T427 direct,-0.03526757812499959,0.11956902059553663,0.2179040829172575,0.1774193548387097,0,-4
GW170814,T427 direct,-0.031267578124999584,0.13147074674552683,0.22308259169158767,0.43010752688172044,0,-4
GW170814,T427 direct,-0.02726757812499958,0.13555051993448283,0.24369845339181276,0.5645161290322581,0,-4
GW170814,T427 direct,-0.023267578124999577,0.13555051993448283,0.267020424421685,0.6666666666666666,0,-4
GW170814,T427 direct,-0.019267578124999574,0.13147074674552683,0.3074937295336953,0.8225806451612904,0,-4
GW170814,T427 direct,-0.01526757812499957,0.13191953891072997,0.3674426103927567,0.8870967741935484,0,-4
