method_a,method_b,event,speed_rho,lag_frames,lag_ms,burst_dice,orientation_cosine,ridge_time_gap_ms
T428 paired,T430 budget (secondary),GW170814,0.16748871958475678,-2,-8,0.375,-0.01316516688696661,172.00000000000014
T428 paired,T430 budget (secondary),GW170818,0.28728587258067145,7,28,0.3333333333333333,0.0,84.00000000000007
T429 separated,T430 budget (secondary),GW170104,0.21992935685546153,-15,-60,0.34782608695652173,-0.029616567892503026,220.0000000000002
T429 separated,T430 budget (secondary),GW170608,0.18589630053919512,-5,-20,0.2978723404255319,0.039544368553654285,56.00000000000005
T429 separated,T430 budget (secondary),GW170809,0.1913602715253161,1,4,0.3333333333333333,0.0,192.00000000000017
T429 separated,T430 budget (secondary),GW170814,0.20302563904197643,11,44,0.3333333333333333,-0.0218040393884525,120.00000000000011
T429 separated,T430 budget (secondary),GW170818,0.21342656171201485,-2,-8,0.25,0.012258498521158574,196.00000000000017
T432 dynamic,T430 budget (secondary),GW170104,0.1474366684601755,15,60,0.1951219512195122,0.0,160.00000000000014
T432 dynamic,T430 budget (secondary),GW170608,0.22289152335405968,-12,-48,0.46808510638297873,-0.05916925845545422,144.0000000000001
T432 dynamic,T430 budget (secondary),GW170809,0.35235072900674064,0,0,0.4583333333333333,0.48330442253003886,56.00000000000005
T432 dynamic,T430 budget (secondary),GW170814,0.24751039679074793,0,0,0.3333333333333333,0.0761702053452384,196.00000000000017
T432 dynamic,T430 budget (secondary),GW170818,0.33291012484284277,-1,-4,0.4583333333333333,0.06287935370780176,116.0000000000001
