event,role,detector,overlap,rho_zero,rho_best,best_lag_frames,best_lag_s,dice,space_peak_time,time_peak_time,side_peak_gap_s,space_centroid_time,time_centroid_time,centroid_gap_s,joint_child_time,quadrant,overlap_percentile,rho_percentile,dice_percentile,gap_percentile,detector_gap_s
GW190828_063405,locked_evaluation_a,H1,0.8923920298287987,0.1135407187473425,0.14213128703331215,5,0.02,0.24390243902439024,-0.3109862804412842,-0.12739253044128418,0.18359375,-0.13876434762500198,-0.09579504772092771,0.04296929990407426,-0.16254878044128418,S+/T-,0.3170731707317073,0.07317073170731707,0.21951219512195122,0.3902439024390244,0.1328125
GW190828_063405,locked_evaluation_a,L1,0.9123924451028612,0.158454112033483,0.3566995726275236,4,0.016,0.4,-0.02973628044128418,-0.02973628044128418,0.0,-0.10598770334486086,-0.11820361418752451,0.012215910842663644,-0.02973628044128418,S-/T+,0.3902439024390244,0.8780487804878049,0.5121951219512195,1.0,0.1328125
GW190503_185404,locked_evaluation_b,H1,0.872220830294513,0.07240312313721502,0.3290674720802025,4,0.016,0.3333333333333333,-0.13520503044128418,-0.24067378044128418,0.10546875,-0.1175114474423131,-0.10620683714704139,0.011304610295271703,-0.2602050304412842,S-/T+,0.0975609756097561,0.9024390243902439,0.5853658536585366,0.6097560975609756,0.18359375
GW190503_185404,locked_evaluation_b,L1,0.9067892595646625,0.0018296201073870959,0.20008687050984994,-7,-0.028,0.34146341463414637,-0.07661128044128418,-0.2719237804412842,0.1953125,-0.1280429268557539,-0.10944823636303631,0.0185946904927176,-0.07661128044128418,S+/T-,0.34146341463414637,0.17073170731707318,0.5853658536585366,0.24390243902439024,0.18359375
GW190512_180714,locked_evaluation_b,H1,0.908520359022461,0.10537571175518784,0.1885693158787309,6,0.024,0.1,-0.16098642349243164,0.06557607650756836,0.2265625,-0.11220705949050697,-0.11439641454839007,0.002189355057883105,-0.16489267349243164,S-/T+,0.4634146341463415,0.36585365853658536,0.024390243902439025,0.24390243902439024,0.03125
GW190512_180714,locked_evaluation_b,L1,0.9224520618365039,0.289780129336276,0.34740707186084147,-7,-0.028,0.631578947368421,-0.16098642349243164,-0.16879892349243164,0.0078125,-0.12932728929213239,-0.12598465665970518,0.003342632632427206,-0.13364267349243164,S+/T-,0.6585365853658537,0.8292682926829268,1.0,0.9024390243902439,0.03125
GW190513_205428,locked_evaluation_b,H1,0.8789480445659369,0.16218005843344804,0.2331287029210709,4,0.016,0.0975609756097561,-0.11567378044128418,0.05620121955871582,0.171875,-0.11931194016840178,-0.11200341746593273,0.007308522702469053,-0.03754878044128418,S-/T+,0.0975609756097561,0.4146341463414634,0.024390243902439025,0.3170731707317073,0.2734375
GW190513_205428,locked_evaluation_b,L1,0.9032670416715073,0.25662162071818345,0.25662162071818345,0,0.0,0.3333333333333333,-0.09614253044128418,-0.13129878044128418,0.03515625,-0.12604169486903133,-0.10947456676564932,0.01656712810338201,-0.3109862804412842,S-/T+,0.3170731707317073,0.5609756097560976,0.2926829268292683,0.7073170731707317,0.2734375
GW190517_055101,locked_evaluation_b,H1,0.9004701726031131,0.04975538522298409,0.33427208902561734,-7,-0.028,0.5116279069767442,0.06401371955871582,0.01323246955871582,0.05078125,-0.09903709779801513,-0.1043967338708523,0.005359636072837168,0.06401371955871582,S+/T-,0.4878048780487805,0.8780487804878049,0.9512195121951219,0.8292682926829268,0.12890625
GW190517_055101,locked_evaluation_b,L1,0.9050738340647179,0.1046912580413284,0.21048009043206234,-6,-0.024,0.34146341463414637,-0.3070800304412842,-0.06489253044128418,0.2421875,-0.12788914237978888,-0.11459516030174287,0.01329398207804601,-0.06489253044128418,S+/T-,0.4634146341463415,0.34146341463414637,0.5609756097560976,0.2682926829268293,0.12890625
GW190519_153544,locked_evaluation_b,H1,0.9021163980716705,0.1715938088246349,0.1715938088246349,0,0.0,0.36363636363636365,0.006982326507568359,-0.03598642349243164,0.04296875,-0.1307505116213599,-0.13198401515346164,0.0012335035321017485,-0.21176767349243164,S+/T-,0.3170731707317073,0.24390243902439024,0.5853658536585366,0.6097560975609756,0.14453125
GW190519_153544,locked_evaluation_b,L1,0.885880270978674,0.194532557685529,0.2098484421139603,-1,-0.004,0.45454545454545453,0.006982326507568359,-0.29379892349243164,0.30078125,-0.11569847415705004,-0.13428998283775695,0.018591508680706914,-0.06723642349243164,S+/T-,0.07317073170731707,0.2926829268292683,0.7804878048780488,0.04878048780487805,0.14453125
GW190602_175927,locked_evaluation_b,H1,0.8620673875109245,-0.03879879363450138,0.22353296804923123,-6,-0.024,0.34146341463414637,-0.19692373275756836,-0.10317373275756836,0.09375,-0.12038440002503048,-0.10083820396081458,0.0195461960642159,-0.03286123275756836,S+/T-,0.04878048780487805,0.4878048780487805,0.6341463414634146,0.4634146341463415,0.1171875
GW190602_175927,locked_evaluation_b,L1,0.8161928223778087,-0.20683336988873566,0.07851781618663708,-3,-0.012,0.4,-0.27504873275756836,-0.30629873275756836,0.03125,-0.13360708747307298,-0.13588663078841978,0.002279543315346799,-0.15004873275756836,S-/T+,0.024390243902439025,0.024390243902439025,0.8048780487804879,0.8048780487804879,0.1171875
