gate_rank,gate_q,first_eligible_parent,eligible_parent_count,mean_phase_a,mean_ridge_distance,below_ridge_share,equal_ridge_share,above_ridge_share,phi_nearest_folded_residue,phi_observed_hits,phi_observed_share,phi_expected_share,phi_occupancy_excess,phi_occupancy_lift,phi_observed_mean_distance,phi_expected_mean_distance,phi_distance_delta,quarter_nearest_folded_residue,quarter_observed_hits,quarter_observed_share,quarter_expected_share,quarter_occupancy_excess,quarter_occupancy_lift,quarter_observed_mean_distance,quarter_expected_mean_distance,quarter_distance_delta,third_nearest_folded_residue,third_observed_hits,third_observed_share,third_expected_share,third_occupancy_excess,third_occupancy_lift,third_observed_mean_distance,third_expected_mean_distance,third_distance_delta,half_nearest_folded_residue,half_observed_hits,half_observed_share,half_expected_share,half_occupancy_excess,half_occupancy_lift,half_observed_mean_distance,half_expected_mean_distance,half_distance_delta,two_thirds_nearest_folded_residue,two_thirds_observed_hits,two_thirds_observed_share,two_thirds_expected_share,two_thirds_occupancy_excess,two_thirds_occupancy_lift,two_thirds_observed_mean_distance,two_thirds_expected_mean_distance,two_thirds_distance_delta
1586,13367,4000000007,45166,0.9998611176265825,0.5012070466366805,0.4990922375238011,0.0,0.500907762476199,2553,4,8.856219279989372e-05,0.00014963339817447254,-6.107120537457882e-05,0.5918611344816898,0.2637238942934592,0.2639231913230824,-0.00019929702962317997,1671,8,0.00017712438559978745,0.00014963339817447254,2.7490987425314903e-05,1.1837222689633795,0.3117895402935467,0.31250467569387297,-0.00071513540032625,2228,6,0.0001328432891998406,0.00014963339817447254,-1.679010897463195e-05,0.8877917017225346,0.2774298332922452,0.2777736216054463,-0.0003437883132010877,3342,6,0.0001328432891998406,0.00014963339817447254,-1.679010897463195e-05,0.8877917017225346,0.25054047567663423,0.24998129722450813,0.0005591784521261078,4456,11,0.00024354603019970775,0.00014963339817447254,9.391263202523521e-05,1.6276181198246469,0.27899625513063897,0.277748684571457,0.0012475705591819541
1587,13381,4000000007,45166,1.0049463152844575,0.5004921105405348,0.4955054687154054,0.0,0.5044945312845946,2556,7,0.00015498383739981402,0.00014947683109118088,5.507006308633141e-06,1.0368418722047557,0.2645113222550423,0.2639232035771501,0.0005881186778922132,1673,6,0.0001328432891998406,0.00014947683109118088,-1.6633541891340287e-05,0.8887216047469335,0.3127494863437492,0.31250467359458994,0.0002448127491592733,2230,6,0.0001328432891998406,0.00014947683109118088,-1.6633541891340287e-05,0.8887216047469335,0.278247460784455,0.2777736259538816,0.00047383483057339415,3345,8,0.00017712438559978745,0.00014947683109118088,2.7647554508606568e-05,1.184962139662578,0.25062728602483864,0.24998131679246693,0.0006459692323717015,4460,4,8.856219279989372e-05,0.00014947683109118088,-6.0914638291287155e-05,0.592481069831289,0.27807235724853274,0.2777487150105041,0.0003236422380286652
1588,13397,4000000007,45166,1.004896093764417,0.49930886023753246,0.4963246689988044,0.0,0.5036753310011955,2559,6,0.0001328432891998406,0.00014929829799940282,-1.6455008799562225e-05,0.8897843510605322,0.2638195457061574,0.26392321392954643,-0.0001036682233890307,1675,12,0.0002656865783996812,0.00014929829799940282,0.00011638828040027837,1.7795687021210644,0.3124965940955235,0.31250466800959725,-8.07391407375846e-06,2233,6,0.0001328432891998406,0.00014929829799940282,-1.6455008799562225e-05,0.8897843510605322,0.27770390011218554,0.2777736309123934,-6.973080020783451e-05,3349,10,0.00022140548199973433,0.00014929829799940282,7.210718400033151e-05,1.4829739184342203,0.24983694048977947,0.24998133910576995,-0.00014439861599047088,4466,8,0.00017712438559978745,0.00014929829799940282,2.782608760038463e-05,1.1863791347473762,0.2776066009112382,0.27774874972008656,-0.00014214880884838577
1589,13399,4000000007,45166,1.0005257252432427,0.5014325623737447,0.5003763893193995,0.0,0.49962361068060046,2559,3,6.64216445999203e-05,0.00014927601134497685,-8.285436674505655e-05,0.4449585971748661,0.26303996036356414,0.26392321030251953,-0.0008832499389553883,1675,7,0.00015498383739981402,0.00014927601134497685,5.707826054837168e-06,1.0382367267413541,0.3114152095972282,0.31250466452720355,-0.0010894549299753642,2233,10,0.00022140548199973433,0.00014927601134497685,7.212947065475748e-05,1.4831953239162203,0.2768133525656743,0.2777736315313747,-0.0009602789657003896,3350,8,0.00017712438559978745,0.00014927601134497685,2.7848374254810595e-05,1.1865562591329761,0.249211814495274,0.2499813418911859,-0.0007695273959119064,4466,4,8.856219279989372e-05,0.00014927601134497685,-6.071381854508313e-05,0.5932781295664881,0.27754895722898076,0.27774875405295585,-0.0001997968239750847
1590,13411,4000000007,45166,0.9995168767620504,0.5015210115816545,0.49940220519860073,0.0,0.5005977948013993,2561,5,0.00011070274099986716,0.00014914243102162565,-3.8439690021758484e-05,0.7422618784041094,0.2628493490520293,0.26392322219721825,-0.001073873145188975,1676,8,0.00017712438559978745,0.00014914243102162565,2.7981954578161798e-05,1.187619005446575,0.31101174750643457,0.312504663133667,-0.0014929156272324162,2235,4,8.856219279989372e-05,0.00014914243102162565,-6.0580238221731925e-05,0.5938095027232875,0.27649080161726625,0.2777736352413856,-0.0012828336241193505,3353,5,0.00011070274099986716,0.00014914243102162565,-3.8439690021758484e-05,0.7422618784041094,0.24988662853957835,0.2499813585862352,-9.473004665683238e-05,4470,7,0.00015498383739981402,0.00014914243102162565,5.8414063781883705e-06,1.0391666297657531,0.27861618528344806,0.2777487800230325,0.0008674052604155658
1591,13417,4000000007,45166,1.0008702817971151,0.4986762354847518,0.4999778594518,0.0,0.5000221405481999,2562,6,0.0001328432891998406,0.0001490757304710793,-1.623244127123871e-05,0.8911127839525307,0.26374483484762323,0.2639232271305566,-0.00017839228293337062,1677,9,0.00019926493379976087,0.0001490757304710793,5.018920332868157e-05,1.336669175928796,0.31319616178175963,0.31250465826935975,0.0006915035123998825,2236,6,0.0001328432891998406,0.0001490757304710793,-1.623244127123871e-05,0.8911127839525307,0.27792935159707927,0.27777363709390246,0.00015571450317680702,3354,6,0.0001328432891998406,0.0001490757304710793,-1.623244127123871e-05,0.8911127839525307,0.24901297330512603,0.24998136692256093,-0.0009683936174348928,4472,6,0.0001328432891998406,0.0001490757304710793,-1.623244127123871e-05,0.8911127839525307,0.2761232019025265,0.2777487929906503,-0.0016255910881238234
1592,13421,4000000007,45166,1.0043931328198668,0.49930263954432297,0.49736527476420317,0.0,0.5026347252357969,2563,6,0.0001328432891998406,0.00014903129657228018,-1.6188007372439588e-05,0.8913784705309303,0.26375855730020586,0.26392322766422777,-0.0001646703640219016,1678,7,0.00015498383739981402,0.00014903129657228018,5.952540827533839e-06,1.0399415489527521,0.31250076236501284,0.31250465965709145,-3.897292078614001e-06,2237,9,0.00019926493379976087,0.00014903129657228018,5.0233637227480694e-05,1.3370677057963956,0.27767669898715996,0.27777363832799346,-9.693934083349065e-05,3355,5,0.00011070274099986716,0.00014903129657228018,-3.8328555572413015e-05,0.7428153921091086,0.24996193577685033,0.2499813724759705,-1.9436699120162215e-05,4474,7,0.00015498383739981402,0.00014903129657228018,5.952540827533839e-06,1.0399415489527521,0.27781186724563156,0.2777488016292874,6.306561634417118e-05
1593,13441,4000000007,45166,1.0000000098834378,0.5008677971476945,0.5009963246689988,0.0,0.4990036753310012,2567,7,0.00015498383739981402,0.00014880952380952382,6.174313590290195e-06,1.0414913873267502,0.2637252910670943,0.26392323749850227,-0.0001979464314079693,1680,4,8.856219279989372e-05,0.00014880952380952382,-6.02473310096301e-05,0.5951379356152857,0.3120833844705157,0.3125046499516405,-0.00042126548112481066,2240,5,0.00011070274099986716,0.00014880952380952382,-3.810678280965666e-05,0.7439224195191073,0.27751763562502946,0.2777736444874307,-0.00025600886240123577,3360,7,0.00015498383739981402,0.00014880952380952382,6.174313590290195e-06,1.0414913873267502,0.24973597301555253,0.24998140019343798,-0.0002454271778854489,4480,7,0.00015498383739981402,0.00014880952380952382,6.174313590290195e-06,1.0414913873267502,0.2776923594333724,0.27774884474534794,-5.648531197555151e-05
1594,13451,4000000007,45166,1.0000017283157838,0.5010480260011645,0.4997564539698003,0.0,0.5002435460301997,2569,7,0.00015498383739981402,0.00014869888475836432,6.284952641449703e-06,1.0422663065137492,0.26419429194745403,0.2639232457422391,0.00027104620521495315,1681,6,0.0001328432891998406,0.00014869888475836432,-1.5855595558523724e-05,0.8933711198689279,0.31229397385370306,0.3125046492583987,-0.00021067540469565937,2242,5,0.00011070274099986716,0.00014869888475836432,-3.799614375849715e-05,0.7444759332241067,0.2779058642664247,0.27777364756028056,0.00013221670614416148,3363,7,0.00015498383739981402,0.00014869888475836432,6.284952641449703e-06,1.0422663065137492,0.25027158342725303,0.24998141402126237,0.00029016940599066454,4484,6,0.0001328432891998406,0.00014869888475836432,-1.5855595558523724e-05,0.8933711198689279,0.27815013179988024,0.277748866255297,0.00040126554458325137
1595,13457,4000000007,45166,0.9980704175783733,0.49998501313416416,0.501660541114998,0.0,0.498339458885002,2570,5,0.00011070274099986716,0.00014863258026159333,-3.7929839261726165e-05,0.7448080414471063,0.264465258629428,0.26392324910370313,0.0005420095257248625,1682,8,0.00017712438559978745,0.00014863258026159333,2.8491805338194117e-05,1.19169286631537,0.31282756992065575,0.3125046444229769,0.000322925497678872,2243,6,0.0001328432891998406,0.00014863258026159333,-1.5789291061752737e-05,0.8937696497365276,0.27825336840901593,0.27777364940179833,0.00047971900721760496,3364,4,8.856219279989372e-05,0.00014863258026159333,-6.0070387461699605e-05,0.595846433157685,0.250561364163923,0.24998142230809245,0.0005799418558305458,4486,8,0.00017712438559978745,0.00014863258026159333,2.8491805338194117e-05,1.19169286631537,0.2780368921892891,0.2777488791459215,0.0002880130433676187
