center_prime,center_mod6,offset,n,offset_mod6,offset_mod30,least_prime_factor,is_prime,parent_progress,divisible_by_3,divisible_by_5
4000000187,5,2,4000000189,2,2,29,0,0.3046008869126923,0,0
4000000187,5,3,4000000190,3,3,2,0,0.06270112773490773,0,1
4000000187,5,4,4000000191,4,4,3,0,0.0993789362116323,1,0
4000000187,5,5,4000000192,5,5,2,0,0.06270112773348976,0,0
4000000187,5,6,4000000193,0,6,7,0,0.17602431955918468,0,0
4000000187,5,7,4000000194,1,7,2,0,0.0627011277320718,1,0
4000000187,5,8,4000000195,2,8,5,0,0.14558751006057244,0,1
4000000187,5,9,4000000196,3,9,2,0,0.06270112773065384,0,0
4000000187,5,10,4000000197,4,10,3,0,0.09937893620489005,1,0
4000000187,5,11,4000000198,5,11,2,0,0.06270112772923588,0,0
4000000187,5,12,4000000199,0,12,13,0,0.23202174341887868,0,0
4000000187,5,13,4000000200,1,13,2,0,0.06270112772781791,1,1
4000000187,5,14,4000000201,2,14,71,0,0.38559607962948333,0,0
4000000187,5,15,4000000202,3,15,2,0,0.06270112772639995,0,0
4000000187,5,16,4000000203,4,16,3,0,0.09937893619814778,1,0
4000000187,5,17,4000000204,5,17,2,0,0.06270112772498197,0,0
4000000187,5,18,4000000205,0,18,5,0,0.14558751004411039,0,1
