scale,sector,theta_center,center_number,q,r,population,n,mean,sd,p05,median,p95,mean_theta,mean_wrong_theta
12,12,0.78125,4012952572884,1999957,1999891,raw,3999915,-0.008463297830261495,0.3493474085253195,-0.6078532498321851,0.031246406174006276,0.48687572169340193,0.7812500000058207,0.6736160860601339
12,12,0.78125,4012952572884,1999957,1999891,prime,138081,-0.008488465324345313,0.34965347708504113,-0.6078321943032896,0.031215092812227445,0.48732869709370175,0.7812500014168744,0.6736160881553684
12,12,0.78125,4012952572884,1999957,1999891,composite,3861834,-0.008462397959176781,0.34933645995572754,-0.6078541074436127,0.03124781200834801,0.4868567629270077,0.7812499999553681,0.6736160859852183
12,13,0.84375,4009164981971,1999957,1999891,raw,3999915,0.06966769701605427,0.3857434922284892,-0.7094232798722536,0.0937497187425232,0.6056341367849938,0.8437499999970857,0.7664206013033679
12,13,0.84375,4009164981971,1999957,1999891,prime,137674,0.07057948057080864,0.38468115114506457,-0.7093601488989736,0.09387935438768033,0.6049471872793363,0.8437499857683275,0.76642058017548
12,13,0.84375,4009164981971,1999957,1999891,composite,3862241,0.06963519544789287,0.38578126681627384,-0.7094252867842766,0.09374559269394833,0.6056579600990378,0.8437500005042861,0.7664206020564956
12,14,0.90625,4005377391057,1999957,1999891,raw,3999915,0.16342893603024933,0.3924848170252045,-0.8188068782007564,0.15626359441882398,0.724392262546997,0.9062500000048519,0.859225116571104
12,14,0.90625,4005377391057,1999957,1999891,prime,138253,0.16335050151426678,0.3929746503199259,-0.8188439733502442,0.1560142328306355,0.7257183079175913,0.9062500226295401,0.8592251501658754
12,14,0.90625,4005377391057,1999957,1999891,composite,3861662,0.16343174409764058,0.39246726866943116,-0.8188056395951738,0.15627253269712266,0.7243411370910722,0.9062499991948558,0.8592251153683634
12,15,0.96875,4001589800144,1999957,1999891,raw,3999915,0.2728204192355452,0.3509030314015666,-0.0006245652171746718,0.21877115733136213,0.8431502621838145,0.9687499999961169,0.952029631814338
12,15,0.96875,4001589800144,1999957,1999891,prime,137605,0.2726849230884949,0.35090260580682886,-0.0006274815741143793,0.21938682725155467,0.842752013510482,0.968750000102891,0.9520296319728838
12,15,0.96875,4001589800144,1999957,1999891,composite,3862310,0.2728252466438357,0.35090304559927166,-0.0006243984124977104,0.21874978109779336,0.8431607706028922,0.9687499999923127,0.9520296318086894
