number,x_1_13_fraction,x_1_13_decimal,x_3_11_fraction,x_3_11_decimal,x_5_9_fraction,x_5_9_decimal,rung_0_fraction,rung_0_decimal,epsilon_0_fraction,epsilon_0_decimal,rung_1_fraction,rung_1_decimal,rung_2_fraction,rung_2_decimal,ridge_distance_2_fraction,ridge_distance_2_decimal,unresolved_by_declared_children
35,52/61,0.852459016393443,11/7,1.57142857142857,36/53,0.679245283018868,23409/22631,1.03437762361363,778/22631,0.0343776236136273,23020/22631,1.01718881180681,45651/45262,1.00859440590341,389/45262,0.00859440590340683,0
37,52/63,0.825396825396825,11/7,1.57142857142857,9/7,1.28571428571429,232/189,1.22751322751323,43/189,0.227513227513228,421/378,1.11375661375661,799/756,1.05687830687831,43/756,0.0568783068783069,1
39,1,1,44/61,0.721311475409836,9/7,1.28571428571429,428/427,1.00234192037471,1/427,0.00234192037470726,855/854,1.00117096018735,1709/1708,1.00058548009368,1/1708,0.000585480093676815,0
41,52/67,0.776119402985075,11/7,1.57142857142857,9/7,1.28571428571429,568/469,1.21108742004264,99/469,0.211087420042644,1037/938,1.10554371002132,1975/1876,1.05277185501066,99/1876,0.052771855010661,1
43,52/69,0.753623188405797,11/7,1.57142857142857,9/7,1.28571428571429,1744/1449,1.20358868184955,295/1449,0.203588681849551,3193/2898,1.10179434092478,6091/5796,1.05089717046239,295/5796,0.0508971704623879,1
45,52/71,0.732394366197183,44/67,0.656716417910448,1,1,11365/14271,0.79637026136921,-2906/14271,-0.20362973863079,12818/14271,0.898185130684605,27089/28542,0.949092565342303,1453/28542,0.0509074346576974,0
47,52/73,0.712328767123288,11/7,1.57142857142857,9/7,1.28571428571429,608/511,1.18982387475538,97/511,0.189823874755382,1119/1022,1.09491193737769,2141/2044,1.04745596868885,97/2044,0.0474559686888454,1
49,52/75,0.693333333333333,11/7,1.57142857142857,9/7,1.28571428571429,1864/1575,1.18349206349206,289/1575,0.183492063492063,3439/3150,1.09174603174603,6589/6300,1.04587301587302,289/6300,0.0458730158730159,1
51,52/77,0.675324675324675,44/73,0.602739726027397,9/7,1.28571428571429,14411/16863,0.854592895688786,-2452/16863,-0.145407104311214,15637/16863,0.927296447844393,16250/16863,0.963648223922197,613/16863,0.0363517760778035,0
53,52/79,0.658227848101266,11/7,1.57142857142857,9/7,1.28571428571429,648/553,1.17179023508137,95/553,0.171790235081374,1201/1106,1.08589511754069,2307/2212,1.04294755877034,95/2212,0.0429475587703436,1
55,52/81,0.641975308641975,110/61,1.80327868852459,36/73,0.493150684931507,1059862/1082079,0.979468227366024,-22217/1082079,-0.0205317726339759,2141941/2164158,0.989734113683012,4306099/4328316,0.994867056841506,22217/4328316,0.00513294315849397,0
57,52/83,0.626506024096386,44/79,0.556962025316456,9/7,1.28571428571429,113333/137697,0.823060778375709,-24364/137697,-0.176939221624291,125515/137697,0.911530389187854,131606/137697,0.955765194593927,6091/137697,0.0442348054060728,0
59,52/85,0.611764705882353,11/7,1.57142857142857,9/7,1.28571428571429,688/595,1.1563025210084,93/595,0.156302521008403,1283/1190,1.0781512605042,2473/2380,1.0390756302521,93/2380,0.0390756302521008,1
61,52/87,0.597701149425287,11/7,1.57142857142857,9/7,1.28571428571429,2104/1827,1.15161466885605,277/1827,0.151614668856048,3931/3654,1.07580733442802,7585/7308,1.03790366721401,277/7308,0.037903667214012,1
63,52/89,0.584269662921348,44/85,0.517647058823529,126/73,1.72602739726027,1561718/1656735,0.942648039668384,-95017/1656735,-0.0573519603316161,3218453/3313470,0.971324019834192,6531923/6626940,0.985662009917096,95017/6626940,0.014337990082904,0
65,1,1,11/7,1.57142857142857,36/83,0.433734939759036,582/581,1.00172117039587,1/581,0.00172117039586919,1163/1162,1.00086058519793,2325/2324,1.00043029259897,1/2324,0.000430292598967298,0
67,52/93,0.559139784946237,11/7,1.57142857142857,9/7,1.28571428571429,2224/1953,1.13876088069636,271/1953,0.138760880696365,4177/3906,1.06938044034818,8083/7812,1.03469022017409,271/7812,0.0346902201740911,1
69,52/95,0.547368421052632,44/91,0.483516483516484,9/7,1.28571428571429,2861/3705,0.772199730094467,-844/3705,-0.227800269905533,3283/3705,0.886099865047233,3494/3705,0.943049932523617,211/3705,0.0569500674763833,0
71,52/97,0.536082474226804,11/7,1.57142857142857,9/7,1.28571428571429,768/679,1.13107511045655,89/679,0.131075110456554,1447/1358,1.06553755522828,2805/2716,1.03276877761414,89/2716,0.0327687776141384,1
73,52/99,0.525252525252525,11/7,1.57142857142857,9/7,1.28571428571429,2344/2079,1.12746512746513,265/2079,0.127465127465127,4423/4158,1.06373256373256,8581/8316,1.03186628186628,265/8316,0.0318662818662819,1
75,52/101,0.514851485148515,44/97,0.45360824742268,12/31,0.387096774193548,411692/911121,0.451852168921581,-499429/911121,-0.548147831078419,1322813/1822242,0.725926084460791,3145055/3644484,0.862963042230395,499429/3644484,0.137036957769605,0
77,52/103,0.504854368932039,154/83,1.85542168674699,9/7,1.28571428571429,72729/59843,1.21533011379777,12886/59843,0.215330113797771,66286/59843,1.10766505689889,126129/119686,1.05383252844944,6443/119686,0.0538325284494427,0
79,52/105,0.495238095238095,11/7,1.57142857142857,9/7,1.28571428571429,352/315,1.11746031746032,37/315,0.117460317460317,667/630,1.05873015873016,1297/1260,1.02936507936508,37/1260,0.0293650793650794,1
81,52/107,0.485981308411215,44/103,0.427184466019417,162/91,1.78021978021978,2701226/3008733,0.897795184883471,-307507/3008733,-0.102204815116529,5709959/6017466,0.948897592441735,11727425/12034932,0.974448796220868,307507/12034932,0.0255512037791323,0
83,52/109,0.477064220183486,11/7,1.57142857142857,9/7,1.28571428571429,848/763,1.11140235910878,85/763,0.111402359108781,1611/1526,1.05570117955439,3137/3052,1.0278505897772,85/3052,0.0278505897771953,1
85,52/111,0.468468468468468,11/7,1.57142857142857,36/103,0.349514563106796,191227/240093,0.796470534334612,-48866/240093,-0.203529465665388,215660/240093,0.898235267167306,455753/480186,0.949117633583653,24433/480186,0.050882366416347,0
87,52/113,0.460176991150442,44/109,0.403669724770642,9/7,1.28571428571429,185333/258657,0.716520333878457,-73324/258657,-0.283479666121543,221995/258657,0.858260166939228,240326/258657,0.929130083469614,18331/258657,0.0708699165303858,0
89,52/115,0.452173913043478,11/7,1.57142857142857,9/7,1.28571428571429,888/805,1.10310559006211,83/805,0.103105590062112,1693/1610,1.05155279503106,3303/3220,1.02577639751553,83/3220,0.0257763975155279,1
91,1,1,11/7,1.57142857142857,9/7,1.28571428571429,9/7,1.28571428571429,2/7,0.285714285714286,8/7,1.14285714285714,15/14,1.07142857142857,1/14,0.0714285714285714,0
93,52/119,0.436974789915966,44/115,0.382608695652174,9/7,1.28571428571429,28811/41055,0.701765923760809,-12244/41055,-0.298234076239191,34933/41055,0.850882961880404,37994/41055,0.925441480940202,3061/41055,0.0745585190597978,0
95,52/121,0.429752066115702,11/7,1.57142857142857,36/113,0.31858407079646,74009/95711,0.773254902780245,-21702/95711,-0.226745097219755,84860/95711,0.886627451390122,180571/191422,0.943313725695061,10851/191422,0.0566862743049388,0
97,52/123,0.422764227642276,11/7,1.57142857142857,9/7,1.28571428571429,2824/2583,1.09330236159504,241/2583,0.0933023615950445,5407/5166,1.04665118079752,10573/10332,1.02332559039876,241/10332,0.0233255903987611,1
99,52/125,0.416,1,1,198/109,1.81651376146789,14681/13625,1.07750458715596,1056/13625,0.0775045871559633,14153/13625,1.03875229357798,13889/13625,1.01937614678899,264/13625,0.0193761467889908,0
101,52/127,0.409448818897638,11/7,1.57142857142857,9/7,1.28571428571429,968/889,1.0888638920135,79/889,0.0888638920134983,1857/1778,1.04443194600675,3635/3556,1.02221597300337,79/3556,0.0222159730033746,1
103,52/129,0.403100775193798,11/7,1.57142857142857,9/7,1.28571428571429,2944/2709,1.08674787744555,235/2709,0.0867478774455519,5653/5418,1.04337393872278,11071/10836,1.02168696936139,235/10836,0.021686969361388,1
105,52/131,0.396946564885496,44/127,0.346456692913386,12/41,0.292682926829268,706732/2046351,0.345362061542717,-1339619/2046351,-0.654637938457283,2753083/4092702,0.672681030771358,6845785/8185404,0.836340515385679,1339619/8185404,0.163659484614321,0
107,52/133,0.390977443609023,11/7,1.57142857142857,9/7,1.28571428571429,144/133,1.08270676691729,11/133,0.0827067669172932,277/266,1.04135338345865,543/532,1.02067669172932,11/532,0.0206766917293233,1
109,52/135,0.385185185185185,11/7,1.57142857142857,9/7,1.28571428571429,3064/2835,1.08077601410935,229/2835,0.0807760141093474,5899/5670,1.04038800705467,11569/11340,1.02019400352734,229/11340,0.0201940035273369,1
111,52/137,0.37956204379562,44/133,0.330827067669173,9/7,1.28571428571429,36371/54663,0.665367799059693,-18292/54663,-0.334632200940307,45517/54663,0.832683899529847,50090/54663,0.916341949764923,4573/54663,0.0836580502350767,0
113,52/139,0.37410071942446,11/7,1.57142857142857,9/7,1.28571428571429,1048/973,1.07708119218911,75/973,0.0770811921891059,2021/1946,1.03854059609455,3967/3892,1.01927029804728,75/3892,0.0192702980472765,1
115,52/141,0.368794326241135,11/7,1.57142857142857,36/133,0.270676691729323,5923/8037,0.736966529799676,-2114/8037,-0.263033470200324,6980/8037,0.868483264899838,15017/16074,0.934241632449919,1057/16074,0.0657583675500809,0
117,1,1,44/139,0.316546762589928,234/127,1.84251968503937,18589/17653,1.05302214920977,936/17653,0.053022149209766,18121/17653,1.02651107460488,17887/17653,1.01325553730244,234/17653,0.0132555373024415,0
119,52/145,0.358620689655172,11/7,1.57142857142857,9/7,1.28571428571429,1088/1015,1.07192118226601,73/1015,0.0719211822660099,2103/2030,1.035960591133,4133/4060,1.0179802955665,73/4060,0.0179802955665025,1
121,52/147,0.353741496598639,242/127,1.90551181102362,9/7,1.28571428571429,66181/56007,1.18165586444552,10174/56007,0.181655864445516,61094/56007,1.09082793222276,117101/112014,1.04541396611138,5087/112014,0.0454139661113789,0
123,52/149,0.348993288590604,44/145,0.303448275862069,9/7,1.28571428571429,293117/453705,0.646051950055653,-160588/453705,-0.353948049944347,373411/453705,0.823025975027826,413558/453705,0.911512987513913,40147/453705,0.0884870124860868,0
125,52/151,0.344370860927152,11/7,1.57142857142857,36/143,0.251748251748252,109209/151151,0.722515894701325,-41942/151151,-0.277484105298675,130180/151151,0.861257947350663,281331/302302,0.930628973675331,20971/302302,0.0693710263246687,0
127,52/153,0.339869281045752,11/7,1.57142857142857,9/7,1.28571428571429,3424/3213,1.06567071272954,211/3213,0.0656707127295363,6637/6426,1.03283535636477,13063/12852,1.01641767818238,211/12852,0.0164176781823841,1
129,52/155,0.335483870967742,44/151,0.291390728476821,9/7,1.28571428571429,313349/491505,0.637529628386283,-178156/491505,-0.362470371613717,402427/491505,0.818764814193142,446966/491505,0.909382407096571,44539/491505,0.0906175929034293,0
131,52/157,0.331210191082803,11/7,1.57142857142857,9/7,1.28571428571429,1168/1099,1.06278434940855,69/1099,0.0627843494085532,2267/2198,1.03139217470428,4465/4396,1.01569608735214,69/4396,0.0156960873521383,1
133,52/159,0.327044025157233,11/7,1.57142857142857,9/7,1.28571428571429,3544/3339,1.06139562743336,205/3339,0.0613956274333633,6883/6678,1.03069781371668,13561/13356,1.01534890685834,205/13356,0.0153489068583408,1
135,52/161,0.322981366459627,44/157,0.280254777070064,1,1,40525/75831,0.53441204784323,-35306/75831,-0.46558795215677,58178/75831,0.767206023921615,134009/151662,0.883603011960808,17653/151662,0.116396988039192,0
137,52/163,0.319018404907975,11/7,1.57142857142857,9/7,1.28571428571429,1208/1141,1.05872042068361,67/1141,0.0587204206836109,2349/2282,1.02936021034181,4631/4564,1.0146801051709,67/4564,0.0146801051709027,1
139,52/165,0.315151515151515,11/7,1.57142857142857,9/7,1.28571428571429,3664/3465,1.05743145743146,199/3465,0.0574314574314574,7129/6930,1.02871572871573,14059/13860,1.01435786435786,199/13860,0.0143578643578644,1
141,52/167,0.311377245508982,44/163,0.269938650306748,9/7,1.28571428571429,355757/571641,0.622343393843339,-215884/571641,-0.377656606156661,463699/571641,0.811171696921669,517670/571641,0.905585848460835,53971/571641,0.0944141515391653,0
143,1,1,286/149,1.91946308724832,9/7,1.28571428571429,1462/1043,1.40172579098754,419/1043,0.401725790987536,2505/2086,1.20086289549377,4591/4172,1.10043144774688,419/4172,0.100431447746884,0
145,52/171,0.304093567251462,11/7,1.57142857142857,36/163,0.220858895705521,409027/585333,0.698793678128518,-176306/585333,-0.301206321871482,497180/585333,0.849396839064259,1082513/1170666,0.92469841953213,88153/1170666,0.0753015804678704,0
147,52/173,0.300578034682081,44/169,0.260355029585799,9/7,1.28571428571429,377933/613977,0.615549116660722,-236044/613977,-0.384450883339278,495955/613977,0.807774558330361,554966/613977,0.90388727916518,59011/613977,0.0961127208348195,0
149,52/175,0.297142857142857,11/7,1.57142857142857,9/7,1.28571428571429,184/175,1.05142857142857,9/175,0.0514285714285714,359/350,1.02571428571429,709/700,1.01285714285714,9/700,0.0128571428571429,1
151,52/177,0.293785310734463,11/7,1.57142857142857,9/7,1.28571428571429,3904/3717,1.05030938929244,187/3717,0.0503093892924401,7621/7434,1.02515469464622,15055/14868,1.01257734732311,187/14868,0.01257734732311,1
153,52/179,0.290502793296089,44/175,0.251428571428571,306/163,1.87730061349693,12352538/15317925,0.806410659407198,-2965387/15317925,-0.193589340592802,27670463/30635850,0.903205329703599,58306313/61271700,0.951602664851799,2965387/61271700,0.0483973351482006,0
155,52/181,0.287292817679558,11/7,1.57142857142857,36/173,0.208092485549133,151009/219191,0.688937958219087,-68182/219191,-0.311062041780913,185100/219191,0.844468979109544,404291/438382,0.922234489554772,34091/438382,0.0777655104452281,0
157,52/183,0.284153005464481,11/7,1.57142857142857,9/7,1.28571428571429,4024/3843,1.04709862086911,181/3843,0.0470986208691127,7867/7686,1.02354931043456,15553/15372,1.01177465521728,181/15372,0.0117746552172782,1
159,52/185,0.281081081081081,44/181,0.243093922651934,9/7,1.28571428571429,424229/703185,0.603296429815767,-278956/703185,-0.396703570184233,563707/703185,0.801648214907883,633446/703185,0.900824107453942,69739/703185,0.0991758925460583,0
161,52/187,0.27807486631016,11/7,1.57142857142857,9/7,1.28571428571429,1368/1309,1.04507257448434,59/1309,0.0450725744843392,2677/2618,1.02253628724217,5295/5236,1.01126814362108,59/5236,0.0112681436210848,1
163,52/189,0.275132275132275,11/7,1.57142857142857,9/7,1.28571428571429,592/567,1.04409171075838,25/567,0.0440917107583774,1159/1134,1.02204585537919,2293/2268,1.01102292768959,25/2268,0.0110229276895944,1
165,52/191,0.272251308900524,1,1,12/61,0.19672131147541,5705/11651,0.489657540125311,-5946/11651,-0.510342459874689,8678/11651,0.744828770062656,20329/23302,0.872414385031328,2973/23302,0.127585614968672,0
167,52/193,0.269430051813472,11/7,1.57142857142857,9/7,1.28571428571429,1408/1351,1.04219096965211,57/1351,0.0421909696521095,2759/2702,1.02109548482605,5461/5404,1.01054774241303,57/5404,0.0105477424130274,1
169,1,1,11/7,1.57142857142857,9/7,1.28571428571429,9/7,1.28571428571429,2/7,0.285714285714286,8/7,1.14285714285714,15/14,1.07142857142857,1/14,0.0714285714285714,0
171,52/197,0.263959390862944,44/193,0.227979274611399,342/181,1.88950276243094,16388606/20645403,0.793813809301761,-4256797/20645403,-0.206186190698239,37034009/41290806,0.89690690465088,78324815/82581612,0.94845345232544,4256797/82581612,0.0515465476745598,0
173,52/199,0.261306532663317,11/7,1.57142857142857,9/7,1.28571428571429,1448/1393,1.03948312993539,55/1393,0.0394831299353912,2841/2786,1.0197415649677,5627/5572,1.00987078248385,55/5572,0.00987078248384781,1
175,52/201,0.258706467661692,11/7,1.57142857142857,36/193,0.186528497409326,547627/814653,0.672221178833196,-267026/814653,-0.327778821166804,681140/814653,0.836110589416598,1495793/1629306,0.918055294708299,133513/1629306,0.0819447052917009,0
177,52/203,0.25615763546798,44/199,0.221105527638191,9/7,1.28571428571429,71219/121191,0.587659149606819,-49972/121191,-0.412340850393181,96205/121191,0.79382957480341,108698/121191,0.896914787401705,12493/121191,0.103085212598295,0
179,52/205,0.253658536585366,11/7,1.57142857142857,9/7,1.28571428571429,1488/1435,1.03693379790941,53/1435,0.0369337979094077,2923/2870,1.0184668989547,5793/5740,1.00923344947735,53/5740,0.00923344947735192,1
181,52/207,0.251207729468599,11/7,1.57142857142857,9/7,1.28571428571429,4504/4347,1.03611686220382,157/4347,0.0361168622038187,8851/8694,1.01805843110191,17545/17388,1.00902921555095,157/17388,0.00902921555095468,1
183,52/209,0.248803827751196,44/205,0.214634146341463,9/7,1.28571428571429,524597/899745,0.583050753268982,-375148/899745,-0.416949246731018,712171/899745,0.791525376634491,805958/899745,0.895762688317245,93787/899745,0.104237311682755,0
185,52/211,0.246445497630332,11/7,1.57142857142857,36/203,0.177339901477833,28487/42833,0.665071323512245,-14346/42833,-0.334928676487755,35660/42833,0.832535661756123,78493/85666,0.916267830878061,7173/85666,0.0837321691219387,0
187,52/213,0.244131455399061,374/193,1.93782383419689,9/7,1.28571428571429,997867/863289,1.15588985843675,134578/863289,0.155889858436746,930578/863289,1.07794492921837,1793867/1726578,1.03897246460919,67289/1726578,0.0389724646091865,0
189,52/215,0.241860465116279,44/211,0.208530805687204,378/199,1.89949748743719,21213938/27082905,0.78329625274689,-5868967/27082905,-0.21670374725311,48296843/54165810,0.891648126373445,102462653/108331620,0.945824063186722,5868967/108331620,0.0541759368132776,0
191,52/217,0.23963133640553,11/7,1.57142857142857,9/7,1.28571428571429,32/31,1.03225806451613,1/31,0.032258064516129,63/62,1.01612903225806,125/124,1.00806451612903,1/124,0.00806451612903226,1
193,52/219,0.237442922374429,11/7,1.57142857142857,9/7,1.28571428571429,4744/4599,1.03152859317243,145/4599,0.0315285931724288,9343/9198,1.01576429658621,18541/18396,1.00788214829311,145/18396,0.0078821482931072,1
195,1,1,44/217,0.202764976958525,12/71,0.169014084507042,7045/15407,0.457259687155189,-8362/15407,-0.542740312844811,11226/15407,0.728629843577595,26633/30814,0.864314921788797,4181/30814,0.135685078211203,0
197,52/223,0.233183856502242,11/7,1.57142857142857,9/7,1.28571428571429,1608/1561,1.03010890454837,47/1561,0.0301089045483664,3169/3122,1.01505445227418,6291/6244,1.00752722613709,47/6244,0.00752722613709161,1
199,52/225,0.231111111111111,11/7,1.57142857142857,9/7,1.28571428571429,4864/4725,1.02941798941799,139/4725,0.0294179894179894,9589/9450,1.01470899470899,19039/18900,1.0073544973545,139/18900,0.00735449735449735,1
201,52/227,0.229074889867841,44/223,0.197309417040359,9/7,1.28571428571429,606677/1063041,0.570699530874162,-456364/1063041,-0.429300469125838,834859/1063041,0.785349765437081,948950/1063041,0.89267488271854,114091/1063041,0.10732511728146,0
203,52/229,0.22707423580786,11/7,1.57142857142857,9/7,1.28571428571429,1648/1603,1.02807236431691,45/1603,0.0280723643169058,3251/3206,1.01403618215845,6457/6412,1.00701809107923,45/6412,0.00701809107922645,1
205,52/231,0.225108225108225,11/7,1.57142857142857,36/223,0.161434977578475,100861/154539,0.652657258038424,-53678/154539,-0.347342741961576,127700/154539,0.826328629019212,282239/309078,0.913164314509606,26839/309078,0.086835685490394,0
207,52/233,0.223175965665236,44/229,0.192139737991266,414/217,1.90783410138249,26898518/34735407,0.77438326834633,-7836889/34735407,-0.22561673165367,61633925/69470814,0.887191634173165,131104739/138941628,0.943595817086583,7836889/138941628,0.0564041829134174,0
209,52/235,0.221276595744681,418/215,1.94418604651163,9/7,1.28571428571429,81373/70735,1.15039230932353,10638/70735,0.150392309323531,76054/70735,1.07519615466177,146789/141470,1.03759807733088,5319/141470,0.0375980773308829,0
211,52/237,0.219409282700422,11/7,1.57142857142857,9/7,1.28571428571429,5104/4977,1.02551737994776,127/4977,0.0255173799477597,10081/9954,1.01275868997388,20035/19908,1.00637934498694,127/19908,0.00637934498693992,1
213,52/239,0.217573221757322,44/235,0.187234042553191,9/7,1.28571428571429,664637/1179465,0.5635071833416,-514828/1179465,-0.4364928166584,922051/1179465,0.7817535916708,1050758/1179465,0.8908767958354,128707/1179465,0.1091232041646,0
215,52/241,0.215767634854772,11/7,1.57142857142857,36/233,0.15450643776824,254409/393071,0.647234214683861,-138662/393071,-0.352765785316139,323740/393071,0.823617107341931,716811/786142,0.911808553670965,69331/786142,0.0881914463290347,0
217,52/243,0.213991769547325,11/7,1.57142857142857,9/7,1.28571428571429,5224/5103,1.02371154223006,121/5103,0.0237115422300607,10327/10206,1.01185577111503,20533/20412,1.00592788555752,121/20412,0.00592788555751519,1
219,52/245,0.212244897959184,44/241,0.182572614107884,9/7,1.28571428571429,99227/177135,0.560177265927118,-77908/177135,-0.439822734072882,138181/177135,0.780088632963559,157658/177135,0.890044316481779,19477/177135,0.109955683518221,0
221,1,1,11/7,1.57142857142857,9/7,1.28571428571429,9/7,1.28571428571429,2/7,0.285714285714286,8/7,1.14285714285714,15/14,1.07142857142857,1/14,0.0714285714285714,0
223,52/249,0.208835341365462,11/7,1.57142857142857,9/7,1.28571428571429,5344/5229,1.02199273283611,115/5229,0.0219927328361063,10573/10458,1.01099636641805,21031/20916,1.00549818320903,115/20916,0.00549818320902658,1
225,52/251,0.207171314741036,44/247,0.178137651821862,1,1,85885/185991,0.461769655520966,-100106/185991,-0.538230344479034,135938/185991,0.730884827760483,321929/371982,0.865442413880242,50053/371982,0.134557586119758,0
227,52/253,0.205533596837945,11/7,1.57142857142857,9/7,1.28571428571429,1808/1771,1.02089215132693,37/1771,0.0208921513269339,3579/3542,1.01044607566347,7121/7084,1.00522303783173,37/7084,0.00522303783173348,1
229,52/255,0.203921568627451,11/7,1.57142857142857,9/7,1.28571428571429,5464/5355,1.0203548085901,109/5355,0.0203548085901027,10819/10710,1.01017740429505,21529/21420,1.00508870214753,109/21420,0.00508870214752568,1
231,52/257,0.202334630350195,1,1,9/7,1.28571428571429,1492/1799,0.82934963868816,-307/1799,-0.17065036131184,3291/3598,0.91467481934408,6889/7196,0.95733740967204,307/7196,0.04266259032796,0
233,52/259,0.200772200772201,11/7,1.57142857142857,9/7,1.28571428571429,264/259,1.01930501930502,5/259,0.0193050193050193,523/518,1.00965250965251,1041/1036,1.00482625482625,5/1036,0.00482625482625483,1
235,52/261,0.199233716475096,11/7,1.57142857142857,36/253,0.142292490118577,884227/1386693,0.637651592674081,-502466/1386693,-0.362348407325919,1135460/1386693,0.818825796337041,2522153/2773386,0.90941289816852,251233/2773386,0.0905871018314796,0
237,52/263,0.197718631178707,44/259,0.16988416988417,9/7,1.28571428571429,112619/204351,0.551105695592388,-91732/204351,-0.448894304407612,158485/204351,0.775552847796194,181418/204351,0.887776423898097,22933/204351,0.112223576101903,0
239,52/265,0.19622641509434,11/7,1.57142857142857,9/7,1.28571428571429,1888/1855,1.0177897574124,33/1855,0.0177897574123989,3743/3710,1.0088948787062,7453/7420,1.0044474393531,33/7420,0.00444743935309973,1
241,52/267,0.194756554307116,11/7,1.57142857142857,9/7,1.28571428571429,5704/5607,1.01729980381666,97/5607,0.0172998038166578,11311/11214,1.00864990190833,22525/22428,1.00432495095416,97/22428,0.00432495095416444,1
243,52/269,0.193308550185874,44/265,0.166037735849057,486/253,1.92094861660079,41125358/54105315,0.760098300878574,-12979957/54105315,-0.239901699121426,95230673/108210630,0.880049150439287,203441303/216421260,0.940024575219643,12979957/216421260,0.0599754247803566,0
245,52/271,0.191881918819188,11/7,1.57142857142857,36/263,0.136882129277567,316009/498911,0.633397539841775,-182902/498911,-0.366602460158225,407460/498911,0.816698769920888,906371/997822,0.908349384960444,91451/997822,0.0916506150395562,0
247,1,1,11/7,1.57142857142857,9/7,1.28571428571429,9/7,1.28571428571429,2/7,0.285714285714286,8/7,1.14285714285714,15/14,1.07142857142857,1/14,0.0714285714285714,0
249,52/275,0.189090909090909,44/271,0.162361623616236,9/7,1.28571428571429,854069/1565025,0.545722272807144,-710956/1565025,-0.454277727192856,1209547/1565025,0.772861136403572,1387286/1565025,0.886430568201786,177739/1565025,0.113569431798214,0
251,52/277,0.187725631768953,11/7,1.57142857142857,9/7,1.28571428571429,1968/1939,1.0149561629706,29/1939,0.0149561629706034,3907/3878,1.0074780814853,7785/7756,1.00373904074265,29/7756,0.00373904074265085,1
253,52/279,0.186379928315412,506/259,1.95366795366795,9/7,1.28571428571429,247549/216783,1.14192072256588,30766/216783,0.141920722565884,232166/216783,1.07096036128294,448949/433566,1.03548018064147,15383/433566,0.035480180641471,0
255,52/281,0.185053380782918,44/277,0.15884476534296,12/91,0.131868131868132,3369932/21249501,0.158588759331337,-17879569/21249501,-0.841411240668663,24619433/42499002,0.579294379665668,67118435/84998004,0.789647189832834,17879569/84998004,0.210352810167166,0
257,52/283,0.183745583038869,11/7,1.57142857142857,9/7,1.28571428571429,2008/1981,1.01362948006058,27/1981,0.0136294800605755,3989/3962,1.00681474003029,7951/7924,1.00340737001514,27/7924,0.00340737001514387,1
259,52/285,0.182456140350877,11/7,1.57142857142857,9/7,1.28571428571429,6064/5985,1.01319966583124,79/5985,0.0131996658312448,12049/11970,1.00659983291562,24019/23940,1.00329991645781,79/23940,0.00329991645781119,1
261,52/287,0.181184668989547,44/283,0.15547703180212,522/271,1.92619926199262,49807586/66032673,0.754286987594762,-16225087/66032673,-0.245713012405238,115840259/132065346,0.877143493797381,247905605/264130692,0.938571746898691,16225087/264130692,0.0614282531013094,0
