anchor,initial_lower,initial_upper,initial_lower_residue_mod14,initial_upper_residue_mod14,initial_pair_is_mod14_antipair,initial_backward_delta,initial_forward_delta,final_candidate,final_delta,initial_to_final_delta_ratio,handover_events,candidate_states,total_nonbase_gate_crossings,silent_gate_crossings,final_gate_frontier,cohort,true_next_prime,true_delta,final_matches_truth
4000005341,4000005341,4000005343,3,5,False,0,2,4000005377,36,0.05555555555555555,3,4,6335,6332,63241,sample,4000005377,36,True
4000005730,4000005729,4000005731,13,1,True,1,1,4000005767,37,0.02702702702702703,2,3,6335,6333,63241,sample,4000005767,37,True
4000006566,4000006565,4000006567,9,11,False,1,1,4000006583,17,0.058823529411764705,3,4,6335,6332,63241,sample,4000006583,17,True
4000006876,4000006875,4000006877,11,13,False,1,1,4000006877,1,1.0,0,1,6335,6335,63241,sample,4000006877,1,True
4000007262,4000007261,4000007265,5,9,True,1,3,4000007293,31,0.0967741935483871,4,5,6335,6331,63241,sample,4000007293,31,True
4000007386,4000007385,4000007387,3,5,False,1,1,4000007387,1,1.0,0,1,6335,6335,63241,sample,4000007387,1,True
4000007534,4000007533,4000007535,11,13,False,1,1,4000007551,17,0.058823529411764705,3,4,6335,6332,63241,sample,4000007551,17,True
4000007609,4000007609,4000007611,3,5,False,0,2,4000007611,2,1.0,0,1,6335,6335,63241,sample,4000007611,2,True
4000008170,4000008169,4000008171,3,5,False,1,1,4000008197,27,0.037037037037037035,4,5,6335,6331,63241,sample,4000008197,27,True
4000008178,4000008177,4000008179,11,13,False,1,1,4000008197,19,0.05263157894736842,2,3,6335,6333,63241,sample,4000008197,19,True
4000008288,4000008287,4000008289,9,11,False,1,1,4000008289,1,1.0,0,1,6335,6335,63241,sample,4000008289,1,True
4000008668,4000008667,4000008669,11,13,False,1,1,4000008671,3,0.3333333333333333,1,2,6335,6334,63241,sample,4000008671,3,True
4000008970,4000008969,4000008973,5,9,True,1,3,4000008979,9,0.3333333333333333,1,2,6335,6334,63241,sample,4000008979,9,True
4000009339,4000009339,4000009341,11,13,False,0,2,4000009367,28,0.07142857142857142,5,6,6335,6330,63241,sample,4000009367,28,True
4000009355,4000009355,4000009357,13,1,True,0,2,4000009367,12,0.16666666666666666,2,3,6335,6333,63241,sample,4000009367,12,True
4000009735,4000009735,4000009737,1,3,False,0,2,4000009837,102,0.0196078431372549,6,7,6335,6329,63241,sample,4000009837,102,True
4000009825,4000009823,4000009827,5,9,True,2,2,4000009837,12,0.16666666666666666,2,3,6335,6333,63241,sample,4000009837,12,True
4000009986,4000009985,4000009987,13,1,True,1,1,4000010009,23,0.043478260869565216,1,2,6335,6334,63241,sample,4000010009,23,True
4000010320,4000010319,4000010321,11,13,False,1,1,4000010327,7,0.14285714285714285,2,3,6335,6333,63241,sample,4000010327,7,True
4000011238,4000011237,4000011241,5,9,True,1,3,4000011289,51,0.058823529411764705,3,4,6335,6332,63241,sample,4000011289,51,True
4000011869,4000011867,4000011871,5,9,True,2,2,4000011881,12,0.16666666666666666,2,3,6335,6333,63241,sample,4000011881,12,True
4000012997,4000012997,4000012999,1,3,False,0,2,4000013009,12,0.16666666666666666,1,2,6335,6334,63241,sample,4000013009,12,True
4000013446,4000013445,4000013447,1,3,False,1,1,4000013461,15,0.06666666666666667,1,2,6335,6334,63241,sample,4000013461,15,True
4000013734,4000013733,4000013735,9,11,False,1,1,4000013747,13,0.07692307692307693,2,3,6335,6333,63241,sample,4000013747,13,True
4000013854,4000013853,4000013855,3,5,False,1,1,4000013879,25,0.04,4,5,6335,6331,63241,sample,4000013879,25,True
4000014589,4000014589,4000014591,11,13,False,0,2,4000014647,58,0.034482758620689655,3,4,6335,6332,63241,sample,4000014647,58,True
4000015503,4000015503,4000015505,1,3,False,0,2,4000015541,38,0.05263157894736842,3,4,6335,6332,63241,sample,4000015541,38,True
4000015737,4000015737,4000015739,11,13,False,0,2,4000015751,14,0.14285714285714285,2,3,6335,6333,63241,sample,4000015751,14,True
4000016290,4000016289,4000016291,3,5,False,1,1,4000016291,1,1.0,0,1,6335,6335,63241,sample,4000016291,1,True
4000016515,4000016515,4000016519,5,9,True,0,4,4000016533,18,0.2222222222222222,1,2,6335,6334,63241,sample,4000016533,18,True
4000016935,4000016935,4000016939,5,9,True,0,4,4000016939,4,1.0,0,1,6335,6335,63241,sample,4000016939,4,True
4000017362,4000017361,4000017363,11,13,False,1,1,4000017401,39,0.02564102564102564,4,5,6335,6331,63241,sample,4000017401,39,True
4000017773,4000017773,4000017775,3,5,False,0,2,4000017803,30,0.06666666666666667,2,3,6335,6333,63241,sample,4000017803,30,True
4000018040,4000018039,4000018041,3,5,False,1,1,4000018063,23,0.043478260869565216,4,5,6335,6331,63241,sample,4000018063,23,True
4000018686,4000018685,4000018689,5,9,True,1,3,4000018717,31,0.0967741935483871,5,6,6335,6330,63241,sample,4000018717,31,True
4000019530,4000019529,4000019531,9,11,False,1,1,4000019531,1,1.0,0,1,6335,6335,63241,sample,4000019531,1,True
4000019833,4000019833,4000019837,5,9,True,0,4,4000019839,6,0.6666666666666666,1,2,6335,6334,63241,sample,4000019839,6,True
4000019947,4000019945,4000019949,5,9,True,2,2,4000019951,4,0.5,1,2,6335,6334,63241,sample,4000019951,4,True
4000020317,4000020317,4000020319,13,1,True,0,2,4000020341,24,0.08333333333333333,3,4,6335,6332,63241,sample,4000020341,24,True
4000020367,4000020365,4000020369,5,9,True,2,2,4000020377,10,0.2,2,3,6335,6333,63241,sample,4000020377,10,True
4000020737,4000020737,4000020739,13,1,True,0,2,4000020749,12,0.16666666666666666,2,3,6335,6333,63241,sample,4000020749,12,True
4000020933,4000020933,4000020935,13,1,True,0,2,4000020943,10,0.2,2,3,6335,6333,63241,sample,4000020943,10,True
4000021068,4000021065,4000021069,5,9,True,3,1,4000021079,11,0.09090909090909091,2,3,6335,6333,63241,sample,4000021079,11,True
4000021898,4000021897,4000021899,11,13,False,1,1,4000021913,15,0.06666666666666667,2,3,6335,6333,63241,sample,4000021913,15,True
4000021958,4000021957,4000021959,1,3,False,1,1,4000022009,51,0.0196078431372549,6,7,6335,6329,63241,sample,4000022009,51,True
4000023061,4000023061,4000023063,13,1,True,0,2,4000023077,16,0.125,4,5,6335,6331,63241,sample,4000023077,16,True
4000023647,4000023647,4000023649,11,13,False,0,2,4000023719,72,0.027777777777777776,5,6,6335,6330,63241,sample,4000023719,72,True
4000023960,4000023959,4000023961,1,3,False,1,1,4000023991,31,0.03225806451612903,3,4,6335,6332,63241,sample,4000023991,31,True
4000023970,4000023969,4000023971,11,13,False,1,1,4000023991,21,0.047619047619047616,3,4,6335,6332,63241,sample,4000023991,21,True
4000023982,4000023981,4000023983,9,11,False,1,1,4000023991,9,0.1111111111111111,1,2,6335,6334,63241,sample,4000023991,9,True
4000024028,4000024027,4000024029,13,1,True,1,1,4000024031,3,0.3333333333333333,1,2,6335,6334,63241,sample,4000024031,3,True
4000024052,4000024051,4000024053,9,11,False,1,1,4000024069,17,0.058823529411764705,3,4,6335,6332,63241,sample,4000024069,17,True
4000024416,4000024415,4000024417,9,11,False,1,1,4000024439,23,0.043478260869565216,1,2,6335,6334,63241,sample,4000024439,23,True
4000024874,4000024873,4000024877,5,9,True,1,3,4000024883,9,0.3333333333333333,2,3,6335,6333,63241,sample,4000024883,9,True
4000025017,4000025017,4000025019,9,11,False,0,2,4000025033,16,0.125,2,3,6335,6333,63241,sample,4000025033,16,True
4000025287,4000025287,4000025289,13,1,True,0,2,4000025299,12,0.16666666666666666,3,4,6335,6332,63241,sample,4000025299,12,True
4000025758,4000025755,4000025759,5,9,True,3,1,4000025789,31,0.03225806451612903,3,4,6335,6332,63241,sample,4000025789,31,True
4000025763,4000025763,4000025765,13,1,True,0,2,4000025789,26,0.07692307692307693,4,5,6335,6331,63241,sample,4000025789,26,True
4000025972,4000025971,4000025973,11,13,False,1,1,4000025983,11,0.09090909090909091,3,4,6335,6332,63241,sample,4000025983,11,True
4000027409,4000027407,4000027411,5,9,True,2,2,4000027429,20,0.1,2,3,6335,6333,63241,sample,4000027429,20,True
4000027481,4000027481,4000027483,9,11,False,0,2,4000027511,30,0.06666666666666667,2,3,6335,6333,63241,sample,4000027511,30,True
4000028040,4000028037,4000028041,5,9,True,3,1,4000028083,43,0.023255813953488372,4,5,6335,6331,63241,sample,4000028083,43,True
4000028090,4000028089,4000028091,1,3,False,1,1,4000028099,9,0.1111111111111111,2,3,6335,6333,63241,sample,4000028099,9,True
4000028382,4000028381,4000028383,13,1,True,1,1,4000028407,25,0.04,4,5,6335,6331,63241,sample,4000028407,25,True
4000028573,4000028573,4000028575,9,11,False,0,2,4000028581,8,0.25,2,3,6335,6333,63241,sample,4000028581,8,True
4000030013,4000030011,4000030015,5,9,True,2,2,4000030019,6,0.3333333333333333,1,2,6335,6334,63241,sample,4000030019,6,True
4000030819,4000030819,4000030821,1,3,False,0,2,4000030823,4,0.5,1,2,6335,6334,63241,sample,4000030823,4,True
4000031377,4000031377,4000031379,13,1,True,0,2,4000031383,6,0.3333333333333333,2,3,6335,6333,63241,sample,4000031383,6,True
4000031501,4000031501,4000031503,11,13,False,0,2,4000031543,42,0.047619047619047616,5,6,6335,6330,63241,sample,4000031543,42,True
4000031511,4000031509,4000031513,5,9,True,2,2,4000031543,32,0.0625,2,3,6335,6333,63241,sample,4000031543,32,True
4000031793,4000031793,4000031795,9,11,False,0,2,4000031803,10,0.2,3,4,6335,6332,63241,sample,4000031803,10,True
4000032127,4000032125,4000032129,5,9,True,2,2,4000032137,10,0.2,2,3,6335,6333,63241,sample,4000032137,10,True
4000032724,4000032723,4000032725,1,3,False,1,1,4000032761,37,0.02702702702702703,4,5,6335,6331,63241,sample,4000032761,37,True
4000033092,4000033091,4000033095,5,9,True,1,3,4000033097,5,0.6,1,2,6335,6334,63241,sample,4000033097,5,True
4000033182,4000033181,4000033183,11,13,False,1,1,4000033187,5,0.2,1,2,6335,6334,63241,sample,4000033187,5,True
4000033486,4000033483,4000033487,5,9,True,3,1,4000033493,7,0.14285714285714285,2,3,6335,6333,63241,sample,4000033493,7,True
4000033752,4000033749,4000033753,5,9,True,3,1,4000033787,35,0.02857142857142857,4,5,6335,6331,63241,sample,4000033787,35,True
4000033871,4000033871,4000033873,1,3,False,0,2,4000033901,30,0.06666666666666667,2,3,6335,6333,63241,sample,4000033901,30,True
4000034084,4000034083,4000034085,3,5,False,1,1,4000034099,15,0.06666666666666667,2,3,6335,6333,63241,sample,4000034099,15,True
4000034227,4000034225,4000034229,5,9,True,2,2,4000034239,12,0.16666666666666666,3,4,6335,6332,63241,sample,4000034239,12,True
4000036010,4000036009,4000036011,11,13,False,1,1,4000036013,3,0.3333333333333333,1,2,6335,6334,63241,sample,4000036013,3,True
4000036099,4000036099,4000036101,3,5,False,0,2,4000036129,30,0.06666666666666667,4,5,6335,6331,63241,sample,4000036129,30,True
4000036453,4000036451,4000036455,5,9,True,2,2,4000036457,4,0.5,1,2,6335,6334,63241,sample,4000036457,4,True
4000036513,4000036513,4000036515,11,13,False,0,2,4000036519,6,0.3333333333333333,2,3,6335,6333,63241,sample,4000036519,6,True
4000036560,4000036559,4000036561,1,3,False,1,1,4000036561,1,1.0,0,1,6335,6335,63241,sample,4000036561,1,True
4000036641,4000036641,4000036643,13,1,True,0,2,4000036669,28,0.07142857142857142,2,3,6335,6333,63241,sample,4000036669,28,True
4000036958,4000036955,4000036959,5,9,True,3,1,4000036969,11,0.09090909090909091,3,4,6335,6332,63241,sample,4000036969,11,True
4000037148,4000037147,4000037149,1,3,False,1,1,4000037189,41,0.024390243902439025,4,5,6335,6331,63241,sample,4000037189,41,True
4000038047,4000038047,4000038051,5,9,True,0,4,4000038059,12,0.3333333333333333,2,3,6335,6333,63241,sample,4000038059,12,True
4000038076,4000038075,4000038079,5,9,True,1,3,4000038109,33,0.09090909090909091,2,3,6335,6333,63241,sample,4000038109,33,True
4000039025,4000039025,4000039027,3,5,False,0,2,4000039079,54,0.037037037037037035,3,4,6335,6332,63241,sample,4000039079,54,True
4000039274,4000039273,4000039275,13,1,True,1,1,4000039297,23,0.043478260869565216,4,5,6335,6331,63241,sample,4000039297,23,True
4000039303,4000039303,4000039305,1,3,False,0,2,4000039313,10,0.2,2,3,6335,6333,63241,sample,4000039313,10,True
4000039410,4000039409,4000039411,9,11,False,1,1,4000039423,13,0.07692307692307693,1,2,6335,6334,63241,sample,4000039423,13,True
4000040004,4000040003,4000040005,1,3,False,1,1,4000040027,23,0.043478260869565216,3,4,6335,6332,63241,sample,4000040027,23,True
4000040214,4000040213,4000040215,1,3,False,1,1,4000040243,29,0.034482758620689655,2,3,6335,6333,63241,sample,4000040243,29,True
4000040253,4000040253,4000040255,13,1,True,0,2,4000040273,20,0.1,2,3,6335,6333,63241,sample,4000040273,20,True
4000040377,4000040377,4000040379,11,13,False,0,2,4000040389,12,0.16666666666666666,3,4,6335,6332,63241,sample,4000040389,12,True
4000041261,4000041261,4000041263,13,1,True,0,2,4000041289,28,0.07142857142857142,2,3,6335,6333,63241,sample,4000041289,28,True
4000042511,4000042511,4000042513,3,5,False,0,2,4000042513,2,1.0,0,1,6335,6335,63241,sample,4000042513,2,True
4000043089,4000043087,4000043091,5,9,True,2,2,4000043093,4,0.5,1,2,6335,6334,63241,sample,4000043093,4,True
4000043101,4000043101,4000043105,5,9,True,0,4,4000043129,28,0.14285714285714285,3,4,6335,6332,63241,sample,4000043129,28,True
4000044220,4000044219,4000044221,3,5,False,1,1,4000044227,7,0.14285714285714285,1,2,6335,6334,63241,sample,4000044227,7,True
4000044798,4000044795,4000044799,5,9,True,3,1,4000044799,1,1.0,0,1,6335,6335,63241,sample,4000044799,1,True
4000045165,4000045165,4000045167,11,13,False,0,2,4000045177,12,0.16666666666666666,2,3,6335,6333,63241,sample,4000045177,12,True
4000045810,4000045809,4000045811,11,13,False,1,1,4000045817,7,0.14285714285714285,1,2,6335,6334,63241,sample,4000045817,7,True
4000045910,4000045909,4000045911,13,1,True,1,1,4000045937,27,0.037037037037037035,3,4,6335,6332,63241,sample,4000045937,27,True
4000046515,4000046515,4000046517,3,5,False,0,2,4000046537,22,0.09090909090909091,2,3,6335,6333,63241,sample,4000046537,22,True
4000047965,4000047965,4000047967,11,13,False,0,2,4000047991,26,0.07692307692307693,2,3,6335,6333,63241,sample,4000047991,26,True
4000048393,4000048393,4000048397,5,9,True,0,4,4000048421,28,0.14285714285714285,3,4,6335,6332,63241,sample,4000048421,28,True
4000048738,4000048737,4000048739,13,1,True,1,1,4000048751,13,0.07692307692307693,2,3,6335,6333,63241,sample,4000048751,13,True
4000049975,4000049975,4000049979,5,9,True,0,4,4000050007,32,0.125,2,3,6335,6333,63241,sample,4000050007,32,True
4000051112,4000051109,4000051113,5,9,True,3,1,4000051213,101,0.009900990099009901,6,7,6335,6329,63241,sample,4000051213,101,True
4000051442,4000051441,4000051443,1,3,False,1,1,4000051469,27,0.037037037037037035,5,6,6335,6330,63241,sample,4000051469,27,True
4000052208,4000052207,4000052209,11,13,False,1,1,4000052227,19,0.05263157894736842,2,3,6335,6333,63241,sample,4000052227,19,True
4000053493,4000053493,4000053495,9,11,False,0,2,4000053511,18,0.1111111111111111,5,6,6335,6330,63241,sample,4000053511,18,True
4000053990,4000053989,4000053991,1,3,False,1,1,4000053991,1,1.0,0,1,6335,6335,63241,sample,4000053991,1,True
4000054158,4000054157,4000054159,1,3,False,1,1,4000054169,11,0.09090909090909091,1,2,6335,6334,63241,sample,4000054169,11,True
4000054392,4000054391,4000054393,11,13,False,1,1,4000054397,5,0.2,1,2,6335,6334,63241,sample,4000054397,5,True
4000054484,4000054483,4000054487,5,9,True,1,3,4000054493,9,0.3333333333333333,2,3,6335,6333,63241,sample,4000054493,9,True
4000054728,4000054727,4000054729,11,13,False,1,1,4000054733,5,0.2,1,2,6335,6334,63241,sample,4000054733,5,True
4000055040,4000055039,4000055041,1,3,False,1,1,4000055107,67,0.014925373134328358,1,2,6335,6334,63241,sample,4000055107,67,True
4000057529,4000057529,4000057531,13,1,True,0,2,4000057541,12,0.16666666666666666,1,2,6335,6334,63241,sample,4000057541,12,True
4000057542,4000057541,4000057543,11,13,False,1,1,4000057547,5,0.2,1,2,6335,6334,63241,sample,4000057547,5,True
4000058057,4000058057,4000058059,9,11,False,0,2,4000058071,14,0.14285714285714285,2,3,6335,6333,63241,sample,4000058071,14,True
4000058674,4000058673,4000058675,9,11,False,1,1,4000058677,3,0.3333333333333333,1,2,6335,6334,63241,sample,4000058677,3,True
4000059067,4000059067,4000059069,11,13,False,0,2,4000059071,4,0.5,1,2,6335,6334,63241,sample,4000059071,4,True
4000061101,4000061101,4000061103,1,3,False,0,2,4000061113,12,0.16666666666666666,3,4,6335,6332,63241,sample,4000061113,12,True
4000061488,4000061487,4000061489,9,11,False,1,1,4000061509,21,0.047619047619047616,2,3,6335,6333,63241,sample,4000061509,21,True
4000062566,4000062565,4000062567,9,11,False,1,1,4000062593,27,0.037037037037037035,3,4,6335,6332,63241,sample,4000062593,27,True
4000062604,4000062603,4000062607,5,9,True,1,3,4000062607,3,1.0,0,1,6335,6335,63241,sample,4000062607,3,True
4000063220,4000063219,4000063223,5,9,True,1,3,4000063231,11,0.2727272727272727,2,3,6335,6333,63241,sample,4000063231,11,True
4000063683,4000063681,4000063685,5,9,True,2,2,4000063729,46,0.043478260869565216,5,6,6335,6330,63241,sample,4000063729,46,True
4000063914,4000063913,4000063915,13,1,True,1,1,4000063933,19,0.05263157894736842,2,3,6335,6333,63241,sample,4000063933,19,True
4000064301,4000064301,4000064303,9,11,False,0,2,4000064347,46,0.043478260869565216,3,4,6335,6332,63241,sample,4000064347,46,True
4000064711,4000064711,4000064713,13,1,True,0,2,4000064777,66,0.030303030303030304,3,4,6335,6332,63241,sample,4000064777,66,True
4000064770,4000064769,4000064771,1,3,False,1,1,4000064777,7,0.14285714285714285,2,3,6335,6333,63241,sample,4000064777,7,True
4000064847,4000064847,4000064849,9,11,False,0,2,4000064867,20,0.1,4,5,6335,6331,63241,sample,4000064867,20,True
4000064920,4000064919,4000064921,11,13,False,1,1,4000064921,1,1.0,0,1,6335,6335,63241,sample,4000064921,1,True
4000065069,4000065067,4000065071,5,9,True,2,2,4000065071,2,1.0,0,1,6335,6335,63241,sample,4000065071,2,True
4000065865,4000065865,4000065869,5,9,True,0,4,4000065917,52,0.07692307692307693,3,4,6335,6332,63241,sample,4000065917,52,True
4000066763,4000066761,4000066765,5,9,True,2,2,4000066813,50,0.04,3,4,6335,6332,63241,sample,4000066813,50,True
4000066856,4000066855,4000066857,1,3,False,1,1,4000066879,23,0.043478260869565216,3,4,6335,6332,63241,sample,4000066879,23,True
4000066925,4000066925,4000066927,1,3,False,0,2,4000066951,26,0.07692307692307693,4,5,6335,6331,63241,sample,4000066951,26,True
4000067751,4000067751,4000067753,1,3,False,0,2,4000067779,28,0.07142857142857142,3,4,6335,6332,63241,sample,4000067779,28,True
4000068511,4000068511,4000068515,5,9,True,0,4,4000068517,6,0.6666666666666666,1,2,6335,6334,63241,sample,4000068517,6,True
4000068598,4000068595,4000068599,5,9,True,3,1,4000068617,19,0.05263157894736842,1,2,6335,6334,63241,sample,4000068617,19,True
4000068773,4000068773,4000068775,1,3,False,0,2,4000068817,44,0.045454545454545456,4,5,6335,6331,63241,sample,4000068817,44,True
4000070327,4000070327,4000070329,1,3,False,0,2,4000070341,14,0.14285714285714285,1,2,6335,6334,63241,sample,4000070341,14,True
4000070597,4000070597,4000070601,5,9,True,0,4,4000070609,12,0.3333333333333333,2,3,6335,6333,63241,sample,4000070609,12,True
4000070794,4000070793,4000070797,5,9,True,1,3,4000070797,3,1.0,0,1,6335,6335,63241,sample,4000070797,3,True
4000070828,4000070827,4000070829,11,13,False,1,1,4000070857,29,0.034482758620689655,2,3,6335,6333,63241,sample,4000070857,29,True
4000071499,4000071499,4000071501,11,13,False,0,2,4000071511,12,0.16666666666666666,2,3,6335,6333,63241,sample,4000071511,12,True
4000071700,4000071699,4000071701,1,3,False,1,1,4000071709,9,0.1111111111111111,2,3,6335,6333,63241,sample,4000071709,9,True
4000071771,4000071771,4000071773,3,5,False,0,2,4000071821,50,0.04,1,2,6335,6334,63241,sample,4000071821,50,True
4000072738,4000072737,4000072739,3,5,False,1,1,4000072751,13,0.07692307692307693,1,2,6335,6334,63241,sample,4000072751,13,True
4000073250,4000073249,4000073251,11,13,False,1,1,4000073263,13,0.07692307692307693,2,3,6335,6333,63241,sample,4000073263,13,True
4000074494,4000074493,4000074495,9,11,False,1,1,4000074497,3,0.3333333333333333,1,2,6335,6334,63241,sample,4000074497,3,True
4000075365,4000075365,4000075367,13,1,True,0,2,4000075393,28,0.07142857142857142,4,5,6335,6331,63241,sample,4000075393,28,True
4000075424,4000075423,4000075425,1,3,False,1,1,4000075433,9,0.1111111111111111,2,3,6335,6333,63241,sample,4000075433,9,True
4000075481,4000075481,4000075483,3,5,False,0,2,4000075517,36,0.05555555555555555,3,4,6335,6332,63241,sample,4000075517,36,True
4000075762,4000075761,4000075763,3,5,False,1,1,4000075789,27,0.037037037037037035,2,3,6335,6333,63241,sample,4000075789,27,True
4000075812,4000075811,4000075813,11,13,False,1,1,4000075819,7,0.14285714285714285,1,2,6335,6334,63241,sample,4000075819,7,True
4000075879,4000075879,4000075881,9,11,False,0,2,4000075901,22,0.09090909090909091,3,4,6335,6332,63241,sample,4000075901,22,True
4000076099,4000076099,4000076103,5,9,True,0,4,4000076107,8,0.5,2,3,6335,6333,63241,sample,4000076107,8,True
4000076240,4000076239,4000076243,5,9,True,1,3,4000076273,33,0.09090909090909091,2,3,6335,6333,63241,sample,4000076273,33,True
4000077170,4000077169,4000077171,11,13,False,1,1,4000077181,11,0.09090909090909091,2,3,6335,6333,63241,sample,4000077181,11,True
4000077182,4000077181,4000077183,9,11,False,1,1,4000077187,5,0.2,2,3,6335,6333,63241,sample,4000077187,5,True
4000077915,4000077915,4000077917,1,3,False,0,2,4000077919,4,0.5,1,2,6335,6334,63241,sample,4000077919,4,True
4000078604,4000078603,4000078605,3,5,False,1,1,4000078651,47,0.02127659574468085,3,4,6335,6332,63241,sample,4000078651,47,True
4000079468,4000079467,4000079469,13,1,True,1,1,4000079483,15,0.06666666666666667,2,3,6335,6333,63241,sample,4000079483,15,True
4000079999,4000079999,4000080001,13,1,True,0,2,4000080043,44,0.045454545454545456,2,3,6335,6333,63241,sample,4000080043,44,True
4000080011,4000080011,4000080013,11,13,False,0,2,4000080043,32,0.0625,2,3,6335,6333,63241,sample,4000080043,32,True
4000080267,4000080267,4000080269,1,3,False,0,2,4000080269,2,1.0,0,1,6335,6335,63241,sample,4000080269,2,True
4000080730,4000080729,4000080731,1,3,False,1,1,4000080743,13,0.07692307692307693,1,2,6335,6334,63241,sample,4000080743,13,True
4000081902,4000081901,4000081903,11,13,False,1,1,4000081907,5,0.2,1,2,6335,6334,63241,sample,4000081907,5,True
4000082340,4000082339,4000082341,1,3,False,1,1,4000082389,49,0.02040816326530612,2,3,6335,6333,63241,sample,4000082389,49,True
4000083291,4000083291,4000083293,1,3,False,0,2,4000083317,26,0.07692307692307693,1,2,6335,6334,63241,sample,4000083317,26,True
4000083328,4000083327,4000083329,9,11,False,1,1,4000083331,3,0.3333333333333333,1,2,6335,6334,63241,sample,4000083331,3,True
4000083529,4000083529,4000083531,1,3,False,0,2,4000083583,54,0.037037037037037035,5,6,6335,6330,63241,sample,4000083583,54,True
4000083558,4000083557,4000083559,1,3,False,1,1,4000083583,25,0.04,2,3,6335,6333,63241,sample,4000083583,25,True
4000084013,4000084013,4000084015,9,11,False,0,2,4000084027,14,0.14285714285714285,3,4,6335,6332,63241,sample,4000084027,14,True
4000084066,4000084065,4000084069,5,9,True,1,3,4000084087,21,0.14285714285714285,1,2,6335,6334,63241,sample,4000084087,21,True
4000084089,4000084089,4000084091,1,3,False,0,2,4000084103,14,0.14285714285714285,1,2,6335,6334,63241,sample,4000084103,14,True
4000084989,4000084989,4000084993,5,9,True,0,4,4000084993,4,1.0,0,1,6335,6335,63241,sample,4000084993,4,True
4000085008,4000085007,4000085009,9,11,False,1,1,4000085027,19,0.05263157894736842,2,3,6335,6333,63241,sample,4000085027,19,True
4000085771,4000085771,4000085773,3,5,False,0,2,4000085783,12,0.16666666666666666,1,2,6335,6334,63241,sample,4000085783,12,True
4000086020,4000086019,4000086021,13,1,True,1,1,4000086049,29,0.034482758620689655,4,5,6335,6331,63241,sample,4000086049,29,True
4000086283,4000086283,4000086285,11,13,False,0,2,4000086323,40,0.05,3,4,6335,6332,63241,sample,4000086323,40,True
4000086442,4000086441,4000086443,1,3,False,1,1,4000086443,1,1.0,0,1,6335,6335,63241,sample,4000086443,1,True
4000086807,4000086807,4000086809,3,5,False,0,2,4000086889,82,0.024390243902439025,2,3,6335,6333,63241,sample,4000086889,82,True
4000087127,4000087127,4000087129,1,3,False,0,2,4000087129,2,1.0,0,1,6335,6335,63241,sample,4000087129,2,True
4000087266,4000087265,4000087267,13,1,True,1,1,4000087283,17,0.058823529411764705,3,4,6335,6332,63241,sample,4000087283,17,True
