child_prime,lag,model,mean_cross_entropy_bits,gain_vs_marginal_bits,min_fold_gain_vs_marginal_bits,mean_active_states,declared_state_count
19,2,marginal,3.0982480321464827,0.0,0.0,1.0,1
19,2,gate_branch,3.0996959642002353,-0.0014479320537525986,-0.0017950018609669272,19.0,19
23,1,ordered_pair,1.6392805954841803,1.4998637929989915,1.4995214653920534,116.5,256
23,1,pair_plus_gate,1.6478036359799952,1.4913407525031765,1.4910562810353705,2040.25,5888
23,1,right_gap,1.848233957562925,1.2909104309202468,1.2905384384669292,16.0,16
23,1,merged_sum,2.6397398040193965,0.49940458446377534,0.49895883971439137,18.0,18
23,1,left_gap,2.8436480974160823,0.2954962910670895,0.295212050299543,16.0,16
23,1,marginal,3.139144388483172,0.0,0.0,1.0,1
23,1,gate_branch,3.1391924494815897,-4.806099841792033e-05,-7.801782103955546e-05,23.0,23
23,2,ordered_pair,2.6538830504213355,0.4852613378873052,0.4843917762955563,116.5,256
23,2,pair_plus_gate,2.6617824200237234,0.4773619682849173,0.4766497785586963,2040.25,5888
23,2,right_gap,2.8436481059815177,0.295496282327123,0.2952038878152945,16.0,16
23,2,merged_sum,2.9145927549622948,0.22455163334634598,0.22406626400798135,18.0,18
23,2,left_gap,3.0883010187967277,0.05084336951191304,0.05037362025966452,16.0,16
23,2,marginal,3.1391443883086407,0.0,0.0,1.0,1
23,2,gate_branch,3.139216244657404,-7.185634876316627e-05,-9.634178200768062e-05,23.0,23
