fold,model,cross_entropy_bits,perplexity,top1_accuracy,brier_score,test_events,active_context_rows,active_conditional_df
4,B_plus_shared_gap,1.7935170706383674,3.4665896496978514,0.4387935264725629,0.6677595221832529,127733760,123,1353
4,B_plus_signed_step,2.357134893127214,5.123518475953067,0.35876316488295656,0.7557790223365008,127733760,56,616
4,current_B,2.6209011752874547,6.151341943289835,0.30229820213544173,0.8003214610443957,127733760,12,132
4,full_A_B,2.1788398740008876,4.527893025698871,0.3977712783214085,0.7221914930413129,127733760,118,1298
4,raw_gap_markov1,1.953763739274864,3.8738383118104576,0.37467350056868287,0.7080932140506121,127733760,23,506
5,B_plus_direction,2.526704022297331,5.762536654469185,0.335764123752405,0.782775891754026,127733760,27,297
5,B_plus_distance,2.4331183351724093,5.400594899052032,0.34162524457120813,0.7692215565415295,127733760,41,451
5,B_plus_shared_gap,1.7935029056623188,3.46655561345533,0.4387944580978435,0.6677585238984715,127733760,124,1364
5,B_plus_signed_step,2.357144543726905,5.123552748747939,0.3587602134314374,0.7557802475393359,127733760,56,616
5,current_B,2.6209008390998965,6.151340509858425,0.30229738011313534,0.8003211579370659,127733760,12,132
5,full_A_B,2.1788481323415563,4.52791894454456,0.39777373655954384,0.7221905439101981,127733760,119,1309
5,raw_gap_markov1,1.953753807206381,3.87381164290686,0.3746773131864278,0.7080922346499058,127733760,23,506
6,B_plus_direction,2.5267498295429864,5.7627196246155465,0.3357631999559083,0.7827807145313651,127733760,27,297
6,B_plus_distance,2.433166472640543,5.4007751001996605,0.34161768196598924,0.7692308475825115,127733760,41,451
6,B_plus_shared_gap,1.7935141132737622,3.4665825435813593,0.4387983881473465,0.6677594873562543,127733760,124,1364
6,B_plus_signed_step,2.3571767357180664,5.123667075892851,0.3587577082205988,0.7557858793017544,127733760,56,616
6,current_B,2.620927548934058,6.1514543958850405,0.30229356749539044,0.800325209379982,127733760,12,132
6,full_A_B,2.178869597299866,4.527986313123262,0.3977763200582211,0.7221949473627195,127733760,119,1309
6,raw_gap_markov1,1.9537606832012577,3.873830105833349,0.3746727255190797,0.7080943311255139,127733760,23,506
7,B_plus_direction,2.526747169954337,5.7627090011302355,0.33575786072530867,0.7827813902860097,127733760,27,297
7,B_plus_distance,2.4331513896779646,5.400718636941241,0.34161855878978276,0.76922770944567,127733760,41,451
7,B_plus_shared_gap,1.7935227049868063,3.4666031882569843,0.438792375641334,0.667761699328088,127733760,124,1364
7,B_plus_signed_step,2.3571652104377847,5.123626144537594,0.3587571915208634,0.7557844269955302,127733760,56,616
7,current_B,2.6209458891330026,6.15153259648276,0.30228615363706507,0.8003285698661884,127733760,12,132
7,full_A_B,2.178862418401998,4.527963781770832,0.39777090253978276,0.7221932307206209,127733760,119,1309
7,raw_gap_markov1,1.9537704915833405,3.873856442747171,0.3746722088193442,0.7080945542492264,127733760,23,506
8,B_plus_direction,2.526692521886856,5.762490718723318,0.3357671221766274,0.7827735028932481,127733760,27,297
8,B_plus_distance,2.433129765792337,5.400637688685657,0.3416239293355179,0.7692259288098053,127733760,41,451
8,B_plus_shared_gap,1.7935102024533875,3.4665731464718648,0.4387964309513789,0.6677582113730373,127733760,124,1364
8,B_plus_signed_step,2.3571447087171413,5.123553334690361,0.3587602604041406,0.7557823913087369,127733760,56,616
8,current_B,2.6209069839920556,6.151366710409127,0.3022979672719256,0.8003213841774444,127733760,12,132
8,full_A_B,2.1788623635566307,4.5279636096361635,0.3977728284206149,0.7221953586718985,127733760,119,1309
8,raw_gap_markov1,1.9537572107588896,3.8738207818700605,0.37467943478685667,0.7080923301094717,127733760,23,506
