cohort,anchor,actual_next_prime,actual_delta,phase_a_candidate_1,phase_a_candidate_2,phase_a_candidate_3,phase_a_rank_of_prime,phase_a_top1_hit,phase_a_top2_hit,phase_a_top3_hit,p29_candidate_1,p29_candidate_2,p29_candidate_3,odd_candidate_1,odd_candidate_2,odd_candidate_3,p29_top1_hit,p29_top2_hit,p29_top3_hit,odd_top1_hit,odd_top2_hit,odd_top3_hit,cross_rung_frame,phase_a_child_count,phase_b_child_count,teara_phase_a,teara_phase_b
low,71011841,71011847,6,71011847,71011849,71011861,1,1,1,1,71011847,71011849,71011859,71011843,71011845,71011847,1,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71011845,71011847,2,71011847,71011849,71011861,1,1,1,1,71011847,71011849,71011859,71011847,71011849,71011851,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71012017,71012023,6,71012021,71012023,71012057,2,0,1,1,71012021,71012023,71012027,71012019,71012021,71012023,0,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71012025,71012057,32,71012057,71012069,71012089,1,1,1,1,71012027,71012033,71012041,71012027,71012029,71012031,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71012180,71012189,9,71012189,71012203,71012219,1,1,1,1,71012189,71012191,71012197,71012181,71012183,71012185,1,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71012548,71012549,1,71012549,71012573,71012603,1,1,1,1,71012549,71012551,71012563,71012549,71012551,71012553,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71012708,71012719,11,71012719,71012729,71012741,1,1,1,1,71012713,71012717,71012719,71012709,71012711,71012713,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71013123,71013133,10,71013133,71013139,71013143,1,1,1,1,71013133,71013139,71013143,71013125,71013127,71013129,1,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71013165,71013169,4,71013169,71013209,71013221,1,1,1,1,71013169,71013179,71013181,71013167,71013169,71013171,1,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71013556,71013611,55,71013611,71013617,71013629,1,1,1,1,71013557,71013559,71013563,71013557,71013559,71013561,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71013564,71013611,47,71013611,71013617,71013629,1,1,1,1,71013571,71013577,71013587,71013565,71013567,71013569,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71014353,71014357,4,71014357,71014369,71014399,1,1,1,1,71014357,71014367,71014369,71014355,71014357,71014359,1,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71014843,71014871,28,71014861,71014871,71014891,2,0,1,1,71014847,71014849,71014859,71014845,71014847,71014849,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71014854,71014871,17,71014861,71014871,71014891,2,0,1,1,71014859,71014861,71014871,71014855,71014857,71014859,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71014942,71014949,7,71014949,71014987,71014991,1,1,1,1,71014943,71014949,71014963,71014943,71014945,71014947,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71015077,71015081,4,71015081,71015083,71015093,1,1,1,1,71015081,71015083,71015089,71015079,71015081,71015083,1,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71015318,71015359,41,71015359,71015363,71015383,1,1,1,1,71015323,71015327,71015333,71015319,71015321,71015323,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71015354,71015359,5,71015359,71015363,71015383,1,1,1,1,71015359,71015363,71015377,71015355,71015357,71015359,1,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71015615,71015621,6,71015621,71015627,71015629,1,1,1,1,71015617,71015621,71015627,71015617,71015619,71015621,0,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71015919,71015929,10,71015929,71015951,71015957,1,1,1,1,71015921,71015929,71015933,71015921,71015923,71015925,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71016197,71016217,20,71016217,71016227,71016233,1,1,1,1,71016199,71016217,71016221,71016199,71016201,71016203,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71016274,71016277,3,71016277,71016289,71016313,1,1,1,1,71016277,71016287,71016289,71016275,71016277,71016279,1,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71016990,71016991,1,71016991,71017057,71017081,1,1,1,1,71016991,71016997,71017013,71016991,71016993,71016995,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71017823,71017841,18,71017841,71017853,71017861,1,1,1,1,71017829,71017831,71017841,71017825,71017827,71017829,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71018015,71018021,6,71018021,71018023,71018053,1,1,1,1,71018021,71018023,71018033,71018017,71018019,71018021,1,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71018333,71018377,44,71018377,71018383,71018399,1,1,1,1,71018341,71018347,71018351,71018335,71018337,71018339,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71019129,71019163,34,71019163,71019167,71019181,1,1,1,1,71019133,71019139,71019161,71019131,71019133,71019135,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71019598,71019631,33,71019623,71019631,71019647,2,0,1,1,71019601,71019617,71019623,71019599,71019601,71019603,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71019928,71019941,13,71019941,71019943,71019989,1,1,1,1,71019937,71019941,71019943,71019929,71019931,71019933,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71020123,71020127,4,71020127,71020139,71020141,1,1,1,1,71020127,71020129,71020133,71020125,71020127,71020129,1,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71020156,71020171,15,71020171,71020181,71020189,1,1,1,1,71020163,71020171,71020177,71020157,71020159,71020161,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71020227,71020231,4,71020231,71020253,71020267,1,1,1,1,71020231,71020241,71020247,71020229,71020231,71020233,1,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71020683,71020717,34,71020717,71020753,71020759,1,1,1,1,71020687,71020693,71020699,71020685,71020687,71020689,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71021403,71021413,10,71021413,71021441,71021443,1,1,1,1,71021407,71021413,71021417,71021405,71021407,71021409,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71022456,71022461,5,71022461,71022509,71022521,1,1,1,1,71022461,71022463,71022467,71022457,71022459,71022461,1,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71022745,71022797,52,71022797,71022803,71022823,1,1,1,1,71022751,71022761,71022767,71022747,71022749,71022751,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71022999,71023003,4,71023003,71023019,71023039,1,1,1,1,71023003,71023009,71023013,71023001,71023003,71023005,1,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71023065,71023123,58,71023123,71023151,71023153,1,1,1,1,71023067,71023079,71023081,71023067,71023069,71023071,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71023535,71023543,8,71023543,71023549,71023553,1,1,1,1,71023541,71023543,71023549,71023537,71023539,71023541,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71023565,71023567,2,71023567,71023583,71023591,1,1,1,1,71023567,71023571,71023573,71023567,71023569,71023571,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71023567,71023591,24,71023583,71023591,71023621,2,0,1,1,71023571,71023573,71023583,71023569,71023571,71023573,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71023701,71023717,16,71023717,71023723,71023727,1,1,1,1,71023703,71023709,71023717,71023703,71023705,71023707,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71023899,71023913,14,71023913,71023921,71023933,1,1,1,1,71023903,71023907,71023913,71023901,71023903,71023905,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71023926,71023933,7,71023933,71023937,71023961,1,1,1,1,71023933,71023937,71023949,71023927,71023929,71023931,1,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71023936,71023937,1,71023937,71023961,71023969,1,1,1,1,71023937,71023949,71023951,71023937,71023939,71023941,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71024157,71024189,32,71024189,71024197,71024237,1,1,1,1,71024159,71024167,71024171,71024159,71024161,71024163,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71024195,71024197,2,71024197,71024237,71024243,1,1,1,1,71024197,71024201,71024203,71024197,71024199,71024201,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71024267,71024279,12,71024279,71024281,71024297,1,1,1,1,71024269,71024273,71024279,71024269,71024271,71024273,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71024593,71024609,16,71024609,71024617,71024633,1,1,1,1,71024599,71024609,71024617,71024595,71024597,71024599,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71024669,71024671,2,71024671,71024711,71024743,1,1,1,1,71024671,71024677,71024687,71024671,71024673,71024675,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71025091,71025103,12,71025103,71025107,71025151,1,1,1,1,71025103,71025107,71025109,71025093,71025095,71025097,1,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71025232,71025271,39,71025233,71025271,71025281,2,0,1,1,71025233,71025239,71025247,71025233,71025235,71025237,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71025263,71025271,8,71025271,71025281,71025299,1,1,1,1,71025271,71025277,71025281,71025265,71025267,71025269,1,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71025398,71025419,21,71025419,71025431,71025443,1,1,1,1,71025407,71025413,71025419,71025399,71025401,71025403,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71025593,71025613,20,71025613,71025683,71025697,1,1,1,1,71025599,71025601,71025607,71025595,71025597,71025599,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71025996,71026003,7,71026003,71026013,71026031,1,1,1,1,71026003,71026013,71026019,71025997,71025999,71026001,1,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71026288,71026303,15,71026303,71026327,71026339,1,1,1,1,71026297,71026301,71026303,71026289,71026291,71026293,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71026420,71026441,21,71026441,71026453,71026463,1,1,1,1,71026421,71026429,71026433,71026421,71026423,71026425,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71026775,71026793,18,71026793,71026811,71026817,1,1,1,1,71026777,71026789,71026793,71026777,71026779,71026781,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71027284,71027291,7,71027291,71027311,71027317,1,1,1,1,71027287,71027291,71027303,71027285,71027287,71027289,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71027293,71027311,18,71027311,71027317,71027323,1,1,1,1,71027303,71027311,71027317,71027295,71027297,71027299,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71027809,71027813,4,71027813,71027821,71027837,1,1,1,1,71027813,71027821,71027837,71027811,71027813,71027815,1,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71027873,71027893,20,71027893,71027911,71027923,1,1,1,1,71027881,71027893,71027897,71027875,71027877,71027879,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71028613,71028689,76,71028679,71028689,71028691,2,0,1,1,71028619,71028637,71028641,71028615,71028617,71028619,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71028727,71028731,4,71028731,71028751,71028757,1,1,1,1,71028731,71028733,71028739,71028729,71028731,71028733,1,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71028838,71028857,19,71028857,71028931,71028943,1,1,1,1,71028847,71028851,71028857,71028839,71028841,71028843,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71028971,71028983,12,71028983,71028989,71029001,1,1,1,1,71028977,71028983,71028989,71028973,71028975,71028977,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71029167,71029177,10,71029177,71029183,71029187,1,1,1,1,71029169,71029171,71029177,71029169,71029171,71029173,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71029176,71029177,1,71029177,71029183,71029187,1,1,1,1,71029177,71029181,71029183,71029177,71029179,71029181,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71029475,71029477,2,71029477,71029481,71029499,1,1,1,1,71029477,71029481,71029487,71029477,71029479,71029481,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71029928,71029991,63,71029991,71029997,71030009,1,1,1,1,71029939,71029943,71029949,71029929,71029931,71029933,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71030117,71030119,2,71030119,71030143,71030147,1,1,1,1,71030119,71030123,71030129,71030119,71030121,71030123,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71030188,71030191,3,71030191,71030209,71030213,1,1,1,1,71030191,71030203,71030207,71030189,71030191,71030193,1,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71030329,71030339,10,71030339,71030353,71030357,1,1,1,1,71030339,71030347,71030353,71030331,71030333,71030335,1,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71030495,71030497,2,71030497,71030503,71030521,1,1,1,1,71030497,71030501,71030503,71030497,71030499,71030501,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71031041,71031047,6,71031047,71031071,71031073,1,1,1,1,71031043,71031047,71031053,71031043,71031045,71031047,0,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71031174,71031193,19,71031193,71031211,71031223,1,1,1,1,71031187,71031193,71031197,71031175,71031177,71031179,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71031236,71031271,35,71031271,71031283,71031299,1,1,1,1,71031239,71031241,71031251,71031237,71031239,71031241,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71031686,71031707,21,71031691,71031707,71031731,2,0,1,1,71031689,71031691,71031703,71031687,71031689,71031691,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71031948,71031953,5,71031953,71031959,71032009,1,1,1,1,71031949,71031953,71031959,71031949,71031951,71031953,0,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71032403,71032411,8,71032411,71032417,71032427,1,1,1,1,71032411,71032417,71032421,71032405,71032407,71032409,1,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71032805,71032813,8,71032813,71032837,71032847,1,1,1,1,71032807,71032813,71032823,71032807,71032809,71032811,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71032862,71032867,5,71032867,71032877,71032891,1,1,1,1,71032867,71032873,71032877,71032863,71032865,71032867,1,1,1,0,0,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71033164,71033173,9,71033173,71033189,71033233,1,1,1,1,71033167,71033173,71033189,71033165,71033167,71033169,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71033553,71033569,16,71033569,71033579,71033597,1,1,1,1,71033561,71033563,71033569,71033555,71033557,71033559,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71034491,71034499,8,71034499,71034503,71034527,1,1,1,1,71034493,71034497,71034499,71034493,71034495,71034497,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71034963,71034967,4,71034967,71034989,71035009,1,1,1,1,71034967,71034973,71034979,71034965,71034967,71034969,1,1,1,0,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71035007,71035009,2,71035009,71035021,71035031,1,1,1,1,71035009,71035021,71035031,71035009,71035011,71035013,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71036606,71036617,11,71036617,71036621,71036639,1,1,1,1,71036617,71036621,71036629,71036607,71036609,71036611,1,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71036782,71036783,1,71036783,71036803,71036809,1,1,1,1,71036783,71036789,71036803,71036783,71036785,71036787,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71037119,71037139,20,71037139,71037149,71037157,1,1,1,1,71037121,71037137,71037139,71037121,71037123,71037125,0,0,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71037121,71037139,18,71037139,71037149,71037157,1,1,1,1,71037137,71037139,71037149,71037123,71037125,71037127,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71037895,71037929,34,71037899,71037929,71037937,2,0,1,1,71037899,71037913,71037919,71037897,71037899,71037901,0,0,0,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71037936,71037937,1,71037937,71037973,71037991,1,1,1,1,71037937,71037943,71037947,71037937,71037939,71037941,1,1,1,1,1,1,3.5,780,647,0.9997626844934906,1.0002373155065094
low,71038103,71038111,8,71038111,71038129,71038159,1,1,1,1,71038109,71038111,71038117,71038105,71038107,71038109,0,1,1,0,0,0,3.5,780,647,0.9997626844934906,1.0002373155065094
