rung,signal,window,bin_left_k,bin_right_k,frequency,period,power_fraction,normalized_mean_power
r9,raw_prime_indicator,hann,4707629,4851612,0.4779078294812505,2.0924536873259836,0.02382604378715164,0.8273851187337358
r9,raw_prime_indicator,hann,4851613,5000000,0.49252477095065994,2.030354733366655,0.1043582649304956,3.51639839240692
r9,p29_connection_residual,hann,1,1,1e-07,10000000.0,4.6185231825449466e-08,0.23092615912724734
r9,p29_connection_residual,hann,2,2,2e-07,5000000.0,4.403208974850805e-08,0.22016044874254023
r9,p29_connection_residual,hann,3,3,3e-07,3333333.3333333335,7.841710406266662e-08,0.3920855203133331
r9,p29_connection_residual,hann,4,4,4e-07,2500000.0,1.45050216565052e-07,0.7252510828252601
r9,p29_connection_residual,hann,5,5,5e-07,2000000.0,2.964106147861256e-07,1.4820530739306281
r9,p29_connection_residual,hann,6,6,6e-07,1666666.6666666667,2.0014174919878797e-07,1.0007087459939399
r9,p29_connection_residual,hann,7,7,7e-07,1428571.4285714286,2.494735676490469e-07,1.2473678382452342
r9,p29_connection_residual,hann,8,8,8e-07,1250000.0,6.442495571970738e-08,0.32212477859853694
r9,p29_connection_residual,hann,9,9,9e-07,1111111.111111111,1.5977114222245062e-08,0.07988557111122531
r9,p29_connection_residual,hann,10,10,1e-06,1000000.0,3.871178236098528e-08,0.19355891180492638
r9,p29_connection_residual,hann,11,11,1.1e-06,909090.9090909091,3.1327018104866164e-07,1.566350905243308
r9,p29_connection_residual,hann,12,12,1.2e-06,833333.3333333334,2.697149298388461e-07,1.3485746491942305
r9,p29_connection_residual,hann,13,13,1.3e-06,769230.7692307692,2.026929870664895e-07,1.0134649353324474
r9,p29_connection_residual,hann,14,14,1.4e-06,714285.7142857143,4.1835116803276126e-08,0.20917558401638064
r9,p29_connection_residual,hann,15,15,1.5e-06,666666.6666666666,5.01248611875469e-08,0.2506243059377345
r9,p29_connection_residual,hann,16,16,1.6e-06,625000.0,1.267083523674785e-09,0.006335417618373924
r9,p29_connection_residual,hann,17,17,1.7e-06,588235.2941176471,6.935775048704659e-08,0.34678875243523294
r9,p29_connection_residual,hann,18,18,1.8e-06,555555.5555555555,2.039305820168529e-07,1.0196529100842646
r9,p29_connection_residual,hann,19,19,1.9e-06,526315.7894736842,3.542570787647638e-07,1.7712853938238189
r9,p29_connection_residual,hann,20,20,2e-06,500000.0,2.533507829243982e-07,1.266753914621991
r9,p29_connection_residual,hann,21,21,2.1e-06,476190.4761904762,1.8232450207860652e-07,0.9116225103930327
r9,p29_connection_residual,hann,22,22,2.2e-06,454545.45454545453,1.195704711116297e-08,0.059785235555814845
r9,p29_connection_residual,hann,23,23,2.3e-06,434782.60869565216,1.1660837129957664e-07,0.5830418564978832
r9,p29_connection_residual,hann,24,24,2.4e-06,416666.6666666667,6.909314597230627e-08,0.34546572986153135
r9,p29_connection_residual,hann,25,25,2.5e-06,400000.0,2.0382122490857566e-07,1.0191061245428783
r9,p29_connection_residual,hann,26,26,2.6e-06,384615.3846153846,1.0038112319645542e-07,0.5019056159822771
r9,p29_connection_residual,hann,27,27,2.7e-06,370370.3703703704,5.498251791204365e-08,0.27491258956021825
r9,p29_connection_residual,hann,28,28,2.8e-06,357142.85714285716,1.2399095812076593e-07,0.6199547906038296
r9,p29_connection_residual,hann,29,29,2.9e-06,344827.5862068966,6.060494570222675e-08,0.3030247285111337
r9,p29_connection_residual,hann,30,30,3e-06,333333.3333333333,1.1939178954884306e-07,0.5969589477442153
r9,p29_connection_residual,hann,31,31,3.1e-06,322580.6451612903,2.3141300410034577e-07,1.1570650205017288
r9,p29_connection_residual,hann,32,32,3.2e-06,312500.0,2.1661679215288054e-08,0.10830839607644027
r9,p29_connection_residual,hann,33,33,3.3e-06,303030.30303030304,1.2585431844848412e-07,0.6292715922424206
r9,p29_connection_residual,hann,34,34,3.4e-06,294117.64705882355,1.5736006769143637e-08,0.07868003384571819
r9,p29_connection_residual,hann,35,35,3.5e-06,285714.28571428574,2.3402294868916864e-07,1.1701147434458432
r9,p29_connection_residual,hann,36,36,3.6e-06,277777.77777777775,3.385999618597339e-07,1.6929998092986696
r9,p29_connection_residual,hann,37,37,3.7e-06,270270.2702702703,1.473134561332213e-07,0.7365672806661064
r9,p29_connection_residual,hann,38,38,3.8e-06,263157.8947368421,1.938950355128592e-08,0.09694751775642958
r9,p29_connection_residual,hann,39,40,3.9496835316263e-06,253184.84177091668,1.0919941993009993e-07,0.2729985498252498
r9,p29_connection_residual,hann,41,41,4.1e-06,243902.43902439025,1.4558243658552673e-08,0.07279121829276336
r9,p29_connection_residual,hann,42,42,4.2e-06,238095.2380952381,9.060074037413437e-09,0.04530037018706718
r9,p29_connection_residual,hann,43,44,4.349712634186309e-06,229900.24493585143,1.236174121577161e-07,0.3090435303942902
r9,p29_connection_residual,hann,45,45,4.5e-06,222222.22222222222,9.553783651089375e-08,0.47768918255446874
r9,p29_connection_residual,hann,46,46,4.6e-06,217391.30434782608,2.033407191108176e-07,1.016703595554088
r9,p29_connection_residual,hann,47,48,4.749736834815167e-06,210537.98026662975,1.0255089941666167e-07,0.25637724854165417
r9,p29_connection_residual,hann,49,49,4.9e-06,204081.6326530612,8.439238766091908e-08,0.4219619383045954
r9,p29_connection_residual,hann,50,51,5.049752469181039e-06,198029.50859533486,2.5134600938423327e-07,0.6283650234605831
r9,p29_connection_residual,hann,52,52,5.2e-06,192307.6923076923,1.254406379866153e-08,0.06272031899330766
r9,p29_connection_residual,hann,53,54,5.349766350038102e-06,186924.05136401477,2.3776694089216544e-07,0.5944173522304136
r9,p29_connection_residual,hann,55,56,5.5497747702046435e-06,180187.4925391118,3.8065166549512e-07,0.9516291637378
r9,p29_connection_residual,hann,57,57,5.7e-06,175438.59649122806,7.102828749156218e-08,0.3551414374578109
r9,p29_connection_residual,hann,58,59,5.849786320883867e-06,170946.41498783944,3.6669753805933395e-07,0.9167438451483348
r9,p29_connection_residual,hann,60,61,6.04979338490167e-06,165294.90122682156,8.558377196691162e-07,2.1395942991727903
r9,p29_connection_residual,hann,62,63,6.2497999967998975e-06,160005.1202457731,5.962613185304097e-07,1.4906532963260242
r9,p29_connection_residual,hann,64,65,6.449806198638839e-06,155043.41823651057,1.6099975378880093e-06,4.024993844720023
r9,p29_connection_residual,hann,66,67,6.64981202741852e-06,150380.19057934236,3.652096295628398e-07,0.9130240739070995
r9,p29_connection_residual,hann,68,69,6.8498175158174835e-06,145989.29061844596,3.998371155138336e-07,0.999592788784584
r9,p29_connection_residual,hann,70,71,7.049822692805827e-06,141847.5390906605,5.01452021805333e-07,1.2536300545133323
r9,p29_connection_residual,hann,72,73,7.249827584156743e-06,137934.31476706133,2.319279197983454e-07,0.5798197994958635
r9,p29_connection_residual,hann,74,76,7.49933330370107e-06,133345.18676566624,1.6518641677277355e-07,0.2753106946212892
r9,p29_connection_residual,hann,77,78,7.749838707999025e-06,129034.9435231273,2.2247172828544465e-07,0.5561793207136116
r9,p29_connection_residual,hann,79,80,7.949842765740716e-06,125788.6513566569,1.360671047984248e-07,0.340167761996062
r9,p29_connection_residual,hann,81,83,8.199390221229868e-06,121960.28887743372,3.7804186658058604e-07,0.63006977763431
r9,p29_connection_residual,hann,84,85,8.449852069711044e-06,118345.26708278772,5.609504192698617e-07,1.402376048174654
r9,p29_connection_residual,hann,86,88,8.699425268372618e-06,114950.12246792571,2.729831515680375e-07,0.45497191928006253
r9,p29_connection_residual,hann,89,91,8.99944442729661e-06,111117.97045680466,3.828548620001591e-07,0.6380914366669319
r9,p29_connection_residual,hann,92,94,9.299462350050136e-06,107533.09840483507,3.909694690825977e-07,0.6516157818043294
r9,p29_connection_residual,hann,95,96,9.549869109050659e-06,104713.47707292387,1.887367802057944e-07,0.471841950514486
r9,p29_connection_residual,hann,97,99,9.799489782636646e-06,102046.12915377117,1.9991029074048262e-07,0.33318381790080437
r9,p29_connection_residual,hann,100,102,1.0099504938362077e-05,99014.75429766743,7.666474552446539e-07,1.2777457587410899
r9,p29_connection_residual,hann,103,106,1.0448923389517219e-05,95703.6397647666,3.6394573990537274e-07,0.4549321748817159
r9,p29_connection_residual,hann,107,109,1.079953702711371e-05,92596.56200903462,1.8852000365338717e-07,0.3142000060889786
r9,p29_connection_residual,hann,110,112,1.1099549540409287e-05,90093.7462695559,1.4041173103933105e-07,0.23401955173221842
r9,p29_connection_residual,hann,113,116,1.144901742508937e-05,87343.739892351,1.405978471830176e-06,1.7574730897877198
r9,p29_connection_residual,hann,117,119,1.1799576263578282e-05,84748.80603015357,1.84851688243321e-07,0.30808614707220167
r9,p29_connection_residual,hann,120,123,1.2149074038789953e-05,82310.79972079913,1.832698267630957e-07,0.2290872834538696
r9,p29_connection_residual,hann,124,127,1.2549103553640793e-05,79686.96693955292,3.7558432357758503e-07,0.4694804044719813
r9,p29_connection_residual,hann,128,131,1.2949131244990918e-05,77225.25790190193,4.552675796555783e-07,0.5690844745694729
r9,p29_connection_residual,hann,132,135,1.3349157276772191e-05,74911.09582924913,8.624086276263003e-07,1.0780107845328755
r9,p29_connection_residual,hann,136,139,1.3749181793837769e-05,72731.60068682698,1.4162668058021638e-06,1.7703335072527047
r9,p29_connection_residual,hann,140,143,1.4149204924659193e-05,70675.34927402195,1.872424664365306e-07,0.23405308304566325
r9,p29_connection_residual,hann,144,148,1.4598630072715727e-05,68499.57804389887,1.1408860751616011e-07,0.11408860751616011
r9,p29_connection_residual,hann,149,152,1.5049252473129687e-05,66448.48319114132,1.3062544875297915e-07,0.16328181094122393
r9,p29_connection_residual,hann,153,157,1.5498709623707387e-05,64521.50045255147,1.4499689650529682e-06,1.4499689650529681
r9,p29_connection_residual,hann,158,162,1.599874995116806e-05,62504.88338477911,2.0414172898426766e-06,2.0414172898426766
r9,p29_connection_residual,hann,163,167,1.6498787834262248e-05,60610.513332582384,1.0703078998988963e-06,1.0703078998988962
r9,p29_connection_residual,hann,168,172,1.6998823488700623e-05,58827.60066687646,6.702779821545227e-07,0.6702779821545226
r9,p29_connection_residual,hann,173,177,1.7498857105536922e-05,57146.589286884555,1.0184860048348705e-06,1.0184860048348705
r9,p29_connection_residual,hann,178,182,1.799888885459322e-05,55558.98522840233,2.207414693316702e-07,0.22074146933167021
r9,p29_connection_residual,hann,183,188,1.8548315287378527e-05,53913.252201425785,1.0555644329013532e-06,0.8796370274177944
r9,p29_connection_residual,hann,189,194,1.9148368076679538e-05,52223.77155042693,8.589107572954418e-07,0.7157589644128681
r9,p29_connection_residual,hann,195,200,1.9748417658131497e-05,50636.96835418333,8.511058784020644e-07,0.709254898668387
r9,p29_connection_residual,hann,201,206,2.0348464315520225e-05,49143.757705453856,9.386768538679621e-07,0.782230711556635
r9,p29_connection_residual,hann,207,212,2.094850830011531e-05,47736.095843850395,4.976839944387201e-07,0.4147366620322667
r9,p29_connection_residual,hann,213,219,2.1597916566187582e-05,46300.762248778236,6.501960754789412e-07,0.46442576819924375
r9,p29_connection_residual,hann,220,226,2.2297981971469975e-05,44847.107746319336,5.490291608278101e-07,0.3921636863055787
r9,p29_connection_residual,hann,227,232,2.2948638303829708e-05,43575.57022601721,5.776835794723966e-07,0.4814029828936638
r9,p29_connection_residual,hann,233,240,2.3647410006171923e-05,42287.92919558641,1.7384228928092783e-06,1.086514308005799
r9,p29_connection_residual,hann,241,247,2.4398155668000807e-05,40986.704634872935,1.4007741068549051e-06,1.0005529334677894
r9,p29_connection_residual,hann,248,255,2.514756449439985e-05,39765.28224920912,1.358095245568171e-06,0.8488095284801069
