cell,progress,q_end,entity,observed_survival,observed_phase,model,predicted_survival,predicted_phase
10,0.4166666666666667,1453,edge,0.23448349688564948,2.1306155276362615,home_r10,0.2681759891356133,2.052904426420496
10,0.4166666666666667,1453,edge,0.23448349688564948,2.1306155276362615,direct_log_rung,0.23053675577617921,2.1399584955186786
10,0.4166666666666667,1453,edge,0.23448349688564948,2.1306155276362615,circle_secant_rho1,0.22655071356201678,2.1494515342765887
10,0.4166666666666667,1453,edge,0.23448349688564948,2.1306155276362615,circle_shared_rho_primary,0.23328361166684763,2.1334501341843386
10,0.4166666666666667,1453,edge,0.23448349688564948,2.1306155276362615,circle_edge_rho_sensitivity,0.23378067549662718,2.132275258514329
10,0.4166666666666667,1453,edge,0.23448349688564948,2.1306155276362615,circle_candidate_plus_j_secondary,0.2340713010826984,2.1315887289196507
11,0.4583333333333333,2131,candidate,0.46212457846440463,1.6466198030330446,home_r10,0.49603614522974315,1.5787241193786383
11,0.4583333333333333,2131,candidate,0.46212457846440463,1.6466198030330446,direct_log_rung,0.4597483402714552,1.6513868549335142
11,0.4583333333333333,2131,candidate,0.46212457846440463,1.6466198030330446,circle_secant_rho1,0.45690848239326026,1.6570864078229282
11,0.4583333333333333,2131,candidate,0.46212457846440463,1.6466198030330446,circle_shared_rho_primary,0.46338152749657535,1.6440988998862804
11,0.4583333333333333,2131,candidate,0.46212457846440463,1.6466198030330446,circle_candidate_rho_sensitivity,0.46271672818689935,1.645432144326089
11,0.4583333333333333,2131,edge,0.2119709572852369,2.184694323896432,home_r10,0.24421621775624458,2.1078044835230463
11,0.4583333333333333,2131,edge,0.2119709572852369,2.184694323896432,direct_log_rung,0.20983304519426854,2.189934975245272
11,0.4583333333333333,2131,edge,0.2119709572852369,2.184694323896432,circle_secant_rho1,0.20630719155659993,2.198620969576197
11,0.4583333333333333,2131,edge,0.2119709572852369,2.184694323896432,circle_shared_rho_primary,0.21243092370566158,2.1835693438923416
11,0.4583333333333333,2131,edge,0.2119709572852369,2.184694323896432,circle_edge_rho_sensitivity,0.21288313262947767,2.1824642037978434
11,0.4583333333333333,2131,edge,0.2119709572852369,2.184694323896432,circle_candidate_plus_j_secondary,0.21315561375829503,2.181798708674019
12,0.5,3137,candidate,0.4412217286332848,1.6886253302346852,home_r10,0.47496999947957314,1.6208772598741206
12,0.5,3137,candidate,0.4412217286332848,1.6886253302346852,direct_log_rung,0.4375246071747747,1.6960745547160923
12,0.5,3137,candidate,0.4412217286332848,1.6886253302346852,circle_secant_rho1,0.43448531259972906,1.702203562196138
12,0.5,3137,candidate,0.4412217286332848,1.6886253302346852,circle_shared_rho_primary,0.44117233474834133,1.688724808348663
12,0.5,3137,candidate,0.4412217286332848,1.6886253302346852,circle_candidate_rho_sensitivity,0.44048535957291135,1.6901084820842522
12,0.5,3137,edge,0.19321700240392964,2.2313649936253683,home_r10,0.2238748063040034,2.155857506302887
12,0.5,3137,edge,0.19321700240392964,2.2313649936253683,direct_log_rung,0.1899908406643777,2.239562377942692
12,0.5,3137,edge,0.19321700240392964,2.2313649936253683,circle_secant_rho1,0.18633702735998048,2.248911021294637
12,0.5,3137,edge,0.19321700240392964,2.2313649936253683,circle_shared_rho_primary,0.19237923396117151,2.2334886377925582
12,0.5,3137,edge,0.19321700240392964,2.2313649936253683,circle_edge_rho_sensitivity,0.19282577360566433,2.2323562754339092
12,0.5,3137,edge,0.19321700240392964,2.2313649936253683,circle_candidate_plus_j_secondary,0.19316798558461953,2.2314891488608235
13,0.5416666666666666,4603,candidate,0.4228518895289951,1.7257114312341735,home_r10,0.4568127994116517,1.6572784900536282
13,0.5416666666666666,4603,candidate,0.4228518895289951,1.7257114312341735,direct_log_rung,0.42075205610365646,1.7299634247176356
13,0.5416666666666666,4603,candidate,0.4228518895289951,1.7257114312341735,circle_secant_rho1,0.41792684086006215,1.7356888553942793
13,0.5416666666666666,4603,candidate,0.4228518895289951,1.7257114312341735,circle_shared_rho_primary,0.4243431934251186,1.7226933793509638
13,0.5416666666666666,4603,candidate,0.4228518895289951,1.7257114312341735,circle_candidate_rho_sensitivity,0.4236839100643285,1.7240274417640096
13,0.5416666666666666,4603,edge,0.1774613529438676,2.2719207604737983,home_r10,0.20708850581444121,2.196691496917927
13,0.5416666666666666,4603,edge,0.1774613529438676,2.2719207604737983,direct_log_rung,0.17573792253847292,2.2764403030998746
13,0.5416666666666666,4603,edge,0.1774613529438676,2.2719207604737983,circle_secant_rho1,0.17243564273137213,2.2851493007951804
13,0.5416666666666666,4603,edge,0.1774613529438676,2.2719207604737983,circle_shared_rho_primary,0.17800885463162758,2.2704885953369547
13,0.5416666666666666,4603,edge,0.1774613529438676,2.2719207604737983,circle_edge_rho_sensitivity,0.17842080016368383,2.269412157897184
13,0.5416666666666666,4603,edge,0.1774613529438676,2.2719207604737983,circle_candidate_plus_j_secondary,0.17874147794143552,2.26857488164166
14,0.5833333333333334,6763,candidate,0.40611132887372964,1.7596950704223664,home_r10,0.4397748970130916,1.691539704524829
14,0.5833333333333334,6763,candidate,0.40611132887372964,1.7596950704223664,direct_log_rung,0.40440318736377795,1.7631743883433622
14,0.5833333333333334,6763,candidate,0.40611132887372964,1.7596950704223664,circle_secant_rho1,0.401668201084568,1.7687502224382594
14,0.5833333333333334,6763,candidate,0.40611132887372964,1.7596950704223664,circle_shared_rho_primary,0.40794943707011416,1.7559536051609799
14,0.5833333333333334,6763,candidate,0.40611132887372964,1.7596950704223664,circle_candidate_rho_sensitivity,0.4073039193813992,1.7572672535465297
14,0.5833333333333334,6763,edge,0.16368604858871272,2.3085507199269135,home_r10,0.1919275580929709,2.2346350438479194
14,0.5833333333333334,6763,edge,0.16368604858871272,2.3085507199269135,direct_log_rung,0.16233226141453613,2.3122158120344323
14,0.5833333333333334,6763,edge,0.16368604858871272,2.3085507199269135,circle_secant_rho1,0.15921702221001305,2.32069682949138
14,0.5833333333333334,6763,edge,0.16368604858871272,2.3085507199269135,circle_shared_rho_primary,0.16447025218915923,2.3064332322142134
14,0.5833333333333334,6763,edge,0.16368604858871272,2.3085507199269135,circle_edge_rho_sensitivity,0.16485866481698486,2.305385951769306
14,0.5833333333333334,6763,edge,0.16368604858871272,2.3085507199269135,circle_candidate_plus_j_secondary,0.16518550253115885,2.3045054632757354
15,0.625,9949,candidate,0.38940324109157,1.79383446000833,home_r10,0.4223400266645968,1.7267476490722546
15,0.625,9949,candidate,0.38940324109157,1.79383446000833,direct_log_rung,0.3874479997677538,1.7978461016309981
15,0.625,9949,candidate,0.38940324109157,1.79383446000833,circle_secant_rho1,0.3847614129118323,1.8033643574189204
15,0.625,9949,candidate,0.38940324109157,1.79383446000833,circle_shared_rho_primary,0.3909487059663929,1.7906661561860715
15,0.625,9949,candidate,0.38940324109157,1.79383446000833,circle_candidate_rho_sensitivity,0.3903127169745897,1.7919697015830676
