task,baseline_model,ara_model,block,start,end,events,baseline_loss_bits,ara_loss_bits,delta_bits
edge,edge_hl29,ara_edge_b12_l64,16,104000000,104250000,39486,0.5301505486858272,0.5301625983035345,-1.204961770728504e-05
edge,edge_hl29,ara_edge_b12_l64,17,104250000,104500000,39486,0.5190594609820455,0.5192266964551091,-0.0001672354730636008
edge,edge_hl29,ara_edge_b12_l64,18,104500000,104750000,39486,0.5102577181273842,0.5102542630994186,3.4550279656094547e-06
edge,edge_hl29,ara_edge_b12_l64,19,104750000,105000000,39489,0.5236195797761959,0.5236383298990015,-1.8750122805659954e-05
edge,edge_hl29,ara_edge_b12_l64,20,105000000,105250000,39483,0.5242641058829892,0.524345378055496,-8.127217250677326e-05
edge,edge_hl29,ara_edge_b12_l64,21,105250000,105500000,39492,0.517453782265535,0.5174800505708603,-2.6268305325328625e-05
edge,edge_hl29,ara_edge_b12_l64,22,105500000,105750000,39480,0.515779883622727,0.5158181185447249,-3.823492199790919e-05
edge,edge_hl29,ara_edge_b12_l64,23,105750000,106000000,39491,0.5218280841837859,0.5218283980826026,-3.138988167408205e-07
edge,edge_hl29,ara_edge_b12_l64,24,106000000,106250000,39485,0.5244717274423116,0.52451727691228,-4.5549469968333286e-05
edge,edge_hl29,ara_edge_b12_l64,25,106250000,106500000,39490,0.5242804499586713,0.5243315785829913,-5.112862432000701e-05
edge,edge_hl29,ara_edge_b12_l64,26,106500000,106750000,39486,0.5243899493353397,0.5244202389808773,-3.0289645537583746e-05
edge,edge_hl29,ara_edge_b12_l64,27,106750000,107000000,39487,0.5153477507258319,0.5153646384781482,-1.688775231623029e-05
edge,edge_hl29,ara_edge_b12_l64,28,107000000,107250000,39487,0.5251239785806731,0.5251655886272634,-4.1610046590357314e-05
edge,edge_hl29,ara_edge_b12_l64,29,107250000,107500000,39489,0.521033276078525,0.5210713752005522,-3.8099122027301406e-05
edge,edge_hl29,ara_edge_b12_l64,30,107500000,107750000,39485,0.5146964093604284,0.5147785347450888,-8.212538466049045e-05
edge,edge_hl29,ara_edge_b12_l64,31,107750000,108000000,39486,0.5125383128501253,0.5126173577877693,-7.904493764401656e-05
edge,edge_hl29,ara_edge_b12_l64,32,108000000,108250000,39492,0.5203413310065204,0.5203189231598226,2.240784669772359e-05
edge,edge_hl29,ara_edge_b12_l64,33,108250000,108500000,39484,0.5305656418319885,0.5306420274430788,-7.638561109023753e-05
edge,edge_hl29,ara_edge_b12_l64,34,108500000,108750000,39486,0.5161680786471655,0.5162248678365708,-5.678918940536161e-05
edge,edge_hl29,ara_edge_b12_l64,35,108750000,109000000,39487,0.51890244968602,0.5189496821454205,-4.723245940053458e-05
edge,edge_hl29,ara_edge_b12_l64,36,109000000,109250000,39484,0.5218951073460347,0.5219599025041304,-6.479515809566879e-05
edge,edge_hl29,ara_edge_b12_l64,37,109250000,109500000,39488,0.521341532937636,0.5213869757719367,-4.544283430070468e-05
edge,edge_hl29,ara_edge_b12_l64,38,109500000,109750000,39477,0.515650673470055,0.5156873241276693,-3.6650657614225705e-05
edge,edge_hl29,ara_edge_b12_l64,39,109750000,110000000,39497,0.5212637117373735,0.5213070596536638,-4.3347916290316215e-05
