n,label_prime,parent_empirical,buchstab_parent,ara_compact,raw_compact,ara_full,raw_full,ara_order_scrambled
4000799611,1,0.83652125558747836,0.83286783276999121,0.83684505464548864,0.83931183268184761,0.83325224771527173,0.83500269916194292,0.83141314416898704
4000799641,1,0.83652125558747836,0.83286783276999121,0.83687795258548126,0.8393376847429509,0.83329452621177258,0.83502975805376523,0.83667389327866803
4000799651,1,0.83652125558747836,0.83286783276999121,0.83688894133585523,0.83934630134925969,0.83330866602619735,0.83503877689303652,0.83753946084084196
4000799687,1,0.83652125558747836,0.83286783276999121,0.83692859506593764,0.83937731803790749,0.83335976376078191,0.83507124143842149,0.83756397438326324
4000799701,1,0.83652125558747836,0.83286783276999121,0.83694405577836983,0.83938937877566289,0.83337971724224291,0.83508386515467248,0.83155494639022998
4000799707,1,0.83652125558747836,0.83286783276999121,0.83695068862164579,0.83939454743908037,0.83338828280989696,0.83508927508140496,0.83927505067956709
4000799723,0,0.83652125558747836,0.83286783276999121,0.83696839621567665,0.83940832988391156,0.83341116560150441,0.83510370085640528,0.83758873712640602
4000799729,1,0.83652125558747836,0.83286783276999121,0.8369750440667223,0.83941349805412169,0.83341976212447022,0.83510911026092738,0.83547214867526465
4000799797,1,0.83652125558747836,0.83286783276999121,0.83705067226528462,0.83947206124959106,0.83351777897333901,0.83517040689244737,0.83937218450241158
4000799801,1,0.83652125558747836,0.83286783276999121,0.83705513733786474,0.83947550560545658,0.83352357839576763,0.83517401200702901,0.83558408605921219
4000799807,1,0.83652125558747836,0.83286783276999121,0.83706183835249792,0.8394806720271798,0.83353228455159145,0.83517941956023456,0.83399264506536586
4000799819,1,0.83652125558747836,0.83286783276999121,0.83707525264095262,0.83949100446716107,0.83354972213906298,0.83519023423945105,0.83561222042298278
4000799849,1,0.83652125558747836,0.83286783276999121,0.83710885985414907,0.83951683321363613,0.83359346349868246,0.83521726844558952,0.83767736783440505
4000799861,1,0.83652125558747836,0.83286783276999121,0.83712233132729541,0.83952716377086545,0.8336110189757352,0.83522808113131453,0.83408540659808428
4000799879,0,0.83652125558747836,0.83286783276999121,0.83714256915619101,0.83954265859814514,0.83363741530636826,0.83524429909201281,0.83411644615428626
4000799897,1,0.83652125558747836,0.83286783276999121,0.8371628437178229,0.83955815221518282,0.83366388734842312,0.83526051577127891,0.83414754518555512
4000799909,1,0.83652125558747836,0.83286783276999121,0.83717638049360266,0.83956848062087042,0.83368157742352311,0.83527132617890243,0.83575379104195735
4000799939,1,0.83652125558747836,0.83286783276999121,0.83721029381274359,0.83959429928199358,0.8337259497108761,0.83529834970644035,0.8377425415363593
4000799969,1,0.83652125558747836,0.83286783276999121,0.83724430905980884,0.83962011458169694,0.83377053202848339,0.83532536967480842,0.83427253548779934
4000799977,0,0.83652125558747836,0.83286783276999121,0.83725339699997059,0.8396269980939346,0.8337824561003605,0.8353325743986254,0.83957098597783741
4000799987,1,0.83652125558747836,0.83286783276999121,0.8372647671110075,0.83963560214811306,0.83379738217510113,0.83534157994750347,0.83430393146378712
4000799989,1,0.83652125558747836,0.83286783276999121,0.8372670424911659,0.83963732291413362,0.83380037018761666,0.83534338100982708,0.83201897908122613
