anchor,rung,gates,lower,candidate,candidate_delta,true_next_prime,true_delta,location_error,candidate_is_prime,exact_next_prime,survivor_candidates_through_prime
4000071771,odd,2,4000071771,4000071773,2,4000071821,50,48,False,False,25
4000072738,odd,2,4000072737,4000072739,1,4000072751,13,12,False,False,7
4000073250,odd,2,4000073249,4000073251,1,4000073263,13,12,False,False,7
4000074494,odd,2,4000074493,4000074495,1,4000074497,3,2,False,False,2
4000075365,odd,2,4000075365,4000075367,2,4000075393,28,26,False,False,14
4000075424,odd,2,4000075423,4000075425,1,4000075433,9,8,False,False,5
4000075481,odd,2,4000075481,4000075483,2,4000075517,36,34,False,False,18
4000075762,odd,2,4000075761,4000075763,1,4000075789,27,26,False,False,14
4000075812,odd,2,4000075811,4000075813,1,4000075819,7,6,False,False,4
4000075879,odd,2,4000075879,4000075881,2,4000075901,22,20,False,False,11
4000076099,odd,2,4000076099,4000076101,2,4000076107,8,6,False,False,4
4000076240,odd,2,4000076239,4000076241,1,4000076273,33,32,False,False,17
4000077170,odd,2,4000077169,4000077171,1,4000077181,11,10,False,False,6
4000077182,odd,2,4000077181,4000077183,1,4000077187,5,4,False,False,3
4000077915,odd,2,4000077915,4000077917,2,4000077919,4,2,False,False,2
4000078604,odd,2,4000078603,4000078605,1,4000078651,47,46,False,False,24
4000079468,odd,2,4000079467,4000079469,1,4000079483,15,14,False,False,8
4000079999,odd,2,4000079999,4000080001,2,4000080043,44,42,False,False,22
4000080011,odd,2,4000080011,4000080013,2,4000080043,32,30,False,False,16
4000080267,odd,2,4000080267,4000080269,2,4000080269,2,0,True,True,1
4000080730,odd,2,4000080729,4000080731,1,4000080743,13,12,False,False,7
4000081902,odd,2,4000081901,4000081903,1,4000081907,5,4,False,False,3
4000082340,odd,2,4000082339,4000082341,1,4000082389,49,48,False,False,25
4000083291,odd,2,4000083291,4000083293,2,4000083317,26,24,False,False,13
4000083328,odd,2,4000083327,4000083329,1,4000083331,3,2,False,False,2
4000083529,odd,2,4000083529,4000083531,2,4000083583,54,52,False,False,27
4000083558,odd,2,4000083557,4000083559,1,4000083583,25,24,False,False,13
4000084013,odd,2,4000084013,4000084015,2,4000084027,14,12,False,False,7
4000084066,odd,2,4000084065,4000084067,1,4000084087,21,20,False,False,11
4000084089,odd,2,4000084089,4000084091,2,4000084103,14,12,False,False,7
4000084989,odd,2,4000084989,4000084991,2,4000084993,4,2,False,False,2
4000085008,odd,2,4000085007,4000085009,1,4000085027,19,18,False,False,10
4000085771,odd,2,4000085771,4000085773,2,4000085783,12,10,False,False,6
4000086020,odd,2,4000086019,4000086021,1,4000086049,29,28,False,False,15
4000086283,odd,2,4000086283,4000086285,2,4000086323,40,38,False,False,20
4000086442,odd,2,4000086441,4000086443,1,4000086443,1,0,True,True,1
4000086807,odd,2,4000086807,4000086809,2,4000086889,82,80,False,False,41
4000087127,odd,2,4000087127,4000087129,2,4000087129,2,0,True,True,1
4000087266,odd,2,4000087265,4000087267,1,4000087283,17,16,False,False,9
4000087859,odd,2,4000087859,4000087861,2,4000087867,8,6,False,False,4
