fold,model,cross_entropy_bits,perplexity,top1_accuracy,brier_score,test_events,active_context_rows,active_conditional_df
6,B_plus_direction,2.45344580484422,5.477227500041108,0.35431397306397305,0.769394647191826,4561920,26,286
6,B_plus_distance,2.3539791430308217,5.1123235436752665,0.3604883470117845,0.7547407083970558,4561920,38,418
6,B_plus_signed_step,2.2746032106765246,4.838645384759022,0.3772692199775533,0.7400994989558453,4561920,52,572
6,full_A_B,2.0820762746963206,4.234161431964862,0.41709981762065096,0.7030152329539244,4561920,112,1232
6,B_plus_shared_gap,1.7377238394794665,3.3350857124670505,0.4540754769921437,0.6545276831221244,4561920,95,1045
6,raw_gap_markov1,1.9082992836345205,3.75366339372996,0.37809409196127947,0.6990734958114452,4561920,20,380
7,current_B,2.55638848722069,5.88233312003957,0.31700380541526374,0.7895702250826656,4561920,12,132
7,B_plus_direction,2.4533395100582824,5.476823964116327,0.3542916140572391,0.7693745961959978,4561920,26,286
7,B_plus_distance,2.35400539100766,5.112416556659202,0.36042872299382717,0.7547416568226092,4561920,38,418
7,B_plus_signed_step,2.2748091955279044,4.8393362853153,0.3771668507996633,0.7401622877959113,4561920,52,572
7,full_A_B,2.0825376672885993,4.235515788285619,0.4170086279461279,0.7030823376437048,4561920,112,1232
7,B_plus_shared_gap,1.7378150241027166,3.335296511101741,0.45407240810886645,0.6545353036242817,4561920,94,1034
7,raw_gap_markov1,1.9083334610057898,3.7537523188758843,0.378099133698092,0.6990650332893652,4561920,20,380
8,current_B,2.556482586954086,5.88271680752369,0.3169873649691358,0.7895927325772022,4561920,12,132
8,B_plus_direction,2.453282370838509,5.476607053929352,0.3543194532126824,0.7693827650911218,4561920,26,286
8,B_plus_distance,2.354004410478879,5.112413082002585,0.36048264765712684,0.7547544886369227,4561920,38,418
8,B_plus_signed_step,2.274695952925855,4.838956442375435,0.37721617213804715,0.740147976446072,4561920,52,572
8,full_A_B,2.0824025410888267,4.235119098524915,0.4170303293350168,0.7030912031949877,4561920,112,1232
8,B_plus_shared_gap,1.7377812087255209,3.335218335891722,0.45405881734006737,0.6545274879583239,4561920,95,1045
8,raw_gap_markov1,1.9083601173512545,3.7538216767375086,0.378113820496633,0.6990832119806426,4561920,20,380
