number,theta_1_fraction,theta_13_fraction,orientation_1_13,phase_a_1_13,phase_b_1_13,tie_1_13,x_dynamic_1_13_fraction,x_dynamic_1_13_decimal,x_static_1_13_fraction,x_static_1_13_decimal,theta_3_fraction,theta_11_fraction,orientation_3_11,phase_a_3_11,phase_b_3_11,tie_3_11,x_dynamic_3_11_fraction,x_dynamic_3_11_decimal,x_static_3_11_fraction,x_static_3_11_decimal,theta_5_fraction,theta_9_fraction,orientation_5_9,phase_a_5_9,phase_b_5_9,tie_5_9,x_dynamic_5_9_fraction,x_dynamic_5_9_decimal,x_static_5_9_fraction,x_static_5_9_decimal,dynamic_rung_0_fraction,dynamic_rung_0_decimal,dynamic_epsilon_0_fraction,dynamic_epsilon_0_decimal,dynamic_rung_1_fraction,dynamic_rung_1_decimal,dynamic_rung_2_fraction,dynamic_rung_2_decimal,dynamic_ridge_distance_2_fraction,dynamic_ridge_distance_2_decimal,static_rung_0_fraction,static_rung_0_decimal,static_epsilon_0_fraction,static_epsilon_0_decimal,static_ridge_distance_2_fraction,static_ridge_distance_2_decimal,unresolved_by_declared_children
1871,0,12/13,1->13,1,13,0,52/1897,0.0274117026884555,52/1897,0.0274117026884555,2/3,1/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,1/5,8/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,472/813,0.580565805658057,-341/813,-0.419434194341943,1285/1626,0.790282902829028,2911/3252,0.895141451414514,341/3252,0.104858548585486,1824/1897,0.961518186610438,-73/1897,-0.0384818133895625,73/7588,0.00962045334739062,1
1873,0,1/13,1->13,1,13,0,52/1899,0.0273828330700369,52/1899,0.0273828330700369,1/3,3/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,3/5,1/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,15556/39879,0.390079991975727,-24323/39879,-0.609920008024273,55435/79758,0.695039995987863,135193/159516,0.847519997993932,24323/159516,0.152480002006068,38344/39879,0.961508563404298,-1535/39879,-0.038491436595702,1535/159516,0.0096228591489255,1
1875,0,3/13,1->13,1,13,0,52/1901,0.0273540241977906,52/1901,0.0273540241977906,0,5/11,3->11,3,11,0,44/1897,0.0231945176594623,44/1897,0.0231945176594623,0,1/3,5->9,5,9,0,12/631,0.0190174326465927,12/631,0.0190174326465927,158298092/6826530921,0.0231886581679486,-6668232829/6826530921,-0.976811341832051,6984829013/13653061842,0.511594329083974,20637890855/27306123684,0.755797164541987,6668232829/27306123684,0.244202835458013,158298092/6826530921,0.0231886581679486,-6668232829/6826530921,-0.976811341832051,6668232829/27306123684,0.244202835458013,0
1877,0,5/13,1->13,1,13,0,52/1903,0.0273252758801892,52/1903,0.0273252758801892,2/3,7/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,2/5,5/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,23200/39963,0.580536996721968,-16763/39963,-0.419463003278032,63163/79926,0.790268498360984,143089/159852,0.895134249180492,16763/159852,0.104865750819508,12808/13321,0.961489377674349,-513/13321,-0.0385106223256512,513/53284,0.00962765558141281,1
1879,0,7/13,1->13,1,13,0,52/1905,0.0272965879265092,52/1905,0.0272965879265092,1/3,9/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,4/5,7/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,30844/40005,0.771003624546932,-9161/40005,-0.228996375453068,70849/80010,0.885501812273466,150859/160020,0.942750906136733,9161/160020,0.0572490938632671,38464/40005,0.961479815023122,-1541/40005,-0.0385201849768779,1541/160020,0.00963004624421947,1
1881,0,9/13,1->13,1,13,0,52/1907,0.0272679601468275,52/1907,0.0272679601468275,0,0,tie,3,11,1,1,1,1,1,1/5,0,9->5,9,5,0,20/1891,0.0105764145954521,3762/1891,1.98942358540455,3742609/10818411,0.345948124914093,-7075802/10818411,-0.654051875085907,7280510/10818411,0.672974062457047,18098921/21636822,0.836487031228523,3537901/21636822,0.163512968771477,3626201/3606137,1.00556384851713,20064/3606137,0.00556384851712511,5016/3606137,0.00139096212928128,0
1883,0,11/13,1->13,1,13,0,52/1909,0.0272393923520168,52/1909,0.0272393923520168,2/3,2/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,3/5,2/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,5212/13363,0.390032178403053,-8151/13363,-0.609967821596947,18575/26726,0.695016089201527,45301/53452,0.847508044600763,8151/53452,0.152491955399237,12848/13363,0.961460749831625,-515/13363,-0.0385392501683754,515/53452,0.00963481254209384,1
1885,0,0,tie,1,13,1,1,1,1,1,1/3,4/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,0,4/9,5->9,5,9,0,36/1903,0.0189174986862848,36/1903,0.0189174986862848,11502/13321,0.863448690038285,-1819/13321,-0.136551309961715,24823/26642,0.931724345019143,51465/53284,0.965862172509571,1819/53284,0.0341378274904286,11502/13321,0.863448690038285,-1819/13321,-0.136551309961715,1819/53284,0.0341378274904286,0
1887,0,2/13,1->13,1,13,0,52/1913,0.0271824359644537,52/1913,0.0271824359644537,0,6/11,3->11,3,11,0,44/1909,0.0230487166055526,44/1909,0.0230487166055526,2/5,2/3,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,34151333/76690257,0.445315146094764,-42538924/76690257,-0.554684853905236,55420795/76690257,0.722657573047382,66055526/76690257,0.861328786523691,10634731/76690257,0.138671213476309,34151333/76690257,0.445315146094764,-42538924/76690257,-0.554684853905236,10634731/76690257,0.138671213476309,0
1889,0,4/13,1->13,1,13,0,52/1915,0.027154046997389,52/1915,0.027154046997389,2/3,8/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,4/5,8/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,12888/13405,0.961432301380082,-517/13405,-0.0385676986199179,26293/26810,0.980716150690041,53103/53620,0.990358075345021,517/53620,0.00964192465497949,12888/13405,0.961432301380082,-517/13405,-0.0385676986199179,517/53620,0.00964192465497949,1
