m,current_prime,next_prime,residue,phase_turn,phase_degrees,ara_phase_x,next_m,next_phase_turn,delta_turn,delta_degrees,distance_golden_angle,distance_thirty_six,distance_reverse_golden,distance_one_over_e,distance_three_eighths,distance_two_fifths,distance_one_fifth,distance_one_sixth,distance_one_quarter,distance_one_third,distance_one_half,distance_zero
2596,23291,23293,1629,0.06993517365732194,25.176662516635897,0.13987034731464387,2597,0.4288105764690733,0.35887540281175134,129.19514501223048,0.023090608438353755,0.25887540281175137,0.25915858593814345,0.009004038359690991,0.016124597188248657,0.04112459718824868,0.15887540281175133,0.19220873614508469,0.10887540281175134,0.025542069478418028,0.14112459718824866,0.35887540281175134
2597,23293,23297,9990,0.4288105764690733,154.37180752886638,0.8576211529381466,2598,0.2392861739093132,0.8104755974402399,291.77121507848636,0.42850958619013474,0.2895244025597601,0.1924416086903451,0.44259615626879756,0.4354755974402399,0.41047559744023987,0.3895244025597602,0.35619106922642674,0.4395244025597601,0.4771422641069066,0.3104755974402399,0.1895244025597601
2598,23297,23311,5578,0.2392861739093132,86.14302260735275,0.4785723478186264,2599,0.5929848634278119,0.3536986895184987,127.33152822665953,0.02826732173160651,0.2536986895184987,0.2643352992313961,0.014180751652943635,0.0213013104815013,0.04630131048150132,0.1536986895184987,0.18703202285183204,0.1036986895184987,0.020365356185165384,0.1463013104815013,0.3536986895184987
2599,23311,23321,13829,0.5929848634278119,213.47455083401226,1.1859697268556237,2600,0.8314828310541432,0.23849796762633135,85.8592683454793,0.14346804362377386,0.13849796762633135,0.37953602112356344,0.12938147354511098,0.13650203237366865,0.16150203237366867,0.03849796762633134,0.0718313009596647,0.011502032373668647,0.09483536570700202,0.26150203237366865,0.23849796762633135
2600,23321,23327,19396,0.8314828310541432,299.33381917949157,1.6629656621082864,2601,0.657266532379034,0.8257837013248908,297.28213247696067,0.4438176900747856,0.2742162986751092,0.20774971257499597,0.45790426015344843,0.45078370132489076,0.42578370132489074,0.3742162986751092,0.34088296534177587,0.42421629867510924,0.49245036799155745,0.32578370132489076,0.17421629867510924
2601,23327,23333,15336,0.657266532379034,236.61595165645224,1.314533064758068,2602,0.6742362569090363,0.01696972453000234,6.109100830800842,0.36499628672010287,0.08303027546999764,0.39893573578010755,0.35090971664144,0.35803027546999766,0.3830302754699977,0.18303027546999773,0.1496969421366643,0.23303027546999766,0.31636360880333103,0.48303027546999766,0.01696972453000234
2602,23333,23339,15736,0.6742362569090363,242.72505248725307,1.3484725138180726,2603,0.841974568651796,0.16773831174275966,60.38579222739348,0.21422769950734555,0.06773831174275965,0.45029567700713513,0.20014112942868267,0.20726168825724034,0.23226168825724036,0.032261688257240406,0.001071645076093003,0.08226168825724034,0.1655950215905737,0.33226168825724034,0.16773831174275966
2603,23339,23357,19666,0.841974568651796,303.11084471464653,1.683949137303592,2604,0.12764773845693012,0.28567316980513413,102.8423411298483,0.09629284144497108,0.18567316980513413,0.33236081894476066,0.0822062713663082,0.08932683019486587,0.11432683019486589,0.08567316980513412,0.11900650313846747,0.03567316980513413,0.04766016352819924,0.21432683019486587,0.28567316980513413
2604,23357,23369,2983,0.12764773845693012,45.95318584449484,0.25529547691386023,2605,0.5789225963801292,0.4512748579231991,162.45894885235168,0.06930884667309395,0.3512748579231991,0.1667591308266957,0.08339541675175677,0.0762748579231991,0.05127485792319908,0.2512748579231991,0.2846081912565325,0.2012748579231991,0.11794152458986579,0.0487251420768009,0.4512748579231991
2605,23369,23371,13530,0.5789225963801292,208.41213469684652,1.1578451927602584,2606,0.3241591521005171,0.7452365557203879,268.28516005933966,0.3632705444702828,0.35476344427961204,0.12720256697049315,0.3773571145489456,0.37023655572038794,0.3452365557203879,0.454763444279612,0.4214301109462787,0.49523655572038794,0.4119032223870546,0.24523655572038794,0.25476344427961206
