rung,entity,axis,axis_bin,coordinate_low,coordinate_high,starting_events,threshold_index,threshold_q,adult_progress,conditional_survival,global_survival,redistribution_log2
r9,edge,u,8,1.3333333333333333,1.5,83755,4,103,0.17320917637713604,0.5539728971404693,0.5545462833641244,-0.0014924803281791564
r9,edge,u,9,1.5,1.6666666666666667,6073,4,103,0.17320917637713604,0.5634776881277787,0.5545462833641244,0.023050610363637602
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,4,103,0.17320917637713604,nan,0.5545462833641244,nan
r9,edge,u,11,1.8333333333333333,2.0,0,4,103,0.17320917637713604,nan,0.5545462833641244,nan
r9,edge,u,0,0.0,0.16666666666666666,0,5,139,0.21644792739953725,nan,0.4940283614841978,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,5,139,0.21644792739953725,nan,0.4940283614841978,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,5,139,0.21644792739953725,0.49050755521115846,0.4940283614841978,-0.010318509090422739
r9,edge,u,3,0.5,0.6666666666666666,65805,5,139,0.21644792739953725,0.4937314793708685,0.4940283614841978,-0.0008672358356977373
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,5,139,0.21644792739953725,0.4947326915647391,0.4940283614841978,0.0020553675391688066
r9,edge,u,5,0.8333333333333334,1.0,306444,5,139,0.21644792739953725,0.49365952669982116,0.4940283614841978,-0.0010774985608880635
r9,edge,u,6,1.0,1.1666666666666667,608675,5,139,0.21644792739953725,0.4939598307799729,0.4940283614841978,-0.00020014188037181666
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,5,139,0.21644792739953725,0.4943581017502039,0.4940283614841978,0.0009626086189819023
r9,edge,u,8,1.3333333333333333,1.5,83755,5,139,0.21644792739953725,0.4923765745328637,0.4940283614841978,-0.004831741982871897
r9,edge,u,9,1.5,1.6666666666666667,6073,5,139,0.21644792739953725,0.5040342499588342,0.4940283614841978,0.028927903252124205
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,5,139,0.21644792739953725,nan,0.4940283614841978,nan
r9,edge,u,11,1.8333333333333333,2.0,0,5,139,0.21644792739953725,nan,0.4940283614841978,nan
r9,edge,u,0,0.0,0.16666666666666666,0,6,181,0.2545337373477131,nan,0.44773233485241215,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,6,181,0.2545337373477131,nan,0.44773233485241215,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,6,181,0.2545337373477131,0.44130182099961257,0.44773233485241215,-0.02087081172408202
r9,edge,u,3,0.5,0.6666666666666666,65805,6,181,0.2545337373477131,0.447336828508472,0.44773233485241215,-0.0012749742735778905
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,6,181,0.2545337373477131,0.4486591762686347,0.44773233485241215,0.0029834061898135534
r9,edge,u,5,0.8333333333333334,1.0,306444,6,181,0.2545337373477131,0.44758911905601023,0.44773233485241215,-0.0004615475706659447
r9,edge,u,6,1.0,1.1666666666666667,608675,6,181,0.2545337373477131,0.44729617612026124,0.44773233485241215,-0.0014060872519923143
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,6,181,0.2545337373477131,0.44853287121259644,0.44773233485241215,0.00257720624700101
r9,edge,u,8,1.3333333333333333,1.5,83755,6,181,0.2545337373477131,0.44617037788788727,0.44773233485241215,-0.005041778770978449
r9,edge,u,9,1.5,1.6666666666666667,6073,6,181,0.2545337373477131,0.4552939239255722,0.44773233485241215,0.024161693933772283
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,6,181,0.2545337373477131,nan,0.44773233485241215,nan
r9,edge,u,11,1.8333333333333333,2.0,0,6,181,0.2545337373477131,nan,0.44773233485241215,nan
r9,edge,u,0,0.0,0.16666666666666666,0,7,251,0.30169771904617315,nan,0.40040494698841256,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,7,251,0.30169771904617315,nan,0.40040494698841256,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,7,251,0.30169771904617315,0.3936458736923673,0.40040494698841256,-0.024561443162697014
r9,edge,u,3,0.5,0.6666666666666666,65805,7,251,0.30169771904617315,0.3991641972494491,0.40040494698841256,-0.004477473762164314
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,7,251,0.30169771904617315,0.40085710758054305,0.40040494698841256,0.0016282560979304188
r9,edge,u,5,0.8333333333333334,1.0,306444,7,251,0.30169771904617315,0.40030804975786766,0.40040494698841256,-0.0003491716888160347
r9,edge,u,6,1.0,1.1666666666666667,608675,7,251,0.30169771904617315,0.40019386372037624,0.40040494698841256,-0.0007607525442049401
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,7,251,0.30169771904617315,0.40145301424001006,0.40040494698841256,0.0037713469480986405
r9,edge,u,8,1.3333333333333333,1.5,83755,7,251,0.30169771904617315,0.3982926392454182,0.40040494698841256,-0.007630980894743849
r9,edge,u,9,1.5,1.6666666666666667,6073,7,251,0.30169771904617315,0.4091882101103244,0.40040494698841256,0.031304778758682525
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,7,251,0.30169771904617315,nan,0.40040494698841256,nan
r9,edge,u,11,1.8333333333333333,2.0,0,7,251,0.30169771904617315,nan,0.40040494698841256,nan
r9,edge,u,0,0.0,0.16666666666666666,0,8,337,0.34419862873899226,nan,0.3632987351421303,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,8,337,0.34419862873899226,nan,0.3632987351421303,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,8,337,0.34419862873899226,0.3583882216195273,0.3632987351421303,-0.01963311868995967
r9,edge,u,3,0.5,0.6666666666666666,65805,8,337,0.34419862873899226,0.36267760808449206,0.3632987351421303,-0.002468667616589458
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,8,337,0.34419862873899226,0.36357770723722205,0.3632987351421303,0.0011074005276030408
r9,edge,u,5,0.8333333333333334,1.0,306444,8,337,0.34419862873899226,0.36320502277740796,0.3632987351421303,-0.00037218903035519745
r9,edge,u,6,1.0,1.1666666666666667,608675,8,337,0.34419862873899226,0.3631346777837105,0.3632987351421303,-0.0006516350631069618
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,8,337,0.34419862873899226,0.36419060912113416,0.3632987351421303,0.0035373791283234493
r9,edge,u,8,1.3333333333333333,1.5,83755,8,337,0.34419862873899226,0.36106501104411676,0.3632987351421303,-0.008897719994161253
r9,edge,u,9,1.5,1.6666666666666667,6073,8,337,0.34419862873899226,0.3751029145397662,0.3632987351421303,0.0461301298583744
