parent_prime,child_gate_count,child_centroid,mean_ridge_distance,mean_phi_pair_distance,minimum_phi_pair_distance,nearest_phi_residue_hit_count,nearest_phi_residue_hit_share
4000002499,6337,0.9998478936160812,0.49964088117563304,0.26390950373793365,2.00428834094229e-06,7,0.0011046236389458735
4000002529,6337,1.0023535364906837,0.49951862192210833,0.26406982796973755,2.4979935049758253e-05,5,0.0007890168849613382
4000002551,6337,1.0009718190414103,0.4998990760975079,0.26379416815638895,0.0001158418831959719,4,0.0006312135079690705
4000002553,6337,1.001391347302901,0.49980446202009793,0.2637717486995153,0.00011964176383500271,6,0.0009468202619536059
4000002619,6337,1.0038739367887692,0.4986865243618831,0.26410444704927527,8.906888580229773e-06,7,0.0011046236389458735
4000002647,6337,1.004066410877965,0.4993166165406786,0.26402932177543265,3.1967386862066376e-05,4,0.0006312135079690705
4000002659,6337,1.0043743331690385,0.499723974870484,0.2637223481121908,5.7443163546956e-05,6,0.0009468202619536059
4000002667,6337,1.0044744124450926,0.4994547719855137,0.2638539841495874,5.6460660007242115e-05,5,0.0007890168849613382
4000002673,6337,1.0044705702136427,0.49944081868912316,0.2639448265275376,4.4476706520962685e-05,4,0.0006312135079690705
4000002679,6337,1.005413548244135,0.49983768918759985,0.26396685651706164,0.0003898987125475639,6,0.0009468202619536059
4000002689,6337,1.0056175490276977,0.4998045311793118,0.2638616095432429,2.7433164703030934e-05,8,0.001262427015938141
4000002751,6337,1.0018957671728366,0.500324030077868,0.26401161869911477,7.277030651216957e-06,7,0.0011046236389458735
4000002781,6337,1.0012453425075958,0.500152977306668,0.2644067749163394,0.00022255311980525682,3,0.0004734101309768029
4000002791,6337,1.002711770307092,0.5003577298870988,0.26411169306648874,0.00023865892997323787,8,0.001262427015938141
4000002817,6337,1.0021691093808083,0.5011837071477487,0.26386657024537963,4.189128125187294e-05,6,0.0009468202619536059
4000002829,6337,1.0015302114099298,0.5011268689257375,0.2638192366642427,5.8333515366712385e-05,5,0.0007890168849613382
4000002833,6337,1.0023692679329177,0.5011598775550204,0.2635845528677325,3.147409606769651e-05,6,0.0009468202619536059
4000002859,6337,1.0040358542845251,0.5011045329829404,0.26361992448930266,0.00036182435546422176,7,0.0011046236389458735
4000002961,6337,1.0039705363497826,0.502463784997875,0.26377126662473366,8.47674588427795e-06,8,0.001262427015938141
4000002967,6337,1.0039666941183256,0.5027619204051819,0.2638127631226348,1.9739452555192375e-05,10,0.0015780337699226763
4000002997,6337,1.0004758086672212,0.5024288237330615,0.26369588280650547,0.0001111966717173256,5,0.0007890168849613382
4000003003,6337,0.999525146173811,0.5025283882516448,0.2635259460855259,0.000128185721707638,2,0.00031560675398453525
4000003013,6337,1.0006759672193277,0.5021469185234799,0.2634592048604179,7.518945746125678e-05,4,0.0006312135079690705
4000003027,6337,1.0017190245258796,0.5022596831170529,0.26331059752548197,3.7555731757163465e-05,8,0.001262427015938141
4000003057,6337,0.9998061728446923,0.5017234925993018,0.2638631991473841,9.438824520024709e-05,5,0.0007890168849613382
4000003109,6337,0.9987208509921343,0.5005430659993794,0.2642302323988576,1.4451700978975726e-05,9,0.0014202303929304087
4000003153,6337,0.997851056617496,0.5005873811035622,0.263964499589061,3.188003668675491e-05,8,0.001262427015938141
4000003159,6337,0.9975316076320551,0.5006575361703118,0.2637932555149999,9.768838389107558e-05,9,0.0014202303929304087
4000003181,6337,0.9983591374606775,0.5010576038609416,0.2634786298154499,9.55975449313611e-05,10,0.0015780337699226763
4000003199,6337,0.9996100377822478,0.5003863572555832,0.26359295411371864,0.0001087092645937586,9,0.0014202303929304087
4000003237,6337,0.9996909059010267,0.5009764798740215,0.26339653202390534,0.0002577042238581818,5,0.0007890168849613382
4000003243,6337,1.0012650974394923,0.5007522689858955,0.26360810635784515,4.478406758315771e-05,7,0.0011046236389458735
4000003261,6337,0.9999911437291849,0.5010090199851216,0.26370776778009397,2.8098972865035186e-05,5,0.0007890168849613382
4000003277,6337,0.9995600887733307,0.5006916659742352,0.2638284265719323,4.3356519500411645e-05,3,0.0004734101309768029
4000003279,6337,0.9999796170348179,0.5009320585124379,0.26369620394267873,0.0001185996488621618,6,0.0009468202619536059
4000003283,6337,0.9995562465418716,0.5008704872402063,0.2636669243691011,0.00013858670244256175,5,0.0007890168849613382
