scale,anchor,initial_candidate,true_next_prime,initial_delta,final_delta,handover_events,candidate_states,Y0,Y3,residue,pair_representative,orientation,odds,ara_oriented,closeness,closeness_float,final_residue,final_pair_representative,final_closeness,final_closeness_float,delta_closeness,closeness_increase_steps,closeness_decrease_steps,candidate_path,closeness_path,gate_path,total_nonbase_gate_crossings
low,61010883,61010885,61010921,2,38,5,6,0,0,5,5,left,5/9,5/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,1,3,61010885|61010891|61010893|61010899|61010903|61010921,5/7|3/7|1/7|5/7|5/7|1/7,5|37|83|313|439,985
low,61011038,61011039,61011053,1,15,3,4,0,0,5,5,left,5/9,5/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,1,1,61011039|61011043|61011047|61011053,5/7|5/7|1/7|5/7,3|271|311,985
low,61011065,61011067,61011077,2,12,2,3,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,1,1,1/7,0.14285714285714285,-0.5714285714285714,0,2,61011067|61011073|61011077,5/7|3/7|1/7,13|113,985
low,61011118,61011119,61011127,1,9,2,3,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,9,5,5/7,0.7142857142857143,0.5714285714285714,2,0,61011119|61011121|61011127,1/7|3/7|5/7,13|283,985
low,61011817,61011819,61011823,2,6,2,3,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,5,5,5/7,0.7142857142857143,0.5714285714285714,2,0,61011819|61011821|61011823,1/7|3/7|5/7,3|13,985
low,61011986,61011987,61011989,1,3,1,2,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61011987|61011989,1/7|3/7,3,985
low,61012431,61012433,61012447,2,16,1,2,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,0,0,61012433|61012447,1/7|1/7,29,985
low,61013076,61013077,61013101,1,25,3,4,0,0,13,1,right,1/13,13/7,1/7,0.14285714285714285,9,5,5/7,0.7142857142857143,0.5714285714285714,2,1,61013077|61013083|61013093|61013101,1/7|5/7|1/7|5/7,109|467|3343,985
low,61013271,61013273,61013297,2,26,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,9,5,5/7,0.7142857142857143,0.5714285714285714,1,0,61013273|61013279|61013297,1/7|5/7|5/7,23|617,985
low,61013421,61013423,61013437,2,16,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,1,1,61013423|61013429|61013437,5/7|1/7|5/7,2089|5113,985
low,61013551,61013553,61013581,2,30,7,8,0,0,13,1,right,1/13,13/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,3,2,61013553|61013555|61013557|61013563|61013567|61013569|61013573|61013581,1/7|1/7|3/7|5/7|1/7|1/7|5/7|1/7,3|5|11|13|47|1583|3527,985
low,61013626,61013627,61013639,1,13,1,2,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,0,1,61013627|61013639,3/7|1/7,643,985
low,61013676,61013677,61013681,1,5,1,2,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,0,1,61013677|61013681,3/7|1/7,463,985
low,61013684,61013685,61013707,1,23,4,5,0,0,5,5,left,5/9,5/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,1,2,61013685|61013689|61013693|61013699|61013707,5/7|5/7|1/7|5/7|1/7,3|11|13|41,985
low,61013873,61013875,61013879,2,6,1,2,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61013875|61013879,1/7|3/7,5,985
low,61013900,61013901,61013903,1,3,1,2,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,13,1,1/7,0.14285714285714285,-0.2857142857142857,0,1,61013901|61013903,3/7|1/7,3,985
low,61013972,61013973,61013977,1,5,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61013973|61013975|61013977,1/7|1/7|3/7,3|5,985
low,61013992,61013993,61014001,1,9,1,2,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,1,61013993|61014001,5/7|1/7,3797,985
low,61014192,61014193,61014209,1,17,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,1,1,61014193|61014197|61014209,5/7|1/7|3/7,23|3373,985
low,61014282,61014283,61014299,1,17,2,3,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,1,1,61014283|61014287|61014299,1/7|5/7|3/7,11|67,985
low,61014448,61014449,61014451,1,3,1,2,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,1,1,1/7,0.14285714285714285,0.0,0,0,61014449|61014451,1/7|1/7,6247,985
low,61014641,61014643,61014661,2,20,2,3,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,0,1,61014643|61014647|61014661,3/7|1/7|1/7,19|2879,985
low,61015053,61015055,61015063,2,10,3,4,0,0,3,3,left,3/11,3/7,3/7,0.42857142857142855,11,3,3/7,0.42857142857142855,0.0,1,1,61015055|61015057|61015061|61015063,3/7|5/7|5/7|3/7,5|17|19,985
low,61015114,61015117,61015121,3,7,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,1,61015117|61015121,5/7|1/7,2767,985
low,61015132,61015133,61015133,1,1,0,1,1,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,11,3,3/7,0.42857142857142855,0.0,0,0,61015133,3/7,,985
low,61015350,61015351,61015369,1,19,1,2,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61015351|61015369,5/7|5/7,149,985
low,61015367,61015369,61015369,2,2,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61015369,5/7,,985
low,61015428,61015429,61015429,1,1,0,1,1,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,0,0,61015429,1/7,,985
low,61015609,61015611,61015613,2,4,1,2,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,1,1,1/7,0.14285714285714285,0.0,0,0,61015611|61015613,1/7|1/7,3,985
low,61015671,61015673,61015673,2,2,0,1,1,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,0,0,61015673,5/7,,985
low,61016083,61016085,61016093,2,10,3,4,0,0,11,3,right,3/11,11/7,3/7,0.42857142857142855,5,5,5/7,0.7142857142857143,0.2857142857142857,1,1,61016085|61016087|61016089|61016093,3/7|1/7|1/7|5/7,3|11|59,985
low,61016589,61016591,61016597,2,8,1,2,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,5,5,5/7,0.7142857142857143,0.5714285714285714,1,0,61016591|61016597,1/7|5/7,223,985
low,61016657,61016659,61016707,2,50,3,4,0,0,11,3,right,3/11,11/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,1,2,61016659|61016663|61016671|61016707,3/7|1/7|5/7|3/7,11|37|1753,985
low,61017046,61017049,61017067,3,21,3,4,0,0,9,5,right,5/9,9/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,1,2,61017049|61017053|61017059|61017067,5/7|1/7|5/7|1/7,131|367|2963,985
low,61017195,61017197,61017211,2,16,1,2,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,0,0,61017197|61017211,3/7|3/7,137,985
low,61017528,61017529,61017563,1,35,3,4,0,0,13,1,right,1/13,13/7,1/7,0.14285714285714285,5,5,5/7,0.7142857142857143,0.5714285714285714,2,1,61017529|61017547|61017557|61017563,1/7|3/7|1/7|5/7,193|271|337,985
low,61017686,61017687,61017739,1,53,3,4,0,0,3,3,left,3/11,3/7,3/7,0.42857142857142855,13,1,1/7,0.14285714285714285,-0.2857142857142857,1,2,61017687|61017689|61017701|61017739,3/7|5/7|3/7|1/7,3|23|1559,985
low,61017944,61017945,61017961,1,17,4,5,0,0,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,1,2,61017945|61017947|61017949|61017953|61017961,5/7|3/7|1/7|3/7|3/7,3|17|19|839,985
low,61018269,61018271,61018271,2,2,0,1,1,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,0,0,61018271,1/7,,985
low,61018570,61018571,61018577,1,7,1,2,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61018571|61018577,5/7|3/7,31,985
low,61018639,61018641,61018663,2,24,3,4,0,0,5,5,left,5/9,5/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,1,61018641|61018645|61018649|61018663,5/7|5/7|1/7|1/7,3|5|2237,985
low,61018826,61018827,61018873,1,47,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,2,61018827|61018829|61018873,5/7|3/7|1/7,3|811,985
low,61019067,61019069,61019071,2,4,1,2,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,1,1,1/7,0.14285714285714285,0.0,0,0,61019069|61019071,1/7|1/7,17,985
low,61019071,61019073,61019081,2,10,2,3,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,11,3,3/7,0.42857142857142855,0.0,1,1,61019073|61019075|61019081,3/7|5/7|3/7,3|5,985
low,61019369,61019373,61019383,4,14,4,5,0,0,9,5,right,5/9,9/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,2,2,61019373|61019375|61019377|61019381|61019383,5/7|3/7|1/7|3/7|5/7,3|5|31|769,985
low,61020139,61020143,61020143,4,4,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61020143,5/7,,985
low,61020805,61020807,61020821,2,16,3,4,0,0,1,1,left,1/13,1/7,1/7,0.14285714285714285,1,1,1/7,0.14285714285714285,0.0,2,1,61020807|61020809|61020811|61020821,1/7|3/7|5/7|1/7,3|59|719,985
low,61021113,61021115,61021127,2,14,3,4,0,0,1,1,left,1/13,1/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,2,1,61021115|61021117|61021123|61021127,1/7|3/7|5/7|1/7,5|281|3181,985
low,61021602,61021603,61021607,1,5,1,2,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61021603|61021607,1/7|3/7,53,985
low,61021704,61021705,61021717,1,13,2,3,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,1,1,61021705|61021711|61021717,3/7|5/7|1/7,5|19,985
low,61021739,61021741,61021747,2,8,1,2,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,0,0,61021741|61021747,3/7|3/7,11,985
low,61021813,61021815,61021837,2,24,3,4,0,0,1,1,left,1/13,1/7,1/7,0.14285714285714285,9,5,5/7,0.7142857142857143,0.5714285714285714,2,0,61021815|61021817|61021819|61021837,1/7|3/7|5/7|5/7,3|41|3083,985
low,61022459,61022461,61022531,2,72,3,4,0,0,3,3,left,3/11,3/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,1,1,61022461|61022483|61022491|61022531,3/7|3/7|5/7|3/7,43|101|4129,985
low,61023070,61023071,61023077,1,7,2,3,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,1,1,61023071|61023073|61023077,3/7|1/7|3/7,23|347,985
low,61023151,61023153,61023161,2,10,3,4,0,0,9,5,right,5/9,9/7,5/7,0.7142857142857143,3,3,3/7,0.42857142857142855,-0.2857142857142857,1,2,61023153|61023155|61023157|61023161,5/7|3/7|1/7|3/7,3|5|13,985
low,61023233,61023237,61023239,4,6,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61023237|61023239,5/7|3/7,3,985
low,61023443,61023447,61023461,4,18,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,1,1,61023447|61023449|61023461,5/7|3/7|5/7,3|953,985
low,61023543,61023545,61023551,2,8,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,1,1,1/7,0.14285714285714285,-0.5714285714285714,0,2,61023545|61023547|61023551,5/7|3/7|1/7,5|13,985
low,61023642,61023643,61023643,1,1,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61023643,5/7,,985
low,61023732,61023733,61023757,1,25,2,3,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,11,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61023733|61023749|61023757,1/7|3/7|3/7,947|4241,985
low,61023830,61023831,61023857,1,27,5,6,0,0,1,1,left,1/13,1/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,2,2,61023831|61023833|61023839|61023841|61023847|61023857,1/7|3/7|5/7|3/7|3/7|1/7,3|13|19|31|173,985
low,61024355,61024357,61024367,2,12,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,1,1,61024357|61024361|61024367,5/7|1/7|5/7,919|3967,985
low,61024412,61024413,61024421,1,9,3,4,0,0,9,5,right,5/9,9/7,5/7,0.7142857142857143,3,3,3/7,0.42857142857142855,-0.2857142857142857,1,2,61024413|61024415|61024417|61024421,5/7|3/7|1/7|3/7,3|5|419,985
low,61024530,61024531,61024531,1,1,0,1,1,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,1,1,1/7,0.14285714285714285,0.0,0,0,61024531,1/7,,985
low,61026021,61026023,61026041,2,20,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,1,61026023|61026041,5/7|1/7,6679,985
low,61026114,61026115,61026127,1,13,2,3,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,1,1,61026115|61026121|61026127,3/7|5/7|1/7,5|13,985
low,61026523,61026527,61026529,4,6,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61026527|61026529,5/7|3/7,29,985
low,61026642,61026643,61026671,1,29,3,4,0,0,13,1,right,1/13,13/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,1,2,61026643|61026649|61026661|61026671,1/7|5/7|3/7|1/7,29|179|233,985
low,61026650,61026653,61026671,3,21,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,2,61026653|61026661|61026671,5/7|3/7|1/7,37|233,985
low,61028393,61028395,61028447,2,54,4,5,0,0,1,1,left,1/13,1/7,1/7,0.14285714285714285,11,3,3/7,0.42857142857142855,0.2857142857142857,2,2,61028395|61028399|61028411|61028417|61028447,1/7|5/7|3/7|5/7|3/7,5|19|239|1051,985
low,61028488,61028489,61028497,1,9,1,2,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,5,5,5/7,0.7142857142857143,0.2857142857142857,1,0,61028489|61028497,3/7|5/7,83,985
low,61029433,61029435,61029461,2,28,4,5,0,0,5,5,left,5/9,5/7,5/7,0.7142857142857143,3,3,3/7,0.42857142857142855,-0.2857142857142857,1,1,61029435|61029439|61029443|61029457|61029461,5/7|5/7|1/7|1/7|3/7,3|17|41|103,985
low,61029530,61029531,61029559,1,29,2,3,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,1,1,61029531|61029533|61029559,3/7|5/7|3/7,3|73,985
low,61030032,61030033,61030049,1,17,2,3,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,1,1,61030033|61030037|61030049,1/7|5/7|3/7,19|1433,985
low,61030574,61030575,61030589,1,15,2,3,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,11,3,3/7,0.42857142857142855,0.0,1,1,61030575|61030577|61030589,3/7|1/7|3/7,3|4049,985
low,61030963,61030965,61030973,2,10,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,3,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61030965|61030967|61030973,5/7|3/7|3/7,3|101,985
low,61031023,61031025,61031053,2,30,3,4,0,0,13,1,right,1/13,13/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,0,0,61031025|61031027|61031041|61031053,1/7|1/7|1/7|1/7,3|1283|6911,985
low,61031389,61031391,61031393,2,4,1,2,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61031391|61031393,1/7|3/7,3,985
low,61031573,61031575,61031587,2,14,2,3,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,1,1,61031575|61031581|61031587,3/7|5/7|1/7,5|13,985
low,61031650,61031651,61031651,1,1,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61031651,5/7,,985
low,61031764,61031765,61031767,1,3,1,2,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,13,1,1/7,0.14285714285714285,-0.2857142857142857,0,1,61031765|61031767,3/7|1/7,5,985
low,61031835,61031837,61031843,2,8,1,2,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,5,5,5/7,0.7142857142857143,0.5714285714285714,1,0,61031837|61031843,1/7|5/7,107,985
