cell,progress,q_end,candidate_before,candidate_deaths,candidate_survival,candidate_k,edge_before,edge_deaths,edge_survival,edge_j,prediction__candidate__independent_sieve,prediction__candidate__ara_additive_previous_rule,prediction__candidate__ara_multiplicative_primary,prediction__candidate__ara_log_gradient_secondary,prediction__candidate__buchstab_established,prediction__edge__independent_pair,prediction__edge__ara_additive_edge_previous_rule,prediction__edge__ara_multiplicative_primary,prediction__edge__ara_log_gradient_secondary,prediction__edge__buchstab_squared,prediction__edge__buchstab_plus_source_relation
14,0.5833333333333334,3461,7215233,269109,0.4397748970130916,0.009499514457303234,3270906,239463,0.1919275580929709,-0.00765271839341776,0.4356170291512769,0.4401976070442128,0.4398297097573379,0.440364774826301,0.43985633990391515,0.18976219608658446,0.19232699179242282,0.19193154445299956,0.19236373550034064,0.19347359975366854,0.1919547867205397
15,0.625,4831,6946124,275379,0.4223400266645968,0.009607154111863565,3031443,234881,0.17705670722345593,-0.007396139928092983,0.41830196911986717,0.42220417621581824,0.42187787435120094,0.4228983112370873,0.4224320226191852,0.17497653736955832,0.17677067663160126,0.17648317053302162,0.17715638382399052,0.17844881373413582,0.17694710609028272
16,0.6666666666666666,6781,6670745,269580,0.405272304185587,0.007121180666876497,2796562,221258,0.1630483594997697,-0.007316274546031285,0.4023965384646148,0.4047950369392682,0.40458675841119834,0.406045832985497,0.40537890705727936,0.16192297416830423,0.1623421409831195,0.1622725033650398,0.16291605462672284,0.16433205828695432,0.16290855870082774
17,0.7083333333333334,9497,6401165,268188,0.38829271239019914,0.0019494032745741628,2575304,210858,0.14969845945402657,-0.0071406576801880265,0.38753651061575484,0.38736351416438863,0.3873788824595316,0.38895561784826843,0.3884446518784778,0.15018454706023507,0.14846300950291588,0.1487552921142702,0.1498456043556281,0.15088924757299182,0.14957493890993367
18,0.75,13313,6132977,260398,0.3718063231992755,-0.005730874546374991,2364446,196764,0.13724088263644982,-0.00725323598061354,0.3739432158765254,0.3704975297094232,0.3708105148851324,0.37241643216059317,0.3719273728591684,0.13983352870007767,0.1355617071109653,0.13630251374860208,0.13740007626988962,0.13832997068192285,0.1371248194689982
19,0.7916666666666666,18637,5872579,259047,0.3554054688887924,-0.01616101782861075,2167682,186916,0.12540680512006383,-0.007200434154580924,0.36119584617689565,0.35378079957928377,0.3544685435403731,0.35637675827755183,0.355500369652699,0.13046243929544366,0.12328434746072311,0.12455413068295981,0.1255935350769867,0.12638051282320562,0.1252803178680327
20,0.8333333333333334,26119,5613532,257076,0.3391294030678342,-0.029571546686384384,1980766,176992,0.11420103863789968,-0.007047837950576679,0.3493077368646865,0.33706442432218076,0.33821315294861715,0.3398295251578326,0.3392111464592274,0.12201589503352908,0.11141909153434262,0.1133142963943957,0.1141960194052632,0.11506420188218341,0.1139840147595975
21,0.875,36583,5356456,255066,0.32298059491503683,-0.04591609243785385,1803774,168265,0.10354779839471723,-0.007395882190764959,0.33815634110655224,0.32046948713333956,0.32215734403406354,0.3235383234883038,0.3230106844497457,0.11434971103057091,0.10028494276175555,0.10284125882072263,0.10344289711470675,0.10433590226869317,0.10338679865111777
22,0.9166666666666666,51229,5101390,253466,0.30693308639858646,-0.06549772816824365,1635509,157413,0.09358162297855771,-0.006670220943510144,0.32770948268733185,0.30406236353811983,0.3063557395738475,0.3072950993606721,0.3069039820912322,0.10739350504319865,0.08975779502949811,0.09301265699393398,0.09339627509607992,0.09419005422345537,0.09334585865872277
23,0.9583333333333334,71741,4847924,253966,0.2908539217457777,-0.08872189332256117,1478096,151083,0.08401621427406934,-0.006877221741345922,0.31783839040576517,0.28757468793739194,0.2905496306775558,0.2912311699542199,0.29079757581256804,0.1010212424157276,0.07965300106602047,0.08364754481895036,0.08379865889467276,0.08456323009846625,0.0837903696516642
24,1.0,100493,4593958,252028,0.2748974562774941,-0.11546228397142572,1327013,141279,0.07507151913059582,-0.006599757177284996,0.30854275566054346,0.271223767458921,0.2749501999254868,0.2750863339386636,0.2748263377043394,0.09519863207060182,0.07023707731922602,0.07497319088173351,0.07481828082055977,0.0755295158959796,0.07490565680283312
