base,factors,voice_count,first_missing_prime,harmonic_repeat_count,event_x_old_lock,event_x_echo,last_pure_repeat_x,phi_crossed_before_expansion
881414,2;37;43;277,4,3,1,1.851417353397589,0.1485826466024111,1.9036119507497367,False
881426,2;7;13;29;167,5,3,1,1.851417490189267,0.1485825098107331,1.9036120419904894,False
881454,2;3;7;31;677,5,5,3,1.789598989672708,0.21040101032729172,1.816087943951591,False
881470,2;5;181;487,4,3,1,1.8514179917406655,0.14858200825933457,1.903612376527811,False
881474,2;11;103;389,4,3,1,1.851418037334838,0.14858196266516221,1.9036124069393516,False
881482,2;7;79;797,4,3,1,1.8514181285224778,0.14858187147752216,1.903612467761961,False
881494,2;613;719,3,3,1,1.8514182653021765,0.1485817346978237,1.9036125589946966,False
881538,2;3;7;139;151,5,5,3,1.7896003002047816,0.2103996997952186,1.8160891064467208,False
881570,2;5;199;443,4,3,1,1.8514191315245145,0.1485808684754852,1.9036131367691709,False
881574,2;3;349;421,4,5,3,1.7896008618181594,0.2103991381818406,1.816089604620512,False
881578,2;31;59;241,4,3,1,1.851419222700882,0.14858077729911806,1.9036131975842363,False
881582,2;13;41;827,4,3,1,1.8514192682887134,0.14858073171128672,1.9036132279915332,False
881626,2;47;83;113,4,3,1,1.8514197697393604,0.1485802302606395,1.9036135624614274,False
881630,2;5;131;673,4,3,1,1.8514198153243742,0.14858018467562584,1.9036135928668385,False
881634,2;3;13;89;127,5,5,3,1.7896017977828313,0.21039820221716868,1.8160904348589602,False
881674,2;587;751,3,3,1,1.8514203167440286,0.14857968325597132,1.903613927315991,False
881678,2;7;71;887,4,3,1,1.8514203623262249,0.14857963767377502,1.9036139577195168,False
881742,2;3;223;659,4,5,3,1.789603482337753,0.21039651766224696,1.8160919291269049,False
881754,2;3;179;821,4,5,3,1.7896036694961206,0.21039633050387957,1.81609209514388,False
881774,2;23;29;661,4,3,1,1.851421456228512,0.14857854377148785,1.9036146873570021,False
881778,2;3;281;523,4,5,3,1.7896040438042153,0.21039595619578483,1.8160924271701524,False
881782,2;11;149;269,4,3,1,1.8514215473809332,0.14857845261906683,1.9036147481560415,False
881790,2;3;5;7;13;17;19,7,11,9,1.7018952976929047,0.29810470230709524,1.7120381792422181,False
