ara_numerator,ara_denominator,ara_value,mirror_numerator,mirror_denominator,mirror_value,distance_from_ridge,count,share,mirror_count,count_minus_mirror,r7_count,r8_count,r9_count,r10_count,r11_count
4,77,0.05194805194805195,150,77,1.948051948051948,-0.948051948051948,604,1.3615744615880346e-05,620,-16,0,0,4,31,569
6,115,0.05217391304347826,224,115,1.9478260869565218,-0.9478260869565217,16,3.606819765796118e-07,17,-1,0,0,0,1,15
1,19,0.05263157894736842,37,19,1.9473684210526316,-0.9473684210526316,17,3.8322460011583755e-07,20,-3,0,0,0,0,17
6,113,0.05309734513274336,220,113,1.9469026548672566,-0.9469026548672567,7,1.5779836475358016e-07,17,-10,0,0,0,2,5
4,75,0.05333333333333334,146,75,1.9466666666666668,-0.9466666666666667,515,1.1609451121156254e-05,549,-34,0,0,4,23,488
3,56,0.05357142857142857,109,56,1.9464285714285714,-0.9464285714285714,21,4.733950942607405e-07,21,0,0,0,0,0,21
2,37,0.05405405405405406,72,37,1.945945945945946,-0.9459459459459459,11900,0.00026825722008108627,11913,-13,0,5,87,981,10827
8,147,0.05442176870748299,286,147,1.945578231292517,-0.9455782312925171,1,2.2542623536225736e-08,1,0,0,0,0,0,1
3,55,0.05454545454545454,107,55,1.9454545454545455,-0.9454545454545454,14,3.1559672950716033e-07,31,-17,0,0,0,1,13
6,109,0.05504587155963303,212,109,1.944954128440367,-0.944954128440367,17,3.8322460011583755e-07,15,2,0,0,0,2,15
8,145,0.05517241379310345,282,145,1.9448275862068964,-0.9448275862068966,1,2.2542623536225736e-08,0,1,0,0,0,0,1
1,18,0.05555555555555555,35,18,1.9444444444444444,-0.9444444444444444,24625,0.0005551121045795587,25044,-419,2,24,176,2085,22338
6,107,0.056074766355140186,208,107,1.9439252336448598,-0.9439252336448598,24,5.410229648694177e-07,21,3,0,0,0,0,24
4,71,0.056338028169014086,138,71,1.943661971830986,-0.9436619718309859,615,1.3863713474778828e-05,562,53,0,0,1,44,570
3,53,0.05660377358490566,103,53,1.9433962264150944,-0.9433962264150944,19,4.28309847188289e-07,21,-2,0,0,0,1,18
2,35,0.05714285714285714,68,35,1.9428571428571428,-0.9428571428571428,98,2.209177106550122e-06,88,10,0,0,0,4,94
8,139,0.05755395683453238,270,139,1.9424460431654675,-0.9424460431654677,1,2.2542623536225736e-08,1,0,0,0,0,0,1
3,52,0.057692307692307696,101,52,1.9423076923076923,-0.9423076923076923,22,4.959377177969662e-07,31,-9,0,0,0,3,19
4,69,0.057971014492753624,134,69,1.9420289855072463,-0.9420289855072463,640,1.4427279063184471e-05,699,-59,0,0,5,43,592
6,103,0.05825242718446602,200,103,1.941747572815534,-0.941747572815534,41,9.242475649852552e-07,31,10,0,0,0,1,40
1,17,0.058823529411764705,33,17,1.9411764705882353,-0.9411764705882353,19387,0.00043703384249680835,19397,-10,2,6,181,1663,17535
8,135,0.05925925925925926,262,135,1.9407407407407407,-0.9407407407407408,5,1.1271311768112868e-07,3,2,0,0,0,0,5
6,101,0.0594059405940594,196,101,1.9405940594059405,-0.9405940594059405,37,8.340770708403522e-07,39,-2,0,0,0,3,34
3,50,0.06,97,50,1.94,-0.94,55,1.2398442944924155e-06,60,-5,0,0,0,5,50
8,133,0.06015037593984962,258,133,1.9398496240601504,-0.9398496240601504,1,2.2542623536225736e-08,2,-1,0,0,0,0,1
2,33,0.06060606060606061,64,33,1.9393939393939394,-0.9393939393939394,20333,0.0004583591643620779,20606,-273,0,12,158,1759,18404
3,49,0.061224489795918366,95,49,1.9387755102040816,-0.9387755102040817,87,1.9612082476516393e-06,74,13,0,0,0,7,80
4,65,0.06153846153846154,126,65,1.9384615384615385,-0.9384615384615385,1906,4.296624046004625e-05,1939,-33,0,1,12,119,1774
6,97,0.061855670103092786,188,97,1.9381443298969072,-0.9381443298969072,41,9.242475649852552e-07,47,-6,0,0,0,1,40
8,129,0.06201550387596899,250,129,1.937984496124031,-0.937984496124031,1,2.2542623536225736e-08,6,-5,0,0,0,0,1
1,16,0.0625,31,16,1.9375,-0.9375,98,2.209177106550122e-06,115,-17,0,0,0,5,93
8,127,0.06299212598425197,246,127,1.937007874015748,-0.937007874015748,2,4.508524707245147e-08,5,-3,0,0,0,0,2
6,95,0.06315789473684211,184,95,1.936842105263158,-0.9368421052631579,98,2.209177106550122e-06,99,-1,0,0,0,4,94
4,63,0.06349206349206349,122,63,1.9365079365079365,-0.9365079365079365,1422,3.2055610668513e-05,1390,32,0,1,7,102,1312
3,47,0.06382978723404255,91,47,1.9361702127659575,-0.9361702127659575,78,1.7583246358256075e-06,74,4,0,0,0,8,70
2,31,0.06451612903225806,60,31,1.935483870967742,-0.935483870967742,32335,0.0007289157320438592,32291,44,1,25,296,2893,29120
8,123,0.06504065040650407,238,123,1.934959349593496,-0.9349593495934959,4,9.017049414490294e-08,4,0,0,0,0,1,3
3,46,0.06521739130434782,89,46,1.934782608695652,-0.9347826086956522,76,1.713239388753156e-06,74,2,0,0,0,4,72
5,76,0.06578947368421052,147,76,1.9342105263157894,-0.9342105263157895,1,2.2542623536225736e-08,0,1,0,0,0,0,1
6,91,0.06593406593406594,176,91,1.934065934065934,-0.9340659340659341,118,2.660029577274637e-06,127,-9,0,0,0,7,111
8,121,0.06611570247933884,234,121,1.9338842975206612,-0.9338842975206612,3,6.762787060867721e-08,10,-7,0,0,0,0,3
1,15,0.06666666666666667,29,15,1.9333333333333333,-0.9333333333333333,37872,0.0008537342385639412,38036,-164,4,39,339,3449,34041
10,149,0.06711409395973154,288,149,1.9328859060402686,-0.9328859060402684,1,2.2542623536225736e-08,0,1,0,0,0,0,1
6,89,0.06741573033707865,172,89,1.9325842696629214,-0.9325842696629214,97,2.1866344830138966e-06,92,5,0,0,0,7,90
4,59,0.06779661016949153,114,59,1.9322033898305084,-0.9322033898305084,1947,4.389048802503151e-05,1911,36,0,0,6,142,1799
10,147,0.06802721088435375,284,147,1.9319727891156462,-0.9319727891156463,2,4.508524707245147e-08,0,2,0,0,0,0,2
3,44,0.06818181818181818,85,44,1.9318181818181819,-0.9318181818181819,191,4.305641095419116e-06,190,1,0,0,2,5,184
8,117,0.06837606837606838,226,117,1.9316239316239316,-0.9316239316239316,7,1.5779836475358016e-07,7,0,0,0,0,0,7
2,29,0.06896551724137931,56,29,1.9310344827586208,-0.9310344827586207,333,7.50669363756317e-06,335,-2,0,1,0,15,317
5,72,0.06944444444444445,139,72,1.9305555555555556,-0.9305555555555556,2,4.508524707245147e-08,1,1,0,0,0,0,2
8,115,0.06956521739130435,222,115,1.9304347826086956,-0.9304347826086956,13,2.9305410597093455e-07,13,0,0,0,0,0,13
3,43,0.06976744186046512,83,43,1.930232558139535,-0.9302325581395349,140,3.155967295071603e-06,161,-21,0,0,1,8,131
4,57,0.07017543859649122,110,57,1.9298245614035088,-0.9298245614035088,3486,7.858358564728292e-05,3443,43,0,1,17,273,3195
6,85,0.07058823529411765,164,85,1.9294117647058824,-0.9294117647058824,230,5.1848034133319195e-06,232,-2,0,0,0,9,221
1,14,0.07142857142857142,27,14,1.9285714285714286,-0.9285714285714286,36622,0.000825555959143659,36789,-167,3,37,363,3371,32848
8,111,0.07207207207207207,214,111,1.927927927927928,-0.9279279279279279,11,2.479688588984831e-07,9,2,0,0,0,0,11
6,83,0.07228915662650602,160,83,1.927710843373494,-0.927710843373494,247,5.568028013447757e-06,280,-33,0,0,1,13,233
5,69,0.07246376811594203,133,69,1.9275362318840579,-0.927536231884058,1,2.2542623536225736e-08,2,-1,0,0,0,0,1
